50Traced_NONETRACED_SUM_SINGLE_LSA_24_MEDIAN,Associated
0.5384,NO
0.1381,NO
0.6031,NO
1.1666,NO
0.3487,NO
1.35,NO
0.8385,NO
0.3713,NO
0.8999,NO
3.2718,YES
1.4871,NO
2.9001,YES
0.5923,NO
0.7809,NO
0.419,NO
0.6409,NO
0.915,NO
0.5171,NO
1.1164,NO
0.9194,NO
0.6153,NO
3.4653,YES
3.0262,YES
3.3139,YES
2.209,YES
1.2185,NO
2.6134,YES
1.2533,NO
1.4878,YES
1.4853,YES
1.4414,NO
0.8683,NO
0.8026,NO
1.1316,NO
2.4503,YES
1.4756,YES
0.8213,NO
0.5199,NO
1.2546,NO
0.5177,NO
0.4515,NO
0.5255,NO
0.6141,NO
2.2402,YES
0.816,NO
2.5266,YES
0.8504,NO
3.0484,YES
0.8551,NO
0.8128,NO
0.8893,NO
0.9213,NO
0.5863,NO
1.2557,NO
0.6717,NO
1.1614,NO
0.4017,NO
0.4044,NO
0.932,NO
1.206,NO
0.465,NO
1.3349,NO
0.5955,NO
0.1686,NO
0.8788,NO
3.3401,YES
1.3024,NO
3.0207,YES
0.2284,NO
0.4158,NO
0.2136,NO
0.8588,NO
0.8221,NO
0.519,NO
1.2263,NO
0.8673,NO
0.7311,NO
3.6686,YES
3.2260000000000004,YES
3.5084,YES
2.2886,YES
1.0531,NO
3.008,YES
1.3217,NO
2.135,YES
2.2969999999999997,YES
2.3402,NO
1.2461,NO
1.1622,NO
2.1212,NO
2.8789,YES
2.2148,YES
1.8186,NO
0.4704,NO
2.106,NO
0.3745,NO
0.7643,NO
1.1057,NO
1.1467,NO
2.3358,YES
1.3224,NO
3.2,YES
1.1915,NO
3.9028,YES
1.2492,NO
1.1341,NO
1.1875,NO
0.9625,NO
0.4576,NO
2.1849,NO
0.985,NO
2.5304,NO
0.6762,NO
0.4479,NO
1.9535,YES
3.6406,YES
4.3441,YES
1.9251,YES
1.0145,NO
0.3029,NO
1.5868,YES
0.5708,NO
2.6196,YES
0.8312,NO
0.7186,NO
1.3719999999999999,NO
1.2441,NO
0.4726,NO
4.4132,YES
0.3774,NO
3.9866,YES
1.4106,NO
4.2873,YES
1.2021,NO
0.9586,NO
1.7597,NO
0.2793,NO
2.2748,YES
1.2467,NO
1.9489,YES
0.5322,NO
0.5643,NO
0.4352,NO
1.0789,NO
0.3937,NO
0.9073,NO
0.5839,NO
0.3102,NO
0.5874,NO
3.24,YES
0.8104,NO
2.8716,YES
0.2232,NO
0.5337,NO
0.1689,NO
0.7334,NO
0.667,NO
0.6468,NO
0.8475,NO
0.7633,NO
0.6924,NO
3.3874,YES
3.0658,YES
3.181,YES
2.1489,YES
0.6985,NO
2.5172,YES
0.8959,NO
0.7226,NO
0.5329,NO
1.6658,YES
4.0156,YES
4.9246,YES
1.5652,YES
0.6334,NO
0.3215,NO
1.8113,YES
1.7266,NO
2.6608,YES
1.7046,NO
0.6268,NO
1.2874,NO
1.0675,NO
0.516,NO
5.0872,YES
0.4258,NO
4.2236,YES
1.2277,NO
4.9154,YES
2.4475,NO
1.999,NO
2.3844,NO
1.1627,NO
2.1053,YES
1.7164,NO
2.1364,YES
0.5088,NO
0.2359,NO
0.6396,NO
1.2856,NO
0.243,NO
1.4283,NO
0.6087,NO
0.1559,NO
0.8752,NO
3.8881,YES
1.2907,NO
3.6595,YES
0.7314,NO
0.9197,NO
0.4687,NO
0.6006,NO
0.8276,NO
0.2684,NO
1.2143,NO
0.4601,NO
0.5927,NO
4.1397,YES
3.6227,YES
3.9181,YES
2.6488,YES
1.0863,NO
3.3035,YES
1.1972,NO
0.6228,NO
0.313,NO
1.0371,NO
1.7461,NO
0.7659999999999999,NO
1.9077,NO
0.7191,NO
0.3868,NO
1.4535,NO
3.6802,YES
1.7628,NO
3.4932,YES
0.2965,NO
0.6402,NO
0.3025,NO
0.6756,NO
1.3437,NO
0.4424,NO
1.4582,NO
0.8651,NO
0.9322,NO
4.1609,YES
3.5319,YES
3.7147,YES
2.5222,YES
1.4733,NO
3.1854,YES
1.8293,NO
0.8272,NO
0.6127,NO
1.0044,NO
1.6952,NO
0.7658,NO
1.608,NO
0.8321,NO
0.5369,NO
1.1496,NO
3.3672,YES
1.5727,NO
3.1837,YES
0.8631,NO
1.0662,NO
0.7521,NO
0.9321,NO
1.2165,NO
0.7933,NO
1.4786,NO
1.2072,NO
0.9792,NO
3.8633,YES
3.4747,YES
3.5704,YES
2.2927,YES
1.4432,NO
2.827,YES
1.6881,NO
0.5467,NO
0.3196,NO
0.4634,NO
1.7699,NO
0.8021,NO
1.3348,NO
0.7218,NO
0.2364,NO
0.8672,NO
3.4431,YES
1.3807,NO
3.174,YES
0.7467,NO
0.9894,NO
0.6738,NO
0.5089,NO
1.3484,NO
0.3417,NO
1.4851,NO
0.7198,NO
0.9902,NO
3.7542,YES
3.2996,YES
3.5053,YES
2.1606,YES
1.1474,NO
2.9665,YES
1.2882,NO
0.8563,NO
1.1802,NO
5.944,YES
1.2692,YES
2.2227,YES
5.6876,YES
1.2958,NO
0.7072,NO
4.7207,YES
0.1252,NO
5.886,YES
0.3551,NO
0.716,NO
1.24,NO
0.9908,NO
0.5742,NO
2.9328,YES
0.6476,NO
2.8138,YES
1.9221,NO
2.8069,YES
1.3156,NO
0.484,NO
1.9715,NO
0.7747,NO
5.57,YES
2.0588,NO
5.0323,YES
0.4364,NO
0.5331,NO
4.0773,YES
0.8075,NO
1.4772,NO
3.7704,YES
0.5565,NO
0.2949,NO
3.1312,YES
0.33799999999999997,NO
3.7242,YES
0.5870000000000001,NO
0.9633,NO
1.6171,NO
1.1465,NO
0.3869,NO
1.9135,NO
0.2164,NO
2.0999,NO
0.7140000000000001,NO
2.0282,NO
1.1924,NO
0.8343,NO
1.8077,NO
0.5022,NO
3.4714,YES
1.1026,NO
3.8535,YES
0.8035,NO
0.6819,NO
3.2518,YES
3.4104,YES
4.7264,YES
3.1125,YES
0.4622,NO
0.3886,NO
2.8955,YES
1.0275,NO
4.1736,YES
1.0956,NO
0.45299999999999996,NO
1.0069,NO
0.7775,NO
0.5588,NO
5.131,YES
0.3475,NO
4.3641,YES
1.3519,NO
5.0276,YES
2.0956,NO
1.4073,NO
2.347,NO
0.7044,NO
3.5909,YES
1.8115,NO
3.2747,YES
0.382,NO
0.8343,NO
3.9825,YES
1.1057,NO
1.7545,NO
3.7996,YES
0.9473,NO
0.3869,NO
2.8534,YES
0.159,NO
4.1476,YES
0.2425,NO
0.4898,NO
0.7854,NO
0.6394,NO
0.2549,NO
2.2148,NO
0.1977,NO
2.0117,NO
1.2101,NO
2.0857,NO
0.937,NO
0.5006,NO
1.9469,NO
0.4223,NO
3.6482,YES
1.7511,NO
3.4565,YES
0.6595,NO
0.5676,NO
1.9126,YES
4.0519,YES
4.5623,YES
1.7845,YES
1.0057,NO
0.1441,NO
1.3588,YES
1.1205,NO
2.5418,YES
1.4465,NO
1.6949,NO
2.2487,NO
2.0188,NO
0.5117,NO
4.6051,YES
0.2979,NO
4.2854,YES
1.2762,NO
4.5795,YES
1.7367,NO
1.6854,NO
2.3233,NO
0.8805,NO
2.1333,YES
1.4843,NO
2.0802,YES
2.1934,YES
2.1437,YES
1.5188,NO
0.7978,NO
1.0004,NO
1.2217,NO
2.556,YES
2.1632,YES
1.0379,NO
0.3682,NO
1.33,NO
0.26899999999999996,NO
0.2131,NO
0.16,NO
0.308,NO
2.3224,YES
1.0214,NO
3.1204,YES
0.8408,NO
3.5589999999999997,YES
1.0386,NO
0.6749,NO
0.6068,NO
0.5660000000000001,NO
0.3873,NO
1.4267,NO
0.8593,NO
1.253,NO
0.5364,NO
0.7784,NO
5.9081,YES
1.1306,YES
1.8072,YES
5.9015,YES
0.8567,NO
0.5212,NO
5.0925,YES
0.3413,NO
5.574,YES
0.5911,NO
0.4215,NO
1.1796,NO
0.7714,NO
0.3423,NO
2.5085,YES
0.2583,NO
2.2696,YES
1.3398,NO
2.4237,YES
1.7473,NO
0.8390000000000001,NO
1.8749,NO
0.8546,NO
5.504,YES
1.8329,NO
5.2984,YES
0.8275,NO
0.9968,NO
6.0099,YES
1.8352,YES
2.2018,YES
6.1632,YES
1.0121,NO
0.7639,NO
5.2593,YES
0.8717,NO
6.024,YES
1.1378,NO
0.7028,NO
1.4445,NO
1.1392,NO
0.5509,NO
2.7295,YES
0.674,NO
2.5722,YES
2.1163,NO
2.5835,YES
2.3762,NO
1.6374,NO
2.5176,NO
1.258,NO
5.8915,YES
1.9422,NO
5.5953,YES
1.0123,NO
0.8243,NO
6.5185,YES
1.685,YES
2.0348,YES
7.0653,YES
1.3637,NO
0.8043,NO
5.8556,YES
1.3111,NO
6.8025,YES
1.5662,NO
0.6071,NO
1.3541,NO
1.0693,NO
0.5949,NO
3.0967,YES
0.5493,NO
3.1299,YES
2.0418,NO
2.5717,YES
2.8145,NO
1.4982,NO
3.1112,NO
1.3493,NO
6.6788,YES
2.9228,NO
6.143,YES
0.5718,NO
0.679,NO
5.638,YES
0.9834,YES
1.4778,YES
5.9326,YES
1.1506,NO
0.5187,NO
4.8429,YES
0.5473,NO
5.79,YES
0.6807,NO
0.7513,NO
1.33,NO
1.0728,NO
0.3244,NO
2.1798,YES
0.33399999999999996,NO
2.063,YES
1.5342,NO
1.9924,YES
1.6887,NO
0.8912,NO
2.0664,NO
0.8690000000000001,NO
5.5278,YES
1.9554,NO
5.1892,YES
0.684,NO
0.6596,NO
1.6951,YES
4.1157,YES
4.8215,YES
1.5719999999999998,YES
0.8637,NO
0.1969,NO
1.3982,YES
0.7621,NO
2.3525,YES
1.1089,NO
0.9888,NO
1.5061,NO
1.581,NO
0.6157,NO
4.8054,YES
0.3878,NO
4.2884,YES
1.2759,NO
4.5795,YES
1.4786,NO
1.2775,NO
1.8062,NO
0.3878,NO
1.8294,YES
1.3743,NO
2.1389,YES
0.6428,NO
0.7898,NO
3.1387,YES
3.4671,YES
4.5575,YES
3.0227,YES
0.7311,NO
0.3907,NO
2.6076,YES
0.8134,NO
3.6289,YES
1.1757,NO
0.3897,NO
0.9387,NO
0.7104,NO
0.5563,NO
5.0294,YES
0.2362,NO
4.3055,YES
1.2212,NO
4.7471,YES
1.9169999999999998,NO
1.2666,NO
2.3331,NO
0.7939,NO
3.0537,YES
1.8738,NO
3.2310000000000003,YES
0.5432,NO
0.3569,NO
0.8889,NO
1.2094,NO
0.8631,NO
0.7344,NO
1.1520000000000001,NO
0.2912,NO
0.2825,NO
0.6835,NO
0.9721,NO
0.6908,NO
2.0511,YES
2.2365,YES
2.0778,YES
0.4734,NO
0.7335,NO
0.4824,NO
0.8017,NO
0.7559999999999999,NO
0.9415,NO
0.647,NO
1.0437,NO
1.2009999999999998,NO
0.5343,NO
0.9076,NO
0.5016,NO
1.0074,NO
1.5838,YES
2.1344,YES
0.7056,NO
0.4298,NO
0.2778,NO
0.5271,NO
2.0771,YES
1.4808,YES
0.1984,NO
0.2,NO
0.4366,NO
0.2836,NO
0.6337,NO
0.6868,NO
0.7368,NO
1.6886,YES
0.2777,NO
2.4697,YES
0.4028,NO
2.6499,YES
0.3293,NO
0.2761,NO
0.5541,NO
0.5644,NO
0.2145,NO
0.6229,NO
