50Traced_NONETRACED_SUM_SINGLE_LSA_20_MAX,Associated
0.6445,NO
0.5414,NO
0.5186,NO
1.2561,NO
0.5602,NO
1.5305,NO
0.74,NO
0.363,NO
0.5835,NO
3.4407,YES
0.9156,NO
4.0139,YES
0.2427,NO
0.5921,NO
0.2223,NO
0.5229,NO
0.9355,NO
0.5937,NO
0.7088,NO
0.7203,NO
0.8687,NO
3.4358,YES
3.2358,YES
3.2761,YES
3.6261,YES
0.3793,NO
2.6497,YES
0.7848,NO
1.6491,YES
2.772,YES
2.141,NO
0.7612,NO
0.8015,NO
1.85,NO
1.4572,YES
1.5537,YES
1.8071,NO
0.5974,NO
1.8509,NO
0.7913,NO
0.5759,NO
0.6149,NO
0.6993,NO
2.5733,YES
0.6435,NO
1.6837,YES
1.0606,NO
2.8308,YES
1.0009,NO
0.8555,NO
0.9729,NO
1.1344,NO
0.9303,NO
1.9616,NO
0.7677,NO
1.8391,NO
0.5291,NO
0.2655,NO
0.4006,NO
1.4597,NO
0.701,NO
1.4741,NO
0.46299999999999997,NO
0.2719,NO
0.6206,NO
3.1407,YES
0.8009999999999999,NO
3.8005,YES
0.3394,NO
0.7408,NO
0.3351,NO
0.1919,NO
1.2153,NO
0.4174,NO
0.7892,NO
0.3156,NO
0.9993,NO
3.2451,YES
3.1783,YES
3.1046,YES
3.2578,YES
0.3318,NO
2.4318,YES
0.6215,NO
2.0614,YES
3.0365,YES
2.5037,NO
0.6198,NO
0.4345,NO
2.4438,NO
1.5439,YES
1.8976,YES
2.305,NO
1.3452,NO
1.9351,NO
1.8271,NO
0.9419,NO
1.1366,NO
1.0179,NO
2.8816,YES
0.2819,NO
2.0418,YES
0.6328,NO
3.0666,YES
0.7438,NO
1.7623,NO
1.5568,NO
1.6243,NO
1.6401,NO
2.2403,NO
1.304,NO
2.0093,NO
0.4753,NO
0.9714,NO
1.4844,YES
3.7819,YES
4.285,YES
1.3075,YES
0.2891,NO
0.4523,NO
1.1465,YES
0.3896,NO
1.6030000000000002,YES
0.5186,NO
1.0119,NO
0.8675,NO
0.9041,NO
0.4984,NO
4.0884,YES
0.3614,NO
4.1405,YES
1.0739,NO
4.3064,YES
0.2609,NO
1.4319,NO
0.9396,NO
0.7649,NO
1.0653,YES
0.4796,NO
1.3688,YES
0.4808,NO
0.4232,NO
0.5796,NO
1.2144,NO
0.5754,NO
1.2943,NO
0.6093,NO
0.2271,NO
0.7387,NO
2.897,YES
0.8774,NO
3.39,YES
0.1987,NO
0.5004,NO
0.247,NO
0.3276,NO
0.7929,NO
0.3744,NO
0.7665,NO
0.4404,NO
0.8634,NO
2.7848,YES
2.7368,YES
2.5379,YES
3.0545,YES
0.5011,NO
1.92,YES
0.7727,NO
0.5579,NO
0.6911,NO
1.7661,YES
3.7492,YES
3.8311,YES
1.6018,YES
0.1756,NO
0.3508,NO
1.3029,YES
1.4134,NO
2.035,YES
1.5793,NO
0.3352,NO
0.3237,NO
0.2733,NO
0.4252,NO
3.5313,YES
0.2615,NO
3.9075,YES
1.1112,NO
4.0823,YES
1.1006,NO
2.1588,NO
1.7321,NO
1.9267,NO
1.3932,YES
0.6793,NO
1.8323,YES
0.9842,NO
0.8639,NO
1.0161,NO
1.2222,NO
0.7725,NO
1.2215,NO
0.5394,NO
0.6257,NO
0.7356,NO
2.4334,YES
1.0416,NO
2.8171,YES
0.2519,NO
0.4584,NO
0.2033,NO
0.8342,NO
0.6502,NO
0.69,NO
0.7956,NO
1.0757,NO
1.0585,NO
2.2563,YES
2.3515,YES
2.1738,YES
2.8038,YES
0.7343,NO
1.3255,YES
0.9405,NO
0.4601,NO
0.5683,NO
1.5085,NO
1.2651,NO
0.7399,NO
2.1423,NO
0.7139,NO
0.3596,NO
1.6414,NO
2.6829,YES
1.8508,NO
3.1633,YES
0.2266,NO
0.5014,NO
0.2432,NO
0.4236,NO
1.3791,NO
0.456,NO
1.1492,NO
0.7025,NO
1.0402,NO
2.8754,YES
2.7039,YES
3.3944,YES
2.8256,YES
1.2762,NO
2.6112,YES
1.6494,NO
0.8729,NO
0.6553,NO
0.3955,NO
1.2278,NO
0.499,NO
1.2544,NO
0.5404,NO
0.5721,NO
0.4476,NO
2.9579,YES
0.5792,NO
3.6463,YES
0.2252,NO
0.544,NO
0.2007,NO
0.5929,NO
0.7347,NO
0.7136,NO
0.6028,NO
0.7575,NO
0.8072,NO
3.0667,YES
2.9131,YES
2.7856,YES
