50Traced_NONETRACED_MAX_MULTI_LSA_67_MEDIAN,Associated
0.3496,NO
0.2852,NO
0.2323,NO
0.3822,NO
0.2804,NO
0.6333,NO
0.2159,NO
0.2852,NO
0.2323,NO
0.7677,YES
0.2323,NO
0.4567,YES
0.3104,NO
0.282,NO
0.2223,NO
0.2358,NO
0.1513,NO
0.1443,NO
0.2804,NO
0.2179,NO
0.2209,NO
0.7677,YES
1.0,YES
0.8236,YES
1.0,YES
0.2323,NO
1.0,YES
0.3251,NO
0.9589,YES
1.0,YES
0.3362,NO
0.2796,NO
0.2796,NO
0.3034,NO
0.5234,YES
0.7333,YES
0.3034,NO
0.2425,NO
0.3034,NO
0.1443,NO
0.2584,NO
0.2333,NO
0.301,NO
0.5717,YES
0.2278,NO
0.8716,YES
0.1687,NO
0.568,YES
0.127,NO
0.2425,NO
0.1585,NO
0.2425,NO
0.2425,NO
0.2796,NO
0.1778,NO
0.2287,NO
0.3088,NO
0.294,NO
0.271,NO
0.5644,NO
0.271,NO
0.3427,NO
0.3258,NO
0.294,NO
0.3028,NO
1.0,YES
0.2487,NO
0.5949,YES
0.2244,NO
0.3673,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.3069,NO
0.271,NO
0.1755,NO
0.4224,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.303,NO
1.0,YES
0.2381,NO
1.0,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.2479,NO
0.3908,YES
1.0,YES
0.2479,NO
0.1616,NO
0.1594,NO
0.1189,NO
0.3157,NO
0.285,NO
0.3667,NO
1.0,YES
0.2278,NO
1.0,YES
0.1143,NO
1.0,YES
0.0929,NO
0.1251,NO
0.2104,NO
0.1272,NO
0.1087,NO
0.2673,NO
0.1778,NO
0.2479,NO
0.27,NO
0.2493,NO
0.6191,YES
1.0,YES
1.0,YES
0.6191,YES
0.2784,NO
0.2493,NO
0.6191,YES
0.2147,NO
0.6191,YES
0.1443,NO
0.2917,NO
0.3569,NO
0.2204,NO
0.2493,NO
1.0,YES
0.2493,NO
1.0,YES
0.2493,NO
1.0,YES
0.2431,NO
0.3397,NO
0.2147,NO
0.2147,NO
0.6191,YES
0.4382,NO
0.3433,YES
0.3496,NO
0.3331,NO
0.2756,NO
0.5352,NO
0.3132,NO
0.6333,NO
0.3089,NO
0.3331,NO
0.4052,NO
0.9481,YES
0.4052,NO
0.5465,YES
0.3104,NO
