50Traced_NONETRACED_RFSMOTE_SINGLE_LSA_44_SUM,Associated
0.04473850031505987,NO
0.03878736960022404,NO
0.07323391444374432,NO
0.14464748302177416,NO
0.040117622348246174,NO
0.056570748442204014,NO
0.034376531540992794,NO
0.04067772876846601,NO
0.11139116432122104,NO
0.16600154029265562,YES
0.036266890709234764,NO
0.2297836588951901,YES
0.16306098158650145,NO
0.14933837429111532,NO
0.1487782678708955,NO
0.07309388783868935,NO
0.04256808793670798,NO
0.07078344885528251,NO
0.04543863334033467,NO
0.14569768255968638,NO
0.07344395435132675,NO
0.047679059021214026,YES
0.049429391584401045,YES
0.10992088496814395,YES
0.1611706224182595,YES
0.10326962122803332,NO
0.04326822096198278,YES
0.07750472589792061,NO
0.06819295666176574,YES
0.16425120772946863,YES
0.22852341944969545,NO
0.10368970104319822,NO
0.07351396765385423,NO
0.07099348876286495,NO
0.2694812014282714,YES
0.7602744521459076,YES
0.08863684099978995,NO
0.06707274382132605,NO
0.06182174613176504,NO
0.06721277042638102,NO
0.1189526009941889,NO
0.09997899600924177,NO
0.10172932857242875,NO
0.18994608975705388,YES
0.04676888608835679,NO
0.07197367499824968,YES
0.017013232514177693,NO
0.2311139116432122,YES
0.02198417699362879,NO
0.07799481901561298,NO
0.046978925995939225,NO
0.07960512497374501,NO
0.04928936497934608,NO
0.1263740110621018,NO
0.07148358188055731,NO
0.063712105300007,NO
0.055170482391654424,NO
0.10053910242946161,NO
0.08632640201638311,NO
0.1937268080935378,NO
0.09899880977385704,NO
0.10978085836308898,NO
0.09570818455506545,NO
0.028775467338794377,NO
0.1462577889799062,NO
0.3133795421130015,YES
0.10537002030385774,NO
0.13421550094517962,YES
0.1366659665336414,NO
0.14492753623188406,NO
0.14268711055100472,NO
0.1274942239025415,NO
0.10046908912693411,NO
0.08191556395715185,NO
0.12945459637331094,NO
0.11601204228803472,NO
0.1473079885178184,NO
0.30574809213750614,YES
0.2908352586991529,YES
0.2488972904851922,YES
0.11713225512847442,YES
0.10929076524539662,NO
0.12805433032276134,YES
0.08072533781418469,NO
0.08436602954561367,YES
0.12014282713715606,YES
0.22810333963453058,NO
0.10950080515297907,NO
0.09864874326121964,NO
0.09402786529440595,NO
0.23363439053420154,YES
0.08016523139396485,YES
0.11433172302737521,NO
0.05979136035846812,NO
0.08863684099978995,NO
0.05524049569418189,NO
0.15339914583770917,NO
0.13932647202968568,NO
0.1384162990968284,NO
0.12777427711265144,YES
0.058041027795281114,NO
0.05061961772736821,YES
0.014912833438353288,NO
0.20884968143947352,YES
0.021564097178463908,NO
0.08072533781418469,NO
0.056850801652313945,NO
0.0757543933347336,NO
0.06686270391374362,NO
0.14723797521529092,NO
0.08772666806693272,NO
0.08611636210880068,NO
0.04382832738220263,NO
0.010221942169012115,NO
0.09143737310088917,YES
0.22754323321431075,YES
0.1987677658755164,YES
0.09325771896660368,YES
0.050969684240005614,NO
0.0022404256808793693,NO
0.14037667156759787,YES
0.09080725337814186,NO
0.08590632220121824,YES
0.09416789189946091,NO
0.14471749632430164,NO
0.1285444234404537,NO
0.1285444234404537,NO
0.033186305398025626,NO
0.15542953161100612,YES
0.03206609255758594,NO
0.24581670517398307,YES
0.09234754603374641,NO
0.17167261779738152,YES
0.02968564027165162,NO
0.040537702163411043,NO
0.09388783868935098,NO
0.027725267800882167,NO
