50Traced_NONETRACED_SUM_SINGLE_VSM_51_MEDIAN,Associated
0.2158,NO
0.8091,NO
0.8717,NO
1.6205,NO
0.9096,NO
0.9177,NO
1.1286,NO
0.5097,NO
1.0684,NO
2.8289999999999997,YES
0.7067,NO
2.8818,YES
0.6437,NO
0.7972,NO
0.7818,NO
0.4397,NO
2.0138,NO
0.4407,NO
0.9775,NO
1.13,NO
1.5004,NO
2.8506,YES
3.1146,YES
2.7406,YES
2.6715,YES
0.6483,NO
2.8835,YES
1.0455,NO
2.3177,YES
1.4813,YES
0.998,NO
0.8494,NO
1.0322,NO
1.2216,NO
1.7658,YES
3.1441,YES
1.151,NO
0.3613,NO
1.1261,NO
0.5509,NO
1.0726,NO
1.2244,NO
1.0313,NO
2.2742,YES
1.1534,NO
2.3022,YES
1.2603,NO
3.4592,YES
0.7552,NO
0.4213,NO
0.7037,NO
0.7026,NO
0.5913,NO
1.3321,NO
0.6579999999999999,NO
1.1303,NO
0.2134,NO
0.7953,NO
1.102,NO
1.4965,NO
0.9242,NO
1.0637,NO
1.2958,NO
0.3407,NO
1.1053,NO
2.9628,YES
0.9677,NO
3.1088,YES
0.4085,NO
0.6920000000000001,NO
0.6588,NO
0.3411,NO
2.0919,NO
0.3164,NO
1.1474,NO
0.8725,NO
1.5445,NO
3.1689,YES
3.3775,YES
2.9073,YES
2.8289999999999997,YES
0.7243,NO
3.3562,YES
1.2654,NO
2.4648,YES
1.5736,YES
1.5182,NO
1.0085,NO
1.0079,NO
1.6083,NO
1.9421,YES
3.2560000000000002,YES
1.4992,NO
0.7462,NO
1.6296,NO
1.1021,NO
1.5914,NO
1.8186,NO
1.8893,NO
2.3439,YES
1.6344,NO
2.3721,YES
1.3504,NO
3.596,YES
1.0535,NO
1.2753,NO
1.2378,NO
1.2174,NO
0.6148,NO
1.4413,NO
1.0146,NO
1.8476,NO
0.4562,NO
0.6734,NO
1.1846,YES
4.7074,YES
4.8512,YES
1.3938,YES
0.5072,NO
0.3644,NO
1.5605,YES
0.6742,NO
2.1512,YES
0.6014,NO
0.3888,NO
0.2698,NO
0.735,NO
0.3716,NO
4.5607,YES
0.2758,NO
5.1872,YES
1.1139,NO
3.8931,YES
0.9988,NO
0.8241,NO
1.1258,NO
0.6768,NO
1.7418,YES
1.1036,NO
1.1933,YES
0.6082,NO
1.0213,NO
1.5616,NO
1.8404,NO
1.3643,NO
1.6832,NO
1.4785,NO
0.6322,NO
1.0079,NO
3.2857,YES
1.641,NO
3.6129,YES
0.4918,NO
0.7317,NO
0.8247,NO
0.34299999999999997,NO
2.7331,NO
0.5361,NO
1.6529,NO
1.1105,NO
1.9188,NO
3.6642,YES
3.716,YES
3.5383,YES
3.0780000000000003,YES
0.9607,NO
3.805,YES
1.3632,NO
0.3973,NO
1.0597,NO
1.169,YES
5.0588,YES
4.9627,YES
1.4787,YES
0.5474,NO
0.4672,NO
1.6986,YES
1.3412,NO
2.1043,YES
0.9559,NO
0.8751,NO
0.7181,NO
1.1545,NO
0.4742,NO
4.8861,YES
0.2263,NO
4.9887,YES
1.2329,NO
4.1797,YES
1.6252,NO
1.3504,NO
