50Traced_NONETRACED_SUM_MULTI_LSA_57_MEDIAN,Associated
0.547,NO
0.1412,NO
0.9659,NO
1.2647,NO
0.7972,NO
1.406,NO
0.9015,NO
0.5192,NO
1.2952,NO
2.502,YES
0.8233,NO
2.7203,YES
1.083,NO
1.4078,NO
0.5889,NO
0.782,NO
0.6267,NO
0.6594,NO
1.0079,NO
0.8371,NO
1.1439,NO
2.0501,YES
2.5009,YES
2.0278,YES
1.1665,YES
1.3914,NO
2.0351,YES
1.1823,NO
2.1733,YES
0.4851,YES
0.7198,NO
0.8144,NO
0.38799999999999996,NO
1.0039,NO
2.0264,YES
2.0233,YES
1.0037,NO
0.3894,NO
0.7932,NO
0.4921,NO
1.0773,NO
1.3316,NO
0.6673,NO
2.1115,YES
0.3654,NO
2.0676,YES
0.5925,NO
2.2134,YES
0.4099,NO
0.3278,NO
0.7490000000000001,NO
0.4793,NO
0.3123,NO
1.1146,NO
0.2505,NO
1.1872,NO
0.6673,NO
0.3103,NO
1.4728,NO
1.9185,NO
0.8564,NO
1.8654,NO
0.9297,NO
0.5755,NO
1.969,NO
3.2414,YES
1.5053,NO
3.9014,YES
1.2958,NO
1.6528,NO
0.3959,NO
1.0095,NO
0.9097,NO
0.6995,NO
1.6593,NO
0.9274,NO
0.9385,NO
3.0135,YES
3.9426,YES
3.0847,YES
1.4489,YES
1.6735,NO
2.7065,YES
1.8152,NO
2.0357,YES
0.3929,YES
1.2032,NO
0.8771,NO
0.3555,NO
1.3382,NO
1.8739,YES
1.8763,YES
1.2930000000000001,NO
0.4507,NO
0.9332,NO
0.5983,NO
1.1538,NO
1.3118,NO
0.4911,NO
2.0748,YES
0.4352,NO
1.8847,YES
0.7451,NO
2.1126,YES
0.5195,NO
0.3955,NO
0.8506,NO
0.4809,NO
0.5016,NO
1.4311,NO
0.5855,NO
1.3743,NO
1.2972,NO
0.3664,NO
2.1856,YES
4.1873,YES
3.016,YES
2.5599,YES
1.1305,NO
0.3685,NO
2.0097,YES
1.0922,NO
2.5377,YES
0.8735,NO
1.7694,NO
1.2688,NO
0.8657,NO
0.8544,NO
4.8382,YES
0.4159,NO
4.8177,YES
0.7825,NO
3.5297,YES
0.5109,NO
1.8621,NO
1.2259,NO
0.9872,NO
1.9042,YES
0.9,NO
2.474,YES
0.8134,NO
0.2912,NO
1.1125,NO
2.2585,NO
1.2131,NO
1.8285,NO
1.0102,NO
0.8067,NO
1.9861,NO
3.5589999999999997,YES
1.7258,NO
4.1056,YES
1.1945,NO
1.5147,NO
0.3018,NO
1.2129,NO
1.406,NO
0.8767,NO
2.0205,NO
1.1285,NO
1.5078,NO
3.0575,YES
3.9267,YES
3.193,YES
1.7217,YES
1.7269,NO
2.7601,YES
1.8814,NO
0.8594,NO
0.3103,NO
1.6954,YES
3.0471,YES
2.3908,YES
2.0866,YES
1.0356,NO
0.4916,NO
1.7501,YES
0.8919,NO
2.0867,YES
0.9389,NO
1.5398,NO
1.5327,NO
1.0303,NO
0.8225,NO
3.6978,YES
0.4937,NO
3.5678,YES
0.9131,NO
3.1364,YES
0.4214,NO
1.7703,NO
1.0190000000000001,NO
0.8919,NO
1.8185,YES
0.787,NO
2.2072,YES
0.9247,NO
0.2719,NO
1.5433,NO
1.6807,NO
0.9934,NO
2.0316,NO
1.3622,NO
0.7897,NO
2.1264,NO
2.8429,YES
1.4967,NO
3.3323,YES
0.943,NO
1.8216,NO
0.2033,NO
1.1637,NO
1.1878,NO
0.983,NO
1.6678,NO
1.0134,NO
1.1742,NO
2.4612,YES
3.4703,YES
2.6675,YES
1.3202,YES
1.8479,NO
2.3228,YES
1.7444,NO
0.6573,NO
0.2395,NO
1.5517,NO
1.776,NO
0.9289,NO
1.7137,NO
0.9507,NO
0.5442,NO
1.9356,NO
3.1467,YES
1.6587,NO
3.5623,YES
1.1912,NO
1.2465,NO
0.2342,NO
1.0562,NO
1.0633,NO
0.7213,NO
1.7347,NO
0.8615,NO
1.2453,NO
2.6396,YES
3.4086,YES
2.8765,YES
1.5336,YES
1.6226,NO
2.5549,YES
1.8285,NO
0.7024,NO
0.2669,NO
0.9955,NO
2.8049,NO
1.4841,NO
1.7848,NO
0.7602,NO
0.4821,NO
1.6949,NO
3.3769,YES
1.5119,NO
3.9317,YES
1.6836,NO
2.0092,NO
1.0071,NO
0.9027,NO
1.7327,NO
0.6315,NO
2.2012,NO
0.9788,NO
1.6465,NO
