50Traced_NONETRACED_SUM_RAW_LSA_83_MEDIAN,Associated
0.4044,NO
0.0652,NO
0.4359,NO
0.3167,NO
0.0869,NO
0.2626,NO
0.4458,NO
0.0855,NO
0.5094,NO
1.6168,YES
0.19699999999999998,NO
0.7879,YES
0.268,NO
0.5022,NO
0.2223,NO
0.1258,NO
0.3581,NO
0.1109,NO
0.4753,NO
0.2179,NO
0.4572,NO
0.8313,YES
1.6459,YES
0.7434,YES
1.4776,YES
0.3264,NO
1.7779,YES
0.3472,NO
1.1313,YES
0.6435,YES
0.5314,NO
0.28300000000000003,NO
0.1354,NO
0.6908,NO
1.5041,YES
1.1179,YES
0.523,NO
0.2923,NO
0.4694,NO
0.1637,NO
0.491,NO
0.6966,NO
0.2823,NO
0.3152,YES
0.3697,NO
1.1815,YES
0.5066,NO
0.5962,YES
0.3996,NO
0.2248,NO
0.3809,NO
0.2961,NO
0.3522,NO
0.4554,NO
0.2453,NO
0.3659,NO
0.6157,NO
0.3267,NO
0.4732,NO
0.4135,NO
0.2481,NO
0.5133,NO
0.5803,NO
0.174,NO
0.4365,NO
1.1911,YES
0.456,NO
1.1866,YES
0.361,NO
0.5491,NO
0.2216,NO
0.1919,NO
0.46799999999999997,NO
0.2351,NO
0.8485,NO
0.2108,NO
0.5546,NO
1.2215,YES
1.3345,YES
0.6964,YES
1.0225,YES
0.4766,NO
1.6198,YES
0.3461,NO
1.8303,YES
1.3643,YES
0.7439,NO
0.1686,NO
0.1507,NO
0.821,NO
2.2519,YES
1.3593,YES
0.6348,NO
0.0952,NO
0.5647,NO
0.16,NO
0.3716,NO
0.4749,NO
0.2075,NO
0.3975,YES
0.4445,NO
1.5030000000000001,YES
0.3635,NO
1.4219,YES
0.2863,NO
0.1251,NO
0.3864,NO
0.2482,NO
0.1725,NO
0.7077,NO
0.1654,NO
0.353,NO
0.6148,NO
0.4143,NO
0.6835,YES
0.8823,YES
1.0015,YES
0.7155,YES
0.5023,NO
0.2231,NO
0.5223,YES
0.1902,NO
