50Traced_NONETRACED_SUM_RAW_VSM_32_MAX,Associated
0.2244,NO
0.0724,NO
0.4981,NO
0.3602,NO
0.1454,NO
0.5156,NO
0.1053,NO
0.1222,NO
0.4578,NO
1.5386,YES
0.4051,NO
1.5661,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.1282,NO
0.1109,NO
0.1497,NO
0.2179,NO
0.2156,NO
0.5418,YES
0.5539999999999999,YES
1.3465,YES
1.2483,YES
0.22699999999999998,NO
1.5753,YES
0.5021,NO
1.57,YES
1.1157,YES
0.6011,NO
0.2411,NO
0.1619,NO
0.5505,NO
1.3887,YES
1.7099,YES
0.4099,NO
0.3399,NO
0.2834,NO
0.2763,NO
0.3432,NO
0.5387,NO
0.4363,NO
0.6678,YES
0.2777,NO
1.4638,YES
0.21,NO
2.4586,YES
0.301,NO
0.1212,NO
0.1701,NO
0.1933,NO
0.188,NO
0.3573,NO
0.3688,NO
0.4116,NO
0.4955,NO
0.1534,NO
0.7853,NO
0.5613,NO
0.3941,NO
0.8367,NO
0.298,NO
0.2492,NO
0.6893,NO
2.8709,YES
0.5068,NO
2.8867,YES
0.4215,NO
0.2248,NO
0.2136,NO
0.1919,NO
0.5403,NO
0.1268,NO
0.6126,NO
0.2061,NO
0.3895,NO
1.2316,YES
1.1819,YES
2.0325,YES
1.5926,YES
0.1974,NO
2.9031,YES
0.7305,NO
0.7057,YES
1.0809,YES
0.6688,NO
0.3136,NO
0.2814,NO
0.27899999999999997,NO
1.2336,YES
1.3842,YES
0.3796,NO
0.4191,NO
0.3142,NO
0.4657,NO
0.2289,NO
0.3416,NO
0.276,NO
0.4726,YES
0.294,NO
0.6291,YES
0.129,NO
1.4764,YES
0.2919,NO
0.1251,NO
0.1353,NO
0.248,NO
0.3659,NO
0.2632,NO
0.5141,NO
0.4048,NO
0.5995,NO
0.1884,NO
1.5884,YES
1.4665,YES
2.0754,YES
0.9667,YES
0.5969,NO
0.4344,NO
1.7131,YES
0.5123,NO
1.4801,YES
0.6536,NO
0.4282,NO
0.5112,NO
0.1934,NO
0.2935,NO
2.2866,YES
0.1522,NO
2.1539,YES
0.3097,NO
1.1564,YES
0.2397,NO
0.358,NO
0.4693,NO
0.5526,NO
1.4875,YES
0.9319,NO
1.6868,YES
0.4216,NO
0.2786,NO
0.8489,NO
0.2582,NO
0.1977,NO
0.5521,NO
0.3922,NO
0.4253,NO
0.5067,NO
4.0311,YES
0.4762,NO
4.0589,YES
0.4657,NO
0.4582,NO
0.2552,NO
0.1937,NO
0.1469,NO
0.1321,NO
0.2543,NO
0.32299999999999995,NO
0.384,NO
1.8535,YES
1.5066,YES
2.7169,YES
2.3137,YES
0.2226,NO
4.0871,YES
0.38,NO
0.5537,NO
0.1012,NO
1.7179,YES
1.8569,YES
2.4929,YES
1.088,YES
0.4914,NO
0.2454,NO
1.7979,YES
0.5704,NO
1.525,YES
0.7558,NO
0.3821,NO
0.3947,NO
0.2375,NO
0.191,NO
2.6839999999999997,YES
0.2001,NO
1.5892,YES
0.1915,NO
1.1072,YES
0.2768,NO
0.44799999999999995,NO
0.4363,NO
0.5521,NO
1.2957,YES
0.8903,NO
1.8243,YES
0.374,NO
0.2613,NO
0.816,NO
0.5218,NO
0.3804,NO
0.3662,NO
0.4095,NO
0.368,NO
0.4749,NO
2.4919,YES
0.3673,NO
2.5315,YES
0.5334,NO
0.4693,NO
0.5322,NO
0.1729,NO
0.529,NO
0.1367,NO
0.4863,NO
0.3196,NO
0.5525,NO
0.7358,YES
0.8845,YES
1.6971,YES
2.1169,YES
0.2405,NO
2.5271,YES
0.5098,NO
0.2357,NO
0.1613,NO
0.6735,NO
0.1967,NO
0.1436,NO
0.4549,NO
0.2707,NO
0.3393,NO
0.5644,NO
2.0588,YES
0.682,NO
2.0986,YES
0.2523,NO
0.3321,NO
0.0647,NO
0.2097,NO
0.1605,NO
0.1655,NO
0.4076,NO
0.3112,NO
0.2819,NO
1.3281,YES
0.8673,YES
1.6988,YES
0.9015,YES
0.3206,NO
2.1329,YES
0.5524,NO
0.5875,NO
0.3037,NO
0.9201,NO
0.4479,NO
0.2067,NO
0.6015,NO
0.4879,NO
0.5896,NO
0.5147,NO
2.9305,YES
0.3108,NO
2.9101,YES
0.5059,NO
0.4518,NO
0.2822,NO
0.3355,NO
0.3243,NO
0.315,NO
0.4586,NO
0.6316,NO
0.4904,NO
0.9868,YES
1.1027,YES
1.9598,YES
2.2064,YES
0.3568,NO
2.8974,YES
0.7676,NO
0.5639,NO
0.134,NO
0.6182,NO
0.41100000000000003,NO
0.157,NO
0.616,NO
0.3635,NO
0.3878,NO
0.5974,NO
2.7447,YES
0.3909,NO
2.7294,YES
0.5569,NO
0.2798,NO
0.2413,NO
0.303,NO
0.305,NO
0.1794,NO
0.508,NO
0.4355,NO
0.331,NO
1.0758,YES
1.1456,YES
1.9169,YES
1.5145,YES
0.2482,NO
2.7181,YES
0.6868,NO
0.5472,NO
0.17300000000000001,NO
2.4516,YES
0.5963,YES
0.6609,YES
1.9727,YES
0.6893,NO
0.3734,NO
2.5387,YES
0.5145,NO
2.1884,YES
0.6565,NO
0.3981,NO
0.3729,NO
0.3072,NO
0.2817,NO
0.8118,YES
0.2456,NO
0.7703,YES
0.6837,NO
0.7158,YES
0.2084,NO
0.4525,NO
0.934,NO
0.6902,NO
1.9115,YES
0.6005,NO
3.3816,YES
0.2665,NO
0.1547,NO
1.7408,YES
0.2602,NO
0.2126,NO
1.5874,YES
0.375,NO
0.1763,NO
1.6123,YES
0.191,NO
1.0339,YES
0.2015,NO
0.3998,NO
0.3203,NO
0.4449,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1814,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.2317,NO
0.7433,YES
0.3359,NO
1.6935,YES
0.5303,NO
0.1019,NO
1.5776,YES
1.0655,YES
1.7128,YES
0.8304,YES
0.3574,NO
0.2329,NO
1.4545,YES
0.6929,NO
1.0471,YES
0.7951,NO
0.3346,NO
0.321,NO
0.2048,NO
0.1205,NO
1.9816,YES
0.1824,NO
1.2351,YES
0.2203,NO
0.8407,YES
0.4038,NO
0.3451,NO
0.7318,NO
0.5015,NO
0.6931,YES
0.8301,NO
1.5068,YES
0.298,NO
0.1646,NO
1.633,YES
0.6132,NO
0.5789,NO
1.6404,YES
0.387,NO
0.1839,NO
1.8402,YES
0.3873,NO
1.4759,YES
0.5184,NO
0.3431,NO
0.1542,NO
0.2188,NO
0.1775,NO
0.6786,NO
0.1654,NO
0.6427,NO
0.1979,NO
0.3992,NO
0.3811,NO
0.3241,NO
0.6178,NO
0.293,NO
0.7738,YES
0.5,NO
1.9195,YES
0.2319,NO
0.1072,NO
0.4563,YES
0.4425,YES
0.5538,YES
0.1958,YES
0.2484,NO
0.1612,NO
0.4412,YES
0.1152,NO
0.33799999999999997,YES
0.1417,NO
0.171,NO
0.1921,NO
0.2071,NO
0.0913,NO
0.73,YES
0.1345,NO
0.6045,YES
0.2059,NO
0.3239,YES
0.0354,NO
0.0887,NO
0.0787,NO
0.1135,NO
0.2369,YES
0.191,NO
0.3939,YES
1.4126,YES
0.6073,YES
0.7555,NO
0.3341,NO
0.2174,NO
0.3742,NO
0.9487,YES
1.7361,YES
0.501,NO
0.5787,NO
0.3551,NO
0.5741,NO
0.2131,NO
0.4316,NO
0.1446,NO
1.2133,YES
0.3692,NO
1.3130000000000002,YES
0.2313,NO
2.3876,YES
0.3261,NO
0.1683,NO
0.2747,NO
0.33399999999999996,NO
0.3731,NO
0.3679,NO
0.6401,NO
0.44,NO
0.627,NO
0.2908,NO
4.112,YES
0.9133,YES
0.8420000000000001,YES
3.2089,YES
1.0364,NO
0.365,NO
4.2396,YES
0.6607,NO
3.3467,YES
0.8889,NO
0.609,NO
0.3872,NO
0.4434,NO
0.1631,NO
0.7783,YES
0.1539,NO
1.0213,YES
0.5101,NO
0.8453,YES
0.4073,NO
0.5092,NO
1.0331,NO
0.7693,NO
2.977,YES
0.8575,NO
5.152,YES
0.441,NO
0.1278,NO
3.1051,YES
0.7162,YES
0.6934,YES
2.0569,YES
0.7666,NO
0.2119,NO
3.2184,YES
0.4018,NO
2.8439,YES
0.6132,NO
0.4309,NO
0.3785,NO
0.5287,NO
0.1267,NO
0.9015,YES
0.1183,NO
1.0178,YES
0.3905,NO
0.8178,YES
0.2134,NO
0.4079,NO
0.7963,NO
0.6537,NO
2.5898,YES
0.6499,NO
4.0168,YES
0.4879,NO
0.3444,NO
3.7573,YES
0.8563,YES
0.7342,YES
2.1692,YES
0.9152,NO
0.4899,NO
3.3474,YES
0.5188,NO
2.9043,YES
0.8075,NO
0.1994,NO
0.1785,NO
0.1868,NO
0.2995,NO
0.8917,YES
0.1975,NO
0.8068,YES
0.4685,NO
0.7877,YES
0.2329,NO
0.3301,NO
0.7477,NO
0.7587,NO
2.0999,YES
0.7789,NO
4.093,YES
0.5435,NO
0.1748,NO
3.4737,YES
0.648,YES
0.4388,YES
2.8351,YES
0.8422,NO
0.3428,NO
4.0099,YES
0.6178,NO
3.1738,YES
0.9023,NO
0.5204,NO
0.2833,NO
0.6039,NO
0.2308,NO
0.6545,YES
0.2066,NO
1.0745,YES
0.436,NO
0.7077,YES
0.441,NO
0.4828,NO
1.069,NO
0.6572,NO
2.1863,YES
0.9182,NO
4.3211,YES
0.4358,NO
0.0905,NO
0.5737,YES
0.9356,YES
1.0025,YES
0.5165,YES
0.2717,NO
0.1628,NO
0.8668,YES
0.6509999999999999,NO
0.5653,YES
0.6392,NO
0.5339,NO
0.3556,NO
0.5238,NO
0.1698,NO
1.7080000000000002,YES
0.1648,NO
1.6818,YES
0.2085,NO
0.6543,YES
0.3175,NO
0.5028,NO
0.6697,NO
0.3917,NO
0.469,YES
0.7192,NO
0.7637,YES
0.4779,NO
0.10300000000000001,NO
2.0616,YES
1.3064,YES
1.9488,YES
1.3672,YES
0.4887,NO
0.2182,NO
2.2822,YES
0.4309,NO
1.9236,YES
0.6369,NO
0.405,NO
0.3492,NO
0.2653,NO
0.1825,NO
2.2143,YES
0.1772,NO
1.6482,YES
0.1082,NO
1.0073,YES
0.373,NO
0.3623,NO
0.5146,NO
0.3108,NO
1.3775,YES
0.8035,NO
2.1843,YES
0.3419,NO
0.0394,NO
0.3594,NO
0.2261,NO
0.13699999999999998,NO
0.2595,NO
0.3383,NO
0.0666,NO
0.657,NO
0.3382,NO
0.3954,NO
0.363,NO
1.1535,YES
0.518,YES
1.3873,YES
0.0766,NO
0.1335,NO
0.1412,NO
0.1989,NO
0.3028,NO
0.2176,NO
0.0924,NO
0.2407,NO
0.1207,NO
0.1875,NO
0.1949,NO
0.3226,NO
0.4767,NO
1.5827,YES
1.1182,YES
0.7038,NO
0.27699999999999997,NO
0.2655,NO
0.5307,NO
1.3749,YES
1.7252,YES
0.4921,NO
0.374,NO
0.3382,NO
0.3283,NO
0.2441,NO
0.4491,NO
0.2268,NO
0.6594,YES
0.3027,NO
1.4758,YES
0.1512,NO
2.4103,YES
0.2945,NO
0.1181,NO
0.1558,NO
0.16399999999999998,NO
0.1502,NO
0.3206,NO
0.4162,NO
0.4592,NO
0.5916,NO
0.1457,NO
0.8126,YES
1.2337,YES
1.8748,YES
0.5596,YES
0.4935,NO
0.2525,NO
1.083,YES
0.1144,NO
0.9226,YES
0.2193,NO
0.6299,NO
0.5709,NO
0.5415,NO
0.1894,NO
2.1988,YES
0.1699,NO
2.0406,YES
0.294,NO
1.0161,YES
0.0645,NO
0.2091,NO
0.1731,NO
0.1435,NO
0.5856,YES
0.4348,NO
0.7954,YES
1.0976,YES
1.2196,YES
0.5971,NO
0.4169,NO
0.2915,NO
0.2835,NO
1.496,YES
2.1739,YES
0.3438,NO
0.5231,NO
0.2781,NO
0.5519,NO
0.3242,NO
0.4886,NO
0.2315,NO
1.2045,YES
0.3368,NO
0.9904,YES
0.1234,NO
2.4599,YES
0.3296,NO
0.1297,NO
0.2854,NO
0.2551,NO
0.3213,NO
0.2119,NO
