50Traced_NONETRACED_SUM_MULTI_VSM_66_MAX,Associated
1.1544,NO
0.6562,NO
0.7127,NO
0.3563,NO
0.6664,NO
0.9975,NO
0.9459,NO
0.812,NO
0.898,NO
2.6998,YES
0.4971,NO
2.2734,YES
0.7049,NO
0.7596,NO
0.5529,NO
1.085,NO
1.0207,NO
0.6679,NO
1.05,NO
0.6072,NO
0.3564,NO
2.0175,YES
2.5791,YES
1.9454,YES
1.6998,YES
1.4102,NO
1.9974,YES
0.8656,NO
2.1952,YES
2.0435,YES
0.7813,NO
0.5501,NO
0.7114,NO
0.7023,NO
2.5522,YES
1.8230000000000002,YES
0.8971,NO
0.602,NO
0.622,NO
0.3987,NO
0.9675,NO
1.0664,NO
0.6641,NO
1.3222,YES
0.9872,NO
1.6666,YES
0.6633,NO
1.6729,YES
0.5009,NO
0.3704,NO
0.7847,NO
0.4297,NO
0.2717,NO
1.2225,NO
1.0735,NO
0.7637,NO
0.8642,NO
0.2447,NO
1.0887,NO
0.9781,NO
1.3366,NO
1.6165,NO
0.6203,NO
0.2476,NO
1.7699,NO
3.6132,YES
0.6638,NO
2.5628,YES
0.9547,NO
1.0832,NO
0.4672,NO
0.7837,NO
1.3887,NO
0.4331,NO
1.7333,NO
0.1755,NO
1.0011,NO
2.6430000000000002,YES
3.4457,YES
2.7042,YES
2.3162,YES
1.8662,NO
3.4053,YES
1.0746,NO
2.9683,YES
2.5734,YES
1.0131,NO
0.8932,NO
1.0843,NO
1.5366,NO
3.1257,YES
2.38,YES
1.5477,NO
1.1447,NO
1.2506,NO
0.7924,NO
1.1844,NO
1.618,NO
0.9276,NO
2.0062,YES
1.5649,NO
2.3583,YES
1.2483,NO
2.1623,YES
0.9697,NO
0.6031,NO
1.5384,NO
0.7149,NO
0.7801,NO
1.9068,NO
1.1832,NO
1.4444,NO
1.9381,NO
0.8155,NO
2.1671,YES
3.1903,YES
3.6759,YES
1.9480000000000002,YES
1.2508,NO
0.7134,NO
2.2663,YES
0.7601,NO
1.9346,YES
0.4433,NO
0.8565,NO
1.8352,NO
0.5879,NO
0.9964,NO
3.8981,YES
0.7659999999999999,NO
4.4765,YES
0.7212,NO
3.5410000000000004,YES
0.4412,NO
1.1464,NO
0.8693,NO
0.5748,NO
2.2918,YES
1.3044,NO
1.9791,YES
1.6842,NO
0.8549,NO
1.6273,NO
0.6715,NO
1.1896,NO
2.5029,NO
1.4663,NO
0.8878,NO
2.3793,NO
3.7883,YES
1.3892,NO
2.3301,YES
1.0591,NO
1.2793,NO
0.6132,NO
1.2442,NO
1.4525,NO
0.8883,NO
1.5762,NO
0.7981,NO
0.8596,NO
2.8086,YES
4.0981,YES
2.9952,YES
2.5043,YES
2.6182,NO
3.3406,YES
1.6487,NO
