50Traced_NONETRACED_MAX_MULTI_LSA_93_MEDIAN,Associated
0.3496,NO
0.0652,NO
0.5722,NO
0.2804,NO
0.2804,NO
0.0906,NO
0.4164,NO
0.1187,NO
0.1689,NO
0.8204,YES
0.0797,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.3282,NO
0.4327,NO
0.318,NO
0.2804,NO
0.2179,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
1.0,YES
0.3362,NO
0.2044,NO
0.2165,NO
0.2287,NO
1.0,YES
1.0,YES
0.2796,NO
0.1683,NO
0.2287,NO
0.2425,NO
0.2584,NO
0.2333,NO
0.1953,NO
1.0,YES
0.2278,NO
0.8716,YES
0.2796,NO
0.6914,YES
0.1398,NO
0.1939,NO
0.2425,NO
0.2425,NO
0.126,NO
0.2796,NO
0.1939,NO
0.2287,NO
0.3496,NO
0.1534,NO
0.5722,NO
0.2865,NO
0.31,NO
0.2707,NO
0.4164,NO
0.1187,NO
0.2487,NO
0.9462,YES
0.2487,NO
1.0,YES
0.2244,NO
0.35200000000000004,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.3069,NO
0.1947,NO
0.1755,NO
0.4224,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
0.408,YES
0.3559,NO
0.2576,NO
0.2013,NO
0.2479,NO
0.7571,YES
0.3239,YES
0.3559,NO
0.158,NO
0.2479,NO
0.1102,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.8269,YES
0.2044,NO
0.2891,YES
0.3559,NO
1.0,YES
0.1909,NO
0.1251,NO
0.1644,NO
0.1522,NO
0.1107,NO
0.3559,NO
0.2142,NO
0.2455,NO
0.3229,NO
0.2493,NO
0.6191,YES
1.0,YES
1.0,YES
0.3951,YES
0.3189,NO
0.1691,NO
0.6191,YES
0.1874,NO
0.3433,YES
0.254,NO
0.3877,NO
0.3877,NO
0.2412,NO
0.1729,NO
1.0,YES
0.2493,NO
1.0,YES
0.1882,NO
1.0,YES
0.3118,NO
0.5347,NO
0.4471,NO
0.1787,NO
0.6191,YES
0.254,NO
0.3433,YES
0.3496,NO
0.0732,NO
0.5722,NO
0.2582,NO
0.2939,NO
0.2756,NO
0.4164,NO
0.1225,NO
0.2237,NO
0.8971,YES
0.2756,NO
1.0,YES
0.3166,NO
0.3337,NO
0.19699999999999998,NO
0.2225,NO
0.3413,NO
0.2156,NO
0.127,NO
0.2019,NO
0.2968,NO
1.0,YES
1.0,YES
1.0,YES
0.9481,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3229,NO
0.1168,NO
0.5253,YES
1.0,YES
1.0,YES
0.3353,YES
0.3189,NO
0.1168,NO
0.5253,YES
0.2822,NO
0.2359,YES
0.4066,NO
0.3335,NO
0.3335,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.1597,NO
1.0,YES
0.3118,NO
0.5347,NO
0.4066,NO
0.2111,NO
0.5253,YES
0.2183,NO
0.2294,YES
0.3496,NO
0.1149,NO
0.5722,NO
0.2489,NO
0.31,NO
0.3347,NO
0.4164,NO
0.1536,NO
0.3347,NO
0.9462,YES
0.3327,NO
1.0,YES
0.3298,NO
0.35200000000000004,NO
0.2493,NO
0.2328,NO
0.36,NO
0.188,NO
0.2489,NO
0.2816,NO
0.2489,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3347,NO
0.32,NO
0.1339,NO
0.4128,NO
0.2074,NO
0.2261,NO
0.3905,NO
0.3056,NO
0.0967,NO
0.3905,NO
0.8204,YES
0.3905,NO
0.7214,YES
0.1876,NO
0.2568,NO
0.0706,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3237,NO
0.1871,NO
0.4378,NO
1.0,YES
0.9096,YES
0.7587,YES
1.0,YES
0.3905,NO
1.0,YES
0.3905,NO
0.32,NO
0.307,NO
0.4809,NO
0.3827,NO
0.3827,NO
0.3069,NO
0.307,NO
0.307,NO
0.4809,NO
0.9462,YES
0.2964,NO
1.0,YES
0.3649,NO
0.3649,NO
0.22699999999999998,NO
0.3282,NO
0.4327,NO
0.318,NO
0.4809,NO
0.2435,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4809,NO
1.0,YES
0.2156,NO
0.32,NO
0.0714,NO
0.3649,NO
0.3847,NO
0.3847,NO
0.2565,NO
0.3056,NO
0.0563,NO
0.3649,NO
0.8966,YES
0.1639,NO
1.0,YES
0.3221,NO
0.3335,NO
0.2045,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3847,NO
0.1702,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3649,NO
1.0,YES
0.2042,NO
0.2849,NO
0.0886,NO
1.0,YES
0.3242,YES
0.2829,YES
1.0,YES
0.3016,NO
0.1242,NO
1.0,YES
0.2509,NO
1.0,YES
0.5358,NO
0.2583,NO
0.253,NO
0.1952,NO
0.1911,NO
0.3158,YES
0.1767,NO
0.516,YES
0.308,NO
0.4136,YES
0.5358,NO
0.5358,NO
0.5358,NO
0.242,NO
1.0,YES
0.5358,NO
1.0,YES
0.3183,NO
0.1547,NO
0.7454,YES
0.2918,NO
0.2918,NO
0.7629,YES
0.3518,NO
0.12,NO
0.8170000000000001,YES
0.2414,NO
0.9027,YES
0.4965,NO
0.3984,NO
0.3203,NO
0.2648,NO
0.171,NO
0.2918,NO
0.1398,NO
0.4144,NO
0.1451,NO
0.3458,NO
0.4965,NO
0.4965,NO
0.4965,NO
0.2942,NO
0.7454,YES
0.5021,NO
0.9027,YES
0.3014,NO
0.3014,NO
0.6693,YES
1.0,YES
1.0,YES
0.6149,YES
0.3014,NO
0.3014,NO
0.6693,YES
0.5755,NO
0.6149,YES
0.5117,NO
0.2676,NO
0.2778,NO
0.2048,NO
0.3014,NO
1.0,YES
0.2627,NO
1.0,YES
0.2035,NO
1.0,YES
0.6083,NO
0.6083,NO
0.6083,NO
0.6083,NO
0.6693,YES
0.5486,NO
0.6062,YES
0.3133,NO
0.1646,NO
1.0,YES
0.1863,NO
0.2302,NO
1.0,YES
0.3433,NO
0.153,NO
1.0,YES
0.159,NO
1.0,YES
0.1456,NO
0.2949,NO
0.3856,NO
0.21600000000000003,NO
0.1775,NO
0.3273,NO
0.1654,NO
0.516,NO
0.0929,NO
0.2663,NO
0.2462,NO
0.1764,NO
0.5289,NO
0.242,NO
1.0,YES
0.5169,NO
1.0,YES
0.3229,NO
0.0804,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.3189,NO
0.1327,NO
1.0,YES
0.3027,NO
0.4491,YES
0.1827,NO
0.2728,NO
0.3522,NO
0.1863,NO
