50Traced_NONETRACED_SUM_SINGLE_VSM_86_MEDIAN,Associated
0.3559,NO
0.7009,NO
0.2808,NO
1.1952,NO
1.3118,NO
0.3443,NO
0.863,NO
0.1817,NO
0.4307,NO
2.2821,YES
0.1933,NO
1.9419,YES
0.5429,NO
0.6104,NO
0.7093,NO
0.4883,NO
1.2734,NO
0.3648,NO
0.8002,NO
0.7473,NO
0.9798,NO
2.0035,YES
2.245,YES
2.3984,YES
2.4456,YES
0.3747,NO
2.5346,YES
0.4021,NO
3.1669,YES
2.3227,YES
0.7949,NO
0.7797,NO
0.4589,NO
0.5719,NO
2.6665,YES
2.0147,YES
0.9289,NO
0.3696,NO
0.7941,NO
0.4749,NO
0.9874,NO
1.0258,NO
1.1337,NO
2.2214,YES
0.6121,NO
3.0544,YES
0.3584,NO
3.0945,YES
0.4897,NO
0.5349,NO
0.4937,NO
0.6967,NO
0.6118,NO
0.8021,NO
0.5526,NO
1.0126,NO
0.6283,NO
0.8444,NO
0.8057,NO
1.1111,NO
1.5451,NO
1.4981,NO
1.0909,NO
0.3322,NO
0.6629,NO
3.6569,YES
0.5784,NO
2.8256,YES
0.3795,NO
0.353,NO
0.4029,NO
0.7083,NO
1.5347,NO
0.3692,NO
1.2852,NO
0.8102,NO
0.9690000000000001,NO
3.0874,YES
3.736,YES
3.957,YES
3.6461,YES
1.1883,NO
3.8421,YES
1.0086,NO
2.5399,YES
2.2062,YES
1.9981,NO
1.2341,NO
0.9878,NO
1.7484,NO
2.3577,YES
1.2189,YES
1.8868,NO
0.975,NO
2.1232,NO
1.1226,NO
1.2666,NO
1.0711,NO
1.3298,NO
1.7104,YES
1.3921,NO
2.3399,YES
1.0744,NO
2.5949,YES
0.9252,NO
1.1959,NO
0.898,NO
2.1135,NO
1.5718,NO
2.1199,NO
1.4441,NO
2.6874,NO
0.3967,NO
0.7463,NO
2.0465,YES
4.3797,YES
3.8771,YES
1.7538,YES
0.9368,NO
0.1852,NO
2.0784,YES
0.6687,NO
2.4617,YES
0.3455,NO
0.9211,NO
0.6591,NO
0.841,NO
0.2213,NO
4.3808,YES
0.2168,NO
4.2292,YES
0.6456,NO
4.0799,YES
0.5197,NO
0.4614,NO
1.5456,NO
0.3151,NO
2.7836,YES
0.9886,NO
2.5308,YES
0.9542,NO
1.0339,NO
1.266,NO
1.751,NO
1.9048,NO
1.6746,NO
1.196,NO
0.7733,NO
1.4355,NO
3.1123,YES
1.3516,NO
2.4635,YES
0.9622,NO
0.9595,NO
1.0824,NO
0.7129,NO
1.9239,NO
0.6881,NO
1.6143,NO
1.1995,NO
1.4755,NO
2.6195,YES
3.1035,YES
3.5659,YES
3.161,YES
1.7203,NO
3.2665,YES
1.8725,NO
0.4043,NO
0.6453,NO
0.8356,YES
4.0266,YES
3.8421,YES
0.8534,YES
0.8029,NO
0.2508,NO
1.0549,YES
0.8271,NO
1.218,YES
0.2334,NO
0.3269,NO
0.2571,NO
0.3332,NO
0.3764,NO
3.8923,YES
0.305,NO
3.7021,YES
0.5582,NO
3.8371,YES
0.5933,NO
0.6717,NO
0.9877,NO
0.1477,NO
1.5794,YES
0.7629,NO
1.0928,YES
1.0008,NO
0.9697,NO
0.9749,NO
1.3433,NO
1.3005,NO
1.706,NO
1.301,NO
0.765,NO
1.3047,NO
3.1429,YES
1.0008,NO
2.6882,YES
1.3261,NO
1.1844,NO
1.3014,NO
0.7245,NO
1.3916,NO
0.6,NO
1.3669,NO
1.1938,NO
1.0324,NO
2.4732,YES
3.2189,YES
3.8668,YES
3.1460000000000004,YES
1.4449,NO
3.4637,YES
1.4826,NO
0.7907,NO
0.9405,NO
0.9343,NO
1.0627,NO
1.463,NO
1.6483,NO
1.2758,NO
0.5301,NO
0.9692,NO
3.6597,YES
0.8232,NO
2.8608,YES
0.5176,NO
0.3624,NO
0.4947,NO
0.8178,NO
1.5738,NO
0.5091,NO
1.3992,NO
1.0373,NO
0.9499,NO
3.03,YES
3.7136,YES
4.1545,YES
3.5642,YES
1.4079,NO
3.9514,YES
1.2287,NO
0.8441,NO
0.935,NO
1.3323,NO
1.645,NO
2.011,NO
2.0687,NO
1.204,NO
0.547,NO
1.3519999999999999,NO
3.7157,YES
1.3329,NO
