50Traced_NONETRACED_MAX_MULTI_VSM_20_MEDIAN,Associated
0.3071,NO
0.0713,NO
0.2323,NO
0.5644,NO
0.2383,NO
0.1938,NO
0.3258,NO
0.0958,NO
0.2323,NO
0.9462,YES
0.1632,NO
0.4567,YES
0.2582,NO
0.2541,NO
0.3353,NO
0.1596,NO
0.36,NO
0.1542,NO
0.2323,NO
0.2179,NO
0.2323,NO
1.0,YES
1.0,YES
0.7677,YES
0.7677,YES
0.2323,NO
1.0,YES
0.2323,NO
1.0,YES
1.0,YES
0.3362,NO
0.2165,NO
0.2165,NO
0.2444,NO
1.0,YES
1.0,YES
0.2113,NO
0.1939,NO
0.1865,NO
0.1939,NO
0.196,NO
0.3413,NO
0.1551,NO
1.0,YES
0.2278,NO
0.904,YES
0.1359,NO
1.0,YES
0.1652,NO
0.1939,NO
0.2456,NO
0.1939,NO
0.1939,NO
0.3034,NO
0.2142,NO
0.2113,NO
0.3496,NO
0.294,NO
0.2297,NO
0.5644,NO
0.1741,NO
0.2223,NO
0.3258,NO
0.1187,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.205,NO
0.3388,NO
0.2136,NO
0.3167,NO
0.36,NO
0.3069,NO
0.3405,NO
0.294,NO
0.4224,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2381,NO
1.0,YES
0.2381,NO
1.0,YES
1.0,YES
0.3559,NO
0.228,NO
0.2013,NO
0.2271,NO
1.0,YES
0.6779999999999999,YES
0.3559,NO
0.2069,NO
0.2528,NO
0.1189,NO
0.2289,NO
0.3413,NO
0.2075,NO
1.0,YES
0.2044,NO
0.904,YES
0.3559,NO
1.0,YES
0.3559,NO
0.2187,NO
0.2187,NO
0.1728,NO
0.1107,NO
0.3559,NO
0.2187,NO
0.3559,NO
0.2282,NO
0.2493,NO
0.6191,YES
1.0,YES
1.0,YES
0.3951,YES
0.2493,NO
0.1691,NO
0.6191,YES
0.2975,NO
0.3413,YES
0.1729,NO
0.3553,NO
0.2644,NO
0.2204,NO
0.2493,NO
1.0,YES
0.2254,NO
0.6276,YES
0.2011,NO
0.7878,YES
0.2086,NO
0.4291,NO
0.3006,NO
0.1787,NO
0.6191,YES
0.2838,NO
0.6191,YES
0.32,NO
0.272,NO
0.4528,NO
0.5352,NO
0.3132,NO
0.289,NO
0.3089,NO
0.2866,NO
0.4528,NO
1.0,YES
0.3093,NO
0.6231,YES
0.3104,NO
0.3511,NO
0.1926,NO
0.3282,NO
0.3413,NO
0.318,NO
0.4528,NO
0.272,NO
0.4528,NO
1.0,YES
1.0,YES
1.0,YES
