50Traced_NONETRACED_MAX_SINGLE_LSA_24_MAX,Associated
0.2626,NO
0.2626,NO
0.1818,NO
0.6139,NO
0.1965,NO
0.1818,NO
0.2626,NO
0.2626,NO
0.1818,NO
1.0,YES
0.7077,NO
1.0,YES
0.3391,NO
0.3391,NO
0.3391,NO
0.2626,NO
0.4176,NO
0.2626,NO
0.2553,NO
0.2626,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2183,NO
1.0,YES
1.0,YES
0.3639,NO
0.2707,NO
0.3639,NO
0.4007,NO
1.0,YES
1.0,YES
0.4007,NO
0.1056,NO
0.4007,NO
0.1058,NO
0.397,NO
0.397,NO
0.397,NO
1.0,YES
0.3639,NO
1.0,YES
0.2676,NO
1.0,YES
0.1806,NO
0.1355,NO
0.1354,NO
0.1987,NO
0.1249,NO
0.4007,NO
0.1158,NO
0.4007,NO
0.2057,NO
0.1534,NO
0.3063,NO
0.6139,NO
0.3186,NO
0.3329,NO
0.1465,NO
0.1135,NO
0.3063,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.5752,NO
0.2774,NO
0.2316,NO
0.1755,NO
0.4531,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2473,NO
1.0,YES
1.0,YES
0.4748,NO
0.3722,NO
0.3722,NO
0.5415,NO
1.0,YES
1.0,YES
0.5415,NO
0.4136,NO
0.5415,NO
0.601,NO
0.7021,NO
0.7021,NO
0.7021,NO
1.0,YES
0.3638,NO
1.0,YES
0.3722,NO
1.0,YES
0.2632,NO
0.3114,NO
0.601,NO
0.601,NO
0.601,NO
0.5415,NO
0.2049,NO
0.5415,NO
0.1568,NO
0.1663,NO
0.7346,YES
1.0,YES
1.0,YES
0.7346,YES
0.257,NO
0.1663,NO
0.7346,YES
0.2963,NO
0.7346,YES
0.1733,NO
0.379,NO
0.379,NO
0.379,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.3664,NO
0.8285,YES
0.2736,NO
0.4485,NO
0.1929,NO
0.1822,NO
0.5192,YES
0.1783,NO
0.4304,YES
0.2565,NO
0.2719,NO
0.2039,NO
0.6139,NO
0.3315,NO
0.3464,NO
0.2719,NO
0.2719,NO
0.2452,NO
1.0,YES
0.4354,NO
1.0,YES
0.2525,NO
0.2525,NO
0.2525,NO
0.2719,NO
0.5985,NO
0.2886,NO
0.2485,NO
0.2719,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3191,NO
1.0,YES
0.2574,NO
0.1178,NO
0.1855,NO
0.8266,YES
1.0,YES
1.0,YES
0.8266,YES
0.2196,NO
0.1105,NO
0.8266,YES
0.6903,NO
0.8266,YES
0.5875,NO
0.4403,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.4123,NO
1.0,YES
0.6903,NO
0.6903,NO
0.5875,NO
0.5875,NO
0.5843,YES
0.6903,NO
0.4843,YES
0.2332,NO
0.2332,NO
0.4328,NO
0.6139,NO
0.4328,NO
0.4328,NO
0.1653,NO
0.2332,NO
0.4328,NO
1.0,YES
0.4328,NO
1.0,YES
0.3899,NO
0.3765,NO
0.3889,NO
0.2332,NO
0.5985,NO
0.2886,NO
0.3183,NO
0.2332,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4239,NO
1.0,YES
0.4239,NO
0.2057,NO
0.1825,NO
0.4095,NO
0.4834,NO
0.3315,NO
0.4095,NO
0.1825,NO
0.1825,NO
0.4095,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.1756,NO
0.1133,NO
0.204,NO
0.5985,NO
0.2886,NO
0.4374,NO
0.1825,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.4095,NO
0.2093,NO
0.2093,NO
