50Traced_NONETRACED_SUM_SINGLE_LSA_3_MAX,Associated
0.4894,NO
0.3995,NO
0.3922,NO
0.8687,NO
1.3549,NO
1.4848,NO
0.6478,NO
0.2785,NO
0.4254,NO
2.9459,YES
0.639,NO
2.4264,YES
0.4619,NO
0.7728,NO
0.5395,NO
0.7841,NO
0.8738,NO
0.7687,NO
1.2917,NO
0.8685,NO
0.413,NO
3.6141,YES
3.7329,YES
3.2149,YES
3.6906,YES
0.3276,NO
2.5502,YES
1.0334,NO
2.5863,YES
2.6048,YES
0.6723,NO
0.5822,NO
0.535,NO
0.9840000000000001,NO
2.597,YES
1.3666,YES
1.0609,NO
0.3645,NO
0.41700000000000004,NO
0.3663,NO
0.8856,NO
1.1843,NO
0.9567,NO
1.6877,YES
0.3784,NO
1.6708,YES
0.4569,NO
2.6009,YES
0.3557,NO
0.4602,NO
0.8284,NO
0.8666,NO
0.617,NO
0.5056,NO
0.629,NO
0.8849,NO
0.3063,NO
0.4574,NO
0.5841,NO
1.0581,NO
1.6083,NO
1.8309,NO
0.5628,NO
0.2185,NO
0.7522,NO
2.9794,YES
1.1713,NO
2.3516,YES
0.2143,NO
0.4795,NO
0.315,NO
0.5974,NO
1.1415,NO
0.6659999999999999,NO
1.4835,NO
0.8641,NO
0.4631,NO
3.7242,YES
3.716,YES
3.1739,YES
3.6331,YES
0.8781,NO
2.6289,YES
1.2391,NO
3.386,YES
3.5037,YES
2.6985,NO
1.5269,NO
1.5984,NO
2.923,NO
3.4348,YES
2.3649,YES
3.2412,NO
0.6792,NO
2.8834,NO
0.9928,NO
1.0474,NO
1.1522,NO
1.0701,NO
2.4355,YES
1.5051,NO
2.5586,YES
1.3745,NO
4.3269,YES
1.2981,NO
1.1647,NO
1.3317,NO
1.7172,NO
1.2883,NO
2.5395,NO
1.0351,NO
2.7965,NO
0.6485,NO
0.9381,NO
1.3445,YES
4.2221,YES
3.948,YES
2.3548,YES
0.8293,NO
0.3865,NO
2.4817,YES
0.3743,NO
2.1785,YES
0.23600000000000002,NO
0.3271,NO
0.6137,NO
0.3038,NO
0.2714,NO
4.0422,YES
0.3947,NO
3.8760000000000003,YES
0.8597,NO
3.3930000000000002,YES
0.9432,NO
0.5411,NO
1.1326,NO
0.6425,NO
2.2618,YES
1.4787,NO
1.9023,YES
0.418,NO
0.3705,NO
0.5688,NO
0.9895,NO
1.4809999999999999,NO
1.6687,NO
0.6632,NO
0.1926,NO
0.775,NO
2.9479,YES
0.8893,NO
2.4212,YES
0.6409,NO
0.9929,NO
0.7203,NO
0.6152,NO
1.0344,NO
0.6331,NO
1.3164,NO
0.718,NO
0.4259,NO
3.6986,YES
3.7018,YES
3.3353,YES
3.7738,YES
0.5302,NO
2.6512,YES
1.2157,NO
0.6968,NO
0.8084,NO
0.9307,YES
4.0734,YES
4.1879,YES
2.0016,YES
0.5854,NO
0.3731,NO
1.9832,YES
1.3399,NO
1.571,YES
1.0859999999999999,NO
0.8493,NO
1.2077,NO
0.8323,NO
0.3293,NO
4.0585,YES
0.475,NO
3.6036,YES
1.2209,NO
2.9749,YES
1.8802,NO
1.6095,NO
1.2677,NO
1.7349,NO
1.8848,YES
1.3413,NO
1.6677,YES
0.7716,NO
0.627,NO
0.8066,NO
0.4658,NO
1.1371,NO
1.7404,NO
1.0359,NO
0.6486,NO
1.2697,NO
2.7865,YES
1.1399,NO
2.3329,YES
0.9498,NO
1.3529,NO
0.9984,NO
0.6927,NO
0.6744,NO
1.0222,NO
0.9315,NO
1.0436,NO
0.3177,NO
3.4145,YES
3.3408,YES
3.093,YES
3.5759,YES
0.7133,NO
2.4207,YES
1.3832,NO
0.3611,NO
0.5772,NO
1.2225,NO
0.7340000000000001,NO
1.3061,NO
2.6009,NO
0.6946,NO
0.3509,NO
1.5774,NO
2.8213,YES
1.9129,NO
2.2824,YES
0.2007,NO
0.5394,NO
0.242,NO
0.6026,NO
0.8736,NO
0.8255,NO
1.4025,NO
0.7716,NO
0.5296,NO
3.6416,YES
3.6199,YES
3.7132,YES
3.8106,YES
1.3432,NO
2.8549,YES
1.8812,NO
0.2374,NO
0.2863,NO
0.5682,NO
0.7923,NO
1.4439,NO
1.7653,NO
0.359,NO
0.2013,NO
0.9623,NO
2.8114,YES
1.0963,NO
2.1926,YES
0.5051,NO
0.7207,NO
0.5916,NO
0.5296,NO
0.9212,NO
0.6305,NO
1.1589,NO
0.7768,NO
0.3368,NO
3.4778,YES
3.3916,YES
2.7665,YES
3.3352,YES
0.8266,NO
2.3944,YES
1.3718,NO
0.5475,NO
0.6172,NO
0.4586,NO
1.1637,NO
1.649,NO
1.78,NO
0.7901,NO
0.3695,NO
0.8176,NO
2.8366,YES
0.9315,NO
2.1514,YES
0.7007,NO
0.9047,NO
0.8186,NO
0.6977,NO
1.1871,NO
0.8383,NO
1.5498,NO
0.9412,NO
0.5899,NO
3.4663,YES
3.6709,YES
