50Traced_NONETRACED_MAX_MULTI_VSM_88_MEDIAN,Associated
0.3071,NO
0.1819,NO
0.2287,NO
0.3093,NO
0.31,NO
0.1523,NO
0.3258,NO
0.1334,NO
0.2137,NO
1.0,YES
0.1782,NO
1.0,YES
0.3555,NO
0.3555,NO
0.2223,NO
0.1819,NO
0.2383,NO
0.1585,NO
0.2383,NO
0.2179,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
0.3987,YES
0.2502,NO
0.7677,YES
0.2156,NO
1.0,YES
1.0,YES
0.3362,NO
0.2044,NO
0.1542,NO
0.3034,NO
1.0,YES
0.7333,YES
0.2069,NO
0.1939,NO
0.2069,NO
0.1939,NO
0.3148,NO
0.3148,NO
0.1953,NO
1.0,YES
0.2278,NO
0.8716,YES
0.1542,NO
0.568,YES
0.1542,NO
0.1939,NO
0.1939,NO
0.1597,NO
0.1939,NO
0.2268,NO
0.1939,NO
0.1057,NO
0.3071,NO
0.294,NO
0.5722,NO
0.4329,NO
0.3765,NO
0.6333,NO
0.4164,NO
0.0958,NO
0.4753,NO
1.0,YES
0.3753,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2136,NO
0.3282,NO
0.271,NO
0.318,NO
0.3844,NO
0.1755,NO
0.3753,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2156,NO
1.0,YES
1.0,YES
0.3356,NO
0.1909,NO
0.1909,NO
0.2075,NO
0.7571,YES
0.2682,YES
0.2479,NO
0.2187,NO
0.2479,NO
0.2187,NO
0.3667,NO
0.278,NO
0.2281,NO
1.0,YES
0.2044,NO
0.2891,YES
0.1909,NO
0.504,YES
0.1,NO
0.2187,NO
0.2289,NO
0.2187,NO
0.1053,NO
0.2479,NO
0.1366,NO
0.2479,NO
0.27,NO
0.11599999999999999,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.2493,NO
0.5227,YES
0.254,NO
1.0,YES
0.254,NO
0.3877,NO
0.2939,NO
0.2412,NO
0.2493,NO
1.0,YES
0.2254,NO
1.0,YES
0.2493,NO
1.0,YES
0.3369,NO
0.4169,NO
0.4856,NO
0.254,NO
1.0,YES
0.4444,NO
0.4367,YES
0.2912,NO
0.1012,NO
0.3565,NO
0.3701,NO
0.3613,NO
0.4052,NO
0.3089,NO
0.1225,NO
0.2962,NO
0.9481,YES
0.2333,NO
0.9481,YES
0.3166,NO
0.3375,NO
0.19699999999999998,NO
0.2225,NO
0.3132,NO
0.2156,NO
0.3613,NO
0.2019,NO
0.3132,NO
0.9481,YES
0.9481,YES
0.9481,YES
0.6231,YES
0.3029,NO
0.9187,YES
0.2044,NO
0.1676,NO
0.1676,NO
0.2644,YES
1.0,YES
1.0,YES
0.3353,YES
0.2651,NO
0.0856,NO
0.2746,YES
0.4066,NO
0.5253,YES
0.4608,NO
0.3335,NO
0.3376,NO
0.2375,NO
0.1676,NO
0.594,YES
0.1465,NO
1.0,YES
0.142,NO
1.0,YES
0.3157,NO
0.5347,NO
0.4608,NO
0.2111,NO
0.5253,YES
0.4608,NO
0.2294,YES
0.3071,NO
0.2816,NO
0.5722,NO
0.4329,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1536,NO
0.4753,NO
1.0,YES
0.42700000000000005,NO
1.0,YES
0.4316,NO
0.3824,NO
0.2685,NO
0.3282,NO
0.3104,NO
0.318,NO
0.42700000000000005,NO
0.2256,NO
0.42700000000000005,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2748,NO
0.3071,NO
0.1871,NO
0.5722,NO
0.3982,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1027,NO
0.4753,NO
1.0,YES
0.3271,NO
1.0,YES
0.3104,NO
0.3824,NO
0.0793,NO
0.3019,NO
0.4156,NO
0.2925,NO
0.4156,NO
0.1309,NO
0.3237,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3271,NO
0.2762,NO
0.2435,NO
0.3406,NO
0.4329,NO
0.2788,NO
0.3821,NO
0.293,NO
0.1204,NO
0.3138,NO
0.8995,YES
0.2964,NO
1.0,YES
0.3649,NO
0.3511,NO
0.22699999999999998,NO
0.3282,NO
0.2694,NO
0.318,NO
0.3529,NO
0.1912,NO
0.2768,NO
0.8995,YES
1.0,YES
1.0,YES
0.5952,YES
0.2964,NO
1.0,YES
0.2964,NO
0.3071,NO
0.1106,NO
0.5722,NO
0.3847,NO
0.3847,NO
0.6333,NO
0.4164,NO
0.0958,NO
0.4753,NO
1.0,YES
0.0997,NO
1.0,YES
0.3435,NO
0.3824,NO
0.2131,NO
0.2431,NO
0.2285,NO
0.2355,NO
0.3847,NO
0.1702,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2156,NO
0.3527,NO
0.2465,NO
1.0,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.344,NO
0.2734,NO
1.0,YES
0.2378,NO
1.0,YES
0.1905,NO
0.4413,NO
0.3856,NO
0.1474,NO
0.2734,NO
0.4942,YES
0.2471,NO
1.0,YES
0.2734,NO
1.0,YES
0.3369,NO
0.3458,NO
0.5289,NO
0.242,NO
1.0,YES
0.5562,NO
1.0,YES
0.3618,NO
0.1547,NO
1.0,YES
0.27399999999999997,NO
0.2253,NO
0.8451,YES
0.4093,NO
0.1329,NO
1.0,YES
0.4965,NO
1.0,YES
0.4965,NO
0.4413,NO
0.3203,NO
0.2648,NO
0.171,NO
0.4049,NO
0.1902,NO
0.4032,NO
0.1451,NO
0.4032,NO
0.4965,NO
0.4965,NO
0.518,NO
0.4965,NO
1.0,YES
0.5562,NO
1.0,YES
0.27,NO
0.11599999999999999,NO
0.6149,YES
0.6407,YES
1.0,YES
0.6382,YES
0.344,NO
0.1327,NO
0.6149,YES
0.6231,NO
1.0,YES
0.6231,NO
0.4651,NO
0.4308,NO
0.2893,NO
0.1801,NO
1.0,YES
0.1744,NO
1.0,YES
0.1224,NO
1.0,YES
0.6231,NO
0.6231,NO
0.6083,NO
0.6231,NO
1.0,YES
0.6231,NO
0.6149,YES
0.2043,NO
0.1646,NO
1.0,YES
0.2238,NO
0.2298,NO
0.6838,YES
0.3016,NO
0.153,NO
0.784,YES
0.5177,NO
1.0,YES
0.5177,NO
0.4238,NO
0.3191,NO
0.1803,NO
0.1775,NO
0.3158,NO
0.1834,NO
0.3776,NO
0.1572,NO
0.2663,NO
0.5177,NO
0.5177,NO
0.5289,NO
0.5177,NO
0.7795,YES
0.5177,NO
