50Traced_NONETRACED_SUM_RAW_LSA_96_MAX,Associated
0.2304,NO
0.2124,NO
0.4983,NO
0.6153,NO
0.6586,NO
0.5797,NO
0.215,NO
0.4398,NO
0.3129,NO
0.6819,YES
0.3265,NO
1.307,YES
0.2427,NO
0.3256,NO
0.2223,NO
0.3236,NO
0.5061,NO
0.424,NO
0.3889,NO
0.2222,NO
0.2858,NO
0.6404,YES
0.7122,YES
0.6269,YES
1.5592,YES
0.5469,NO
0.3514,YES
0.5478,NO
0.7305,YES
2.0292,YES
0.5454,NO
0.3132,NO
0.4394,NO
0.4761,NO
0.6004,YES
1.548,YES
0.441,NO
0.2522,NO
0.4478,NO
0.203,NO
0.1832,NO
0.2203,NO
0.1551,NO
0.7490000000000001,YES
0.2077,NO
1.5248,YES
0.2083,NO
0.7051,YES
0.2323,NO
0.1212,NO
0.2626,NO
0.2238,NO
0.1246,NO
0.4903,NO
0.1225,NO
0.419,NO
0.3235,NO
0.2776,NO
0.8856,NO
0.6716,NO
0.7701,NO
0.875,NO
0.3072,NO
0.4079,NO
0.6425,NO
1.7873,YES
0.3631,NO
1.8426,YES
0.4297,NO
0.46299999999999997,NO
0.2136,NO
0.3353,NO
0.494,NO
0.5312,NO
0.3161,NO
0.1896,NO
0.5327,NO
2.1073,YES
1.6617,YES
2.3861,YES
3.535,YES
0.8647,NO
0.8457,YES
0.7126,NO
0.7345,YES
1.2267,YES
0.5123,NO
0.5032,NO
0.7754,NO
0.763,NO
0.61,YES
2.1152,YES
0.5915,NO
0.1959,NO
0.6107,NO
0.4067,NO
0.4266,NO
0.3428,NO
0.2075,NO
1.4524,YES
0.3866,NO
1.5466,YES
0.3458,NO
1.3273,YES
0.3883,NO
0.1884,NO
0.3525,NO
0.2129,NO
0.2813,NO
0.6642,NO
0.2294,NO
0.5674,NO
0.3493,NO
0.1572,NO
0.9492,YES
2.2116,YES
3.78,YES
0.9588,YES
0.57,NO
0.2789,NO
1.1524,YES
0.4896,NO
0.9419,YES
0.4941,NO
0.2734,NO
0.3923,NO
0.1934,NO
0.1928,NO
2.5357,YES
0.3192,NO
2.1208,YES
0.1499,NO
2.1069999999999998,YES
0.34,NO
0.3959,NO
0.2444,NO
0.4259,NO
1.3896,YES
0.3822,NO
0.9533,YES
0.3409,NO
0.2382,NO
0.8782,NO
0.4767,NO
0.9584,NO
1.1857,NO
0.3205,NO
0.3795,NO
0.8348,NO
1.32,YES
0.6194,NO
1.7206,YES
0.4211,NO
0.2993,NO
0.1689,NO
0.3608,NO
0.5933,NO
0.5155,NO
