50Traced_NONETRACED_MAX_SINGLE_VSM_63_MEDIAN,Associated
0.2057,NO
0.2626,NO
0.6593,NO
0.3384,NO
0.2874,NO
0.6773,NO
0.2687,NO
0.2626,NO
0.1689,NO
1.0,YES
0.7077,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.3249,NO
0.0706,NO
0.2886,NO
0.4343,NO
0.2508,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.2574,NO
1.0,YES
1.0,YES
0.3639,NO
0.3639,NO
0.3639,NO
0.3765,NO
1.0,YES
1.0,YES
0.4007,NO
0.2082,NO
0.4007,NO
0.2082,NO
0.4183,NO
0.4183,NO
0.4183,NO
1.0,YES
0.2735,NO
1.0,YES
0.2676,NO
1.0,YES
0.1872,NO
0.2314,NO
0.2314,NO
0.2314,NO
0.127,NO
0.4007,NO
0.2314,NO
0.2146,NO
0.1503,NO
0.1534,NO
0.3233,NO
0.3384,NO
0.1512,NO
0.3322,NO
0.2687,NO
0.0509,NO
0.2187,NO
1.0,YES
0.3591,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.1533,NO
0.2886,NO
0.391,NO
0.2508,NO
0.2752,NO
1.0,YES
1.0,YES
0.9091,YES
1.0,YES
0.1659,NO
1.0,YES
0.2574,NO
1.0,YES
1.0,YES
0.3356,NO
0.3514,NO
0.3514,NO
0.2929,NO
1.0,YES
1.0,YES
0.1731,NO
0.1717,NO
0.297,NO
0.1656,NO
0.7376,NO
0.7376,NO
0.7376,NO
1.0,YES
0.3514,NO
1.0,YES
0.3514,NO
1.0,YES
0.3514,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.2304,NO
0.226,NO
0.4197,NO
0.1328,NO
0.0794,NO
0.2059,NO
0.7346,YES
1.0,YES
1.0,YES
0.7346,YES
0.257,NO
0.0982,NO
0.7346,YES
0.3019,NO
0.4615,YES
0.22399999999999998,NO
0.3493,NO
0.379,NO
0.379,NO
0.0892,NO
1.0,YES
0.0819,NO
1.0,YES
0.3664,NO
1.0,YES
0.2736,NO
0.2734,NO
0.368,NO
0.2429,NO
0.5192,YES
0.3393,NO
0.4304,YES
0.2719,NO
0.1996,NO
