50Traced_NONETRACED_SUM_MULTI_LSA_19_MEDIAN,Associated
1.2012,NO
0.4249,NO
1.0163,NO
1.0882,NO
0.9089,NO
1.5651,NO
1.5195,NO
0.7451,NO
1.6825,NO
2.6521,YES
0.8815,NO
1.4107,YES
1.3629,NO
1.7499,NO
0.4951,NO
0.8463,NO
1.3249,NO
1.1567,NO
1.6279,NO
0.8496,NO
1.2409999999999999,NO
2.728,YES
2.8273,YES
2.0354,YES
1.6754,YES
1.4568,NO
1.9303,YES
0.7725,NO
2.9541,YES
0.8787,YES
1.3456,NO
0.9418,NO
0.7912,NO
1.2733,NO
2.2295,YES
1.9255,YES
1.1447,NO
0.5816,NO
1.0838,NO
0.4695,NO
0.7390000000000001,NO
1.4594,NO
0.3778,NO
2.0179,YES
0.6539,NO
2.8407,YES
1.0758,NO
2.2004,YES
0.5621,NO
0.5701,NO
0.9223,NO
0.5402,NO
0.5852,NO
1.0846,NO
0.5571,NO
1.026,NO
0.5798,NO
0.1534,NO
1.3247,NO
0.6443,NO
0.4228,NO
1.7838,NO
0.807,NO
0.5715,NO
1.5493,NO
3.3591,YES
1.3318,NO
1.8849,YES
1.1319,NO
1.7808,NO
0.2136,NO
0.7437,NO
0.9896,NO
0.6344,NO
1.1816,NO
0.5492,NO
0.81,NO
3.6951,YES
3.8369,YES
2.903,YES
2.8163,YES
1.7223,NO
2.5259,YES
1.464,NO
1.9709999999999999,YES
1.1155,YES
0.5854,NO
0.4055,NO
0.3914,NO
0.4696,NO
1.599,YES
0.6566,YES
0.8102,NO
0.7583,NO
0.4307,NO
0.5027,NO
0.727,NO
1.2378,NO
0.5142,NO
1.2456,YES
0.2388,NO
1.7134,YES
0.5652,NO
1.2209,YES
0.3441,NO
0.8783,NO
0.7636,NO
0.3997,NO
0.7263,NO
0.6664,NO
0.4295,NO
0.5194,NO
1.3156,NO
0.2056,NO
3.1151,YES
4.254,YES
3.2849,YES
2.9435,YES
1.5281,NO
0.4552,NO
3.1979,YES
1.5215,NO
2.5873,YES
0.8879,NO
1.5032,NO
1.6847,NO
0.7746,NO
0.4587,NO
3.4806,YES
0.9555,NO
4.2686,YES
0.6591,NO
4.4776,YES
1.3434,NO
1.8178,NO
0.9755,NO
1.1107,NO
2.5618,YES
1.4359,NO
2.1416,YES
1.3767,NO
0.4443,NO
1.4643,NO
1.0638,NO
0.8215,NO
2.2369,NO
1.6640000000000001,NO
1.0981,NO
2.1241,NO
4.0543,YES
1.5796,NO
2.1316,YES
1.7546,NO
2.5199,NO
0.4112,NO
1.253,NO
1.4062,NO
1.4408,NO
1.6841,NO
1.03,NO
1.4305,NO
4.2805,YES
4.5103,YES
3.4023,YES
3.1817,YES
1.9467,NO
2.9124,YES
1.2243,NO
1.2023,NO
0.2588,NO
1.962,YES
3.1279,YES
2.4888,YES
2.2109,YES
1.2284,NO
0.603,NO
1.9787,YES
1.9051,NO
1.8994,YES
0.8489,NO
0.917,NO
1.2536,NO
0.2781,NO
0.6495,NO
2.4917,YES
0.9513,NO
3.1836,YES
0.5267,NO
3.0045,YES
1.7701,NO
2.3629,NO
1.1756,NO
1.4899,NO
1.3846,YES
1.6598,NO
1.203,YES
0.8467,NO
0.45,NO
0.5884,NO
0.8515,NO
0.5096,NO
1.0792,NO
1.0535,NO
0.3887,NO
1.268,NO
2.8544,YES
0.698,NO
1.5078,YES
1.6328,NO
1.984,NO
0.7257,NO
0.5975,NO
1.1684,NO
0.7236,NO
1.1435,NO
0.5934,NO
0.6711,NO
2.9539999999999997,YES
3.0205,YES
2.3801,YES
1.6654,YES
1.1626,NO
2.1215,YES
0.6698,NO
0.86,NO
0.2529,NO
1.5654,NO
0.8921,NO
0.603,NO
2.4862,NO
1.1602,NO
0.5399,NO
2.0784,NO
3.4746,YES
1.6526,NO
1.5666,YES
1.4699,NO
2.0331,NO
0.1821,NO
0.7923,NO
1.4396,NO
0.8231,NO
1.4711,NO
0.5689,NO
1.2804,NO
3.5978,YES
3.8925,YES
3.1365,YES
2.8007,YES
2.1776,NO
2.7983,YES
1.8113,NO
1.2791,NO
0.3289,NO
1.3187,NO
1.6687,NO
1.2077,NO
2.1925,NO
1.4165,NO
0.787,NO
1.8459,NO
4.0785,YES
1.5902,NO
1.9857,YES
1.6858,NO
2.2109,NO
0.3548,NO
1.1183,NO
1.7872,NO
1.0895,NO
2.1139,NO
0.8655,NO
1.7185,NO
4.1043,YES
4.6614,YES
3.0675,YES
3.0659,YES
1.7936,NO
3.1346,YES
1.452,NO
1.2191,NO
0.3948,NO
0.8996,NO
1.3172,NO
0.956,NO
1.2863,NO
1.3257,NO
0.8007,NO
1.2807,NO
3.4282,YES
0.9524,NO
1.9324,YES
1.4719,NO
2.0271,NO
0.4132,NO
1.0513,NO
1.3384,NO
1.1212,NO
1.6052,NO
0.8703,NO
1.6817,NO
3.6175,YES
3.6893,YES
2.5873,YES
