50Traced_NONETRACED_SUM_MULTI_LSA_74_MEDIAN,Associated
1.2399,NO
0.6154,NO
0.6397,NO
0.3676,NO
0.2555,NO
0.7829999999999999,NO
1.3138,NO
0.8608,NO
0.8991,NO
1.7044,YES
0.6454,NO
1.8204,YES
0.3816,NO
0.7798,NO
0.2223,NO
1.0049,NO
0.5686,NO
0.737,NO
0.4043,NO
0.7192,NO
0.6826,NO
1.6996,YES
1.6744,YES
1.8684,YES
1.276,YES
0.9999,NO
1.5062,YES
0.6646,NO
2.3291,YES
1.3811,YES
0.8019,NO
0.537,NO
0.4163,NO
1.3758,NO
2.6067,YES
2.4187,YES
1.3937,NO
0.8745,NO
1.0725,NO
0.4507,NO
1.2192,NO
1.5532,NO
0.4717,NO
1.7637,YES
0.8353,NO
1.555,YES
0.3665,NO
2.0322,YES
0.7404,NO
0.4669,NO
0.7390000000000001,NO
0.5292,NO
0.542,NO
1.4559,NO
1.145,NO
0.7475,NO
1.2065,NO
0.2872,NO
0.6709999999999999,NO
1.2129,NO
1.4699,NO
1.6089,NO
1.834,NO
0.4966,NO
2.0195,NO
4.0775,YES
0.915,NO
3.4721,YES
1.188,NO
1.5802,NO
0.628,NO
0.9247,NO
1.2674,NO
0.5487,NO
1.0643,NO
0.4385,NO
1.4484,NO
3.1341,YES
3.6662,YES
3.9123,YES
2.9753,YES
1.1527,NO
3.5737,YES
1.1069,NO
2.4478,YES
1.4124,YES
0.7866,NO
0.6714,NO
0.4268,NO
1.1428,NO
2.4693,YES
2.4605,YES
1.0306,NO
0.8999,NO
0.5833,NO
0.5886,NO
0.7478,NO
0.8374,NO
0.2075,NO
1.7493,YES
0.5912,NO
1.5506,YES
0.3369,NO
2.0239,YES
0.6793,NO
0.4416,NO
0.9428,NO
0.6848,NO
0.6232,NO
1.1364,NO
1.0417,NO
0.6113,NO
0.617,NO
0.35100000000000003,NO
1.2285,YES
3.4276,YES
3.3482,YES
1.7116,YES
1.0499,NO
0.4575,NO
1.8115,YES
1.2517,NO
1.4009,YES
0.8236,NO
1.0979,NO
1.1013,NO
0.6176,NO
0.8355,NO
3.1510000000000002,YES
0.5569,NO
3.8191,YES
0.7624,NO
3.9051,YES
0.381,NO
1.2574,NO
1.0406,NO
0.8051,NO
2.1887,YES
1.2705,NO
1.0776,YES
0.9564,NO
0.2453,NO
0.9397,NO
1.426,NO
1.7824,NO
1.3354,NO
1.4365,NO
0.2949,NO
1.6938,NO
3.5089,YES
0.8114,NO
3.1466,YES
0.7859,NO
0.7892,NO
0.2971,NO
0.7331,NO
1.5216,NO
0.3973,NO
1.3980000000000001,NO
0.4132,NO
1.7845,NO
2.7863,YES
3.2108,YES
3.687,YES
2.583,YES
1.1534,NO
3.0574,YES
0.9311,NO
0.5914,NO
0.1668,NO
1.3643,YES
3.0299,YES
3.0948,YES
1.5983,YES
0.873,NO
0.3939,NO
1.9036,YES
1.5082,NO
1.4432,YES
1.2354,NO
0.9125,NO
0.9329,NO
0.5064,NO
0.565,NO
3.023,YES
0.7341,NO
3.0889,YES
0.6993,NO
3.5655,YES
0.9996,NO
1.7119,NO
1.8437,NO
1.3389,NO
2.2359999999999998,YES
1.4734,NO
1.1235,YES
1.814,NO
0.7977,NO
1.4883,NO
1.3049,NO
1.1527,NO
2.3462,NO
2.1227,NO
1.2355,NO
2.4657,NO
2.8843,YES
1.7187,NO
2.6978,YES
1.3632,NO
1.6625,NO
0.5344,NO
1.3664,NO
1.3383,NO
1.0675,NO
1.0301,NO
1.1169,NO
1.4854,NO
2.4059,YES
2.7123,YES
2.8486,YES
2.2827,YES
2.1802,NO
2.6085,YES
1.5475,NO
1.1508,NO
0.3313,NO
1.5228,NO
1.1421,NO
1.3075,NO
1.7784,NO
1.4253,NO
0.3364,NO
1.9173,NO
3.609,YES
1.2314,NO
3.2817,YES
0.7093,NO
0.6432,NO
0.2856,NO
0.8181,NO
0.9784,NO
0.4613,NO
1.1767,NO
0.3148,NO
1.4949,NO
3.0093,YES
3.4958,YES
3.7087,YES
2.7888,YES
1.7566,NO
3.6015,YES
1.0119,NO
1.2905,NO
0.27,NO
1.1192,NO
1.0261,NO
1.1722,NO
1.758,NO
1.8352,NO
0.6044,NO
2.1536,NO
3.6551,YES
1.0447,NO
3.1709,YES
1.0513,NO
1.2657,NO
0.5473,NO
0.8435,NO
0.9515,NO
0.6893,NO
0.8081,NO
0.4214,NO
1.2437,NO
2.9145,YES
3.5292,YES
3.6336,YES
2.9191,YES
1.5528,NO
3.3636,YES
1.1313,NO
1.0792,NO
0.2787,NO
0.9227,NO
0.5199,NO
0.7781,NO
1.5285,NO
1.6843,NO
0.2941,NO
1.8359999999999999,NO
3.8335,YES
0.9223,NO
3.4339999999999997,YES
1.0104,NO
1.1372,NO
0.4323,NO
0.8028,NO
0.5675,NO
0.3951,NO
0.4805,NO
0.2183,NO
0.9224,NO
3.0965,YES
3.3926,YES
3.7587,YES
2.8852,YES
1.0933,NO
3.6624,YES
0.8008,NO
1.403,NO
0.9448,NO
4.5336,YES
1.4433,YES
1.3236,YES
4.3734,YES
1.9904,NO
1.4325,NO
5.2952,YES
0.9878,NO
4.3014,YES
1.0095,NO
1.8801,NO
1.4014,NO
0.4284,NO
1.3347,NO
1.9369999999999998,YES
0.8134,NO
1.7751,YES
1.3815,NO
1.7657,YES
1.0981,NO
1.6581,NO
0.8767,NO
1.0456,NO
5.4136,YES
1.9525,NO
3.5286,YES
0.5233,NO
0.3775,NO
3.3155,YES
1.1192,NO
0.8153,NO
2.7879,YES
1.1637,NO
0.5827,NO
3.61,YES
0.371,NO
2.403,YES
0.6503,NO
1.2642,NO
0.4633,NO
0.2648,NO
0.7677,NO
1.0765,NO
0.3141,NO
1.3038,NO
0.6758,NO
1.5161,NO
0.3524,NO
0.9474,NO
0.3767,NO
0.3944,NO
3.4674,YES
0.9627,NO
2.1886,YES
1.4427,NO
0.5729,NO
3.0172,YES
4.1094,YES
4.031000000000001,YES
2.9298,YES
2.001,NO
