50Traced_NONETRACED_SUM_SINGLE_LSA_87_MEDIAN,Associated
0.5074,NO
0.6508,NO
0.7289,NO
1.274,NO
0.8516,NO
0.9346,NO
0.7234,NO
0.4848,NO
1.0839,NO
2.1713,YES
1.0101,NO
2.2687,YES
0.8307,NO
0.7922,NO
0.7954,NO
0.2888,NO
1.4086,NO
0.6056,NO
0.9679,NO
0.4795,NO
0.8834,NO
1.8068,YES
2.346,YES
2.5319,YES
1.9140000000000001,YES
0.9992,NO
2.7921,YES
1.1088,NO
2.5302,YES
2.4975,YES
1.0913,NO
0.6128,NO
0.3968,NO
0.9682,NO
1.8953,YES
1.504,YES
0.5288,NO
0.759,NO
0.7036,NO
0.9518,NO
0.5276,NO
0.4183,NO
0.6048,NO
2.2171,YES
0.4466,NO
2.5023,YES
0.5222,NO
2.5259,YES
0.4622,NO
0.5873,NO
1.0952,NO
0.8057,NO
0.7319,NO
1.0266,NO
1.1559,NO
0.9486,NO
0.5049,NO
0.8519,NO
0.8027,NO
1.6761,NO
1.3343,NO
1.5539,NO
0.8467,NO
0.3877,NO
1.6030000000000002,NO
3.5964,YES
1.0868,NO
3.6347,YES
0.6479,NO
0.3231,NO
0.3871,NO
0.4704,NO
1.7239,NO
0.7199,NO
1.3559999999999999,NO
0.5606,NO
1.2625,NO
2.9194,YES
3.8216,YES
4.086,YES
3.0855,YES
1.1122,NO
4.2504,YES
0.9163,NO
3.4065,YES
3.3064,YES
1.9293,NO
2.0684,NO
1.6406,NO
2.2319,NO
2.6098,YES
2.2729,YES
2.2325,NO
1.0894,NO
1.6444,NO
1.5421,NO
1.7261,NO
1.5607,NO
1.9572,NO
2.5707,YES
1.8513,NO
3.2086,YES
1.5253,NO
3.734,YES
1.0447,NO
0.7506,NO
2.076,NO
1.6095,NO
1.2886,NO
1.8501,NO
1.7703,NO
2.4802,NO
0.612,NO
0.4638,NO
1.4137,YES
4.1047,YES
4.1119,YES
2.0775,YES
0.5767,NO
0.2496,NO
1.8666,YES
0.254,NO
1.1177,YES
0.4586,NO
0.6955,NO
0.5568,NO
0.6899,NO
0.2697,NO
4.5364,YES
0.3432,NO
4.7618,YES
1.072,NO
3.6478,YES
0.4315,NO
1.4992,NO
0.8579,NO
0.259,NO
1.5862,YES
1.1405,NO
1.5004,YES
0.4675,NO
0.7521,NO
1.1014,NO
1.6599,NO
1.3099,NO
1.9306,NO
0.7809,NO
0.368,NO
1.8369,NO
3.5843,YES
1.3609,NO
3.655,YES
0.6862,NO
0.4252,NO
0.5943,NO
0.4522,NO
1.6402,NO
0.6933,NO
1.4653,NO
0.4572,NO
1.1943,NO
2.9921,YES
3.86,YES
4.1859,YES
3.0985,YES
1.4374,NO
4.467,YES
1.3133,NO
0.7904,NO
0.7555,NO
1.8252,YES
4.6459,YES
4.0627,YES
2.5816,YES
1.0491,NO
0.3457,NO
2.405,YES
1.3722,NO
1.699,YES
1.5473,NO
1.1716,NO
1.1222,NO
1.1416,NO
0.4062,NO
5.0889999999999995,YES
0.634,NO
4.9699,YES
1.1301,NO
3.7684,YES
1.3629,NO
2.575,NO
2.0811,NO
1.2941,NO
2.1026,YES
2.6463,NO
2.1576,YES
0.7284,NO
0.6024,NO
0.8552,NO
1.0396,NO
0.7633,NO
1.4669999999999999,NO
0.7146,NO
0.4371,NO
1.31,NO
2.9553,YES
0.8104,NO
3.2566,YES
0.7976,NO
0.5304,NO
0.7406,NO
0.4898,NO
0.978,NO
0.6776,NO
0.6528,NO
0.6402,NO
0.6638,NO
2.3055,YES
3.0817,YES
3.2142,YES
2.5758,YES
0.6556,NO
3.4492,YES
0.8403,NO
0.5739,NO
0.8106,NO
1.4464,NO
1.3178,NO
1.0612,NO
1.8655,NO
0.8811,NO
0.4623,NO
1.3003,NO
3.012,YES
1.3286,NO
2.9211,YES
0.3391,NO
0.0735,NO
0.2401,NO
0.495,NO
1.4381,NO
0.9366,NO
1.2738,NO
0.5262,NO
1.2571,NO
2.7755,YES
3.1637,YES
3.3337,YES
2.4291,YES
1.4433,NO
3.7102,YES
0.9318,NO
0.6963,NO
0.9933,NO
0.8272,NO
1.3265,NO
1.0312,NO
1.3337,NO
0.8140000000000001,NO
0.6573,NO
1.166,NO
3.4729,YES
0.9364,NO
3.4975,YES
0.3985,NO
0.2041,NO
0.2266,NO
0.5961,NO
1.2590000000000001,NO
0.9239,NO
1.146,NO
0.5592,NO
1.1925,NO
2.8752,YES
3.657,YES
3.8147,YES
2.9215,YES
1.0135,NO
4.1977,YES
0.6385,NO
0.5189,NO
0.6826,NO
0.6279,NO
1.5683,NO
1.2447,NO
1.2747,NO
0.6619,NO
0.3737,NO
1.1549,NO
3.4173,YES
0.7957,NO
3.5339,YES
0.9387,NO
0.5826,NO
0.727,NO
0.5131,NO
1.4468,NO
0.6463,NO
1.1821,NO
0.4351,NO
1.2514,NO
2.7515,YES
3.6023,YES
3.7295,YES
2.9031,YES
0.7856,NO
3.9133,YES
0.7737,NO
1.1264,NO
1.1525,NO
4.944,YES
1.2792,YES
1.4417,YES
6.3458,YES
1.5659,NO
0.5698,NO
5.1929,YES
0.2472,NO
5.5033,YES
0.4041,NO
0.7299,NO
1.0299,NO
1.0799,NO
0.7287,NO
2.6853,YES
0.9935,NO
2.8206,YES
1.4296,NO
1.3748,YES
0.4678,NO
0.9103,NO
0.5886,NO
1.1529,NO
5.5258,YES
2.3193,NO
5.9168,YES
0.2885,NO
0.1547,NO
2.6421,YES
0.8621,NO
1.0407,NO
3.9054,YES
0.4247,NO
0.1407,NO
3.4109,YES
0.6699,NO
3.2578,YES
0.7214,NO
0.47,NO
0.9703,NO
0.8608,NO
0.2664,NO
1.4892,NO
0.1477,NO
2.1065,NO
0.2365,NO
0.9708,NO
0.4963,NO
1.0738,NO
0.9806,NO
1.2476,NO
3.3087,YES
1.5487,NO
3.7153,YES
0.4067,NO
0.3938,NO
2.3128,YES
3.6054,YES
3.7432,YES
3.1938,YES
0.7925,NO
0.2724,NO
2.8194,YES
0.2328,NO
2.3314,YES
0.2,NO
0.2365,NO
0.4828,NO
0.3712,NO
0.2472,NO
4.4433,YES
0.2931,NO
4.8495,YES
0.7929999999999999,NO
3.4045,YES
0.4474,NO
1.1379,NO
0.8689,NO
0.5757,NO
2.8510000000000004,YES
0.9931,NO
2.6163,YES
0.5357,NO
0.396,NO
4.2733,YES
1.1113,NO
1.2157,NO
5.2979,YES
1.0183,NO
0.153,NO
4.4261,YES
0.1983,NO
4.6811,YES
0.2604,NO
0.9354,NO
1.0109,NO
1.297,NO
0.2656,NO
2.4328,NO
0.3724,NO
2.1528,NO
0.6088,NO
1.1346,NO
0.4571,NO
0.6818,NO
0.3901,NO
1.0176,NO
4.1973,YES
1.8013,NO
4.8302,YES
0.9682,NO
0.963,NO
1.587,YES
4.3214,YES
4.2465,YES
1.9711,YES
1.0633,NO
0.4323,NO
1.588,YES
0.3292,NO
1.1042,YES
0.4197,NO
0.307,NO
0.1936,NO
0.2825,NO
0.588,NO
4.9097,YES
0.8487,NO
5.172999999999999,YES
1.4134,NO
4.012,YES
0.6382,NO
1.5701,NO
0.9188,NO
0.1741,NO
1.7188,YES
1.4713,NO
1.2256,YES
3.0504,YES
3.1699,YES
1.9683,NO
0.8896,NO
0.9936,NO
2.0584,NO
2.5324,YES
2.031,YES
1.9054,NO
0.4805,NO
1.6945,NO
0.5984,NO
0.2283,NO
0.3047,NO
0.4329,NO
2.3383,YES
1.2889,NO
3.0564,YES
1.3367,NO
3.3264,YES
0.8168,NO
0.287,NO
1.0615,NO
0.7141,NO
0.6118,NO
1.8181,NO
1.1532,NO
1.7563,NO
0.5006,NO
0.5638,NO
4.6202,YES
0.9593,YES
1.4551,YES
6.0839,YES
0.8991,NO
0.2151,NO
5.2651,YES
0.2194,NO
5.5182,YES
0.3876,NO
0.8327,NO
1.1008,NO
1.3034,NO
0.3973,NO
2.211,YES
0.312,NO
2.5064,YES
0.7149,NO
1.2197,YES
0.4025,NO
0.9257,NO
0.7022,NO
1.3124,NO
5.4512,YES
2.0933,NO
6.0657,YES
0.6303,NO
0.6538,NO
4.3415,YES
1.5513,YES
1.954,YES
5.7062,YES
1.1632,NO
0.3355,NO
5.0121,YES
1.0824,NO
4.9751,YES
1.3779,NO
0.4162,NO
0.7447,NO
0.7418,NO
0.3628,NO
2.8960000000000004,YES
0.4672,NO
2.9714,YES
1.1001,NO
1.5693,YES
1.2017,NO
1.9532,NO
1.8092,NO
1.7058,NO
5.3222,YES
2.7656,NO
5.2912,YES
0.7772,NO
0.8904,NO
5.3337,YES
1.6012,YES
1.9188,YES
7.1432,YES
1.114,NO
0.4504,NO
6.2616,YES
1.3134,NO
6.1089,YES
1.4089,NO
0.6979,NO
0.8758,NO
1.0648,NO
0.6048,NO
2.9276,YES
0.7553,NO
2.9989,YES
1.2289,NO
1.6022,YES
1.3024,NO
2.2845,NO
2.1166,NO
2.1728,NO
6.1739999999999995,YES
3.3759,NO
6.372000000000001,YES
0.5803,NO
0.6206,NO
5.0576,YES
1.1195,YES
1.5563,YES
6.8474,YES
0.9414,NO
0.2496,NO
5.8367,YES
0.581,NO
5.7868,YES
0.8125,NO
0.4948,NO
0.6896,NO
0.866,NO
0.4386,NO
2.3930000000000002,YES
0.4405,NO
2.6111,YES
1.0314,NO
1.2188,YES
0.6887,NO
1.4026,NO
1.3321,NO
1.6513,NO
5.9158,YES
2.6284,NO
6.2024,YES
0.9567,NO
0.9318,NO
1.7646,YES
4.6533,YES
4.4684,YES
2.2956,YES
1.0397,NO
0.4362,NO
2.0294,YES
0.6784,NO
1.5039,YES
0.7486,NO
1.2748,NO
1.1651,NO
1.3082,NO
0.4653,NO
5.1623,YES
0.8276,NO
5.2888,YES
1.3945,NO
4.1446,YES
0.8839,NO
1.9982,NO
1.2179,NO
0.3734,NO
1.8773,YES
1.8319,NO
1.969,YES
0.7717,NO
0.778,NO
2.6857,YES
4.3558,YES
4.4274,YES
3.9065,YES
1.0155,NO
0.3848,NO
3.4855,YES
0.5126,NO
2.6989,YES
0.6728,NO
0.748,NO
0.6263,NO
