50Traced_NONETRACED_SUM_RAW_LSA_16_MEDIAN,Associated
0.4563,NO
0.1966,NO
0.7473,NO
0.5655,NO
0.364,NO
0.8123,NO
0.5966,NO
0.2134,NO
0.4932,NO
1.0341,YES
0.7276,NO
0.4862,YES
0.4659,NO
0.2231,NO
0.2223,NO
0.2514,NO
0.3523,NO
0.304,NO
0.2648,NO
0.3609,NO
0.4376,NO
1.4628,YES
2.4186,YES
2.1895,YES
1.3338,YES
0.6509999999999999,NO
1.9594,YES
0.7147,NO
1.9145,YES
2.398,YES
0.3362,NO
0.4416,NO
0.4144,NO
0.1873,NO
2.1719,YES
1.0433,YES
0.1364,NO
0.2901,NO
0.1286,NO
0.1058,NO
0.35100000000000003,NO
0.2556,NO
0.1551,NO
0.4483,YES
0.4407,NO
1.8183,YES
0.2404,NO
1.3854,YES
0.3749,NO
0.2173,NO
0.2734,NO
0.2821,NO
0.0802,NO
0.3019,NO
0.35600000000000004,NO
0.1144,NO
0.5832,NO
0.2881,NO
0.5671,NO
0.8457,NO
0.542,NO
0.6284,NO
0.4218,NO
0.1724,NO
0.4384,NO
1.6442,YES
0.8094,NO
0.6193,YES
0.4707,NO
0.2809,NO
0.2136,NO
0.4061,NO
0.9469,NO
0.3588,NO
0.5056,NO
0.34,NO
0.7258,NO
1.2215,YES
2.2455,YES
1.4257,YES
0.8152,YES
0.4825,NO
1.9956,YES
0.5814,NO
1.8149,YES
2.3186,YES
0.4455,NO
0.4992,NO
0.5703,NO
0.6876,NO
2.2222,YES
0.9965,YES
0.5497,NO
0.4316,NO
0.7356,NO
0.1622,NO
0.2361,NO
0.2759,NO
0.2075,NO
0.4596,YES
0.6418,NO
1.722,YES
0.3622,NO
1.4391,YES
0.3462,NO
0.3584,NO
0.5873,NO
0.4723,NO
0.2946,NO
0.8256,NO
0.6911,NO
0.6891,NO
0.4968,NO
0.3904,NO
0.6231,YES
2.7575,YES
2.9446,YES
0.5801,YES
0.6069,NO
0.1936,NO
0.7676,YES
0.1395,NO
