50Traced_NONETRACED_SUM_MULTI_LSA_86_MEDIAN,Associated
1.3176,NO
0.7959,NO
1.4902,NO
1.7694,NO
1.3474,NO
1.7480000000000002,NO
0.9946,NO
0.5262,NO
1.7114,NO
2.4813,YES
0.7676,NO
2.0277,YES
0.8270000000000001,NO
1.008,NO
0.3592,NO
0.6249,NO
1.3234,NO
0.7037,NO
0.8535,NO
0.7737,NO
1.2305,NO
1.911,YES
2.5476,YES
2.1193,YES
2.1411,YES
1.8181,NO
2.7344,YES
1.3286,NO
1.7394,YES
2.1703,YES
1.3212,NO
1.1046,NO
0.6571,NO
1.128,NO
2.0781,YES
1.4472,YES
1.105,NO
0.9927,NO
1.0668,NO
0.6628,NO
0.6855,NO
0.7856,NO
0.1971,NO
1.7909,YES
0.5864,NO
1.8976,YES
0.3247,NO
1.3086,YES
0.4792,NO
0.6446,NO
0.9246,NO
0.568,NO
0.7098,NO
1.5225,NO
1.1031,NO
1.1614,NO
1.7049,NO
0.9276,NO
1.7789,NO
2.0443,NO
1.3949,NO
2.2091,NO
1.6024,NO
0.4844,NO
2.0618,NO
3.5808,YES
1.1753,NO
2.6185,YES
0.7851,NO
1.0894,NO
0.2136,NO
0.9945,NO
1.3309,NO
0.6415,NO
1.1465,NO
0.7533,NO
1.2848,NO
2.9262,YES
3.7696,YES
3.156,YES
3.1856,YES
2.109,NO
3.6543,YES
2.0929,NO
1.8947,YES
2.4978,YES
0.7513,NO
1.5218,NO
1.1899,NO
0.7503,NO
1.8328,YES
1.5145,YES
0.9345,NO
0.9935,NO
0.5877,NO
0.4561,NO
0.9219,NO
1.137,NO
0.527,NO
1.5797,YES
1.1894,NO
2.3491,YES
0.873,NO
1.5694,YES
0.9063,NO
0.684,NO
1.0138,NO
0.6101,NO
0.5411,NO
1.0701,NO
0.9486,NO
0.5924,NO
0.8434,NO
0.6615,NO
1.8209,YES
3.2888,YES
3.7934,YES
2.0745,YES
1.1791,NO
0.4994,NO
1.2551,YES
1.0883,NO
1.7178,YES
0.7405,NO
0.693,NO
0.4855,NO
0.1934,NO
0.4675,NO
4.3426,YES
0.7443,NO
3.7591,YES
0.6809999999999999,NO
3.8469,YES
0.5382,NO
0.6199,NO
1.8428,NO
0.8565,NO
1.8238,YES
0.9422,NO
1.5345,YES
1.6334,NO
0.6397,NO
1.5184,NO
2.0939,NO
1.5130000000000001,NO
1.895,NO
1.2647,NO
0.2995,NO
1.8671,NO
3.9811,YES
0.4966,NO
3.0916,YES
0.8402,NO
1.1045,NO
0.3228,NO
0.7904,NO
1.3206,NO
0.4351,NO
1.1395,NO
0.6402,NO
1.3028,NO
3.1137,YES
4.1977,YES
3.5252,YES
3.6239999999999997,YES
1.8876,NO
3.9210000000000003,YES
1.5299,NO
0.8898,NO
0.4007,NO
1.7776,YES
3.449,YES
3.838,YES
2.5282,YES
0.9927,NO
0.4751,NO
1.6241,YES
1.4086,NO
2.1446,YES
1.1179999999999999,NO
0.8718,NO
0.9587,NO
0.2625,NO
0.5712,NO
4.3984,YES
0.326,NO
3.6923,YES
0.6729,NO
3.5644,YES
1.0863,NO
1.1664,NO
1.9281,NO
1.1505,NO
2.4074,YES
1.3485,NO
1.7501,YES
1.7765,NO
0.9184,NO
1.0355,NO
1.7988,NO
1.1338,NO
1.4639,NO
1.0068,NO
0.8219,NO
1.5504,NO
2.6739,YES
0.7094,NO
1.6773,YES
0.6665,NO
1.2837,NO
0.5959,NO
0.8190000000000001,NO
0.8752,NO
0.7088,NO
1.0216,NO
0.9077,NO
0.9607,NO
2.1769,YES
2.8165,YES
2.45,YES
2.3057,YES
1.4072,NO
2.6555,YES
1.1081,NO
1.589,NO
0.5257,NO
1.8257,NO
1.8414,NO
1.3891,NO
2.2037,NO
1.1566,NO
0.3894,NO
1.9264,NO
3.5112,YES
1.0518,NO
2.6758,YES
0.4915,NO
0.9306,NO
0.2091,NO
0.6841,NO
1.392,NO
0.2242,NO
1.2664,NO
0.5363,NO
1.2216,NO
2.5608,YES
3.5881,YES
3.3261,YES
3.3284,YES
1.8378,NO
3.4261,YES
1.7333,NO
1.1540000000000001,NO
0.3595,NO
1.3534,NO
2.1816,NO
1.9822,NO
2.1732,NO
0.8882,NO
0.2834,NO
1.6469999999999998,NO
3.3936,YES
0.9338,NO
2.5402,YES
0.5851,NO
0.9559,NO
0.2007,NO
0.6117,NO
1.861,NO
0.098,NO
1.5345,NO
0.6049,NO
1.6185,NO
2.7756,YES
3.4947,YES
2.9408,YES
3.0255,YES
1.7914,NO
3.2965,YES
1.5129,NO
1.625,NO
0.7965,NO
1.4373,NO
2.0228,NO
1.6108,NO
1.8298,NO
1.1148,NO
0.5321,NO
1.704,NO
3.5535,YES
0.6284,NO
2.8064,YES
0.9955,NO
1.1788,NO
0.3758,NO
0.7109,NO
1.6076,NO
0.5857,NO
1.0872,NO
0.8781,NO
1.2779,NO
2.8909,YES
3.7467,YES
3.1158,YES
3.3127,YES
1.776,NO
3.5812,YES
1.3358,NO
1.3056,NO
0.7526,NO
4.6196,YES
1.9494,YES
2.0339,YES
5.4518,YES
1.3427,NO
0.3933,NO
5.0077,YES
1.3,NO
4.877,YES
0.8393,NO
1.1975,NO
1.8849,NO
0.5763,NO
0.4839,NO
1.8055,YES
0.4349,NO
0.9888,YES
1.0234,NO
1.4211,YES
0.8117,NO
1.3448,NO
1.8466,NO
0.9571,NO
5.3999,YES
2.068,NO
4.7525,YES
0.7566,NO
0.4974,NO
1.8407,YES
0.8484,NO
0.7016,NO
2.1547,YES
0.8469,NO
0.1915,NO
2.11,YES
0.6295,NO
1.8375,YES
0.4571,NO
0.3264,NO
0.8035,NO
0.2648,NO
0.6545,NO
0.3728,NO
0.4109,NO
0.4738,NO
0.4007,NO
0.4308,NO
