50Traced_NONETRACED_SUM_SINGLE_LSA_42_MAX,Associated
0.9637,NO
0.6054,NO
0.3266,NO
0.5887,NO
0.3467,NO
1.0548,NO
1.0646,NO
0.7047,NO
0.4015,NO
3.0261,YES
1.0121,NO
1.9862,YES
0.4113,NO
0.762,NO
0.4659,NO
0.5363,NO
0.4701,NO
0.6177,NO
0.8264,NO
1.1154,NO
0.6552,NO
2.3911,YES
2.5583,YES
3.3238,YES
2.9135,YES
0.8637,NO
1.916,YES
0.7441,NO
2.258,YES
2.2577,YES
1.396,NO
0.3989,NO
0.4355,NO
1.3053,NO
3.3198,YES
2.9951,YES
1.1354,NO
0.7317,NO
1.1986,NO
0.6628,NO
0.1797,NO
0.5468,NO
0.3895,NO
2.3444,YES
0.7455,NO
3.0445,YES
0.7065,NO
3.2554,YES
0.3628,NO
0.7016,NO
0.9339,NO
1.2918,NO
0.8490000000000001,NO
1.3833,NO
0.8795,NO
1.1874,NO
0.6772,NO
0.5492,NO
0.8413,NO
0.9401,NO
0.49,NO
1.5491,NO
0.6189,NO
0.1603,NO
0.8819,NO
3.5084,YES
1.3529,NO
2.1032,YES
0.3642,NO
0.782,NO
0.4476,NO
0.1919,NO
0.523,NO
0.1268,NO
1.0335,NO
0.4831,NO
1.1757,NO
2.8491,YES
3.073,YES
3.9614,YES
3.3819,YES
1.0807,NO
2.6788,YES
1.3012,NO
2.2003,YES
2.4835,YES
0.9420000000000001,NO
0.228,NO
0.4618,NO
0.4974,NO
3.5141,YES
3.0179,YES
0.53,NO
0.4753,NO
0.373,NO
0.2767,NO
0.647,NO
1.1482,NO
0.9294,NO
2.2157,YES
0.0927,NO
3.0631,YES
0.1266,NO
3.1215,YES
0.1355,NO
0.7140000000000001,NO
0.8224,NO
0.8073,NO
0.5656,NO
0.5196,NO
0.6194,NO
0.9151,NO
0.6497,NO
0.9341,NO
2.6499,YES
4.2899,YES
3.759,YES
2.5115,YES
1.2177,NO
0.439,NO
2.5462,YES
0.1395,NO
3.1836,YES
0.6063,NO
0.9675,NO
1.3285,NO
1.3541,NO
0.4429,NO
4.8458,YES
0.5539999999999999,NO
4.6417,YES
0.4295,NO
3.9502,YES
0.7229,NO
0.74,NO
1.2601,NO
1.0876,NO
2.3976,YES
0.6970000000000001,NO
2.8487,YES
0.9354,NO
0.797,NO
0.9583,NO
1.5631,NO
1.1969,NO
1.6483,NO
0.7636,NO
0.3908,NO
1.0833,NO
3.0157,YES
1.5130000000000001,NO
2.2023,YES
0.3926,NO
0.7471,NO
0.462,NO
0.1107,NO
1.3346,NO
0.2841,NO
1.485,NO
0.725,NO
1.3363,NO
2.6586,YES
2.8497,YES
3.4263,YES
3.2967,YES
1.1882,NO
2.0843,YES
1.4626,NO
0.5861,NO
1.1365,NO
1.5962,YES
4.1648,YES
3.5698,YES
1.4961,YES
1.1927,NO
0.4478,NO
1.6295,YES
1.6280000000000001,NO
2.1995,YES
1.2434,NO
0.7275,NO
1.1448,NO
1.0592,NO
0.3034,NO
4.1572,YES
0.4993,NO
4.0269,YES
0.3817,NO
3.7203,YES
1.8974,NO
2.0031,NO
2.0697,NO
2.245,NO
1.2243,YES
1.4084,NO
1.7677,YES
0.7008,NO
0.3303,NO
1.0259,NO
0.883,NO
0.4287,NO
1.3693,NO
0.7718,NO
0.374,NO
0.9934,NO
1.8865,YES
1.2468,NO
1.5531,YES
0.8389,NO
1.0835,NO
0.9282,NO
0.3444,NO
0.7282,NO
0.3379,NO
0.8273,NO
0.6428,NO
0.7975,NO
1.6388,YES
1.6108,YES
2.6104,YES
2.1092,YES
1.1836,NO
1.6267,YES
1.5118,NO
0.735,NO
0.8815,NO
1.5035,NO
1.3485,NO
0.8549,NO
2.2125,NO
0.88,NO
0.317,NO
1.4605,NO
3.4131,YES
2.206,NO
1.9913,YES
0.3405,NO
0.6516,NO
0.3481,NO
0.204,NO
1.1812,NO
0.2014,NO
1.8133,NO
0.5523,NO
1.5253,NO
2.6954,YES
3.1641,YES
3.7942,YES
3.2971,YES
1.6281,NO
2.6956,YES
1.8494,NO
1.0805,NO
0.8685,NO
1.3426,NO
1.0924,NO
0.8882,NO
2.2769999999999997,NO
1.1513,NO
0.6987,NO
1.4145,NO
3.3155,YES
2.0388,NO
2.1393,YES
0.2252,NO
0.607,NO
0.2007,NO
0.41100000000000003,NO
0.9605,NO
0.579,NO
1.3596,NO
1.0123,NO
1.2473,NO
2.7042,YES
3.0291,YES
3.7628,YES
3.3782,YES
1.7011,NO
2.6334,YES
1.9701,NO
0.8071,NO
0.7801,NO
0.8047,NO
1.5891,NO
1.2738,NO
1.2448,NO
0.6657,NO
0.3399,NO
0.8537,NO
2.9583,YES
1.0369,NO
2.0453,YES
0.3146,NO
0.6946,NO
0.4654,NO
0.1995,NO
1.197,NO
0.2949,NO
1.304,NO
0.6347,NO
1.5725,NO
2.6713,YES
2.8539999999999996,YES
