50Traced_NONETRACED_MAX_MULTI_VSM_99_MEDIAN,Associated
0.2852,NO
0.1164,NO
0.12,NO
0.3093,NO
0.2804,NO
0.1938,NO
0.2852,NO
0.2852,NO
0.1689,NO
0.7677,YES
0.1134,NO
1.0,YES
0.3104,NO
0.3824,NO
0.3353,NO
0.2852,NO
0.2383,NO
0.2852,NO
0.3844,NO
0.2179,NO
0.3438,NO
1.0,YES
0.6471,YES
0.8236,YES
0.7677,YES
0.1573,NO
0.7756,YES
0.1701,NO
1.0,YES
0.408,YES
0.3362,NO
0.2576,NO
0.1542,NO
0.2444,NO
1.0,YES
1.0,YES
0.3034,NO
0.1692,NO
0.2287,NO
0.1939,NO
0.196,NO
0.3082,NO
0.1551,NO
1.0,YES
0.2165,NO
1.0,YES
0.2165,NO
0.5838,YES
0.1652,NO
0.1939,NO
0.2289,NO
0.1789,NO
0.0824,NO
0.3034,NO
0.1789,NO
0.3034,NO
0.2947,NO
0.1534,NO
0.2809,NO
0.4329,NO
0.3069,NO
0.2707,NO
0.3056,NO
0.294,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.2522,NO
0.3673,NO
0.2136,NO
0.3282,NO
0.271,NO
0.294,NO
0.3529,NO
0.1755,NO
0.2418,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2502,NO
1.0,YES
0.2487,NO
1.0,YES
1.0,YES
0.3559,NO
0.2576,NO
0.1989,NO
0.3559,NO
1.0,YES
1.0,YES
0.3559,NO
0.1054,NO
0.2479,NO
0.2251,NO
0.2289,NO
0.3082,NO
0.2075,NO
1.0,YES
0.2278,NO
1.0,YES
0.2148,NO
0.5838,YES
0.3559,NO
0.2251,NO
0.2456,NO
0.1854,NO
0.1087,NO
0.3559,NO
0.1746,NO
0.2479,NO
0.27,NO
0.0804,NO
0.6191,YES
1.0,YES
0.6802,YES
0.6191,YES
0.2784,NO
0.0567,NO
0.6191,YES
0.2147,NO
0.3603,YES
0.2147,NO
0.2165,NO
0.3325,NO
0.1934,NO
0.1729,NO
0.7917,YES
0.1669,NO
0.7959999999999999,YES
0.1882,NO
1.0,YES
0.2147,NO
0.1787,NO
0.4471,NO
0.2147,NO
0.6191,YES
0.4382,NO
0.3603,YES
0.3049,NO
0.0732,NO
0.2809,NO
0.4329,NO
0.3069,NO
0.2566,NO
0.3056,NO
0.3331,NO
0.3138,NO
0.9187,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.3166,NO
0.3331,NO
0.2146,NO
0.3331,NO
0.3844,NO
0.2019,NO
0.3613,NO
1.0,YES
1.0,YES
0.9481,YES
1.0,YES
0.2372,NO
1.0,YES
0.2756,NO
0.3229,NO
0.1168,NO
0.5253,YES
1.0,YES
0.5827,YES
0.5253,YES
0.2784,NO
0.0856,NO
0.5253,YES
0.4066,NO
0.2359,YES
0.4608,NO
0.2568,NO
0.42,NO
0.3335,NO
0.1729,NO
1.0,YES
0.1669,NO
1.0,YES
0.1597,NO
1.0,YES
0.4608,NO
0.4608,NO
0.4471,NO
0.4608,NO
0.5253,YES
0.4608,NO
0.3189,YES
0.2947,NO
0.1149,NO
0.2381,NO
0.4029,NO
0.1985,NO
0.2524,NO
0.2831,NO
0.2988,NO
0.2748,NO
1.0,YES
0.2045,NO
1.0,YES
0.3323,NO
0.3673,NO
0.4316,NO
0.2988,NO
0.2405,NO
0.2988,NO
0.2405,NO
0.2256,NO
0.2418,NO
1.0,YES
0.6533,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2029,NO
0.1871,NO
0.1339,NO
0.3855,NO
0.4329,NO
0.3069,NO
0.3855,NO
0.3056,NO
0.1871,NO
0.33899999999999997,NO
0.9462,YES
0.3855,NO
1.0,YES
0.3104,NO
0.3824,NO
0.1069,NO
0.3282,NO
0.16,NO
0.1871,NO
0.3844,NO
0.1309,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3745,NO
1.0,YES
0.3271,NO
0.307,NO
0.307,NO
0.2809,NO
0.4329,NO
0.3069,NO
0.3078,NO
0.3056,NO
0.2636,NO
0.3821,NO
0.9462,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2007,NO
0.3282,NO
0.2694,NO
0.2676,NO
0.3844,NO
0.1912,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3821,NO
1.0,YES
0.3821,NO
0.2947,NO
0.1712,NO
0.3649,NO
0.4329,NO
0.3069,NO
0.3649,NO
0.3056,NO
0.2562,NO
0.3649,NO
1.0,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.3221,NO
0.3282,NO
0.1803,NO
0.2562,NO
0.3844,NO
0.1702,NO
0.3649,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3649,NO
1.0,YES
0.2458,NO
0.3618,NO
0.2538,NO
0.7838,YES
0.4136,YES
0.2829,YES
1.0,YES
0.3069,NO
0.1861,NO
1.0,YES
0.2509,NO
1.0,YES
0.5358,NO
0.4524,NO
0.3058,NO
0.3885,NO
0.1064,NO
0.3442,YES
0.2212,NO
0.5522,YES
0.2129,NO
0.5061,YES
0.5358,NO
0.3467,NO
0.6069,NO
0.2153,NO
1.0,YES
0.578,NO
1.0,YES
0.2333,NO
0.1547,NO
0.7454,YES
0.2517,NO
0.1535,NO
0.7629,YES
0.2248,NO
0.12,NO
0.8170000000000001,YES
0.2414,NO
0.7454,YES
0.2942,NO
0.4028,NO
0.4022,NO
0.5231,NO
0.171,NO
0.3623,NO
0.1398,NO
0.4144,NO
0.1451,NO
0.3458,NO
0.2942,NO
0.2942,NO
0.4676,NO
0.2942,NO
0.9027,YES
0.5021,NO
0.5866,YES
0.3229,NO
0.0951,NO
1.0,YES
1.0,YES
0.5827,YES
1.0,YES
0.344,NO
0.2331,NO
1.0,YES
0.5755,NO
0.4491,YES
0.6231,NO
0.3581,NO
0.4308,NO
0.4651,NO
0.2331,NO
1.0,YES
0.2331,NO
1.0,YES
0.304,NO
1.0,YES
0.6231,NO
0.6083,NO
0.6083,NO
0.5486,NO
1.0,YES
0.6083,NO
0.5285,YES
0.2442,NO
0.1646,NO
0.8554,YES
0.2819,NO
0.2459,NO
0.8554,YES
0.2676,NO
0.153,NO
0.7795,YES
0.3096,NO
0.8554,YES
0.5177,NO
0.4162,NO
0.2977,NO
0.2898,NO
0.1775,NO
0.2701,NO
0.1654,NO
0.4414,NO
0.1338,NO
0.44,NO
0.5177,NO
0.3773,NO
0.4524,NO
0.3773,NO
0.6681,YES
0.4015,NO
0.7795,YES
0.27,NO
0.0804,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.344,NO
0.1186,NO
1.0,YES
0.1538,NO
0.4491,YES
0.0994,NO
0.171,NO
0.1733,NO
0.1785,NO
0.1729,NO
0.4947,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
1.0,YES
0.1982,NO
0.0714,NO
0.4856,NO
0.1856,NO
1.0,YES
0.4382,NO
0.4367,YES
1.0,YES
1.0,YES
0.3634,NO
0.2304,NO
0.1473,NO
0.2387,NO
0.3322,YES
1.0,YES
0.2009,NO
0.2808,NO
0.2103,NO
0.2808,NO
0.3471,NO
0.4228,NO
0.2623,NO
1.0,YES
0.2278,NO
1.0,YES
0.1676,NO
0.5838,YES
0.0878,NO
0.2808,NO
0.2456,NO
0.2808,NO
0.2808,NO
0.228,NO
0.2808,NO
0.2023,NO
0.3618,NO
0.1531,NO
1.0,YES
0.3525,YES
0.3075,YES
1.0,YES
0.3433,NO
0.1329,NO
1.0,YES
0.2378,NO
1.0,YES
0.4779,NO
0.534,NO
0.4456,NO
0.5037,NO
0.184,NO
0.4013,YES
0.1767,NO
0.5522,YES
0.1673,NO
0.5502,YES
0.4779,NO
0.3092,NO
0.6069,NO
0.24,NO
1.0,YES
0.578,NO
1.0,YES
0.3341,NO
0.3341,NO
1.0,YES
0.6407,YES
0.5589,YES
1.0,YES
0.344,NO
0.245,NO
1.0,YES
0.4324,NO
1.0,YES
0.5579999999999999,NO
0.534,NO
0.3247,NO
0.21600000000000003,NO
0.1567,NO
0.4942,YES
0.2912,NO
0.6036,YES
0.304,NO
1.0,YES
0.5579999999999999,NO
0.3611,NO
0.6069,NO
0.4324,NO
1.0,YES
0.578,NO
1.0,YES
0.3133,NO
0.1504,NO
1.0,YES
0.6407,YES
0.5589,YES
1.0,YES
0.344,NO
0.1622,NO
1.0,YES
0.1531,NO
1.0,YES
0.1488,NO
0.534,NO
0.3191,NO
0.21600000000000003,NO
0.2034,NO
0.4942,YES
0.1975,NO
0.6036,YES
0.304,NO
1.0,YES
0.2407,NO
0.2604,NO
0.6069,NO
0.2153,NO
1.0,YES
0.578,NO
1.0,YES
0.3618,NO
0.1531,NO
1.0,YES
0.6407,YES
0.5589,YES
1.0,YES
0.344,NO
0.1329,NO
1.0,YES
0.2378,NO
1.0,YES
0.4462,NO
0.4969,NO
0.4456,NO
0.201,NO
0.184,NO
0.4942,YES
0.1767,NO
0.6036,YES
0.304,NO
1.0,YES
0.4462,NO
0.2888,NO
0.5289,NO
0.24,NO
1.0,YES
0.5562,NO
1.0,YES
0.3229,NO
0.0905,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.344,NO
0.0554,NO
1.0,YES
0.2629,NO
0.4491,YES
0.1729,NO
0.293,NO
0.42,NO
0.2523,NO
0.1698,NO
1.0,YES
0.1648,NO
1.0,YES
0.304,NO
1.0,YES
0.2377,NO
0.2377,NO
0.4856,NO
0.1018,NO
1.0,YES
0.254,NO
0.4367,YES
0.3229,NO
0.10300000000000001,NO
0.6109,YES
1.0,YES
0.6940000000000001,YES
0.6109,YES
0.2651,NO
0.0883,NO
0.6109,YES
0.2629,NO
0.4937,YES
0.3569,NO
0.2531,NO
0.42,NO
0.1612,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.1857,NO
1.0,YES
0.3569,NO
0.231,NO
0.3583,NO
0.1487,NO
0.6109,YES
0.3512,NO
0.4316,YES
0.267,NO
0.1362,NO
0.2654,NO
0.2904,NO
0.2015,NO
0.2654,NO
0.1869,NO
0.1869,NO
0.2784,NO
0.2363,NO
0.2417,NO
0.2363,NO
0.6313,YES
0.7691,YES
0.7168,YES
0.1869,NO
0.2767,NO
0.1869,NO
0.179,NO
0.1551,NO
0.2904,NO
0.2363,NO
0.2708,NO
0.2363,NO
0.2363,NO
0.2654,NO
0.2363,NO
0.368,NO
0.6856,YES
0.29600000000000004,YES
0.2752,NO
0.1766,NO
0.1921,NO
0.1893,NO
0.6856,YES
0.6856,YES
0.1893,NO
0.2608,NO
0.1893,NO
0.2608,NO
0.2127,NO
0.2592,NO
0.1608,NO
0.6856,YES
0.1036,NO
0.6856,YES
0.1056,NO
0.3735,YES
0.1513,NO
0.2608,NO
0.1704,NO
0.2608,NO
0.2608,NO
0.1893,NO
0.2608,NO
0.16699999999999998,NO
0.2323,NO
0.0602,NO
1.0,YES
0.7669,YES
1.0,YES
1.0,YES
0.344,NO
0.1526,NO
1.0,YES
0.1891,NO
0.4491,YES
0.1551,NO
0.1983,NO
0.3022,NO
0.1805,NO
0.1567,NO
0.7194,YES
0.154,NO
0.7194,YES
0.304,NO
1.0,YES
0.1298,NO
0.1431,NO
0.4856,NO
0.1215,NO
1.0,YES
0.2869,NO
0.4367,YES
1.0,YES
1.0,YES
0.3473,NO
0.2576,NO
0.1473,NO
0.2387,NO
1.0,YES
1.0,YES
0.295,NO
0.2321,NO
0.1537,NO
0.2321,NO
0.2262,NO
0.2456,NO
0.2938,NO
1.0,YES
0.2278,NO
1.0,YES
0.2043,NO
0.568,YES
0.1607,NO
0.2321,NO
0.2456,NO
0.2321,NO
0.2321,NO
0.295,NO
0.2321,NO
0.295,NO
0.2947,NO
0.2425,NO
0.2809,NO
0.4329,NO
0.3069,NO
0.2707,NO
0.3056,NO
0.2582,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2504,NO
0.3282,NO
0.1218,NO
0.2582,NO
0.3844,NO
0.2072,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2502,NO
1.0,YES
0.2458,NO
1.0,YES
1.0,YES
0.2856,NO
0.2576,NO
0.2061,NO
0.2387,NO
1.0,YES
1.0,YES
0.2067,NO
0.1079,NO
0.1546,NO
0.1216,NO
0.196,NO
0.3082,NO
0.2289,NO
1.0,YES
0.2278,NO
1.0,YES
0.1247,NO
0.5838,YES
0.2067,NO
0.0838,NO
0.2456,NO
0.1522,NO
0.1087,NO
0.228,NO
0.1724,NO
0.1803,NO
0.2906,NO
0.2906,NO
0.2809,NO
0.4329,NO
0.3069,NO
0.3335,NO
0.3056,NO
0.2131,NO
0.414,NO
0.8204,YES
0.2887,NO
1.0,YES
0.3104,NO
0.3824,NO
0.3705,NO
0.3282,NO
0.14300000000000002,NO
0.2533,NO
0.3844,NO
0.2286,NO
0.3438,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.414,NO
1.0,YES
0.414,NO
