50Traced_NONETRACED_SUM_RAW_VSM_75_MEDIAN,Associated
0.0737,NO
0.1065,NO
0.6638,NO
0.29100000000000004,NO
0.3566,NO
0.2955,NO
0.3616,NO
0.0904,NO
0.522,NO
2.571,YES
0.493,NO
1.7938,YES
0.7479,NO
0.7401,NO
0.2223,NO
0.1142,NO
0.3566,NO
0.2487,NO
0.4798,NO
0.2179,NO
0.1684,NO
1.8452,YES
1.0346,YES
2.0584,YES
0.9264,YES
0.3916,NO
2.2019,YES
0.6471,NO
0.265,YES
0.2774,YES
0.6007,NO
0.2795,NO
0.1996,NO
0.2853,NO
0.7005,YES
0.2669,YES
0.4551,NO
0.1215,NO
0.1577,NO
0.1058,NO
0.3708,NO
0.3584,NO
0.1551,NO
0.5225,YES
0.0851,NO
0.561,YES
0.2114,NO
0.6407,YES
0.0888,NO
0.1212,NO
0.1759,NO
0.171,NO
0.0802,NO
0.4199,NO
0.253,NO
0.3345,NO
0.1928,NO
0.1534,NO
0.7126,NO
0.5897,NO
0.3778,NO
0.2884,NO
0.5965,NO
0.155,NO
0.4565,NO
3.4972,YES
0.495,NO
3.2039,YES
0.5783,NO
0.745,NO
0.2136,NO
0.1919,NO
0.5768,NO
0.4567,NO
0.9114,NO
0.3193,NO
0.4406,NO
2.7678,YES
1.5201,YES
3.3898,YES
2.3349,YES
0.4474,NO
2.4417,YES
0.4621,NO
0.3696,YES
0.4247,YES
0.8553,NO
0.2106,NO
0.1507,NO
0.3577,NO
1.3625,YES
0.3113,YES
0.5691,NO
0.3949,NO
0.2629,NO
0.3838,NO
0.3481,NO
0.4051,NO
0.2075,NO
0.7544,YES
0.1515,NO
1.212,YES
0.4058,NO
1.2403,YES
0.1569,NO
0.4035,NO
0.2143,NO
0.4844,NO
0.3356,NO
0.5994,NO
0.4978,NO
0.3741,NO
0.2756,NO
0.1719,NO
2.1898,YES
3.3993,YES
2.5036,YES
0.9505,YES
0.434,NO
0.1376,NO
2.1064,YES
0.5186,NO
0.4919,YES
0.4508,NO
0.6146,NO
0.5968,NO
0.2736,NO
0.2766,NO
1.8005,YES
0.3047,NO
3.0139,YES
0.3605,NO
1.1963,YES
0.531,NO
0.5145,NO
0.723,NO
0.4651,NO
1.3013,YES
0.857,NO
1.5207,YES
0.3763,NO
0.2753,NO
0.9847,NO
0.3369,NO
0.3329,NO
0.5135,NO
0.5752,NO
0.4057,NO
0.6631,NO
2.9965,YES
0.6187,NO
2.7103,YES
0.3654,NO
0.56,NO
0.1689,NO
0.3936,NO
0.4606,NO
0.37,NO
0.7315,NO
0.3267,NO
0.3483,NO
2.2984,YES
1.4422,YES
2.8976,YES
1.8355,YES
0.8543,NO
2.4362,YES
0.5244,NO
0.2726,NO
0.1787,NO
1.5682,YES
2.251,YES
1.9280000000000002,YES
0.595,YES
0.3508,NO
0.2482,NO
1.4977,YES
0.8413,NO
0.3587,YES
0.574,NO
0.3842,NO
0.499,NO
0.3025,NO
0.2856,NO
1.1653,YES
0.3221,NO
2.1625,YES
0.3743,NO
0.925,YES
0.7867,NO
0.3944,NO
0.6377,NO
0.4618,NO
0.7687,YES
0.6629999999999999,NO
1.2015,YES
0.294,NO
0.1785,NO
1.709,NO
0.581,NO
0.4427,NO
0.7041,NO
0.5961,NO
0.1536,NO
1.1375,NO
3.5369,YES
0.7563,NO
3.2482,YES
0.5068,NO
0.7379,NO
0.2033,NO
0.0838,NO
0.4378,NO
0.4604,NO
0.6142,NO
0.3442,NO
0.4708,NO
2.7979,YES
1.5908,YES
3.5393,YES
2.3895,YES
0.9626,NO
2.6062,YES
1.0173,NO
0.2578,NO
0.1395,NO
1.0792,NO
0.4469,NO
0.3546,NO
0.4453,NO
0.5843,NO
0.2278,NO
0.4951,NO
3.0049,YES
0.5141,NO
3.1284,YES
0.3956,NO
0.6089,NO
0.1,NO
0.204,NO
0.4144,NO
0.3487,NO
0.4522,NO
0.3644,NO
0.3979,NO
2.5998,YES
1.3877,YES
3.3193,YES
2.2583,YES
0.6781,NO
1.9516,YES
0.6273,NO
0.3175,NO
0.316,NO
1.0023,NO
0.5573,NO
0.3809,NO
0.3318,NO
0.4554,NO
0.159,NO
0.7796,NO
2.2107,YES
0.3539,NO
2.4486,YES
0.4584,NO
0.5421,NO
0.2007,NO
0.2541,NO
0.3577,NO
0.4202,NO
0.4382,NO
0.3706,NO
0.4041,NO
1.9243,YES
1.1559,YES
2.5796,YES
2.1773,YES
0.5867,NO
1.1340000000000001,YES
0.6069,NO
0.3504,NO
0.2411,NO
1.0338,NO
0.4755,NO
0.4539,NO
0.3818,NO
0.4801,NO
0.3108,NO
0.7569,NO
2.3258,YES
0.5339,NO
2.5231,YES
0.474,NO
0.5226,NO
0.2045,NO
0.2818,NO
0.4169,NO
0.2581,NO
0.6115,NO
0.3098,NO
0.3433,NO
1.9869999999999999,YES
1.1875,YES
2.6324,YES
1.6778,YES
0.6822,NO
1.7991,YES
0.6583,NO
0.5335,NO
0.2903,NO
4.973,YES
1.8302,YES
1.4126,YES
2.3346,YES
0.706,NO
0.3463,NO
3.2401,YES
0.9116,NO
1.375,YES
0.8047,NO
0.8549,NO
0.8916,NO
0.2752,NO
0.3551,NO
0.6807,YES
0.2402,NO
1.3931,YES
0.3761,NO
0.9646,YES
0.8561,NO
0.8290000000000001,NO
1.5102,NO
0.5129,NO
3.4302,YES
1.6269,NO
2.8749,YES
0.3309,NO
0.1865,NO
1.3053,YES
0.4758,NO
0.5869,NO
1.0211,YES
0.4014,NO
0.2456,NO
1.6194,YES
0.6822,NO
0.6238,YES
0.4548,NO
0.6508,NO
0.6196,NO
0.2719,NO
0.2596,NO
0.5361,NO
0.2907,NO
0.5732,NO
0.2456,NO
0.2637,NO
0.6342,NO
0.6271,NO
0.7318,NO
0.3177,NO
1.9312,YES
1.0053,NO
0.8499,YES
0.1496,NO
0.275,NO
1.006,YES
1.9531,YES
1.0137,YES
0.2885,YES
0.36700000000000005,NO
0.1386,NO
0.7827,YES
0.4302,NO
0.2608,YES
0.387,NO
0.5404,NO
0.4688,NO
0.2048,NO
0.3569,NO
0.7968,YES
0.3238,NO
1.9118,YES
0.3067,NO
0.7078,YES
0.4272,NO
0.2445,NO
0.5014,NO
0.3684,NO
0.2932,YES
0.5062,NO
0.7592,YES
0.2532,NO
0.1722,NO
2.4054,YES
0.9241,NO
0.5805,NO
0.8246,YES
0.1832,NO
0.153,NO
2.0566,YES
0.159,NO
0.7684,YES
0.1456,NO
0.504,NO
0.2546,NO
0.1753,NO
0.1775,NO
0.3148,NO
0.1654,NO
1.034,NO
0.0902,NO
0.5056,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.9534,YES
0.7053,NO
1.6579,YES
0.1823,NO
0.1269,NO
1.5113,YES
3.4612,YES
2.611,YES
0.5693,YES
0.3761,NO
0.121,NO
1.5228,YES
0.5419,NO
0.2836,YES
0.2394,NO
0.5261,NO
0.4546,NO
0.2638,NO
0.2708,NO
1.844,YES
0.2584,NO
3.3949,YES
0.2908,NO
1.1812,YES
0.4552,NO
0.3962,NO
0.4576,NO
0.2042,NO
0.6503,YES
0.8351,NO
1.1667,YES
0.8232,YES
1.2691,YES
1.0107,NO
0.2311,NO
0.1459,NO
0.4741,NO
1.6327,YES
0.7653,YES
0.6521,NO
0.1697,NO
0.3091,NO
0.2564,NO
0.5554,NO
0.6028,NO
0.2228,NO
1.7556,YES
0.106,NO
1.6075,YES
0.3486,NO
1.6341,YES
0.1989,NO
0.1767,NO
0.3656,NO
0.3408,NO
0.3177,NO
0.7034,NO
0.3784,NO
0.3722,NO
0.8034,NO
0.2938,NO
5.7768,YES
1.9469,YES
1.4774,YES
2.8353,YES
0.7058,NO
0.2381,NO
5.0022,YES
0.5293,NO
1.7241,YES
0.4777,NO
0.8898,NO
0.9349,NO
0.4098,NO
0.2873,NO
0.7136,YES
0.3483,NO
1.6283,YES
0.337,NO
0.9359999999999999,YES
0.5805,NO
0.7311,NO
1.0609,NO
0.6159,NO
4.2913,YES
1.6681,NO
3.1315,YES
0.904,NO
0.5022,NO
6.3058,YES
1.7686,YES
1.4702,YES
3.0403,YES
0.7482,NO
0.4253,NO
5.0839,YES
0.4623,NO
1.8772,YES
0.3261,NO
0.9004,NO
1.1468,NO
0.3937,NO
0.5022,NO
0.6568,YES
0.3785,NO
1.5755,YES
0.349,NO
0.9764,YES
0.5652,NO
0.7809,NO
0.9731,NO
0.4577,NO
4.8469,YES
1.7741,NO
3.2769,YES
0.5544,NO
0.3529,NO
4.1102,YES
1.3256,YES
1.1248,YES
2.1073,YES
0.5572,NO
0.2899,NO
2.8183,YES
0.5354,NO
1.0902,YES
0.3996,NO
0.6096,NO
0.8643,NO
0.2572,NO
0.4002,NO
0.369,YES
0.3483,NO
0.652,YES
0.4081,NO
0.7027,YES
0.496,NO
0.7149,NO
0.9959,NO
0.4141,NO
3.0945,YES
1.0846,NO
2.1585,YES
0.5156,NO
0.1909,NO
3.3907,YES
1.0112,YES
0.6831,YES
1.6461,YES
0.3992,NO
0.2031,NO
3.3349,YES
0.1799,NO
1.1082,YES
0.1684,NO
0.5755,NO
0.6729999999999999,NO
0.2549,NO
0.1714,NO
0.4721,YES
0.1844,NO
1.2309999999999999,YES
0.1084,NO
0.4908,YES
0.3593,NO
0.4073,NO
0.3983,NO
0.31,NO
3.1567,YES
1.101,NO
1.6155,YES
0.251,NO
0.1278,NO
1.6562,YES
2.7772,YES
1.8422,YES
0.606,YES
0.3914,NO
0.2335,NO
1.59,YES
0.8556,NO
0.3356,YES
0.594,NO
0.5702,NO
0.7303,NO
0.2844,NO
0.2925,NO
1.1249,YES
0.4162,NO
2.2279,YES
0.4939,NO
0.9864,YES
0.6552,NO
0.5331,NO
0.7353,NO
0.5764,NO
0.718,YES
0.8704,NO
1.1751,YES
0.1323,NO
0.10300000000000001,NO
1.396,YES
2.8814,YES
1.9516,YES
0.6979,YES
0.226,NO
0.1431,NO
1.4258,YES
0.6409999999999999,NO
0.3543,YES
0.4577,NO
0.5484,NO
0.5658,NO
0.2029,NO
0.1825,NO
1.7485,YES
0.1844,NO
2.9242,YES
0.1404,NO
1.1575,YES
0.5022,NO
0.4053,NO
0.5573,NO
0.4301,NO
0.9558,YES
0.8859999999999999,NO
0.8687,YES
0.218,NO
0.2205,NO
0.6921,NO
0.4834,NO
0.4749,NO
0.3504,NO
0.3995,NO
0.2222,NO
0.8299,NO
0.4071,NO
0.2625,NO
0.2921,NO
0.9244,YES
0.7490000000000001,YES
0.3938,YES
0.3085,NO
0.3867,NO
0.2387,NO
0.5973,NO
0.2505,NO
0.226,NO
0.34600000000000003,NO
0.326,NO
0.405,NO
0.2535,NO
0.6528,NO
0.3923,NO
0.4992,NO
0.6429,YES
0.41600000000000004,YES
0.4066,NO
0.303,NO
0.2355,NO
0.0965,NO
2.1208,YES
1.1257,YES
0.19,NO
0.449,NO
0.1162,NO
0.3491,NO
0.2295,NO
0.1741,NO
0.1562,NO
1.5891,YES
0.2767,NO
1.5464,YES
0.4796,NO
2.0895,YES
0.1448,NO
0.3563,NO
0.2831,NO
0.3829,NO
0.2739,NO
0.1543,NO
0.4362,NO
0.156,NO
0.2805,NO
0.1495,NO
1.9276,YES
2.293,YES
1.9167,YES
0.9043,YES
0.424,NO
0.2368,NO
1.6724,YES
0.6818,NO
0.5048,YES
0.4822,NO
0.5643,NO
0.7448,NO
0.2925,NO
0.2479,NO
1.1688,YES
0.3635,NO
1.8908,YES
0.4251,NO
0.9133,YES
0.5761,NO
0.5122,NO
0.6975,NO
0.33799999999999997,NO
1.161,YES
0.8771,NO
1.4773,YES
0.6892,YES
0.5053,YES
0.6656,NO
0.1615,NO
0.0906,NO
0.2063,NO
1.3054,YES
1.1789,YES
0.3602,NO
0.1837,NO
0.2055,NO
0.2334,NO
0.2619,NO
0.3407,NO
0.132,NO
1.4836,YES
0.0766,NO
0.7873,YES
0.3001,NO
1.285,YES
0.139,NO
0.1638,NO
0.2562,NO
0.1675,NO
0.19,NO
0.3662,NO
0.2563,NO
0.162,NO
0.1472,NO
0.0659,NO
0.6197,NO
0.2168,NO
0.1201,NO
0.5066,NO
0.3296,NO
0.2164,NO
0.575,NO
1.5671,YES
0.3641,NO
0.8048,YES
0.4381,NO
0.5497,NO
0.2504,NO
0.1771,NO
0.1754,NO
0.29100000000000004,NO
0.3364,NO
0.2072,NO
0.1866,NO
0.8809,YES
0.7328,YES
1.0363,YES
0.6552,YES
0.6133,NO
1.3948,YES
0.4213,NO
0.7849,YES
1.2137,YES
0.5077,NO
0.1895,NO
0.065,NO
0.2333,NO
1.6429,YES
0.8378,YES
0.0947,NO
0.2384,NO
0.1515,NO
0.2881,NO
