50Traced_NONETRACED_SUM_MULTI_VSM_34_MAX,Associated
1.3117,NO
0.9376,NO
0.9695,NO
1.5211,NO
0.6593,NO
1.4626,NO
1.5136,NO
0.6126,NO
0.5863,NO
2.9234,YES
0.8328,NO
2.7793,YES
1.073,NO
1.1158,NO
0.4524,NO
0.9248,NO
1.7801,NO
1.1651,NO
0.7128,NO
0.5825,NO
1.1263,NO
2.3381,YES
3.3481,YES
3.0115,YES
3.4319,YES
1.4218,NO
3.5381,YES
1.0968,NO
1.4754,YES
1.6296,YES
0.6447,NO
0.8132,NO
0.6712,NO
0.9179999999999999,NO
1.4039,YES
1.1308,YES
0.5844,NO
0.2907,NO
0.4106,NO
0.2876,NO
0.6701,NO
0.6957,NO
0.3081,NO
1.1303,YES
0.6278,NO
1.9976,YES
0.5027,NO
1.1034,YES
0.6047,NO
0.3483,NO
0.3464,NO
0.3868,NO
0.20800000000000002,NO
0.7116,NO
0.2143,NO
0.5279,NO
0.7692,NO
0.4453,NO
0.8851,NO
1.9365,NO
1.1043,NO
1.2766,NO
1.0407,NO
0.2181,NO
1.0029,NO
2.8741,YES
0.9223,NO
2.7231,YES
1.1625,NO
1.3986,NO
0.5139,NO
0.7824,NO
1.9942,NO
0.7531,NO
1.0046,NO
0.2493,NO
1.5073,NO
2.6292,YES
3.3152,YES
3.0842,YES
3.4956,YES
1.6258,NO
3.5527,YES
0.975,NO
2.4064,YES
2.4686,YES
0.687,NO
0.8359,NO
0.3319,NO
0.9982,NO
2.3526,YES
1.8494,YES
0.7259,NO
0.6143,NO
0.6233,NO
0.5899,NO
0.5786,NO
0.5194,NO
0.2075,NO
1.5584,YES
0.3785,NO
3.0266,YES
0.4226,NO
1.6636,YES
0.5186,NO
0.4697,NO
0.648,NO
0.6347,NO
0.5183,NO
0.9159999999999999,NO
0.6048,NO
0.5483,NO
1.545,NO
0.7618,NO
2.4513,YES
5.1972,YES
3.9518,YES
2.7233,YES
1.8608,NO
0.6926,NO
2.7439,YES
0.9225,NO
1.7690000000000001,YES
0.6707,NO
1.7213,NO
1.3393,NO
0.7804,NO
1.0162,NO
4.2589,YES
1.114,NO
3.7261,YES
0.5956,NO
4.9141,YES
1.5629,NO
1.2462,NO
1.6453,NO
0.9234,NO
3.0662,YES
1.5945,NO
2.7171,YES
0.8916,NO
0.6351,NO
1.3135,NO
1.8281,NO
1.1616,NO
2.2648,NO
1.226,NO
0.4375,NO
1.4333,NO
2.8916,YES
1.4689,NO
2.8705,YES
1.5046,NO
1.7974,NO
0.8389,NO
0.5676,NO
2.0138,NO
0.7012,NO
1.0317,NO
0.3818,NO
1.415,NO
2.6009,YES
3.5291,YES
3.228,YES
3.6211,YES
2.2518,NO
3.6998,YES
1.7819999999999998,NO
0.6729,NO
0.1559,NO
0.9486,YES
3.556,YES
2.7354,YES
2.0433,YES
1.1352,NO
0.1278,NO
1.6084,YES
0.9743,NO
1.0538,YES
0.7058,NO
0.6794,NO
0.7274,NO
0.4263,NO
0.4769,NO
3.1596,YES
0.3147,NO
2.7349,YES
0.18600000000000003,NO
3.3827,YES
1.1814,NO
1.18,NO
0.7251,NO
0.9818,NO
1.8092,YES
1.3321,NO
1.2919999999999998,YES
0.8607,NO
0.4134,NO
1.0688,NO
1.8235,NO
0.9507,NO
1.3346,NO
1.0789,NO
0.1756,NO
0.7746,NO
2.8892,YES
1.2604,NO
2.6936,YES
0.6924,NO
0.9690000000000001,NO
0.2434,NO
0.804,NO
2.0272,NO
0.7014,NO
0.9254,NO
0.2947,NO
1.4664,NO
2.4499,YES
3.4059,YES
3.0375,YES
3.3316,YES
1.5222,NO
3.7311,YES
1.0576,NO
1.0798,NO
0.4979,NO
1.2876,NO
2.2151,NO
1.3229,NO
1.7081,NO
1.2153,NO
0.2733,NO
1.3306,NO
3.1412,YES
1.7857,NO
3.4552,YES
1.0097,NO
1.3031,NO
0.3452,NO
0.7065,NO
2.0009,NO
0.7334,NO
1.3206,NO
0.3414,NO
1.6061,NO
2.8699,YES
3.9371,YES
3.8244,YES
4.0696,YES
2.2891,NO
4.2359,YES
1.5728,NO
0.7883,NO
0.3555,NO
1.1404,NO
1.9993,NO
1.1392,NO
1.9041,NO
0.9265,NO
0.1955,NO
1.1887,NO
3.1312,YES
1.5391,NO
3.3516,YES
1.5301,NO
1.8454,NO
0.8385,NO
0.5321,NO
1.9734,NO
0.4897,NO
1.0561,NO
0.1941,NO
1.1875,NO
2.8511,YES
4.0377,YES
3.6352,YES
4.0834,YES
2.1082,NO
4.077,YES
1.423,NO
0.8477,NO
0.584,NO
0.4968,NO
1.3732,NO
0.6045,NO
0.9859,NO
1.1087,NO
0.2838,NO
0.4444,NO
2.9173,YES
0.8706,NO
3.1832,YES
1.4256,NO
1.6638,NO
0.7823,NO
0.6085,NO
1.3438,NO
0.7301,NO
0.8331,NO
0.3253,NO
0.6329,NO
2.4515,YES
4.0077,YES
3.0869999999999997,YES
3.7762,YES
1.2089,NO
3.9192,YES
0.5628,NO
1.4351,NO
0.9049,NO
3.6685,YES
1.6045,YES
0.9834,YES
4.1135,YES
1.5006,NO
0.8871,NO
3.8243,YES
1.0508,NO
3.8701,YES
1.4868,NO
1.5798,NO
1.0682,NO
0.4719,NO
1.043,NO
1.5058,YES
1.4486,NO
0.6951,YES
1.0129,NO
1.5379,YES
1.5212,NO
1.3247,NO
2.9831,NO
1.4280000000000002,NO
4.8586,YES
2.0601,NO
4.7716,YES
