50Traced_NONETRACED_SUM_MULTI_LSA_98_MEDIAN,Associated
0.7119,NO
0.2721,NO
1.2103,NO
0.7428,NO
0.8248,NO
1.3085,NO
0.7070000000000001,NO
0.3037,NO
1.172,NO
2.3734,YES
1.2112,NO
1.7198,YES
1.2105,NO
0.9154,NO
0.7322,NO
0.3553,NO
0.562,NO
0.3906,NO
1.0868,NO
0.2675,NO
1.2946,NO
2.3809,YES
2.5268,YES
2.5865,YES
1.6527,YES
1.2603,NO
1.7029,YES
0.7332,NO
2.0268,YES
2.4075,YES
1.5377,NO
1.2488,NO
1.2346,NO
1.3349,NO
1.6755,YES
2.1386,YES
1.1975,NO
0.5946,NO
1.0859,NO
0.2375,NO
0.6357,NO
0.6566,NO
0.4614,NO
1.5057,YES
1.1195,NO
1.7948,YES
1.0143,NO
2.0649,YES
1.1191,NO
0.511,NO
0.6411,NO
0.9472,NO
0.5076,NO
1.4785,NO
0.5936,NO
0.8807,NO
1.2409,NO
0.7916,NO
1.5936,NO
1.2529,NO
1.1817,NO
2.5345,NO
1.4921,NO
0.8473,NO
2.1717,NO
3.3558,YES
1.7563,NO
2.1558,YES
1.3952,NO
1.1365,NO
0.4005,NO
0.9261,NO
0.7628,NO
0.8992,NO
1.5887,NO
0.7399,NO
1.681,NO
3.4601,YES
3.8171,YES
3.9687,YES
2.3084,YES
2.4681,NO
2.7916,YES
1.2448,NO
2.4216,YES
2.5646,YES
1.2788,NO
0.6087,NO
0.612,NO
1.1326,NO
1.2637,YES
2.2997,YES
1.1733,NO
0.2328,NO
0.8569,NO
0.11,NO
0.6623,NO
0.4986,NO
0.4971,NO
1.7792,YES
0.7459,NO
2.306,YES
0.4819,NO
2.4754,YES
0.6163,NO
0.2856,NO
0.2054,NO
0.3213,NO
0.4364,NO
1.2814,NO
0.6721,NO
0.7189,NO
1.6563,NO
0.5298,NO
1.9927,YES
3.8348,YES
2.8147,YES
2.0226,YES
1.1911,NO
0.3948,NO
1.6939,YES
0.47,NO
2.381,YES
0.499,NO
1.0008,NO
1.3681,NO
0.9263,NO
0.4759,NO
3.4071,YES
0.659,NO
3.6069999999999998,YES
0.8125,NO
3.5749,YES
0.684,NO
1.4219,NO
1.5212,NO
0.5112,NO
1.7607,YES
0.841,NO
1.7286,YES
1.5834,NO
0.8821,NO
1.5133,NO
0.9748,NO
1.3521,NO
1.9266,NO
1.2794,NO
0.9335,NO
1.8746,NO
3.5509,YES
1.7202,NO
2.1334,YES
1.2729,NO
1.133,NO
0.5323,NO
0.9407,NO
0.9861,NO
1.1317,NO
1.5881,NO
0.9466,NO
1.8135,NO
3.4682,YES
3.4321,YES
3.9739,YES
2.1238,YES
1.8814,NO
2.5514,YES
1.0318,NO
1.3746,NO
0.639,NO
1.4796,YES
3.9046,YES
3.0624,YES
1.3831,YES
1.1386,NO
0.4345,NO
1.0542,YES
1.1551,NO
1.7466,YES
1.1022,NO
0.7588,NO
1.0221,NO
0.5859,NO
0.336,NO
3.7756,YES
0.5754,NO
3.7608,YES
0.5484,NO
3.8191,YES
1.3898,NO
2.2646,NO
2.1454,NO
1.1218,NO
1.3236,YES
1.0899,NO
1.0915,YES
1.3053,NO
0.6068,NO
1.6504,NO
1.4677,NO
1.3008,NO
2.0583,NO
1.2903,NO
0.6089,NO
1.9932,NO
3.0267,YES
1.7509,NO
2.1249,YES
1.3486,NO
1.2058,NO
0.496,NO
0.7985,NO
1.2606,NO
0.9146,NO
1.7946,NO
0.6412,NO
1.9249,NO
3.2329,YES
3.5845,YES
3.6944,YES
2.2074,YES
2.0276,NO
2.7653,YES
1.0325,NO
0.998,NO
0.5834,NO
1.7409999999999999,NO
1.1409,NO
1.4438,NO
2.3842,NO
1.2386,NO
0.6932,NO
2.1419,NO
3.4797,YES
1.73,NO
2.2245,YES
1.2842,NO
0.9508,NO
0.3099,NO
0.7614,NO
0.9375,NO
0.7081,NO
