50Traced_NONETRACED_MAX_MULTI_LSA_31_MEDIAN,Associated
0.2356,NO
0.0652,NO
0.1376,NO
0.2383,NO
0.2804,NO
0.2323,NO
0.0799,NO
0.2574,NO
0.2323,NO
0.7677,YES
0.1632,NO
0.4567,YES
0.3555,NO
0.2635,NO
0.3555,NO
0.1142,NO
0.2804,NO
0.2327,NO
0.2804,NO
0.2574,NO
0.2804,NO
0.7677,YES
0.5015,YES
0.7677,YES
0.3987,YES
0.1805,NO
0.7677,YES
0.2323,NO
1.0,YES
1.0,YES
0.3362,NO
0.1791,NO
0.2796,NO
0.3034,NO
1.0,YES
1.0,YES
0.3034,NO
0.2425,NO
0.1581,NO
0.1939,NO
0.3148,NO
0.3144,NO
0.3148,NO
1.0,YES
0.2044,NO
1.0,YES
0.2796,NO
1.0,YES
0.2796,NO
0.2425,NO
0.1939,NO
0.2425,NO
0.126,NO
0.2673,NO
0.2425,NO
0.3034,NO
0.3496,NO
0.1534,NO
0.5722,NO
0.4177,NO
0.3765,NO
0.6333,NO
0.294,NO
0.1316,NO
0.3028,NO
1.0,YES
0.2251,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2728,NO
0.294,NO
0.4175,NO
0.3069,NO
0.3844,NO
0.1755,NO
0.3765,NO
1.0,YES
1.0,YES
1.0,YES
0.965,YES
0.303,NO
1.0,YES
0.2372,NO
1.0,YES
1.0,YES
0.3356,NO
0.2013,NO
0.2013,NO
0.2455,NO
1.0,YES
1.0,YES
0.2222,NO
0.2069,NO
0.2455,NO
0.2251,NO
0.3667,NO
0.3667,NO
0.3667,NO
1.0,YES
0.2044,NO
1.0,YES
0.1263,NO
0.568,YES
0.1055,NO
0.2251,NO
0.2251,NO
0.1854,NO
0.1087,NO
0.2673,NO
0.2251,NO
0.1469,NO
0.1864,NO
0.0849,NO
0.3603,YES
0.7917,YES
1.0,YES
0.6191,YES
0.2784,NO
0.0529,NO
0.6191,YES
0.2975,NO
0.4131,YES
0.1443,NO
0.3877,NO
0.3877,NO
0.3877,NO
0.2011,NO
1.0,YES
0.2011,NO
1.0,YES
0.1882,NO
1.0,YES
0.2147,NO
0.4169,NO
0.2382,NO
0.138,NO
0.3603,YES
0.4382,NO
0.6191,YES
0.3496,NO
0.111,NO
0.5722,NO
0.3822,NO
0.3132,NO
0.6333,NO
0.272,NO
0.3331,NO
0.4052,NO
