50Traced_NONETRACED_MAX_MULTI_VSM_40_MEDIAN,Associated
0.2852,NO
0.2574,NO
0.2323,NO
0.5644,NO
0.2813,NO
0.2707,NO
0.4164,NO
0.2852,NO
0.4753,NO
0.9462,YES
0.1782,NO
1.0,YES
0.3555,NO
0.3824,NO
0.3353,NO
0.2852,NO
0.3984,NO
0.2852,NO
0.1542,NO
0.2574,NO
0.2383,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2156,NO
1.0,YES
1.0,YES
0.3362,NO
0.2796,NO
0.1563,NO
0.3034,NO
1.0,YES
1.0,YES
0.3034,NO
0.1056,NO
0.1581,NO
0.1189,NO
0.301,NO
0.3413,NO
0.301,NO
1.0,YES
0.2278,NO
1.0,YES
0.1687,NO
1.0,YES
0.2165,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.228,NO
0.2142,NO
0.3034,NO
0.3088,NO
0.1534,NO
0.3753,NO
0.5644,NO
0.2961,NO
0.4016,NO
0.3258,NO
0.0863,NO
0.3028,NO
0.965,YES
0.1686,NO
1.0,YES
0.2445,NO
0.3388,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.4224,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.2575,NO
0.7613,YES
0.2487,NO
1.0,YES
1.0,YES
0.3559,NO
0.3559,NO
0.1989,NO
0.2479,NO
0.7571,YES
1.0,YES
0.2344,NO
0.316,NO
0.2455,NO
0.188,NO
0.3845,NO
0.3845,NO
0.2386,NO
1.0,YES
0.2278,NO
1.0,YES
0.2148,NO
1.0,YES
0.1909,NO
0.1769,NO
0.316,NO
0.1728,NO
0.316,NO
0.2455,NO
0.316,NO
0.2528,NO
0.3229,NO
0.2493,NO
1.0,YES
1.0,YES
0.6940000000000001,YES
0.6382,YES
0.3189,NO
0.2011,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.2531,NO
0.42,NO
0.1934,NO
0.2493,NO
1.0,YES
0.2493,NO
0.6276,YES
0.2493,NO
1.0,YES
0.3118,NO
0.462,NO
0.4856,NO
0.0826,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3331,NO
0.3331,NO
0.2164,NO
0.5352,NO
0.2813,NO
0.4052,NO
0.4164,NO
0.272,NO
0.4753,NO
0.9187,YES
0.2333,NO
0.9481,YES
0.3166,NO
0.3824,NO
0.3166,NO
0.3331,NO
0.3984,NO
0.3331,NO
0.2392,NO
0.3331,NO
0.3613,NO
1.0,YES
0.9481,YES
0.9481,YES
1.0,YES
0.4758,NO
1.0,YES
0.4052,NO
0.3229,NO
0.0774,NO
0.5253,YES
1.0,YES
1.0,YES
0.5022,YES
0.3189,NO
0.0697,NO
0.4664,YES
0.4608,NO
0.2359,YES
0.2419,NO
0.3335,NO
0.42,NO
0.3335,NO
0.1729,NO
1.0,YES
0.1669,NO
0.7959999999999999,YES
0.142,NO
1.0,YES
0.3157,NO
0.4608,NO
0.4471,NO
0.4608,NO
0.3891,YES
0.4382,NO
0.2294,YES
0.32,NO
0.2988,NO
0.2809,NO
0.4029,NO
0.3069,NO
0.4218,NO
0.4164,NO
0.2816,NO
0.4753,NO
1.0,YES
0.2197,NO
0.5949,YES
0.4316,NO
0.4316,NO
0.4316,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.2988,NO
0.4378,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.4758,NO
1.0,YES
0.4218,NO
0.32,NO
0.1493,NO
0.3237,NO
0.4117,NO
0.3069,NO
0.4162,NO
0.4164,NO
0.1187,NO
0.4753,NO
1.0,YES
0.3745,NO
0.7294,YES
0.2244,NO
0.3824,NO
0.0706,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.1309,NO
0.4378,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.4758,NO
1.0,YES
0.3905,NO
0.32,NO
0.1493,NO
0.4809,NO
0.5077,NO
0.3069,NO
0.4162,NO
0.293,NO
0.1204,NO
0.3138,NO
1.0,YES
0.2964,NO
0.8995,YES
0.2252,NO
0.3673,NO
0.2007,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.1912,NO
0.4378,NO
0.7466,YES
1.0,YES
0.8995,YES
1.0,YES
0.2964,NO
1.0,YES
0.2964,NO
0.32,NO
0.2173,NO
0.3649,NO
0.5644,NO
0.3069,NO
0.4162,NO
0.4164,NO
0.1473,NO
0.4753,NO
1.0,YES
0.1639,NO
1.0,YES
0.3435,NO
0.3824,NO
0.2131,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.2173,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2458,NO
0.3618,NO
0.2734,NO
1.0,YES
0.5061,YES
0.2829,YES
1.0,YES
0.3433,NO
0.2465,NO
1.0,YES
0.2509,NO
1.0,YES
0.121,NO
0.4524,NO
0.3856,NO
0.21600000000000003,NO
0.2734,NO
0.4049,YES
0.2734,NO
0.5522,YES
0.2734,NO
0.3351,YES
0.5358,NO
0.3467,NO
0.5187,NO
0.5358,NO
1.0,YES
0.578,NO
1.0,YES
0.3618,NO
0.1547,NO
0.7454,YES
0.4032,NO
0.2278,NO
0.8451,YES
0.1827,NO
0.1287,NO
0.9273,YES
0.191,NO
1.0,YES
0.1528,NO
0.5231,NO
0.5231,NO
0.5231,NO
0.184,NO
0.4049,NO
0.1398,NO
0.3915,NO
0.1451,NO
0.3831,NO
0.256,NO
0.3458,NO
0.518,NO
0.2244,NO
1.0,YES
0.5562,NO
1.0,YES
0.3229,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.3189,NO
0.2331,NO
0.5764,YES
0.5755,NO
0.6062,YES
0.6083,NO
0.2531,NO
0.42,NO
0.2048,NO
0.2331,NO
1.0,YES
0.2331,NO
0.7959999999999999,YES
0.1224,NO
1.0,YES
0.5048,NO
0.6083,NO
0.6083,NO
0.6083,NO
0.6062,YES
0.4444,NO
0.5764,YES
0.2043,NO
0.1646,NO
0.8554,YES
0.2856,NO
0.2302,NO
1.0,YES
0.3433,NO
0.153,NO
0.8554,YES
0.3773,NO
0.8554,YES
0.1456,NO
0.2554,NO
0.3856,NO
0.21600000000000003,NO
0.1775,NO
0.3273,NO
0.1654,NO
0.4414,NO
0.0902,NO
0.3073,NO
0.2585,NO
0.3773,NO
0.5187,NO
0.3773,NO
0.8554,YES
0.5104,NO
1.0,YES
0.11900000000000001,NO
0.1148,NO
0.2445,YES
1.0,YES
1.0,YES
0.5022,YES
0.2651,NO
0.0842,NO
0.4664,YES
0.3816,NO
0.1594,YES
0.2022,NO
0.3002,NO
0.3376,NO
0.1863,NO
0.1729,NO
1.0,YES
0.1669,NO
0.7959999999999999,YES
0.1387,NO
1.0,YES
0.3118,NO
0.1827,NO
0.4471,NO
0.1827,NO
0.3891,YES
0.4382,NO
0.1644,YES
1.0,YES
1.0,YES
0.3634,NO
0.3389,NO
0.1894,NO
0.2796,NO
0.6145,YES
0.7333,YES
0.275,NO
0.2808,NO
0.2219,NO
0.2273,NO
0.4228,NO
0.4228,NO
0.4028,NO
0.6145,YES
0.2278,NO
0.8716,YES
0.2045,NO
1.0,YES
0.1676,NO
0.1887,NO
0.2808,NO
0.2273,NO
0.2808,NO
0.2219,NO
0.2808,NO
0.2796,NO
0.3618,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.3433,NO
0.1327,NO
0.9273,YES
0.3027,NO
0.8987,YES
0.1702,NO
0.5037,NO
0.5037,NO
0.5037,NO
0.1555,NO
0.4942,YES
0.1159,NO
0.6036,YES
0.1198,NO
0.4542,YES
0.2407,NO
0.462,NO
0.5187,NO
0.2338,NO
1.0,YES
0.578,NO
1.0,YES
0.3618,NO
0.0958,NO
0.7838,YES
0.6385,YES
0.3568,YES
1.0,YES
0.3433,NO
0.1287,NO
1.0,YES
0.4565,NO
0.6429,YES
0.4825,NO
0.4524,NO
0.3856,NO
0.21600000000000003,NO
0.1911,NO
0.4064,YES
0.0882,NO
0.5522,YES
0.1968,NO
0.4064,YES
0.4005,NO
0.4825,NO
0.5187,NO
0.4825,NO
1.0,YES
0.578,NO
1.0,YES
0.3618,NO
0.1392,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.3433,NO
0.1622,NO
1.0,YES
0.4318,NO
1.0,YES
0.1702,NO
0.4524,NO
0.3856,NO
0.21600000000000003,NO
0.2034,NO
0.4942,YES
0.1975,NO
0.6036,YES
0.1773,NO
0.4542,YES
0.2958,NO
0.462,NO
0.5187,NO
0.4318,NO
1.0,YES
0.578,NO
1.0,YES
0.3618,NO
0.0958,NO
1.0,YES
0.5636,YES
0.315,YES
1.0,YES
0.3195,NO
0.1287,NO
1.0,YES
0.2806,NO
1.0,YES
0.1053,NO
0.4524,NO
0.4412,NO
0.4412,NO
0.1347,NO
0.4049,YES
0.1133,NO
0.5522,YES
0.1142,NO
0.3351,YES
0.2239,NO
0.2918,NO
0.4826,NO
0.2806,NO
1.0,YES
0.578,NO
1.0,YES
0.3229,NO
0.1881,NO
0.44299999999999995,YES
1.0,YES
1.0,YES
0.5022,YES
0.3189,NO
0.1995,NO
0.4664,YES
0.415,NO
0.19899999999999998,YES
