50Traced_NONETRACED_MAX_RAW_LSA_65_MEDIAN,Associated
0.1687,NO
0.1687,NO
0.1423,NO
0.2164,NO
0.1508,NO
0.1423,NO
0.1387,NO
0.1171,NO
0.1689,NO
1.0,YES
0.2347,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.1906,NO
0.1171,NO
0.1453,NO
0.2179,NO
0.166,NO
0.3848,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1576,NO
0.4428,YES
0.3715,YES
0.3362,NO
0.1659,NO
0.1344,NO
0.1659,NO
0.3947,YES
1.0,YES
0.1778,NO
0.1474,NO
0.0981,NO
0.1231,NO
0.1797,NO
0.1835,NO
0.1835,NO
0.3715,YES
0.1659,NO
1.0,YES
0.1344,NO
0.3399,YES
0.1344,NO
0.1212,NO
0.1231,NO
0.1235,NO
0.1474,NO
0.1903,NO
0.1474,NO
0.1008,NO
0.1731,NO
0.1731,NO
0.1694,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.076,NO
0.2187,NO
1.0,YES
0.2347,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1906,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
1.0,YES
1.0,YES
1.0,YES
0.1659,NO
1.0,YES
0.1694,NO
0.284,YES
0.284,YES
0.3356,NO
0.204,NO
0.1507,NO
0.204,NO
0.3435,YES
0.188,YES
0.1731,NO
0.1387,NO
0.1489,NO
0.1387,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.284,YES
0.204,NO
0.188,YES
0.1268,NO
0.3081,YES
0.1268,NO
0.1251,NO
0.1387,NO
0.1387,NO
0.1387,NO
0.2201,NO
0.1351,NO
0.1489,NO
0.1566,NO
0.0475,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.1088,NO
0.2465,YES
0.1475,NO
0.2134,YES
0.1443,NO
0.2165,NO
0.2037,NO
0.2037,NO
0.0818,NO
1.0,YES
0.1088,NO
1.0,YES
0.1417,NO
1.0,YES
0.1629,NO
0.13699999999999998,NO
0.2298,NO
0.0948,NO
0.2732,YES
0.2085,NO
0.2078,YES
0.1621,NO
0.1926,NO
0.2286,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1694,NO
0.2286,NO
0.485,YES
0.1577,NO
0.3374,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.1621,NO
0.1733,NO
0.1926,NO
0.1082,NO
0.2019,NO
0.1293,NO
0.3897,YES
0.4613,YES
0.3374,YES
0.485,YES
0.2286,NO
1.0,YES
0.1639,NO
0.1566,NO
0.11,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.0846,NO
0.2465,YES
0.2598,NO
0.2134,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2298,NO
0.2293,NO
0.2732,YES
0.2293,NO
0.2078,YES
0.1415,NO
0.1755,NO
0.2381,NO
0.1926,NO
0.1547,NO
0.1997,NO
0.1653,NO
0.1809,NO
0.2369,NO
1.0,YES
0.2347,NO
1.0,YES
0.2519,NO
0.2269,NO
0.2269,NO
0.0988,NO
0.1906,NO
0.1809,NO
0.1464,NO
0.2256,NO
0.166,NO
0.3848,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2199,NO
0.0949,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.1508,NO
0.2213,NO
0.1339,NO
0.0967,NO
0.2213,NO
1.0,YES
0.2347,NO
1.0,YES
0.1331,NO
0.1834,NO
0.0797,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
1.0,YES
1.0,YES
1.0,YES
0.193,NO
1.0,YES
0.2133,NO
0.1479,NO
0.1579,NO
0.2171,NO
0.2342,NO
0.2047,NO
0.1823,NO
0.1684,NO
0.1796,NO
0.2171,NO
1.0,YES
0.2347,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2034,NO
0.1479,NO
0.1906,NO
0.1796,NO
0.1207,NO
0.1912,NO
0.166,NO
0.4038,YES
1.0,YES
1.0,YES
1.0,YES
0.2206,NO
1.0,YES
0.1743,NO
0.1542,NO
0.1542,NO
0.2085,NO
0.2886,NO
0.1508,NO
0.2085,NO
0.1387,NO
0.1118,NO
0.1421,NO
1.0,YES
0.2347,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1542,NO
0.2085,NO
0.1118,NO
0.1059,NO
0.1702,NO
0.2184,NO
0.3848,YES
1.0,YES
1.0,YES
1.0,YES
0.1375,NO
1.0,YES
0.1576,NO
0.1523,NO
0.1628,NO
1.0,YES
1.0,YES
0.2628,YES
1.0,YES
0.2237,NO
0.1065,NO
1.0,YES
0.2938,NO
0.3289,YES
0.2938,NO
0.2131,NO
0.2246,NO
0.1834,NO
0.136,NO
1.0,YES
0.1628,NO
0.2829,YES
0.2129,NO
0.2328,YES
0.1629,NO
0.2938,NO
0.3025,NO
0.2938,NO
1.0,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2276,NO
0.172,NO
0.4159,YES
0.1955,NO
0.1097,NO
1.0,YES
0.2742,NO
0.47700000000000004,YES
0.2742,NO
0.3264,NO
0.3203,NO
0.2875,NO
0.171,NO
0.2276,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.2742,NO
0.3767,NO
0.2742,NO
0.3985,YES
0.3359,NO
0.47700000000000004,YES
0.1427,NO
0.1533,NO
1.0,YES
1.0,YES
0.3236,YES
1.0,YES
0.1661,NO
0.0485,NO
0.3189,YES
0.3002,NO
0.2608,YES
0.1095,NO
0.2585,NO
0.2585,NO
0.2585,NO
0.1427,NO
1.0,YES
0.1533,NO
1.0,YES
0.1224,NO
1.0,YES
0.2397,NO
0.3002,NO
0.2935,NO
0.1155,NO
0.3333,YES
0.33,NO
0.3333,YES
0.1636,NO
0.1646,NO
0.4155,YES
0.1762,NO
0.1649,NO
0.4534,YES
0.1681,NO
0.153,NO
0.4738,YES
0.2848,NO
0.493,YES
0.2848,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.3036,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.3036,NO
0.2218,NO
0.2848,NO
0.3901,NO
0.2848,NO
0.4534,YES
0.3584,NO
0.4155,YES
0.1566,NO
0.0855,NO
0.1484,YES
1.0,YES
1.0,YES
0.1484,YES
0.1548,NO
0.0271,NO
0.1204,YES
0.1296,NO
0.066,YES
0.1023,NO
0.171,NO
0.1733,NO
0.1785,NO
0.0785,NO
1.0,YES
0.0855,NO
1.0,YES
0.1347,NO
1.0,YES
0.1516,NO
0.2519,NO
0.1488,NO
0.0525,NO
0.1379,YES
0.0756,NO
0.0853,YES
0.4428,YES
1.0,YES
0.3634,NO
0.1955,NO
0.1459,NO
0.1955,NO
0.2394,YES
1.0,YES
0.1636,NO
0.149,NO
0.1517,NO
0.149,NO
0.2274,NO
0.2374,NO
0.2374,NO
0.1458,YES
0.1955,NO
1.0,YES
0.0553,NO
0.2985,YES
0.1009,NO
0.102,NO
0.149,NO
0.149,NO
0.149,NO
0.2177,NO
0.15,NO
0.1659,NO
0.1523,NO
0.0694,NO
1.0,YES
0.301,YES
0.13,YES
1.0,YES
0.1955,NO
0.0677,NO
1.0,YES
0.2649,NO
0.4483,YES
0.2649,NO
0.3042,NO
0.2778,NO
0.2778,NO
0.136,NO
0.301,YES
0.0773,NO
0.3002,YES
0.0821,NO
0.1969,YES
0.1353,NO
0.2649,NO
0.3023,NO
0.2649,NO
1.0,YES
0.2621,NO
1.0,YES
0.17,NO
0.1494,NO
1.0,YES
0.3451,YES
0.2007,YES
1.0,YES
0.2192,NO
0.1931,NO
1.0,YES
0.3049,NO
1.0,YES
0.3049,NO
0.2277,NO
0.1884,NO
0.1884,NO
0.0948,NO
0.3451,YES
0.1931,NO
0.2435,YES
0.1968,NO
0.1621,YES
0.2134,NO
0.3049,NO
0.3049,NO
0.3049,NO
1.0,YES
0.2616,NO
1.0,YES
0.1523,NO
0.1099,NO
1.0,YES
0.2509,YES
0.1996,YES
0.3898,YES
0.22699999999999998,NO
0.1622,NO
1.0,YES
0.1102,NO
0.3901,YES
0.1022,NO
0.1483,NO
0.2246,NO
0.0945,NO
0.2034,NO
0.2879,YES
0.1975,NO
0.3422,YES
0.1773,NO
0.2879,YES
0.1754,NO
0.1329,NO
0.3619,NO
0.1715,NO
1.0,YES
0.3259,NO
1.0,YES
0.1467,NO
0.0732,NO
1.0,YES
0.3077,YES
0.1154,YES
1.0,YES
0.1494,NO
0.0556,NO
1.0,YES
0.1664,NO
0.3919,YES
0.08800000000000001,NO
0.2859,NO
0.2466,NO
0.2466,NO
0.136,NO
0.3077,YES
0.1016,NO
0.3066,YES
0.0639,NO
0.2147,YES
0.1277,NO
0.1664,NO
0.3135,NO
0.1095,NO
1.0,YES
0.2369,NO
0.4909,YES
0.1328,NO
0.1259,NO
1.0,YES
1.0,YES
0.324,YES
1.0,YES
0.1661,NO
0.1018,NO
0.2465,YES
0.20199999999999999,NO
0.2134,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
1.0,YES
0.1648,NO
1.0,YES
0.1508,NO
1.0,YES
0.1629,NO
0.1613,NO
0.2298,NO
0.20199999999999999,NO
0.2732,YES
0.2085,NO
0.2078,YES
0.1566,NO
0.10300000000000001,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.0969,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1448,NO
0.1719,NO
0.0702,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.0892,NO
1.0,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.2732,YES
0.2298,NO
0.2345,YES
0.1196,NO
0.1196,NO
0.1931,NO
0.2108,NO
0.14800000000000002,NO
0.0957,NO
0.0963,NO
0.0435,NO
0.2592,NO
0.1291,NO
0.0785,NO
0.1052,NO
0.4225,YES
0.4103,YES
0.4103,YES
0.1196,NO
0.14800000000000002,NO
0.0797,NO
0.14800000000000002,NO
0.1551,NO
0.14800000000000002,NO
0.0463,NO
0.0806,NO
0.1014,NO
0.0806,NO
0.1931,NO
0.10800000000000001,NO
0.2105,NO
1.0,YES
1.0,YES
0.2752,NO
0.1653,NO
0.0814,NO
0.1256,NO
0.35200000000000004,YES
1.0,YES
0.0968,NO
0.1565,NO
0.0804,NO
0.1784,NO
0.1661,NO
0.1649,NO
0.1562,NO
1.0,YES
0.1256,NO
1.0,YES
0.057999999999999996,NO
0.3735,YES
0.0962,NO
0.1163,NO
0.1143,NO
0.1354,NO
0.1565,NO
0.1407,NO
0.1565,NO
0.0894,NO
