50Traced_NONETRACED_SUM_RAW_VSM_37_MAX,Associated
0.1522,NO
0.0652,NO
0.3523,NO
0.3628,NO
0.557,NO
0.8237,NO
0.2873,NO
0.1547,NO
0.365,NO
1.3998,YES
0.5248,NO
0.6392,YES
0.3131,NO
0.2366,NO
0.2223,NO
0.1254,NO
0.3502,NO
0.1109,NO
0.6432,NO
0.2179,NO
0.4445,NO
1.6540000000000001,YES
1.7947,YES
1.5089,YES
0.8659,YES
0.2861,NO
1.5604,YES
0.2998,NO
1.5457,YES
0.2444,YES
0.4818,NO
0.2171,NO
0.474,NO
0.3845,NO
1.6042,YES
1.0966,YES
0.2963,NO
0.223,NO
0.3095,NO
0.1525,NO
0.1797,NO
0.1992,NO
0.1551,NO
0.5523,YES
0.1269,NO
1.2596,YES
0.4259,NO
0.8472,YES
0.2005,NO
0.1646,NO
0.3504,NO
0.1857,NO
0.1845,NO
0.1903,NO
0.2196,NO
0.3799,NO
0.4111,NO
0.1534,NO
0.5672,NO
0.3177,NO
0.5958,NO
1.0238,NO
0.5318,NO
0.2866,NO
0.5233,NO
1.9895,YES
0.5639,NO
0.9068,YES
0.4389,NO
0.2959,NO
0.266,NO
0.1919,NO
0.3201,NO
0.222,NO
0.6664,NO
0.2582,NO
0.4535,NO
1.4721,YES
1.714,YES
1.2213,YES
1.5461,YES
0.5196,NO
1.6901,YES
0.6332,NO
1.4707,YES
0.1814,YES
0.5339,NO
0.245,NO
0.2426,NO
0.4473,NO
1.4695,YES
1.0779,YES
0.4377,NO
0.1092,NO
0.3634,NO
0.1561,NO
0.4655,NO
0.3296,NO
0.4877,NO
0.4455,YES
0.0927,NO
1.2361,YES
0.179,NO
0.7664,YES
0.1781,NO
0.1251,NO
0.2866,NO
0.1271,NO
0.1053,NO
0.4541,NO
0.1651,NO
0.3518,NO
0.6107,NO
0.1149,NO
1.2784,YES
0.9619,YES
3.2567,YES
1.4398,YES
0.4172,NO
0.1542,NO
0.4172,YES
0.2879,NO
1.0519,YES
0.3473,NO
0.2794,NO
0.4762,NO
0.3516,NO
0.2912,NO
1.158,YES
0.3446,NO
2.9333,YES
0.3288,NO
1.9497,YES
0.3047,NO
0.7120000000000001,NO
0.644,NO
0.3384,NO
0.3711,YES
0.7623,NO
1.2342,YES
0.5554,NO
0.1152,NO
0.4049,NO
0.3046,NO
0.5408,NO
0.8179,NO
0.8339,NO
0.2581,NO
0.4961,NO
2.1377,YES
0.2154,NO
1.4369999999999998,YES
0.6547,NO
0.3727,NO
0.4322,NO
0.3518,NO
0.5393,NO
0.2541,NO
0.4038,NO
0.4744,NO
0.6075,NO
1.9269999999999998,YES
2.0747,YES
1.1941,YES
1.7277,YES
0.3535,NO
2.2673,YES
0.3914,NO
0.1345,NO
0.0774,NO
0.4233,YES
0.7245,YES
2.1299,YES
0.7616,YES
0.2618,NO
0.0606,NO
0.3708,YES
0.2598,NO
0.5044,YES
0.1459,NO
0.384,NO
0.2571,NO
0.2725,NO
0.1453,NO
0.7857,YES
0.1683,NO
1.8635,YES
0.142,NO
0.9878,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1137,NO
0.3289,YES
0.2936,NO
0.5239,YES
0.6348,NO
0.1053,NO
0.3483,NO
0.2781,NO
0.5393,NO
0.8433,NO
0.695,NO
0.3277,NO
0.5877,NO
1.656,YES
0.325,NO
1.2466,YES
0.5144,NO
0.3522,NO
0.3247,NO
0.3302,NO
0.5227,NO
0.2547,NO
0.4531,NO
0.2973,NO
0.5347,NO
1.4564,YES
1.5298,YES
0.7166,YES
1.5332,YES
0.3663,NO
1.4294,YES
0.5081,NO
0.4162,NO
0.1339,NO
0.4744,NO
0.3608,NO
0.7929,NO
0.9768,NO
0.4317,NO
0.2361,NO
0.3589,NO
1.7785,YES
0.4041,NO
0.8654,YES
0.2434,NO
0.27699999999999997,NO
0.1126,NO
0.204,NO
0.4809,NO
0.1655,NO
0.7206,NO
0.1309,NO
0.6086,NO
1.2977,YES
1.5076,YES
1.0266,YES
1.5495,YES
0.47200000000000003,NO
1.1659,YES
0.8031,NO
0.2985,NO
0.0769,NO
0.3539,NO
0.336,NO
0.7024,NO
0.5617,NO
0.4525,NO
0.1527,NO
0.3021,NO
1.1498,YES
0.3554,NO
0.6471,YES
0.3188,NO
0.2051,NO
0.2606,NO
0.1025,NO
0.4436,NO
0.2086,NO
0.5916,NO
0.2123,NO
0.6085,NO
0.9839,YES
1.1179999999999999,YES
0.7746,YES
0.9243,YES
0.3503,NO
1.0677,YES
0.2437,NO
0.415,NO
0.0714,NO
0.4606,NO
0.3189,NO
0.7796,NO
0.7324,NO
0.5357,NO
0.1466,NO
0.2609,NO
1.0779,YES
0.4464,NO
0.5789,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.2717,NO
0.489,NO
0.2028,NO
0.6534,NO
0.3715,NO
0.588,NO
0.9618,YES
1.1387,YES
0.8079,YES
0.8202,YES
0.35,NO
1.0632,YES
0.4496,NO
0.7705,NO
0.2043,NO
2.8478,YES
0.6033,YES
0.8786,YES
3.4576,YES
0.4957,NO
0.1654,NO
2.4193,YES
0.6803,NO
1.8783,YES
0.5884,NO
1.0398,NO
0.3075,NO
0.6498,NO
0.2292,NO
0.3612,YES
0.3323,NO
0.887,YES
0.3972,NO
0.6949,YES
0.778,NO
0.7426,NO
0.4623,NO
0.5842,NO
2.2806,YES
0.6271,NO
2.5214,YES
0.4057,NO
0.1547,NO
0.8137,YES
0.4014,NO
0.6614,NO
1.8430000000000002,YES
0.3198,NO
0.1744,NO
0.9137,YES
0.4958,NO
0.7111,YES
0.4069,NO
0.5706,NO
0.3203,NO
0.3886,NO
0.171,NO
0.4001,NO
0.2672,NO
