50Traced_NONETRACED_MAX_RAW_LSA_61_MEDIAN,Associated
0.0737,NO
0.1687,NO
0.1144,NO
0.2164,NO
0.1453,NO
0.0906,NO
0.1687,NO
0.0679,NO
0.1689,NO
1.0,YES
0.1153,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.159,NO
0.20600000000000002,NO
0.1544,NO
0.1453,NO
0.2179,NO
0.2083,NO
1.0,YES
0.4206,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1219,NO
1.0,YES
1.0,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1187,NO
1.0,YES
0.3413,YES
0.1659,NO
0.1056,NO
0.1405,NO
0.1058,NO
0.1797,NO
0.1528,NO
0.1551,NO
1.0,YES
0.1088,NO
0.4181,YES
0.0583,NO
1.0,YES
0.1088,NO
0.1212,NO
0.1218,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1659,NO
0.0886,NO
0.1731,NO
0.2137,NO
0.2865,NO
0.2143,NO
0.1666,NO
0.1731,NO
0.061,NO
0.2187,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1544,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
0.4252,YES
1.0,YES
1.0,YES
0.1659,NO
1.0,YES
0.2137,NO
1.0,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1441,NO
1.0,YES
0.3164,YES
0.1731,NO
0.1387,NO
0.1489,NO
0.1387,NO
0.2289,NO
0.2183,NO
0.2183,NO
1.0,YES
0.1216,NO
0.4181,YES
0.1268,NO
1.0,YES
0.1268,NO
0.1841,NO
0.1841,NO
0.1387,NO
0.1387,NO
0.2201,NO
0.1841,NO
0.1328,NO
0.1468,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.0826,NO
0.071,NO
1.0,YES
0.1475,NO
0.2134,YES
0.1443,NO
0.2199,NO
0.2199,NO
0.2199,NO
0.0818,NO
0.4156,YES
0.0806,NO
0.4216,YES
0.1417,NO
0.4216,YES
0.1629,NO
0.2192,NO
0.1439,NO
0.1155,NO
0.2732,YES
0.1335,NO
1.0,YES
0.1926,NO
0.1926,NO
0.2688,NO
0.2582,NO
0.2524,NO
0.1701,NO
0.1987,NO
0.1225,NO
0.2524,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1834,NO
0.1813,NO
0.1926,NO
0.1906,NO
0.0807,NO
0.1843,NO
0.2019,NO
0.166,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2226,NO
1.0,YES
0.2524,NO
0.1566,NO
0.1132,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1548,NO
0.071,NO
1.0,YES
0.2598,NO
0.2134,YES
0.2548,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.3316,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1116,NO
0.2732,YES
0.1256,NO
1.0,YES
0.1755,NO
0.1755,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.1997,NO
0.1755,NO
