50Traced_NONETRACED_MAX_RAW_VSM_19_MAX,Associated
0.1687,NO
0.1548,NO
0.1423,NO
0.2164,NO
0.1423,NO
0.0939,NO
0.1548,NO
0.1548,NO
0.1689,NO
0.2469,YES
0.102,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.1906,NO
0.1687,NO
0.1843,NO
0.2179,NO
0.1259,NO
0.2383,YES
0.3025,YES
1.0,YES
0.24,YES
0.2254,NO
1.0,YES
0.1423,NO
1.0,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1659,NO
0.1778,NO
0.3947,YES
1.0,YES
0.1778,NO
0.1056,NO
0.1318,NO
0.1231,NO
0.1797,NO
0.1835,NO
0.1551,NO
0.3715,YES
0.1659,NO
1.0,YES
0.1659,NO
1.0,YES
0.0742,NO
0.1212,NO
0.1218,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1474,NO
0.1659,NO
0.0886,NO
0.1534,NO
0.2137,NO
0.2865,NO
0.2137,NO
0.1666,NO
0.1465,NO
0.092,NO
0.2187,NO
0.5081,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1268,NO
0.2143,NO
0.1755,NO
0.2202,NO
0.5081,YES
0.5256,YES
1.0,YES
0.245,YES
0.2254,NO
1.0,YES
0.2137,NO
1.0,YES
1.0,YES
0.3356,NO
0.1662,NO
0.204,NO
0.1441,NO
1.0,YES
1.0,YES
0.1731,NO
0.0952,NO
0.1501,NO
0.0887,NO
0.2289,NO
0.2094,NO
0.2094,NO
1.0,YES
0.204,NO
1.0,YES
0.204,NO
1.0,YES
0.1216,NO
0.1251,NO
0.1218,NO
0.11800000000000001,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.204,NO
0.1267,NO
0.0251,NO
0.3354,YES
0.4216,YES
1.0,YES
0.2373,YES
0.0826,NO
0.0132,NO
0.2372,YES
0.1395,NO
0.1972,YES
0.1531,NO
0.2165,NO
0.2199,NO
0.2199,NO
0.1267,NO
1.0,YES
0.1267,NO
0.4216,YES
0.1417,NO
1.0,YES
0.1005,NO
0.0968,NO
0.1531,NO
0.0948,NO
0.3354,YES
0.2085,NO
0.3354,YES
0.1694,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1986,NO
0.1684,NO
0.1694,NO
0.1458,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1813,NO
0.1689,NO
0.1621,NO
0.1906,NO
0.1694,NO
0.1843,NO
0.2019,NO
0.1498,NO
1.0,YES
1.0,YES
1.0,YES
0.2894,YES
0.2254,NO
1.0,YES
0.1428,NO
0.0985,NO
0.1132,NO
0.2886,YES
0.3672,YES
1.0,YES
0.1331,YES
0.1132,NO
0.1132,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.2886,YES
0.2293,NO
0.2886,YES
0.1809,NO
0.0745,NO
0.2381,NO
0.1926,NO
0.1547,NO
0.1997,NO
0.1653,NO
0.1809,NO
0.2199,NO
0.4371,YES
0.2199,NO
1.0,YES
0.2519,NO
0.2418,NO
0.2418,NO
0.1669,NO
0.1906,NO
0.1809,NO
0.1843,NO
0.2256,NO
0.1506,NO
0.3848,YES
1.0,YES
1.0,YES
0.3108,YES
0.2405,NO
1.0,YES
0.1924,NO
0.1495,NO
0.1339,NO
0.22399999999999998,NO
0.2061,NO
0.1879,NO
0.2213,NO
0.1579,NO
0.0967,NO
0.2198,NO
1.0,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1693,NO
0.0797,NO
0.204,NO
0.1879,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
0.4941,YES
0.245,YES
0.2213,NO
1.0,YES
0.1879,NO
0.1479,NO
0.1579,NO
0.2664,NO
0.2342,NO
0.2664,NO
0.1986,NO
0.1684,NO
0.1579,NO
0.1751,NO
1.0,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2085,NO
0.2085,NO
0.1479,NO
0.2664,NO
0.1579,NO
0.2664,NO
0.1912,NO
0.14,NO
1.0,YES
1.0,YES
0.3527,YES
0.2675,YES
0.2664,NO
0.4373,YES
0.2664,NO
0.1542,NO
0.0714,NO
0.10800000000000001,NO
0.2886,NO
0.1576,NO
0.1331,NO
0.1579,NO
0.1118,NO
0.1421,NO
0.4397,YES
0.0778,NO
0.3961,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1542,NO
0.2184,NO
0.1542,NO
0.2184,NO
0.1702,NO
0.2184,NO
0.3961,YES
1.0,YES
0.314,YES
0.245,YES
0.1375,NO
1.0,YES
0.107,NO
0.1741,NO
0.0451,NO
1.0,YES
0.1431,YES
0.27899999999999997,YES
1.0,YES
0.2237,NO
0.1065,NO
0.4286,YES
0.1214,NO
1.0,YES
0.1214,NO
0.2149,NO
0.2246,NO
0.2203,NO
0.1494,NO
0.27899999999999997,YES
0.1494,NO
0.27899999999999997,YES
0.2129,NO
0.2328,YES
0.1271,NO
0.1214,NO
0.3025,NO
0.1202,NO
0.3653,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
0.47700000000000004,YES
0.2156,NO
0.2276,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
