50Traced_NONETRACED_MAX_RAW_LSA_80_MAX,Associated
0.1439,NO
0.0652,NO
0.2688,NO
0.2164,NO
0.1379,NO
0.2963,NO
0.1387,NO
0.1687,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1171,NO
0.1733,NO
0.1687,NO
0.1453,NO
0.2179,NO
0.1498,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1659,NO
0.3947,YES
1.0,YES
0.1364,NO
0.1056,NO
0.1659,NO
0.1474,NO
0.1797,NO
0.1528,NO
0.1551,NO
1.0,YES
0.1033,NO
1.0,YES
0.0583,NO
1.0,YES
0.1659,NO
0.1212,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1903,NO
0.1474,NO
0.1318,NO
0.0886,NO
0.1534,NO
0.141,NO
0.2865,NO
0.1512,NO
0.2137,NO
0.1465,NO
0.1731,NO
0.2187,NO
1.0,YES
0.2137,NO
0.4064,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1731,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.5256,YES
1.0,YES
0.4064,YES
0.4064,YES
0.2137,NO
0.4064,YES
0.141,NO
0.4232,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.204,NO
0.3435,YES
1.0,YES
0.1731,NO
0.0952,NO
0.204,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2183,NO
0.1923,YES
0.0927,NO
1.0,YES
0.0577,NO
0.3081,YES
0.204,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1692,NO
0.0724,NO
0.0251,NO
0.2111,YES
0.4156,YES
0.3659,YES
0.3354,YES
0.0826,NO
0.0238,NO
0.2111,YES
0.1531,NO
0.3354,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.3659,YES
0.0556,NO
0.4216,YES
0.1417,NO
0.4156,YES
0.0968,NO
0.1155,NO
0.1531,NO
0.1531,NO
0.3354,YES
0.0964,NO
0.1343,YES
0.1544,NO
0.1926,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1926,NO
0.1639,NO
0.4371,YES
0.1639,NO
0.485,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.0831,NO
0.1733,NO
0.1926,NO
0.1082,NO
0.2019,NO
0.1498,NO
1.0,YES
1.0,YES
0.485,YES
0.485,YES
0.2226,NO
0.485,YES
0.1639,NO
0.1566,NO
0.0774,NO
0.1997,YES
1.0,YES
1.0,YES
0.2886,YES
0.1366,NO
0.11,NO
0.2068,YES
0.2598,NO
0.2886,YES
0.2293,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2564,NO
0.2293,NO
0.2293,NO
0.2886,YES
0.2293,NO
0.1548,YES
0.1415,NO
0.0745,NO
0.2381,NO
0.19,NO
0.1547,NO
0.2395,NO
0.1653,NO
0.1536,NO
0.1999,NO
0.2638,YES
0.2395,NO
0.4061,YES
0.2519,NO
0.2036,NO
0.2269,NO
0.0533,NO
0.105,NO
0.055999999999999994,NO
0.1464,NO
0.2256,NO
0.2395,NO
0.2462,YES
0.4061,YES
0.4061,YES
0.4061,YES
0.2405,NO
0.4061,YES
0.1331,NO
0.0949,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.1436,NO
0.2213,NO
0.1339,NO
0.0967,NO
0.2198,NO
0.4856,YES
0.2344,NO
0.2751,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.1733,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
0.4941,YES
0.3865,YES
0.2188,NO
0.2751,YES
0.1896,NO
0.1439,NO
0.1579,NO
0.1953,NO
0.2342,NO
0.2047,NO
0.2664,NO
0.1684,NO
0.1579,NO
0.1751,NO
0.4371,YES
0.2664,NO
0.4373,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0831,NO
0.1733,NO
0.1579,NO
0.1608,NO
0.1912,NO
0.2664,NO
1.0,YES
1.0,YES
0.4373,YES
0.4373,YES
0.2664,NO
0.4373,YES
0.1743,NO
0.1439,NO
0.1348,NO
0.1142,NO
0.2886,NO
0.1576,NO
0.1249,NO
0.1387,NO
0.1542,NO
0.1421,NO
0.4397,YES
0.107,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.1733,NO
0.1542,NO
0.0975,NO
0.1702,NO
0.2184,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1375,NO
1.0,YES
0.099,NO
0.17,NO
0.0802,NO
1.0,YES
0.2996,YES
0.2628,YES
1.0,YES
0.2237,NO
0.1494,NO
1.0,YES
0.2938,NO
1.0,YES
0.1253,NO
0.2203,NO
0.1549,NO
0.1834,NO
0.0941,NO
0.2337,YES
0.1494,NO
0.2829,YES
0.2129,NO
1.0,YES
0.1629,NO
0.1669,NO
0.3025,NO
0.2938,NO
1.0,YES
0.2516,NO
0.3533,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2156,NO
0.1535,NO
1.0,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
1.0,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
0.3192,YES
0.1566,NO
0.1533,NO
0.3333,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.1533,NO
0.3333,YES
0.2328,NO
1.0,YES
0.2818,NO
0.2585,NO
0.2061,NO
0.2414,NO
0.0891,NO
1.0,YES
0.1533,NO
1.0,YES
0.1427,NO
1.0,YES
0.2397,NO
0.2818,NO
0.2935,NO
0.2818,NO
1.0,YES
0.2818,NO
0.3333,YES
0.1636,NO
0.1646,NO
1.0,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
1.0,YES
0.2848,NO
1.0,YES
