50Traced_NONETRACED_MAX_SINGLE_LSA_98_MAX,Associated
0.1341,NO
0.1429,NO
0.1766,NO
0.2164,NO
0.2553,NO
0.166,NO
0.0821,NO
0.0679,NO
0.1766,NO
0.6882,YES
0.1766,NO
1.0,YES
0.3391,NO
0.3391,NO
0.3391,NO
0.1438,NO
0.2942,NO
0.1308,NO
0.2553,NO
0.2179,NO
0.2553,NO
0.5181,YES
0.5954,YES
1.0,YES
1.0,YES
0.1766,NO
0.2113,YES
0.1766,NO
0.9432,YES
1.0,YES
0.4007,NO
0.3639,NO
0.3639,NO
0.3765,NO
1.0,YES
0.9202,YES
0.4007,NO
0.21100000000000002,NO
0.4007,NO
0.3066,NO
0.4183,NO
0.40399999999999997,NO
0.4183,NO
1.0,YES
0.3639,NO
1.0,YES
0.2676,NO
1.0,YES
0.3639,NO
0.2314,NO
0.2082,NO
0.3066,NO
0.3066,NO
0.4007,NO
0.2314,NO
0.4007,NO
0.1606,NO
0.3011,NO
0.3063,NO
0.3076,NO
0.3186,NO
0.3329,NO
0.2252,NO
0.0509,NO
0.3063,NO
1.0,YES
0.3471,NO
0.9611,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3123,NO
0.3076,NO
0.1268,NO
0.3757,NO
0.21600000000000003,NO
0.3063,NO
1.0,YES
1.0,YES
0.8737,YES
1.0,YES
0.3063,NO
0.6372,YES
0.3063,NO
1.0,YES
1.0,YES
0.4748,NO
0.3514,NO
0.3514,NO
0.4605,NO
1.0,YES
1.0,YES
0.4748,NO
0.4069,NO
0.4653,NO
0.2121,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.3514,NO
1.0,YES
0.3514,NO
1.0,YES
0.2632,NO
0.4069,NO
0.4069,NO
0.3061,NO
0.4069,NO
0.4653,NO
0.1484,NO
0.4653,NO
0.1709,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1337,NO
1.0,YES
0.2963,NO
0.6283,YES
0.1443,NO
0.2165,NO
0.3152,NO
0.2347,NO
0.0927,NO
1.0,YES
0.0718,NO
1.0,YES
0.1417,NO
1.0,YES
0.3342,NO
0.4485,NO
0.2692,NO
0.13,NO
1.0,YES
0.2353,NO
1.0,YES
0.2565,NO
0.3133,NO
0.4137,NO
0.4137,NO
0.4137,NO
0.4167,NO
0.2599,NO
0.2502,NO
0.4137,NO
1.0,YES
0.4354,NO
1.0,YES
0.2525,NO
0.2525,NO
0.2525,NO
0.3249,NO
0.4137,NO
0.2719,NO
0.391,NO
0.2719,NO
0.4137,NO
1.0,YES
1.0,YES
0.9651,YES
1.0,YES
0.4137,NO
0.6631,YES
0.4137,NO
0.1709,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1337,NO
1.0,YES
0.3019,NO
0.6283,YES
0.1459,NO
0.4403,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.1674,NO
1.0,YES
0.3405,NO
0.457,NO
0.2743,NO
0.1144,NO
1.0,YES
0.2085,NO
1.0,YES
0.2026,NO
0.1856,NO
0.2381,NO
0.19,NO
0.1965,NO
0.3491,NO
0.2177,NO
0.1977,NO
0.2289,NO
0.6882,YES
0.3648,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.1856,NO
0.2942,NO
0.2148,NO
0.2239,NO
0.2256,NO
0.0989,NO
0.5181,YES
0.5954,YES
1.0,YES
1.0,YES
0.2405,NO
0.5155,YES
0.203,NO
0.2057,NO
0.3133,NO
0.4095,NO
0.3349,NO
0.3349,NO
0.6773,NO
0.4224,NO
0.0967,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.1331,NO
0.2391,NO
0.1176,NO
0.3249,NO
0.5133,NO
0.1655,NO
0.4343,NO
0.1309,NO
0.3349,NO
1.0,YES
0.8945,YES
1.0,YES
1.0,YES
0.3387,NO
1.0,YES
0.4095,NO
0.1503,NO
0.2036,NO
0.1953,NO
0.3103,NO
0.3103,NO
0.4023,NO
0.2509,NO
0.1392,NO
0.2637,NO
1.0,YES
0.4203,NO
1.0,YES
0.2866,NO
0.2866,NO
0.2866,NO
0.2111,NO
0.3103,NO
0.1513,NO
0.3103,NO
0.1912,NO
0.1866,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2206,NO
0.594,YES
0.2339,NO
0.1503,NO
0.2365,NO
0.31,NO
0.31,NO
0.31,NO
0.2977,NO
0.1856,NO
0.0532,NO
0.31,NO
1.0,YES
0.311,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.2453,NO
0.31,NO
0.1308,NO
0.2952,NO
0.1702,NO
0.31,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.31,NO
0.5006,YES
0.31,NO
0.2069,NO
0.2383,NO
1.0,YES
0.6673,YES
0.6673,YES
1.0,YES
0.3986,NO
0.2018,NO
1.0,YES
0.2963,NO
1.0,YES
0.196,NO
0.4151,NO
0.2252,NO
0.3188,NO
0.2557,NO
0.6673,YES
0.2282,NO
0.6649,YES
0.2194,NO
0.6673,YES
0.7244,NO
0.4261,NO
0.7244,NO
0.3976,NO
1.0,YES
0.7244,NO
1.0,YES
0.1799,NO
0.2275,NO
1.0,YES
0.6811,NO
0.6811,NO
1.0,YES
0.1827,NO
0.1097,NO
1.0,YES
0.2628,NO
0.8915,YES
0.2628,NO
0.5402,NO
0.5402,NO
0.5402,NO
0.171,NO
0.5127,NO
0.1398,NO
0.6811,NO
0.2054,NO
0.6811,NO
0.2628,NO
0.2365,NO
0.5719,NO
0.3693,NO
0.8926,YES
0.3359,NO
1.0,YES
0.1709,NO
0.2418,NO
1.0,YES
1.0,YES
1.0,YES
0.7876,YES
0.314,NO
0.1537,NO
1.0,YES
0.7101,NO
0.8593,YES
0.7101,NO
0.2365,NO
0.3152,NO
0.2984,NO
0.2307,NO
1.0,YES
0.1798,NO
1.0,YES
0.1608,NO
1.0,YES
0.7101,NO
0.6351,NO
0.6455,NO
0.7101,NO
1.0,YES
0.5348,NO
1.0,YES
0.1636,NO
0.2596,NO
1.0,YES
0.6479,NO
0.6479,NO
1.0,YES
0.3184,NO
0.153,NO
1.0,YES
0.159,NO
1.0,YES
0.1456,NO
0.38799999999999996,NO
0.2454,NO
0.3473,NO
0.2042,NO
0.4877,NO
0.1823,NO
0.6479,NO
0.1871,NO
0.6479,NO
0.2571,NO
0.1845,NO
0.5872,NO
0.2881,NO
1.0,YES
0.5796,NO
1.0,YES
0.2091,NO
0.2956,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.2091,NO
1.0,YES
0.3019,NO
0.6283,YES
0.1655,NO
0.7871,NO
0.7602,NO
0.7871,NO
0.2203,NO
1.0,YES
0.221,NO
1.0,YES
0.2667,NO
1.0,YES
0.3405,NO
0.457,NO
0.2743,NO
0.1592,NO
1.0,YES
0.2047,NO
1.0,YES
1.0,YES
1.0,YES
0.3634,NO
0.2183,NO
0.1913,NO
0.3187,NO
1.0,YES
1.0,YES
0.3517,NO
0.0758,NO
0.2841,NO
0.067,NO
0.6218,NO
0.6005,NO
0.6218,NO
1.0,YES
0.2369,NO
1.0,YES
0.2369,NO
1.0,YES
0.2369,NO
0.1688,NO
0.1196,NO
0.1823,NO
0.1193,NO
0.2845,NO
0.15,NO
0.3431,NO
0.1585,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2995,NO
0.1381,NO
1.0,YES
0.2684,NO
1.0,YES
0.2684,NO
0.4151,NO
0.3991,NO
0.4132,NO
0.1612,NO
1.0,YES
0.1439,NO
0.7355,YES
0.1871,NO
1.0,YES
0.2684,NO
0.3721,NO
0.5872,NO
0.3693,NO
1.0,YES
0.5796,NO
1.0,YES
0.1425,NO
0.3044,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2995,NO
0.1337,NO
1.0,YES
0.6074,NO
1.0,YES
0.4814,NO
0.4151,NO
0.203,NO
0.2894,NO
0.1486,NO
1.0,YES
0.1326,NO
0.7355,YES
0.1968,NO
1.0,YES
0.6074,NO
0.6074,NO
0.5719,NO
0.6074,NO
1.0,YES
0.5442,NO
1.0,YES
0.1585,NO
0.2596,NO
1.0,YES
0.6709999999999999,YES
0.6709999999999999,YES
1.0,YES
0.3986,NO
0.1622,NO
1.0,YES
0.2778,NO
1.0,YES
0.1837,NO
0.3397,NO
0.2454,NO
0.3473,NO
0.2557,NO
0.5515,YES
0.2282,NO
0.6709999999999999,YES
0.1871,NO
0.6709999999999999,YES
0.679,NO
0.3994,NO
0.679,NO
0.3727,NO
1.0,YES
0.679,NO
1.0,YES
0.1526,NO
0.3044,NO
1.0,YES
0.5693,YES
0.5693,YES
1.0,YES
0.2874,NO
0.1331,NO
1.0,YES
0.1242,NO
1.0,YES
0.1629,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.1529,NO
0.5693,YES
0.1365,NO
0.4187,YES
0.1802,NO
0.5693,YES
0.2571,NO
0.2469,NO
0.5872,NO
0.3693,NO
0.9632,YES
0.5796,NO
1.0,YES
0.1709,NO
0.2054,NO
0.6711,YES
1.0,YES
1.0,YES
0.4775,YES
0.201,NO
0.0897,NO
0.6711,YES
0.6109,NO
0.5679,YES
0.6109,NO
0.4875,NO
0.4875,NO
0.4875,NO
0.1985,NO
1.0,YES
0.1648,NO
1.0,YES
0.1853,NO
1.0,YES
0.6109,NO
0.5464,NO
0.5554,NO
0.6109,NO
0.6711,YES
0.4051,NO
0.6711,YES
0.1709,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1337,NO
1.0,YES
0.2484,NO
0.6283,YES
0.1342,NO
0.2276,NO
0.3152,NO
0.2347,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.0892,NO
1.0,YES
0.4027,NO
0.376,NO
0.4027,NO
0.221,NO
1.0,YES
0.4027,NO
1.0,YES
