50Traced_NONETRACED_SUM_RAW_LSA_87_MEDIAN,Associated
0.4783,NO
0.2522,NO
0.5708,NO
0.9256,NO
0.2539,NO
0.2723,NO
0.2488,NO
0.1998,NO
0.562,NO
2.5573,YES
0.55,NO
2.2452,YES
0.3882,NO
0.6925,NO
0.3228,NO
0.4552,NO
0.6392,NO
0.182,NO
0.3967,NO
0.3,NO
0.5455,NO
3.1978,YES
2.1317,YES
1.0336,YES
2.4651,YES
0.5308,NO
1.6745,YES
0.5574,NO
1.5285,YES
1.3785,YES
0.3843,NO
0.2589,NO
0.1148,NO
0.381,NO
1.5752,YES
1.3807,YES
0.2691,NO
0.1056,NO
0.3723,NO
0.1058,NO
0.1797,NO
0.3837,NO
0.1551,NO
2.1879,YES
0.1178,NO
1.5944,YES
0.1328,NO
2.0614,YES
0.1278,NO
0.156,NO
0.2908,NO
0.3045,NO
0.1633,NO
0.4308,NO
0.2606,NO
0.1968,NO
0.4928,NO
0.1925,NO
0.6576,NO
0.9486,NO
0.5914,NO
0.6113,NO
0.3065,NO
0.2892,NO
0.5954,NO
1.3038,YES
0.5623,NO
1.0827,YES
0.2302,NO
0.4673,NO
0.2136,NO
0.4504,NO
0.5874,NO
0.3015,NO
0.7076,NO
0.3672,NO
0.7257,NO
1.8297,YES
1.2559,YES
0.8319,YES
1.4928,YES
0.3935,NO
1.0511,YES
0.4039,NO
1.932,YES
2.2307,YES
0.6164,NO
0.4836,NO
0.3062,NO
0.4308,NO
2.4204,YES
1.6819,YES
0.3037,NO
0.3117,NO
0.3832,NO
0.4019,NO
0.2289,NO
0.4577,NO
0.2075,NO
3.0435,YES
0.305,NO
2.472,YES
0.3075,NO
2.3206,YES
0.1882,NO
0.4624,NO
0.5431,NO
0.3363,NO
0.2655,NO
0.4949,NO
0.3577,NO
0.3344,NO
0.5673,NO
0.3983,NO
1.547,YES
4.3338,YES
2.1916,YES
1.895,YES
0.7091,NO
0.2641,NO
1.5736,YES
0.6291,NO
1.1015,YES
0.3233,NO
0.8428,NO
0.9923,NO
0.5155,NO
0.44799999999999995,NO
2.3166,YES
0.2828,NO
3.0888,YES
0.3588,NO
2.8684,YES
0.6361,NO
0.6303,NO
0.6133,NO
0.4992,NO
0.9128,YES
0.6285,NO
1.1826,YES
0.5508,NO
0.2635,NO
0.545,NO
0.8153,NO
0.4135,NO
0.29100000000000004,NO
0.3311,NO
0.3248,NO
0.4101,NO
1.76,YES
0.1911,NO
1.6333,YES
0.2411,NO
0.6212,NO
0.1689,NO
0.474,NO
0.3411,NO
0.3854,NO
0.5021,NO
0.3261,NO
0.7459,NO
2.2682,YES
1.794,YES
0.8761,YES
1.4671,YES
0.2552,NO
1.0988,YES
0.2188,NO
0.3967,NO
0.1172,NO
0.6522,YES
3.4915,YES
1.3847,YES
0.8744,YES
0.4404,NO
0.1242,NO
0.7076,YES
0.6982,NO
0.524,YES
0.22,NO
0.5489,NO
0.5996,NO
0.3845,NO
0.1862,NO
1.9728,YES
0.141,NO
2.6918,YES
0.1587,NO
2.076,YES
0.6237,NO
0.5931,NO
0.457,NO
0.5905,NO
0.5233,YES
0.507,NO
0.718,YES
0.8472,NO
0.5302,NO
0.8343,NO
0.8013,NO
0.5313,NO
0.6082,NO
0.7,NO
0.39399999999999996,NO
0.889,NO
1.6369,YES
0.7741,NO
1.4859,YES
0.5938,NO
0.7582,NO
0.4417,NO
0.6982,NO
0.4666,NO
0.501,NO
0.7462,NO
0.5851,NO
0.7954,NO
2.5536,YES
2.3264,YES
1.5229,YES
1.7444,YES
0.35700000000000004,NO
1.5768,YES
0.6798,NO
0.6161,NO
0.2067,NO
1.0044,NO
0.813,NO
0.353,NO
0.6241,NO
0.3941,NO
0.2654,NO
0.6779,NO
2.0012,YES
1.225,NO
1.6156,YES
0.3957,NO
0.568,NO
0.1315,NO
0.5573,NO
0.7141,NO
0.3404,NO
0.5944,NO
0.2654,NO
0.6355,NO
3.35,YES
2.3112,YES
1.7785,YES
3.1607,YES
0.767,NO
2.4109,YES
0.8909,NO
0.6287,NO
0.2853,NO
0.4787,NO
0.6725,NO
0.3147,NO
0.2132,NO
0.4708,NO
0.2538,NO
0.2497,NO
1.2867,YES
0.4344,NO
1.1234,YES
0.4769,NO
0.4377,NO
0.3227,NO
0.4835,NO
0.5191,NO
0.2919,NO
0.6636,NO
0.4408,NO
0.5963,NO
2.272,YES
1.9059,YES
1.3934,YES
1.9744,YES
0.2425,NO
1.6736,YES
0.3359,NO
0.7862,NO
0.3057,NO
0.8329,NO
0.8717,NO
0.2643,NO
0.3215,NO
0.4592,NO
0.3332,NO
0.6201,NO
2.7486,YES
0.7852,NO
2.3329,YES
0.5189,NO
0.7308,NO
0.3419,NO
0.6369,NO
0.537,NO
0.3364,NO
0.5988,NO
0.483,NO
0.7065,NO
4.0518,YES
2.9846,YES
1.9011,YES
3.3151,YES
0.4803,NO
2.4901,YES
0.6826,NO
0.4698,NO
0.38299999999999995,NO
1.5876,YES
0.8893,YES
0.5034,YES
2.9919,YES
0.3986,NO
0.1473,NO
2.3508,YES
0.2698,NO
3.3310000000000004,YES
0.3542,NO
0.52,NO
0.7755,NO
0.2292,NO
0.3413,NO
0.7097,YES
0.2691,NO
0.6762,YES
0.2907,NO
0.5319,YES
0.4302,NO
0.2792,NO
0.434,NO
0.4117,NO
1.2122,YES
0.2516,NO
1.7389,YES
0.2632,NO
0.1772,NO
1.005,YES
0.2944,NO
0.1535,NO
0.7261,YES
0.2365,NO
0.1467,NO
0.5514,YES
0.3048,NO
1.2752,YES
0.21600000000000003,NO
0.5847,NO
0.5337,NO
0.4145,NO
0.2932,NO
0.21899999999999997,NO
0.2537,NO
0.3673,NO
0.217,NO
0.3518,NO
0.4553,NO
0.5462,NO
0.3767,NO
0.4789,NO
0.7117,YES
0.4648,NO
0.9701,YES
0.5687,NO
0.4671,NO
1.0092,YES
3.2215,YES
1.9818,YES
1.6436,YES
0.8596,NO
0.28,NO
1.4051,YES
0.7452,NO
1.3291,YES
0.5799,NO
0.3259,NO
0.8069,NO
0.2342,NO
0.5455,NO
2.6198,YES
0.385,NO
2.8181,YES
0.3439,NO
1.6977,YES
1.0078,NO
0.7495,NO
0.6541,NO
0.8835,NO
0.9997,YES
0.8024,NO
1.1975,YES
0.3598,NO
0.2385,NO
0.9032,YES
0.4379,NO
0.214,NO
1.7154,YES
0.3223,NO
0.153,NO
1.54,YES
0.159,NO
2.1311,YES
0.183,NO
0.272,NO
0.3817,NO
0.1277,NO
0.2621,NO
0.4094,NO
0.2199,NO
0.4506,NO
0.18600000000000003,NO
0.2663,NO
0.5108,NO
0.32799999999999996,NO
0.6012,NO
0.5283,NO
0.5749,YES
0.42,NO
1.1552,YES
0.3118,NO
0.2092,NO
1.193,YES
1.9609999999999999,YES
2.1463,YES
1.3507,YES
0.42,NO
0.1748,NO
1.2547,YES
0.2543,NO
0.4292,YES
0.0994,NO
0.3982,NO
0.5476,NO
0.2859,NO
0.2134,NO
1.5193,YES
0.2141,NO
1.7598,YES
0.2129,NO
1.5844,YES
0.3286,NO
0.3573,NO
0.4305,NO
0.1205,NO
0.5841,YES
0.1618,NO
0.5237,YES
1.9826,YES
2.2422,YES
0.7372,NO
0.6678,NO
0.4562,NO
0.4781,NO
2.4275,YES
1.6877,YES
0.4306,NO
0.3773,NO
0.2344,NO
0.4202,NO
0.4635,NO
0.5435,NO
0.3941,NO
3.0474,YES
0.2917,NO
2.4675,YES
0.33799999999999997,NO
2.3309,YES
0.3719,NO
0.6023,NO
0.6731,NO
0.5026,NO
0.4124,NO
0.4867,NO
0.5395,NO
0.2865,NO
0.4866,NO
0.2497,NO
2.0051,YES
0.9381,YES
0.64,YES
3.4862,YES
0.2974,NO
0.1791,NO
3.2814,YES
0.3045,NO
4.3111,YES
0.4316,NO
0.8165,NO
1.0227,NO
0.5083,NO
0.268,NO
0.8424,YES
0.2157,NO
0.887,YES
0.1736,NO
0.703,YES
0.5038,NO
0.484,NO
0.5746,NO
0.4798,NO
2.0331,YES
0.6083,NO
2.6314,YES
0.5296,NO
0.2584,NO
2.2737,YES
0.6274,YES
0.5913,YES
2.4378,YES
0.3088,NO
0.2786,NO
2.3556,YES
0.7119,NO
3.2679,YES
0.47600000000000003,NO
0.6177,NO
0.5682,NO
0.3358,NO
0.4465,NO
0.5473,YES
0.3965,NO
0.3438,YES
0.3976,NO
0.6632,YES
1.0973,NO
0.7612,NO
0.8205,NO
0.9292,NO
1.2001,YES
0.5661,NO
2.1545,YES
0.35100000000000003,NO
0.3514,NO
2.7955,YES
0.8439,YES
0.57,YES
2.7135,YES
0.3879,NO
0.1622,NO
2.1442,YES
0.2709,NO
3.9992,YES
0.1573,NO
0.6541,NO
0.6786,NO
0.3955,NO
0.2956,NO
0.7606,YES
0.3486,NO
0.7752,YES
0.3293,NO
0.6734,YES
0.3397,NO
0.3231,NO
0.3619,NO
0.4375,NO
1.4237,YES
0.3259,NO
2.8794,YES
0.4014,NO
0.2718,NO
2.8856,YES
1.0396,YES
0.6617,YES
2.5348,YES
0.3992,NO
0.1725,NO
2.2454,YES
0.551,NO
3.7812,YES
0.2396,NO
0.8126,NO
0.9331,NO
0.5132,NO
0.3512,NO
0.684,YES
0.3525,NO
0.9374,YES
0.314,NO
0.8083,YES
0.8125,NO
0.6356,NO
0.5766,NO
0.8668,NO
1.4303,YES
0.5536,NO
2.8762,YES
0.4449,NO
0.3227,NO
0.4485,YES
3.4372,YES
1.3233,YES
0.7019,YES
0.6442,NO
0.1778,NO
0.4545,YES
0.6588,NO
0.3007,YES
0.4906,NO
0.3233,NO
0.5396,NO
0.2523,NO
0.3291,NO
1.9522,YES
0.19399999999999998,NO
2.7114,YES
0.2851,NO
2.0399,YES
0.6509,NO
0.7174,NO
0.3875,NO
0.4386,NO
0.3591,YES
0.5175,NO
0.5681,YES
0.5189,NO
0.2567,NO
1.3146,YES
3.6549,YES
2.0223,YES
1.725,YES
0.5241,NO
0.2906,NO
1.4596,YES
0.6631,NO
0.8837,YES
0.1726,NO
0.4628,NO
