50Traced_NONETRACED_SUM_SINGLE_LSA_62_MAX,Associated
0.4158,NO
0.2628,NO
0.7202,NO
0.9374,NO
1.0869,NO
0.7871,NO
0.3175,NO
0.2562,NO
0.7087,NO
1.5691,YES
0.6588,NO
1.6524,YES
0.2427,NO
0.3146,NO
0.39399999999999996,NO
0.2204,NO
1.4883,NO
0.1631,NO
1.0049,NO
0.5591,NO
0.9762,NO
1.3497,YES
1.4036,YES
2.0173,YES
1.7733,YES
0.7304,NO
0.9890000000000001,YES
0.6923,NO
1.6026,YES
2.3628,YES
1.6761,NO
0.6231,NO
0.5878,NO
1.5487,NO
1.7984,YES
1.5533,YES
1.5359,NO
0.3403,NO
1.4745,NO
0.5322,NO
0.7016,NO
0.6979,NO
0.9251,NO
2.5564,YES
0.6304,NO
2.5055,YES
0.5914,NO
2.9483,YES
0.518,NO
0.6890000000000001,NO
0.4439,NO
0.7417,NO
0.7452,NO
1.5955,NO
0.5471,NO
1.7689,NO
0.5294,NO
0.6032,NO
1.1682,NO
0.9209999999999999,NO
1.3452,NO
1.274,NO
0.504,NO
0.1943,NO
1.1801,NO
3.0891,YES
1.0367,NO
2.6634,YES
0.2452,NO
0.4404,NO
0.6256,NO
0.3698,NO
2.2446,NO
0.2398,NO
1.3045,NO
0.6488,NO
1.2848,NO
2.7665,YES
2.7435,YES
3.55,YES
3.0931,YES
0.8824,NO
2.0380000000000003,YES
1.1599,NO
2.0628,YES
2.5147,YES
2.4164,NO
1.3109,NO
1.1966,NO
2.0378,NO
2.4588,YES
1.7985,YES
2.1428,NO
0.7297,NO
1.7125,NO
0.8618,NO
1.8089,NO
1.7754,NO
1.9229,NO
3.0184,YES
1.1338,NO
2.8684,YES
1.1497,NO
3.2942,YES
1.2736,NO
1.0773,NO
0.8149,NO
0.8586,NO
1.2905,NO
2.1109999999999998,NO
1.1293,NO
2.4325,NO
0.46,NO
0.6676,NO
1.7152,YES
3.5764,YES
4.596,YES
1.9831,YES
0.7735,NO
0.2516,NO
2.3212,YES
0.6464,NO
2.2334,YES
0.6988,NO
1.0433,NO
0.5332,NO
1.0901,NO
0.5654,NO
4.5763,YES
0.3362,NO
4.255,YES
0.6858,NO
4.669,YES
0.7036,NO
0.457,NO
0.8933,NO
0.9269,NO
2.3207,YES
1.0878,NO
1.7974,YES
0.7854,NO
0.5962,NO
1.4185,NO
1.2181,NO
1.6613,NO
1.4618,NO
0.634,NO
0.4311,NO
1.4267,NO
3.2969999999999997,YES
1.1475,NO
2.8824,YES
0.2374,NO
0.515,NO
0.6631,NO
0.6206,NO
2.6072,NO
0.4529,NO
1.7306,NO
0.9118,NO
1.6901,NO
2.9531,YES
2.9929,YES
3.7912,YES
3.2883,YES
1.1395,NO
2.1566,YES
1.3335,NO
0.4047,NO
0.5236,NO
1.3357,YES
3.3873,YES
4.0429,YES
1.1774,YES
0.4666,NO
0.2747,NO
1.9454,YES
0.45899999999999996,NO
1.5985,YES
0.6307,NO
0.8631,NO
0.5918,NO
1.0046,NO
0.4496,NO
4.0329,YES
0.2681,NO
3.8044,YES
0.8639,NO
4.2192,YES
0.5244,NO
0.4253,NO
0.5939,NO
0.4415,NO
1.7186,YES
0.4856,NO
1.4104,YES
0.7512,NO
0.6672,NO
1.8884,NO
0.6578,NO
0.9603,NO
2.2563,NO
0.7564,NO
0.2563,NO
1.8535,NO
3.1265,YES
1.8893,NO
2.6859,YES
0.8059,NO
0.9359,NO
1.1171,NO
0.4508,NO
1.7728,NO
0.285,NO
1.1447,NO
0.7194,NO
0.8959,NO
2.9742,YES
2.8747,YES
3.9621,YES
3.4015,YES
1.6408,NO
2.5963,YES
2.1736,NO
0.7121,NO
0.8456,NO
1.8168,NO
0.8939,NO
1.7106,NO
2.4836,NO
0.6321,NO
0.3819,NO
2.1032,NO
2.9613,YES
1.9967,NO
2.4519,YES
0.5416,NO
0.496,NO
0.6698,NO
0.6323,NO
2.4254,NO
0.47700000000000004,NO
1.8068,NO
0.6729,NO
1.7487,NO
2.6175,YES
2.5916,YES
3.5131,YES
3.1129,YES
1.7915,NO
3.0193,YES
2.3302,NO
0.6491,NO
0.6515,NO
1.8189,NO
1.1404,NO
1.6106,NO
1.7707,NO
0.3746,NO
0.3348,NO
1.4888,NO
3.3615,YES
1.2476,NO
3.0818,YES
0.3087,NO
0.5037,NO
0.6002,NO
0.4001,NO
2.5789,NO
0.2528,NO
1.5927,NO
0.7958,NO
1.5465,NO
2.8333,YES
2.8298,YES
3.8326,YES
3.333,YES
1.2019,NO
2.4209,YES
1.5322,NO
0.44799999999999995,NO
0.5157,NO
0.8222,NO
0.4609,NO
0.8598,NO
0.9738,NO
0.4866,NO
0.1034,NO
0.8681,NO
2.8101,YES
0.7411,NO
2.3093,YES
0.3922,NO
0.6507,NO
0.6341,NO
0.3612,NO
1.6709,NO
0.2539,NO
0.8441,NO
0.5463,NO
0.8786,NO
2.5462,YES
2.6687,YES
3.2729,YES
2.7489,YES
0.5803,NO
2.0089,YES
1.0829,NO
0.6191,NO
1.2844,NO
4.904,YES
1.0781,YES
1.5264,YES
5.7813,YES
1.314,NO
0.8311,NO
5.3045,YES
0.2987,NO
5.8291,YES
0.5021,NO
1.0673,NO
0.4811,NO
1.2163,NO
0.8,NO
1.8517,YES
0.6413,NO
2.2348,YES
1.7626,NO
1.3287,YES
0.8112,NO
0.249,NO
1.0837,NO
1.5608,NO
5.6222,YES
1.7487,NO
5.4026,YES
0.1799,NO
0.5857,NO
2.3096,YES
0.2437,NO
0.408,NO
3.2927,YES
1.2331,NO
0.3286,NO
2.9935,YES
0.5051,NO
3.0401,YES
0.4841,NO
0.821,NO
0.8294,NO
0.7327,NO
0.4469,NO
0.4712,NO
0.3608,NO
0.6778,NO
0.768,NO
0.4127,NO
0.7901,NO
0.602,NO
0.6314,NO
1.3138,NO
3.4519,YES
1.2572,NO
3.3525,YES
0.8654,NO
0.9992,NO
3.9095,YES
3.5863,YES
5.0761,YES
4.5135,YES
1.1447,NO
0.5015,NO
4.5135,YES
1.4201,NO
4.7764,YES
1.6993,NO
1.7541,NO
1.3355,NO
2.1934,NO
0.7758,NO
5.3014,YES
0.4301,NO
4.7002,YES
1.7180000000000002,NO
4.8995,YES
1.8786,NO
1.2965,NO
2.7983,NO
2.4492,NO
4.3326,YES
2.1717,NO
4.3193,YES
0.4697,NO
0.5459,NO
2.5282,YES
0.4949,NO
1.4492,NO
3.8263,YES
0.7595,NO
0.4138,NO
3.5117,YES
0.5269,NO
3.5605,YES
0.5239,NO
0.7292,NO
0.6285,NO
0.9882,NO
0.4535,NO
1.5396,NO
0.2113,NO
1.469,NO
0.5436,NO
1.2465,NO
1.0032,NO
0.5937,NO
1.3888,NO
1.4493,NO
3.0992,YES
1.3226,NO
3.4914,YES
0.4785,NO
0.9912,NO
1.0209,YES
3.4821,YES
4.3642,YES
1.2499,YES
0.8633,NO
0.3587,NO
2.1401,YES
0.4537,NO
1.6375,YES
0.5846,NO
1.2843,NO
0.9158,NO
1.3202,NO
0.8207,NO
4.1889,YES
0.6459999999999999,NO
4.1774,YES
1.0801,NO
4.5545,YES
0.4857,NO
0.5139,NO
0.7468,NO
0.4911,NO
1.6416,YES
0.8328,NO
1.7079,YES
2.1747,YES
2.3671,YES
1.5122,NO
0.4462,NO
0.3178,NO
1.3708,NO
2.134,YES
2.1533,YES
1.6655,NO
0.7395,NO
1.291,NO
0.8198,NO
0.8240000000000001,NO
0.9949,NO
1.213,NO
3.1168,YES
0.4686,NO
3.0036,YES
0.4926,NO
3.4219,YES
0.2436,NO
1.0527,NO
1.0029,NO
1.0779,NO
1.0675,NO
1.4751,NO
0.4585,NO
1.8086,NO
0.5547,NO
1.2079,NO
5.2051,YES
1.1242,YES
2.0027,YES
6.6583,YES
1.7186,NO
0.6579,NO
6.1927,YES
0.7476,NO
6.2441,YES
1.0139,NO
1.9155,NO
1.5385,NO
2.0703,NO
0.7861,NO
2.0189,YES
0.4874,NO
