50Traced_NONETRACED_SUM_RAW_LSA_85_MAX,Associated
0.4206,NO
0.174,NO
0.3724,NO
0.6297,NO
0.4102,NO
0.3739,NO
0.5168,NO
0.0924,NO
0.2758,NO
2.0246,YES
0.364,NO
2.4786,YES
0.5588,NO
0.4624,NO
0.3127,NO
0.2852,NO
0.2699,NO
0.2678,NO
0.2425,NO
0.2179,NO
0.185,NO
2.5708,YES
3.0952,YES
2.4093,YES
3.1885,YES
0.556,NO
3.2282,YES
0.2817,NO
2.3963,YES
1.1119,YES
0.3889,NO
0.2496,NO
0.168,NO
0.2365,NO
0.7166,YES
2.3744,YES
0.1364,NO
0.2378,NO
0.0981,NO
0.2407,NO
0.1797,NO
0.3128,NO
0.1551,NO
1.5276,YES
0.2836,NO
2.0709,YES
0.1439,NO
0.9228,YES
0.0736,NO
0.1476,NO
0.17600000000000002,NO
0.1235,NO
0.1807,NO
0.2409,NO
0.2674,NO
0.1294,NO
0.5752,NO
0.1824,NO
0.8159,NO
0.9359,NO
0.7467,NO
0.6107,NO
0.4175,NO
0.0893,NO
0.6353,NO
2.3235,YES
0.6657,NO
3.1524,YES
0.5653,NO
0.2355,NO
0.2383,NO
0.317,NO
0.5232,NO
0.2838,NO
0.5154,NO
0.2097,NO
0.6895,NO
2.8480000000000003,YES
2.8085,YES
2.2169,YES
3.4862,YES
0.5871,NO
3.5487,YES
0.5851,NO
1.5562,YES
0.3241,YES
0.5722,NO
0.3145,NO
0.429,NO
0.4284,NO
0.5372,YES
1.5209,YES
0.5387,NO
0.3655,NO
0.5612,NO
0.3609,NO
0.3297,NO
0.4534,NO
0.2793,NO
0.6462,YES
0.3159,NO
1.2614,YES
0.2823,NO
0.6991,YES
0.2642,NO
0.3329,NO
0.2562,NO
0.1733,NO
0.3544,NO
0.6668,NO
0.4155,NO
0.6702,NO
0.223,NO
0.1285,NO
0.8185,YES
2.2088,YES
2.9705,YES
1.1047,YES
0.3968,NO
0.1869,NO
1.0377,YES
0.5538,NO
1.1320000000000001,YES
0.2051,NO
0.5156,NO
0.311,NO
0.2438,NO
0.3091,NO
2.5272,YES
0.2132,NO
2.0852,YES
0.3083,NO
3.4608,YES
0.326,NO
0.5022,NO
0.5209,NO
0.4153,NO
1.0629,YES
0.4359,NO
1.0335,YES
0.4954,NO
0.3467,NO
0.7653,NO
0.6829999999999999,NO
0.855,NO
0.7122,NO
0.4227,NO
0.2762,NO
0.9078,NO
1.9865,YES
0.7018,NO
2.1542,YES
0.3308,NO
0.1756,NO
0.1689,NO
0.39299999999999996,NO
0.3995,NO
0.49200000000000005,NO
0.4842,NO
0.289,NO
0.371,NO
2.6379,YES
2.7587,YES
2.4277,YES
2.9048,YES
0.8686,NO
3.0412,YES
0.8603,NO
0.3312,NO
0.2564,NO
0.7172,YES
2.09,YES
2.8676,YES
0.9187,YES
0.3197,NO
0.3102,NO
1.4383,YES
0.8155,NO
1.5077,YES
0.6924,NO
0.4741,NO
0.4406,NO
0.2456,NO
0.298,NO
1.9618,YES
0.3812,NO
1.4236,YES
0.3372,NO
2.7979,YES
0.8476,NO
0.8723,NO
0.9296,NO
0.8140000000000001,NO
1.5461,YES
0.9486,NO
1.3385,YES
0.4219,NO
0.1567,NO
0.7706,NO
0.8177,NO
0.8898,NO
0.4468,NO
0.5534,NO
0.2106,NO
0.7085,NO
1.8575,YES
0.5077,NO
1.7779,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.3084,NO
0.5866,NO
0.2175,NO
0.5725,NO
0.4024,NO
0.6617,NO
1.9253,YES
2.3934,YES
1.7169999999999999,YES
2.5266,YES
0.9626,NO
2.5679,YES
0.6935,NO
0.5308,NO
0.1721,NO
0.8011,NO
0.6047,NO
0.3603,NO
0.7206,NO
0.5371,NO
0.1907,NO
0.8577,NO
2.2565,YES
0.7335,NO
2.6905,YES
0.4494,NO
0.2332,NO
0.1744,NO
0.3043,NO
0.2458,NO
0.381,NO
0.31,NO
0.2686,NO
0.2819,NO
2.867,YES
3.2035,YES
2.5754,YES
3.4764,YES
0.8802,NO
3.5497,YES
0.9344,NO
0.6941,NO
0.3525,NO
0.8435,NO
0.5994,NO
0.5303,NO
0.4665,NO
0.4644,NO
0.3665,NO
0.6912,NO
2.3952,YES
0.5201,NO
2.1107,YES
0.39399999999999996,NO
0.2041,NO
0.2007,NO
0.4722,NO
0.4138,NO
0.4423,NO
0.4753,NO
0.3924,NO
0.4603,NO
2.5716,YES
2.2243,YES
1.974,YES
2.8662,YES
0.4914,NO
2.9557,YES
0.5536,NO
0.8867,NO
0.307,NO
0.5507,NO
1.0719,NO
0.898,NO
0.4265,NO
0.6083,NO
0.4805,NO
0.5896,NO
2.2804,YES
0.7246,NO
3.1625,YES
0.3685,NO
0.2048,NO
0.2045,NO
0.5608,NO
0.5023,NO
0.5419,NO
0.4947,NO
0.4423,NO
0.6728,NO
2.8248,YES
2.7519,YES
2.1608,YES
3.4342,YES
