,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_SINGLE_LSA,Associated
0,0.0737,0.21824163772619265,NO
1,0.0652,0.4005483458234326,NO
2,0.1144,0.20122463900566626,NO
3,0.2164,0.32284774264302685,NO
4,0.0671,0.402083714129044,NO
5,0.0906,0.3315116066532626,NO
6,0.0589,0.4288064339243283,NO
7,0.0679,0.040157192469384026,NO
8,0.1689,0.1527874246024493,NO
9,0.2469,0.11657832206178027,YES
10,0.0616,0.2461341619447999,NO
11,0.33799999999999997,0.026466825077682325,YES
12,0.2427,0.2026320599524767,NO
13,0.2231,0.483951745567538,NO
14,0.2223,0.1736428440870042,NO
15,0.1142,0.3084445256808627,NO
16,0.0706,0.6532078230670809,NO
17,0.1109,0.17413635532809355,NO
18,0.0747,0.3214951562785597,NO
19,0.2179,0.05549259733138366,NO
20,0.1147,0.34368488393346736,NO
21,0.0779,0.3669164686528971,YES
22,0.0804,0.6216962164138182,YES
23,0.1668,0.2942240906598428,YES
24,0.24,0.20106013525863645,YES
25,0.1573,0.2273259002010601,NO
26,0.0716,0.4400292451105831,YES
27,0.1205,0.1574849204898556,NO
28,0.1072,0.388813745201974,YES
29,0.2444,0.448309267044416,YES
30,0.3362,0.03105465180040212,NO
31,0.1579,0.10383842076402852,NO
32,0.1148,0.3253335770425882,NO
33,0.1112,0.0,NO
34,0.3947,0.14920489855602267,YES
35,0.0957,0.4942423688539572,YES
36,0.1364,0.04094315481630415,NO
37,0.1056,0.10743922500456954,NO
38,0.0981,0.15863644671906416,NO
39,0.1058,0.14697495887406326,NO
40,0.1797,0.0772070919393164,NO
41,0.1526,0.16949369402303052,NO
42,0.1551,0.19053189544872967,NO
43,0.2811,0.21001645037470296,YES
44,0.0766,0.1979528422591848,NO
45,0.1126,0.3342533357704259,YES
46,0.0341,0.09250594041308717,NO
47,0.3399,0.252732590020106,YES
48,0.0412,0.09804423322975687,NO
49,0.1212,0.3284774264302687,NO
50,0.0769,0.2642295741180771,NO
51,0.1235,0.07550721988667519,NO
52,0.0802,0.3864558581612137,NO
53,0.1903,0.031146042770974224,NO
54,0.1119,0.08702248217876074,NO
55,0.1008,0.030049351124108937,NO
56,0.0886,0.21824163772619265,NO
57,0.1534,0.4005483458234326,NO
58,0.1331,0.20122463900566626,NO
59,0.2865,0.32284774264302685,NO
60,0.1512,0.402083714129044,NO
61,0.1666,0.3315116066532626,NO
62,0.1465,0.4288064339243283,NO
63,0.0509,0.040157192469384026,NO
64,0.2187,0.1527874246024493,NO
65,0.4574,0.11657832206178027,YES
66,0.1603,0.2461341619447999,NO
67,0.2015,0.026466825077682325,YES
68,0.205,0.2026320599524767,NO
69,0.2168,0.483951745567538,NO
70,0.2136,0.1736428440870042,NO
71,0.1919,0.3084445256808627,NO
72,0.1533,0.6532078230670809,NO
73,0.1268,0.17413635532809355,NO
74,0.1947,0.3214951562785597,NO
75,0.1755,0.05549259733138366,NO
76,0.2202,0.34368488393346736,NO
77,0.4465,0.3669164686528971,YES
78,0.4252,0.6216962164138182,YES
79,0.3653,0.2942240906598428,YES
80,0.1771,0.20106013525863645,YES
81,0.1659,0.2273259002010601,NO
82,0.1927,0.4400292451105831,YES
83,0.1251,0.1574849204898556,NO
84,0.1303,0.388813745201974,YES
85,0.1814,0.448309267044416,YES
86,0.3356,0.03105465180040212,NO
87,0.1662,0.10383842076402852,NO
88,0.1507,0.3253335770425882,NO
89,0.1441,0.0,NO
90,0.3435,0.14920489855602267,YES
91,0.1243,0.4942423688539572,YES
92,0.1731,0.04094315481630415,NO
93,0.0952,0.10743922500456954,NO
94,0.1364,0.15863644671906416,NO
95,0.0887,0.14697495887406326,NO
96,0.2289,0.0772070919393164,NO
97,0.2088,0.16949369402303052,NO
98,0.2075,0.19053189544872967,NO
99,0.1923,0.21001645037470296,YES
100,0.0927,0.1979528422591848,NO
101,0.0821,0.3342533357704259,YES
102,0.0311,0.09250594041308717,NO
103,0.3081,0.252732590020106,YES
104,0.0406,0.09804423322975687,NO
105,0.1251,0.3284774264302687,NO
106,0.091,0.2642295741180771,NO
107,0.11800000000000001,0.07550721988667519,NO
108,0.1053,0.3864558581612137,NO
109,0.2201,0.031146042770974224,NO
110,0.1351,0.08702248217876074,NO
111,0.1328,0.030049351124108937,NO
112,0.0724,0.4906598428075306,NO
113,0.0244,0.5083348565161762,NO
114,0.1404,0.5015719246938402,YES
115,0.3348,0.6538658380552002,YES
116,0.2937,0.3883202339608847,YES
117,0.14300000000000002,0.3759276183513069,YES
118,0.0826,0.3768780844452568,NO
119,0.013000000000000001,0.461231950283312,NO
120,0.2103,0.6343081703527691,YES
121,0.1395,0.6572655821604825,NO
122,0.1325,0.3463352220800585,YES
123,0.1443,0.6845366477791993,NO
124,0.2165,0.6756168890513616,NO
125,0.1934,0.7131968561506122,NO
126,0.1934,0.6135806982270151,NO
127,0.0572,0.5433924328276366,NO
128,0.2318,0.5217144946079326,YES
129,0.0556,0.5692926338877718,NO
130,0.3609,0.4538110034728569,YES
131,0.1417,0.6612685066715408,NO
132,0.255,0.5526229208554194,YES
133,0.0522,0.6203984646316943,NO
134,0.0677,0.7551818680314385,NO
135,0.1439,0.675068543227929,NO
136,0.0494,0.4967282032535186,NO
137,0.1715,0.6208919758727838,YES
138,0.0964,0.5411807713397916,NO
139,0.1343,0.6326814110765856,YES
140,0.1544,0.21824163772619265,NO
141,0.0732,0.4005483458234326,NO
142,0.1975,0.20122463900566626,NO
143,0.2582,0.32284774264302685,NO
144,0.1977,0.402083714129044,NO
145,0.1701,0.3315116066532626,NO
146,0.1684,0.4288064339243283,NO
147,0.1225,0.040157192469384026,NO
148,0.1458,0.1527874246024493,NO
149,0.4028,0.11657832206178027,YES
150,0.1577,0.2461341619447999,NO
151,0.2904,0.026466825077682325,YES
152,0.1987,0.2026320599524767,NO
153,0.1756,0.483951745567538,NO
154,0.1689,0.1736428440870042,NO
155,0.054000000000000006,0.3084445256808627,NO
156,0.1469,0.6532078230670809,NO
157,0.0547,0.17413635532809355,NO
158,0.1082,0.3214951562785597,NO
159,0.2019,0.05549259733138366,NO
160,0.1293,0.34368488393346736,NO
161,0.3897,0.3669164686528971,YES
162,0.3612,0.6216962164138182,YES
163,0.2791,0.2942240906598428,YES
164,0.2894,0.20106013525863645,YES
165,0.2226,0.2273259002010601,NO
166,0.1753,0.4400292451105831,YES
167,0.0979,0.1574849204898556,NO
168,0.0985,0.4906598428075306,NO
169,0.0774,0.5083348565161762,NO
170,0.1069,0.5015719246938402,YES
171,0.3647,0.6538658380552002,YES
172,0.2531,0.3883202339608847,YES
173,0.1331,0.3759276183513069,YES
174,0.0885,0.3768780844452568,NO
175,0.0604,0.461231950283312,NO
176,0.2068,0.6343081703527691,YES
177,0.2598,0.6572655821604825,NO
178,0.106,0.3463352220800585,YES
179,0.1459,0.6845366477791993,NO
180,0.2252,0.6756168890513616,NO
181,0.2571,0.7131968561506122,NO
182,0.2375,0.6135806982270151,NO
183,0.1453,0.5433924328276366,NO
184,0.2245,0.5217144946079326,YES
185,0.141,0.5692926338877718,NO
186,0.2623,0.4538110034728569,YES
187,0.142,0.6612685066715408,NO
188,0.2555,0.5526229208554194,YES
189,0.2049,0.6203984646316943,NO
190,0.2206,0.7551818680314385,NO
191,0.2228,0.675068543227929,NO
192,0.1032,0.4967282032535186,NO
193,0.1461,0.6208919758727838,YES
194,0.1116,0.5411807713397916,NO
195,0.1326,0.6326814110765856,YES
196,0.1415,0.21824163772619265,NO
197,0.0745,0.4005483458234326,NO
198,0.2381,0.20122463900566626,NO
199,0.19,0.32284774264302685,NO
200,0.1547,0.402083714129044,NO
201,0.1997,0.3315116066532626,NO
202,0.1653,0.4288064339243283,NO
203,0.1536,0.040157192469384026,NO
204,0.1999,0.1527874246024493,NO
205,0.1989,0.11657832206178027,YES
206,0.2045,0.2461341619447999,NO
207,0.2447,0.026466825077682325,YES
208,0.2519,0.2026320599524767,NO
209,0.2036,0.483951745567538,NO
210,0.2033,0.1736428440870042,NO
211,0.0533,0.3084445256808627,NO
212,0.105,0.6532078230670809,NO
213,0.055999999999999994,0.17413635532809355,NO
214,0.1113,0.3214951562785597,NO
215,0.2256,0.05549259733138366,NO
216,0.0989,0.34368488393346736,NO
217,0.1879,0.3669164686528971,YES
218,0.1445,0.6216962164138182,YES
219,0.1901,0.2942240906598428,YES
220,0.3108,0.20106013525863645,YES
221,0.2405,0.2273259002010601,NO
222,0.1657,0.4400292451105831,YES
223,0.1331,0.1574849204898556,NO
224,0.0949,0.21824163772619265,NO
225,0.1339,0.4005483458234326,NO
226,0.22399999999999998,0.20122463900566626,NO
227,0.1967,0.32284774264302685,NO
228,0.1436,0.402083714129044,NO
229,0.2079,0.3315116066532626,NO
230,0.1339,0.4288064339243283,NO
231,0.0967,0.040157192469384026,NO
232,0.2198,0.1527874246024493,NO
233,0.3428,0.11657832206178027,YES
234,0.2344,0.2461341619447999,NO
235,0.1736,0.026466825077682325,YES
236,0.1331,0.2026320599524767,NO
237,0.0735,0.483951745567538,NO
238,0.0647,0.1736428440870042,NO
239,0.204,0.3084445256808627,NO
240,0.1327,0.6532078230670809,NO
241,0.1655,0.17413635532809355,NO
242,0.31,0.3214951562785597,NO
243,0.1309,0.05549259733138366,NO
244,0.2819,0.34368488393346736,NO
245,0.4042,0.3669164686528971,YES
246,0.3296,0.6216962164138182,YES
247,0.4941,0.2942240906598428,YES
248,0.1783,0.20106013525863645,YES
249,0.193,0.2273259002010601,NO
250,0.2673,0.4400292451105831,YES
251,0.1726,0.1574849204898556,NO
252,0.1439,0.21824163772619265,NO
253,0.0769,0.4005483458234326,NO
254,0.1953,0.20122463900566626,NO
255,0.2342,0.32284774264302685,NO
256,0.2047,0.402083714129044,NO
257,0.1823,0.3315116066532626,NO
258,0.1684,0.4288064339243283,NO
259,0.1204,0.040157192469384026,NO
260,0.1751,0.1527874246024493,NO
261,0.3579,0.11657832206178027,YES
262,0.1828,0.2461341619447999,NO
263,0.2083,0.026466825077682325,YES
264,0.2252,0.2026320599524767,NO
265,0.2041,0.483951745567538,NO
266,0.2007,0.1736428440870042,NO
267,0.0498,0.3084445256808627,NO
268,0.1415,0.6532078230670809,NO
269,0.0515,0.17413635532809355,NO
270,0.1207,0.3214951562785597,NO
271,0.1912,0.05549259733138366,NO
272,0.14,0.34368488393346736,NO
273,0.4038,0.3669164686528971,YES
274,0.3494,0.6216962164138182,YES
275,0.2799,0.2942240906598428,YES
276,0.2675,0.20106013525863645,YES
277,0.2206,0.2273259002010601,NO
278,0.2003,0.4400292451105831,YES
279,0.1168,0.1574849204898556,NO
280,0.0727,0.21824163772619265,NO
281,0.0714,0.4005483458234326,NO
282,0.10800000000000001,0.20122463900566626,NO
283,0.2886,0.32284774264302685,NO
284,0.1427,0.402083714129044,NO
285,0.0855,0.3315116066532626,NO
286,0.0605,0.4288064339243283,NO
287,0.0532,0.040157192469384026,NO
288,0.1421,0.1527874246024493,NO
289,0.4397,0.11657832206178027,YES
290,0.0607,0.2461341619447999,NO
291,0.2347,0.026466825077682325,YES
292,0.2118,0.2026320599524767,NO
293,0.2048,0.483951745567538,NO
294,0.2045,0.1736428440870042,NO
295,0.0849,0.3084445256808627,NO
296,0.1035,0.6532078230670809,NO
297,0.0824,0.17413635532809355,NO
298,0.0975,0.3214951562785597,NO
299,0.1702,0.05549259733138366,NO
300,0.1518,0.34368488393346736,NO
301,0.3372,0.3669164686528971,YES
302,0.3303,0.6216962164138182,YES
303,0.314,0.2942240906598428,YES
304,0.1257,0.20106013525863645,YES
305,0.1375,0.2273259002010601,NO
306,0.1128,0.4400292451105831,YES
307,0.099,0.1574849204898556,NO
308,0.1069,0.641071102175105,NO
309,0.0451,1.0,NO
310,0.5095,0.9120270517272892,YES
311,0.1431,0.3697678669347469,YES
312,0.1227,0.3585998903308353,YES
313,0.2847,0.8391518917930907,YES
314,0.2237,0.7770608663864009,NO
315,0.1065,0.6671540851763845,NO
316,0.3266,0.9216231036373606,YES
317,0.0974,0.21414732224456226,NO
318,0.3289,0.9710107841345276,YES
319,0.1059,0.3502833120087735,NO
320,0.2131,0.8143483823798208,NO
321,0.1496,0.8694205812465728,NO
322,0.1474,0.7942606470480716,NO
323,0.0902,0.8510875525498081,NO
324,0.0993,0.42270151709011133,YES
325,0.0875,0.7535002741729118,NO
326,0.2369,0.583915189179309,YES
327,0.2129,0.6481082069091573,NO
328,0.1321,0.4757265582160482,YES
329,0.1271,0.5639919575945895,NO
330,0.08,0.5122829464448911,NO
331,0.3025,0.7190824346554558,NO
332,0.12,0.7161030890148052,NO
333,0.3399,0.8622006945713763,YES
334,0.2516,0.9055017364284408,NO
335,0.2081,0.8420032900749405,YES
