,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_SINGLE_LSA,Associated
0,0.0737,0.11909472734215006,NO
1,0.0652,0.11909472734215006,NO
2,0.1144,0.566975597903433,NO
3,0.2164,0.4774549619910444,NO
4,0.0671,0.4774549619910444,NO
5,0.0906,0.566975597903433,NO
6,0.0589,0.11909472734215006,NO
7,0.0679,0.11909472734215006,NO
8,0.1689,0.566975597903433,NO
9,0.2469,0.5513034121281544,YES
10,0.0616,0.566975597903433,NO
11,0.33799999999999997,0.5513034121281544,YES
12,0.2427,0.2393696414314971,NO
13,0.2231,0.2393696414314971,NO
14,0.2223,0.2393696414314971,NO
15,0.1142,0.11909472734215006,NO
16,0.0706,0.4774549619910444,NO
17,0.1109,0.11909472734215006,NO
18,0.0747,0.4774549619910444,NO
19,0.2179,0.11909472734215006,NO
20,0.1147,0.4774549619910444,NO
21,0.0779,0.5513034121281544,YES
22,0.0804,0.5513034121281544,YES
23,0.1668,0.5513034121281544,YES
24,0.24,0.5513034121281544,YES
25,0.1573,0.566975597903433,NO
26,0.0716,0.5513034121281544,YES
27,0.1205,0.566975597903433,NO
28,0.1072,0.09352979971536672,YES
29,0.2444,0.09352979971536672,YES
30,0.3362,0.5007983616231039,NO
31,0.1579,0.556944010552258,NO
32,0.1148,0.556944010552258,NO
33,0.1112,0.5007983616231039,NO
34,0.3947,0.09352979971536672,YES
35,0.0957,0.09352979971536672,YES
36,0.1364,0.5007983616231039,NO
37,0.1056,0.1157624353500642,NO
38,0.0981,0.5007983616231039,NO
39,0.1058,0.1157624353500642,NO
40,0.1797,0.10836891249262384,NO
41,0.1526,0.10836891249262384,NO
42,0.1551,0.10836891249262384,NO
43,0.2811,0.09352979971536672,YES
44,0.0766,0.556944010552258,NO
45,0.1126,0.09352979971536672,YES
46,0.0341,0.556944010552258,NO
47,0.3399,0.09352979971536672,YES
48,0.0412,0.556944010552258,NO
49,0.1212,0.1157624353500642,NO
50,0.0769,0.1157624353500642,NO
51,0.1235,0.1157624353500642,NO
52,0.0802,0.1157624353500642,NO
53,0.1903,0.5007983616231039,NO
54,0.1119,0.1157624353500642,NO
55,0.1008,0.5007983616231039,NO
56,0.0886,0.3760630358568503,NO
57,0.1534,0.3760630358568503,NO
58,0.1331,0.14280259641084386,NO
59,0.2865,0.21984449304036927,NO
60,0.1512,0.21984449304036927,NO
61,0.1666,0.14280259641084386,NO
62,0.1465,0.3760630358568503,NO
63,0.0509,0.3760630358568503,NO
64,0.2187,0.14280259641084386,NO
65,0.4574,0.4367732305876636,YES
66,0.1603,0.14280259641084386,NO
67,0.2015,0.4367732305876636,YES
68,0.205,0.04217432052483599,NO
69,0.2168,0.04217432052483599,NO
70,0.2136,0.04217432052483599,NO
71,0.1919,0.3760630358568503,NO
72,0.1533,0.21984449304036927,NO
73,0.1268,0.3760630358568503,NO
74,0.1947,0.21984449304036927,NO
75,0.1755,0.3760630358568503,NO
76,0.2202,0.21984449304036927,NO
77,0.4465,0.4367732305876636,YES
78,0.4252,0.4367732305876636,YES
79,0.3653,0.4367732305876636,YES
80,0.1771,0.4367732305876636,YES
81,0.1659,0.14280259641084386,NO
82,0.1927,0.4367732305876636,YES
83,0.1251,0.14280259641084386,NO
84,0.1303,0.0939984032767538,YES
85,0.1814,0.0939984032767538,YES
86,0.3356,0.6145475372279495,NO
87,0.1662,0.66576417091881,NO
88,0.1507,0.66576417091881,NO
89,0.1441,0.6145475372279495,NO
90,0.3435,0.0939984032767538,YES
91,0.1243,0.0939984032767538,YES
92,0.1731,0.6145475372279495,NO
93,0.0952,0.12652296157450796,NO
94,0.1364,0.6145475372279495,NO
95,0.0887,0.12652296157450796,NO
96,0.2289,0.14577041896629525,NO
97,0.2088,0.14577041896629525,NO
98,0.2075,0.14577041896629525,NO
99,0.1923,0.0939984032767538,YES
100,0.0927,0.66576417091881,NO
101,0.0821,0.0939984032767538,YES
102,0.0311,0.66576417091881,NO
103,0.3081,0.0939984032767538,YES
104,0.0406,0.66576417091881,NO
105,0.1251,0.12652296157450796,NO
106,0.091,0.12652296157450796,NO
107,0.11800000000000001,0.12652296157450796,NO
108,0.1053,0.12652296157450796,NO
109,0.2201,0.6145475372279495,NO
110,0.1351,0.12652296157450796,NO
111,0.1328,0.6145475372279495,NO
112,0.0724,0.02710958381061474,NO
113,0.0244,0.02710958381061474,NO
114,0.1404,0.9055156374744004,YES
115,0.3348,0.2857613940088167,YES
116,0.2937,0.2857613940088167,YES
117,0.14300000000000002,0.9055156374744004,YES
118,0.0826,0.02710958381061474,NO
119,0.013000000000000001,0.02710958381061474,NO
120,0.2103,0.9055156374744004,YES
121,0.1395,0.371186087680933,NO
122,0.1325,0.9055156374744004,YES
123,0.1443,0.371186087680933,NO
124,0.2165,0.09384220208962477,NO
125,0.1934,0.09384220208962477,NO
126,0.1934,0.09384220208962477,NO
127,0.0572,0.02710958381061474,NO
128,0.2318,0.2857613940088167,YES
129,0.0556,0.02710958381061474,NO
130,0.3609,0.2857613940088167,YES
131,0.1417,0.02710958381061474,NO
132,0.255,0.2857613940088167,YES
133,0.0522,0.371186087680933,NO
134,0.0677,0.371186087680933,NO
135,0.1439,0.371186087680933,NO
136,0.0494,0.371186087680933,NO
