,DIRECT_NA_NA_VSM,NONETRACED_SUM_SINGLE_VSM,Associated
0,0.0737,0.9281,NO
1,0.0652,0.9406,NO
2,0.1144,0.9242,NO
3,0.2164,1.599,NO
4,0.0671,1.2722,NO
5,0.0906,1.2078,NO
6,0.0589,1.3383,NO
7,0.0679,0.6506,NO
8,0.1689,1.2255,NO
9,0.2469,1.6094,YES
10,0.0616,1.0793,NO
11,0.33799999999999997,1.7082,YES
12,0.2427,1.0768,NO
13,0.2231,1.3617,NO
14,0.2223,1.2583,NO
15,0.1142,0.8053,NO
16,0.0706,1.8956,NO
17,0.1109,0.7981,NO
18,0.0747,1.2776,NO
19,0.2179,1.4381,NO
20,0.1147,1.2975,NO
21,0.0779,1.6019,YES
22,0.0804,1.8301,YES
23,0.1668,1.6968,YES
24,0.24,1.8355,YES
25,0.1573,1.1053,NO
26,0.0716,1.2726,YES
27,0.1205,1.2876,NO
28,0.1072,1.5009,YES
29,0.2444,1.8561,YES
30,0.3362,2.016,NO
31,0.1579,1.6031,NO
32,0.1148,1.4240000000000002,NO
33,0.1112,2.1492,NO
34,0.3947,2.4386,YES
35,0.0957,1.1349,YES
36,0.1364,2.1074,NO
37,0.1056,0.9088,NO
38,0.0981,2.0564,NO
39,0.1058,1.0206,NO
40,0.1797,1.5504,NO
41,0.1526,1.7276,NO
42,0.1551,1.6440000000000001,NO
43,0.2811,1.6018,YES
44,0.0766,2.1663,NO
45,0.1126,1.3566,YES
46,0.0341,1.9162,NO
47,0.3399,2.7607,YES
48,0.0412,1.4838,NO
49,0.1212,1.3881,NO
50,0.0769,1.4842,NO
51,0.1235,1.9068,NO
52,0.0802,1.4829,NO
53,0.1903,2.1089,NO
54,0.1119,1.7996,NO
55,0.1008,2.1724,NO
56,0.0886,0.9212,NO
57,0.1534,1.2721,NO
58,0.1331,1.6135,NO
59,0.2865,2.4012,NO
60,0.1512,1.98,NO
61,0.1666,2.1326,NO
62,0.1465,1.7439,NO
63,0.0509,0.5483,NO
64,0.2187,1.8743,NO
65,0.4574,2.8124,YES
66,0.1603,2.0858,NO
67,0.2015,2.242,YES
68,0.205,1.1166,NO
69,0.2168,1.4239,NO
70,0.2136,1.1124,NO
71,0.1919,0.9718,NO
72,0.1533,2.8710000000000004,NO
