,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_MULTI_VSM,Associated
0,0.0737,1.2714,NO
1,0.0652,0.3661,NO
2,0.1144,1.2447,NO
3,0.2164,1.7824,NO
4,0.0671,1.1269,NO
5,0.0906,1.5726,NO
6,0.0589,1.3309,NO
7,0.0679,0.4382,NO
8,0.1689,1.1558,NO
9,0.2469,2.9288,YES
10,0.0616,1.0193,NO
11,0.33799999999999997,1.5345,YES
12,0.2427,0.9746,NO
13,0.2231,1.4528,NO
14,0.2223,0.2129,NO
15,0.1142,0.8029,NO
16,0.0706,1.5015,NO
17,0.1109,0.7766,NO
18,0.0747,1.0671,NO
19,0.2179,0.3988,NO
20,0.1147,1.3312,NO
21,0.0779,2.4708,YES
22,0.0804,3.21,YES
23,0.1668,2.5988,YES
24,0.24,1.4129,YES
25,0.1573,1.2751,NO
26,0.0716,1.9703,YES
27,0.1205,0.9469,NO
28,0.1072,2.1355,YES
29,0.2444,0.5055,YES
30,0.3362,0.89,NO
31,0.1579,0.6924,NO
32,0.1148,0.3858,NO
33,0.1112,0.628,NO
34,0.3947,1.3684,YES
35,0.0957,1.4797,YES
36,0.1364,0.3682,NO
37,0.1056,0.4649,NO
38,0.0981,0.2887,NO
39,0.1058,0.3507,NO
40,0.1797,0.5473,NO
41,0.1526,0.9639,NO
42,0.1551,0.2169,NO
43,0.2811,1.3578,YES
44,0.0766,0.6244,NO
45,0.1126,2.0647,YES
46,0.0341,0.2691,NO
47,0.3399,1.6558,YES
48,0.0412,0.4261,NO
49,0.1212,0.3318,NO
50,0.0769,0.6849,NO
51,0.1235,0.3887,NO
52,0.0802,0.3018,NO
53,0.1903,0.7142,NO
54,0.1119,0.5644,NO
55,0.1008,0.3773,NO
56,0.0886,1.2714,NO
57,0.1534,0.3661,NO
58,0.1331,1.2447,NO
59,0.2865,1.7824,NO
60,0.1512,1.1269,NO
61,0.1666,1.5726,NO
62,0.1465,1.3309,NO
63,0.0509,0.4382,NO
64,0.2187,1.1558,NO
65,0.4574,2.9288,YES
66,0.1603,1.0193,NO
67,0.2015,1.5345,YES
68,0.205,0.9746,NO
69,0.2168,1.4528,NO
70,0.2136,0.2129,NO
71,0.1919,0.8029,NO
72,0.1533,1.5015,NO
73,0.1268,0.7766,NO
74,0.1947,1.0671,NO
75,0.1755,0.3988,NO
76,0.2202,1.3312,NO
77,0.4465,2.4708,YES
78,0.4252,3.21,YES
79,0.3653,2.5988,YES
80,0.1771,1.4129,YES
81,0.1659,1.2751,NO
82,0.1927,1.9703,YES
83,0.1251,0.9469,NO
84,0.1303,2.1355,YES
85,0.1814,0.5055,YES
86,0.3356,0.89,NO
87,0.1662,0.6924,NO
88,0.1507,0.3858,NO
89,0.1441,0.628,NO
90,0.3435,1.3684,YES
91,0.1243,1.4797,YES
92,0.1731,0.3682,NO
93,0.0952,0.4649,NO
94,0.1364,0.2887,NO
95,0.0887,0.3507,NO
96,0.2289,0.5473,NO
97,0.2088,0.9639,NO
98,0.2075,0.2169,NO
99,0.1923,1.3578,YES
100,0.0927,0.6244,NO
101,0.0821,2.0647,YES
102,0.0311,0.2691,NO
103,0.3081,1.6558,YES
104,0.0406,0.4261,NO
105,0.1251,0.3318,NO
106,0.091,0.6849,NO
107,0.11800000000000001,0.3887,NO
108,0.1053,0.3018,NO
109,0.2201,0.7142,NO
110,0.1351,0.5644,NO
111,0.1328,0.3773,NO
112,0.0724,1.338,NO
113,0.0244,0.3989,NO
114,0.1404,1.5111,YES
115,0.3348,3.1085,YES
116,0.2937,2.7194,YES
117,0.14300000000000002,1.9311,YES
118,0.0826,1.3737,NO
119,0.013000000000000001,0.32799999999999996,NO
120,0.2103,1.6641,YES
121,0.1395,1.2383,NO
122,0.1325,1.2931,YES
123,0.1443,0.7444,NO
124,0.2165,1.1911,NO
125,0.1934,1.7311,NO
126,0.1934,0.5885,NO
127,0.0572,0.7020000000000001,NO
128,0.2318,2.7074,YES
129,0.0556,0.662,NO
130,0.3609,3.1932,YES
131,0.1417,0.6286,NO
132,0.255,2.8987,YES
133,0.0522,1.0282,NO
134,0.0677,1.8482,NO
135,0.1439,1.6406,NO
136,0.0494,0.7398,NO
137,0.1715,1.7046,YES
138,0.0964,1.5477,NO
139,0.1343,1.2302,YES
140,0.1544,1.2714,NO
141,0.0732,0.3661,NO
142,0.1975,1.2447,NO
143,0.2582,1.7824,NO
144,0.1977,1.1269,NO
145,0.1701,1.5726,NO
146,0.1684,1.3309,NO
147,0.1225,0.4382,NO
148,0.1458,1.1558,NO
149,0.4028,2.9288,YES
150,0.1577,1.0193,NO
151,0.2904,1.5345,YES
152,0.1987,0.9746,NO
153,0.1756,1.4528,NO
154,0.1689,0.2129,NO
155,0.054000000000000006,0.8029,NO
156,0.1469,1.5015,NO
157,0.0547,0.7766,NO
158,0.1082,1.0671,NO
159,0.2019,0.3988,NO
160,0.1293,1.3312,NO
161,0.3897,2.4708,YES
162,0.3612,3.21,YES
163,0.2791,2.5988,YES
164,0.2894,1.4129,YES
165,0.2226,1.2751,NO
166,0.1753,1.9703,YES
167,0.0979,0.9469,NO
168,0.0985,1.338,NO
169,0.0774,0.3989,NO
170,0.1069,1.5111,YES
171,0.3647,3.1085,YES
172,0.2531,2.7194,YES
173,0.1331,1.9311,YES
174,0.0885,1.3737,NO
175,0.0604,0.32799999999999996,NO
176,0.2068,1.6641,YES
177,0.2598,1.2383,NO
178,0.106,1.2931,YES
179,0.1459,0.7444,NO
