,DIRECT_NA_NA_VSM,NONETRACED_RFUNDER_SINGLE_LSA,Associated
0,0.0737,0.19672131147540986,NO
1,0.0652,0.0,NO
2,0.1144,0.0819672131147541,NO
3,0.2164,0.18032786885245905,NO
4,0.0671,0.0,NO
5,0.0906,0.278688524590164,NO
6,0.0589,0.0,NO
7,0.0679,0.5409836065573771,NO
8,0.1689,0.0,NO
9,0.2469,0.13114754098360654,YES
10,0.0616,0.3114754098360656,NO
11,0.33799999999999997,0.2295081967213115,YES
12,0.2427,0.016393442622950817,NO
13,0.2231,0.0,NO
14,0.2223,0.0,NO
15,0.1142,0.032786885245901634,NO
16,0.0706,0.016393442622950817,NO
17,0.1109,0.06557377049180327,NO
18,0.0747,0.2295081967213115,NO
19,0.2179,0.13114754098360654,NO
20,0.1147,0.1639344262295082,NO
21,0.0779,0.1639344262295082,YES
22,0.0804,0.0,YES
23,0.1668,0.11475409836065575,YES
24,0.24,0.016393442622950817,YES
25,0.1573,0.09836065573770493,NO
26,0.0716,0.0,YES
27,0.1205,0.09836065573770493,NO
28,0.1072,0.5901639344262295,YES
29,0.2444,0.3278688524590164,YES
30,0.3362,0.09836065573770493,NO
31,0.1579,0.18032786885245905,NO
32,0.1148,0.21311475409836067,NO
33,0.1112,0.13114754098360654,NO
34,0.3947,0.049180327868852465,YES
35,0.0957,0.09836065573770493,YES
36,0.1364,0.11475409836065575,NO
37,0.1056,0.18032786885245905,NO
38,0.0981,0.09836065573770493,NO
39,0.1058,0.0819672131147541,NO
40,0.1797,0.09836065573770493,NO
41,0.1526,0.09836065573770493,NO
42,0.1551,0.09836065573770493,NO
43,0.2811,0.2459016393442623,YES
44,0.0766,0.13114754098360654,NO
45,0.1126,0.09836065573770493,YES
46,0.0341,0.3114754098360656,NO
47,0.3399,0.09836065573770493,YES
48,0.0412,0.2459016393442623,NO
49,0.1212,0.09836065573770493,NO
50,0.0769,0.09836065573770493,NO
51,0.1235,0.26229508196721313,NO
52,0.0802,0.3606557377049181,NO
53,0.1903,0.2295081967213115,NO
54,0.1119,0.09836065573770493,NO
55,0.1008,0.2295081967213115,NO
56,0.0886,0.06557377049180327,NO
57,0.1534,0.1639344262295082,NO
58,0.1331,0.0,NO
59,0.2865,0.11475409836065575,NO
60,0.1512,0.13114754098360654,NO
61,0.1666,0.032786885245901634,NO
62,0.1465,0.016393442622950817,NO
63,0.0509,0.3606557377049181,NO
64,0.2187,0.0,NO
65,0.4574,0.0,YES
66,0.1603,0.0,NO
67,0.2015,0.0,YES
68,0.205,0.0,NO
69,0.2168,0.4426229508196722,NO
70,0.2136,0.0,NO
71,0.1919,0.0,NO
72,0.1533,0.3606557377049181,NO
73,0.1268,0.0,NO
74,0.1947,0.0,NO
75,0.1755,0.0,NO
76,0.2202,0.049180327868852465,NO
77,0.4465,0.278688524590164,YES
78,0.4252,0.1639344262295082,YES
79,0.3653,0.0,YES
80,0.1771,0.3278688524590164,YES
81,0.1659,0.0,NO
82,0.1927,0.06557377049180327,YES
83,0.1251,0.0,NO
84,0.1303,0.06557377049180327,YES
85,0.1814,0.18032786885245905,YES
86,0.3356,0.13114754098360654,NO
87,0.1662,0.1639344262295082,NO
88,0.1507,0.18032786885245905,NO
89,0.1441,0.11475409836065575,NO
90,0.3435,0.11475409836065575,YES
91,0.1243,0.11475409836065575,YES
92,0.1731,0.016393442622950817,NO
93,0.0952,0.19672131147540986,NO
94,0.1364,0.11475409836065575,NO
95,0.0887,0.049180327868852465,NO
96,0.2289,0.06557377049180327,NO
97,0.2088,0.0819672131147541,NO
98,0.2075,0.06557377049180327,NO
99,0.1923,0.09836065573770493,YES
100,0.0927,0.21311475409836067,NO
101,0.0821,0.11475409836065575,YES
102,0.0311,0.11475409836065575,NO
103,0.3081,0.09836065573770493,YES
104,0.0406,0.06557377049180327,NO
105,0.1251,0.06557377049180327,NO
106,0.091,0.09836065573770493,NO
107,0.11800000000000001,0.06557377049180327,NO
108,0.1053,0.3442622950819672,NO
109,0.2201,0.1639344262295082,NO
110,0.1351,0.049180327868852465,NO
111,0.1328,0.13114754098360654,NO
112,0.0724,0.11475409836065575,NO
113,0.0244,0.049180327868852465,NO
114,0.1404,0.016393442622950817,YES
115,0.3348,0.14754098360655735,YES
116,0.2937,0.14754098360655735,YES
117,0.14300000000000002,0.0,YES
118,0.0826,0.0,NO
119,0.013000000000000001,0.19672131147540986,NO
120,0.2103,0.0,YES
121,0.1395,0.0,NO
122,0.1325,0.0,YES
123,0.1443,0.032786885245901634,NO
124,0.2165,0.19672131147540986,NO
125,0.1934,0.0,NO
126,0.1934,0.11475409836065575,NO
127,0.0572,0.29508196721311475,NO
128,0.2318,0.14754098360655735,YES
129,0.0556,0.049180327868852465,NO
130,0.3609,0.19672131147540986,YES
131,0.1417,0.13114754098360654,NO
132,0.255,0.4426229508196722,YES
133,0.0522,0.13114754098360654,NO
134,0.0677,0.0,NO
135,0.1439,0.11475409836065575,NO
136,0.0494,0.2295081967213115,NO
137,0.1715,0.032786885245901634,YES
138,0.0964,0.0,NO
139,0.1343,0.7540983606557378,YES
140,0.1544,0.0,NO
141,0.0732,0.06557377049180327,NO
142,0.1975,0.016393442622950817,NO
143,0.2582,0.3114754098360656,NO
144,0.1977,0.3278688524590164,NO
145,0.1701,0.14754098360655735,NO
146,0.1684,0.016393442622950817,NO
147,0.1225,0.049180327868852465,NO
148,0.1458,0.18032786885245905,NO
149,0.4028,0.13114754098360654,YES
150,0.1577,0.13114754098360654,NO
151,0.2904,0.3770491803278689,YES
152,0.1987,0.26229508196721313,NO
153,0.1756,0.049180327868852465,NO
154,0.1689,0.26229508196721313,NO
155,0.054000000000000006,0.016393442622950817,NO
156,0.1469,0.3606557377049181,NO
157,0.0547,0.0,NO
158,0.1082,0.14754098360655735,NO
159,0.2019,0.13114754098360654,NO
160,0.1293,0.2295081967213115,NO
161,0.3897,0.13114754098360654,YES
162,0.3612,0.0,YES
163,0.2791,0.06557377049180327,YES
164,0.2894,0.06557377049180327,YES
165,0.2226,0.0,NO
166,0.1753,0.032786885245901634,YES
167,0.0979,0.21311475409836067,NO
168,0.0985,0.11475409836065575,NO
