,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_RAW_LSA,Associated
0,0.0737,0.25881004103306776,NO
1,0.0652,0.25881004103306776,NO
2,0.1144,0.7094496741491672,NO
3,0.2164,0.5616904014804086,NO
4,0.0671,0.5616904014804086,NO
5,0.0906,0.7094496741491672,NO
6,0.0589,0.25881004103306776,NO
7,0.0679,0.25881004103306776,NO
8,0.1689,0.7094496741491672,NO
9,0.2469,0.5562595542682436,YES
10,0.0616,0.7094496741491672,NO
11,0.33799999999999997,0.5562595542682436,YES
12,0.2427,0.28015125915198325,NO
13,0.2231,0.28015125915198325,NO
14,0.2223,0.28015125915198325,NO
15,0.1142,0.25881004103306776,NO
16,0.0706,0.5616904014804086,NO
17,0.1109,0.25881004103306776,NO
18,0.0747,0.5616904014804086,NO
19,0.2179,0.25881004103306776,NO
20,0.1147,0.5616904014804086,NO
21,0.0779,0.5562595542682436,YES
22,0.0804,0.5562595542682436,YES
23,0.1668,0.5562595542682436,YES
24,0.24,0.5562595542682436,YES
25,0.1573,0.7094496741491672,NO
26,0.0716,0.5562595542682436,YES
27,0.1205,0.7094496741491672,NO
28,0.1072,0.1771864188591198,YES
29,0.2444,0.1771864188591198,YES
30,0.3362,0.5909968621771662,NO
31,0.1579,0.6078123742859439,NO
32,0.1148,0.6078123742859439,NO
33,0.1112,0.5909968621771662,NO
34,0.3947,0.1771864188591198,YES
35,0.0957,0.1771864188591198,YES
36,0.1364,0.5909968621771662,NO
37,0.1056,0.212104755008448,NO
38,0.0981,0.5909968621771662,NO
39,0.1058,0.212104755008448,NO
40,0.1797,0.174189395767962,NO
41,0.1526,0.174189395767962,NO
42,0.1551,0.174189395767962,NO
43,0.2811,0.1771864188591198,YES
44,0.0766,0.6078123742859439,NO
45,0.1126,0.1771864188591198,YES
46,0.0341,0.6078123742859439,NO
47,0.3399,0.1771864188591198,YES
48,0.0412,0.6078123742859439,NO
49,0.1212,0.212104755008448,NO
50,0.0769,0.212104755008448,NO
51,0.1235,0.212104755008448,NO
52,0.0802,0.212104755008448,NO
53,0.1903,0.5909968621771662,NO
54,0.1119,0.212104755008448,NO
55,0.1008,0.5909968621771662,NO
56,0.0886,0.4697883981012148,NO
57,0.1534,0.4697883981012148,NO
58,0.1331,0.6848901762008205,NO
59,0.2865,0.5583916646552416,NO
60,0.1512,0.5583916646552416,NO
61,0.1666,0.6848901762008205,NO
62,0.1465,0.4697883981012148,NO
63,0.0509,0.4697883981012148,NO
64,0.2187,0.6848901762008205,NO
65,0.4574,0.5805374527315149,YES
66,0.1603,0.6848901762008205,NO
67,0.2015,0.5805374527315149,YES
68,0.205,0.22829672540027354,NO
69,0.2168,0.22829672540027354,NO
70,0.2136,0.22829672540027354,NO
71,0.1919,0.4697883981012148,NO
72,0.1533,0.5583916646552416,NO
73,0.1268,0.4697883981012148,NO
74,0.1947,0.5583916646552416,NO
75,0.1755,0.4697883981012148,NO
76,0.2202,0.5583916646552416,NO
77,0.4465,0.5805374527315149,YES
78,0.4252,0.5805374527315149,YES
79,0.3653,0.5805374527315149,YES
80,0.1771,0.5805374527315149,YES
81,0.1659,0.6848901762008205,NO
82,0.1927,0.5805374527315149,YES
83,0.1251,0.6848901762008205,NO
84,0.1303,0.19068307989379674,YES
85,0.1814,0.19068307989379674,YES
86,0.3356,0.7018062595542681,NO
87,0.1662,0.6999557486523452,NO
88,0.1507,0.6999557486523452,NO
89,0.1441,0.7018062595542681,NO
90,0.3435,0.19068307989379674,YES
91,0.1243,0.19068307989379674,YES
92,0.1731,0.7018062595542681,NO
93,0.0952,0.23895727733526426,NO
94,0.1364,0.7018062595542681,NO
95,0.0887,0.23895727733526426,NO
96,0.2289,0.21105881406388285,NO
97,0.2088,0.21105881406388285,NO
98,0.2075,0.21105881406388285,NO
99,0.1923,0.19068307989379674,YES
100,0.0927,0.6999557486523452,NO
101,0.0821,0.19068307989379674,YES
102,0.0311,0.6999557486523452,NO
103,0.3081,0.19068307989379674,YES
104,0.0406,0.6999557486523452,NO
105,0.1251,0.23895727733526426,NO
106,0.091,0.23895727733526426,NO
107,0.11800000000000001,0.23895727733526426,NO
108,0.1053,0.23895727733526426,NO
109,0.2201,0.7018062595542681,NO
110,0.1351,0.23895727733526426,NO
111,0.1328,0.7018062595542681,NO
112,0.0724,0.21594657655483146,NO
113,0.0244,0.21594657655483146,NO
114,0.1404,0.9866039102099926,YES
115,0.3348,0.4844315713251266,YES
116,0.2937,0.4844315713251266,YES
117,0.14300000000000002,0.9866039102099926,YES
118,0.0826,0.21594657655483146,NO
119,0.013000000000000001,0.21594657655483146,NO
120,0.2103,0.9866039102099926,YES
121,0.1395,0.4891584198246037,NO
122,0.1325,0.9866039102099926,YES
123,0.1443,0.4891584198246037,NO
124,0.2165,0.2085847614450076,NO
125,0.1934,0.2085847614450076,NO
126,0.1934,0.2085847614450076,NO
127,0.0572,0.21594657655483146,NO
128,0.2318,0.4844315713251266,YES
129,0.0556,0.21594657655483146,NO
130,0.3609,0.4844315713251266,YES
131,0.1417,0.21594657655483146,NO
132,0.255,0.4844315713251266,YES
133,0.0522,0.4891584198246037,NO
134,0.0677,0.4891584198246037,NO
135,0.1439,0.4891584198246037,NO
136,0.0494,0.4891584198246037,NO
137,0.1715,0.9866039102099926,YES
138,0.0964,0.4891584198246037,NO
139,0.1343,0.9866039102099926,YES
140,0.1544,0.3784697079411054,NO
141,0.0732,0.3784697079411054,NO
142,0.1975,0.7695912784616621,NO
143,0.2582,0.8175034194223186,NO
144,0.1977,0.8175034194223186,NO
145,0.1701,0.7695912784616621,NO
146,0.1684,0.3784697079411054,NO
147,0.1225,0.3784697079411054,NO
148,0.1458,0.7695912784616621,NO
149,0.4028,0.5791897980529406,YES
150,0.1577,0.7695912784616621,NO
151,0.2904,0.5791897980529406,YES
152,0.1987,0.2676804248129374,NO
