,DIRECT_NA_NA_VSM,Random,Associated
0,0.0737,0.9607142857142856,NO
1,0.0652,0.6595238095238095,NO
2,0.1144,0.2785714285714286,NO
3,0.2164,0.9023809523809524,NO
4,0.0671,0.6071428571428571,NO
5,0.0906,0.7488095238095238,NO
6,0.0589,0.2380952380952381,NO
7,0.0679,0.6285714285714286,NO
8,0.1689,0.10595238095238096,NO
9,0.2469,0.18095238095238092,YES
10,0.0616,0.1988095238095238,NO
11,0.33799999999999997,0.8095238095238095,YES
12,0.2427,0.4476190476190477,NO
13,0.2231,0.2571428571428571,NO
14,0.2223,0.7738095238095238,NO
15,0.1142,0.6380952380952379,NO
16,0.0706,0.14523809523809525,NO
17,0.1109,0.6797619047619048,NO
18,0.0747,0.9940476190476192,NO
19,0.2179,0.325,NO
20,0.1147,0.22023809523809526,NO
21,0.0779,0.3809523809523809,YES
22,0.0804,0.6964285714285714,YES
23,0.1668,0.0011904761904761904,YES
24,0.24,0.6940476190476189,YES
25,0.1573,0.24523809523809526,NO
26,0.0716,0.3952380952380952,YES
27,0.1205,0.6392857142857142,NO
28,0.1072,0.13333333333333333,YES
29,0.2444,0.7214285714285714,YES
30,0.3362,0.9297619047619048,NO
31,0.1579,0.9392857142857144,NO
32,0.1148,0.04166666666666666,NO
33,0.1112,0.5035714285714286,NO
34,0.3947,0.875,YES
35,0.0957,0.8880952380952379,YES
36,0.1364,0.4107142857142857,NO
37,0.1056,0.3357142857142857,NO
38,0.0981,0.7880952380952381,NO
39,0.1058,0.7357142857142858,NO
40,0.1797,0.9892857142857144,NO
41,0.1526,0.8595238095238096,NO
42,0.1551,0.9797619047619048,NO
43,0.2811,0.4130952380952381,YES
44,0.0766,0.4773809523809524,NO
45,0.1126,0.3595238095238095,YES
46,0.0341,0.31666666666666665,NO
47,0.3399,0.9785714285714284,YES
48,0.0412,0.375,NO
49,0.1212,0.11785714285714285,NO
50,0.0769,0.3488095238095238,NO
51,0.1235,0.43095238095238103,NO
52,0.0802,0.2619047619047619,NO
53,0.1903,0.10357142857142858,NO
54,0.1119,0.11190476190476192,NO
55,0.1008,0.20595238095238091,NO
56,0.0886,0.7726190476190476,NO
57,0.1534,0.2107142857142857,NO
58,0.1331,0.27380952380952384,NO
59,0.2865,0.13690476190476192,NO
60,0.1512,0.1392857142857143,NO
61,0.1666,0.2773809523809524,NO
62,0.1465,0.955952380952381,NO
63,0.0509,0.07976190476190476,NO
64,0.2187,0.625,NO
65,0.4574,0.34523809523809523,YES
66,0.1603,0.5583333333333333,NO
67,0.2015,0.9214285714285714,YES
68,0.205,0.9071428571428573,NO
69,0.2168,0.9773809523809524,NO
70,0.2136,0.45,NO
71,0.1919,0.5571428571428572,NO
72,0.1533,0.2023809523809524,NO
73,0.1268,0.14761904761904762,NO
