,DIRECT_NA_NA_VSM,NONETRACED_SUM_SINGLE_LSA,Associated
0,0.0737,0.365740072202166,NO
1,0.0652,0.6592298435619734,NO
2,0.1144,0.3699157641395908,NO
3,0.2164,0.3659326113116726,NO
4,0.0671,0.3624548736462093,NO
5,0.0906,0.4187003610108303,NO
6,0.0589,0.4866546329723225,NO
7,0.0679,0.2647292418772563,NO
8,0.1689,0.4621179302045728,NO
9,0.2469,0.20565583634175688,YES
10,0.0616,0.4024428399518652,NO
11,0.33799999999999997,0.2608904933814681,YES
12,0.2427,0.5109626955475329,NO
13,0.2231,0.7811913357400722,NO
14,0.2223,0.5467509025270758,NO
15,0.1142,0.5016606498194947,NO
16,0.0706,0.5817208182912155,NO
17,0.1109,0.3895306859205776,NO
18,0.0747,0.3324187725631769,NO
19,0.2179,0.3779903730445246,NO
20,0.1147,0.3897232250300842,NO
21,0.0779,0.4348255114320096,YES
22,0.0804,0.6025752105896509,YES
23,0.1668,0.3996149217809867,YES
24,0.24,0.4287484957882069,YES
25,0.1573,0.4695788206979542,NO
26,0.0716,0.5129843561973526,YES
27,0.1205,0.3995186522262335,NO
28,0.1072,0.16953068592057755,YES
29,0.2444,0.4180746089049337,YES
30,0.3362,0.2589049338146811,NO
31,0.1579,0.22080625752105895,NO
32,0.1148,0.18871239470517448,NO
33,0.1112,0.20495788206979534,NO
34,0.3947,0.19996389891696756,YES
35,0.0957,0.20377858002406732,YES
36,0.1364,0.3388447653429603,NO
37,0.1056,0.18021660649819488,NO
38,0.0981,0.2666425992779783,NO
39,0.1058,0.23150421179302044,NO
40,0.1797,0.3385078219013236,NO
41,0.1526,0.39298435619735256,NO
42,0.1551,0.351768953068592,NO
43,0.2811,0.3045006016847172,YES
44,0.0766,0.2204211793020457,NO
45,0.1126,0.24385078219013234,YES
46,0.0341,0.2061492178098676,NO
47,0.3399,0.30617328519855586,YES
48,0.0412,0.2283754512635379,NO
49,0.1212,0.3325872442839952,NO
50,0.0769,0.3347172081829121,NO
51,0.1235,0.2915403128760529,NO
52,0.0802,0.3141155234657039,NO
53,0.1903,0.3256438026474127,NO
54,0.1119,0.28251504211793016,NO
55,0.1008,0.30051744885679904,NO
56,0.0886,0.19880866425992774,NO
57,0.1534,0.3700361010830325,NO
58,0.1331,0.03009626955475328,NO
59,0.2865,0.13670276774969914,NO
60,0.1512,0.2623706377858002,NO
61,0.1666,0.055980746089049294,NO
62,0.1465,0.15163658243080624,NO
63,0.0509,0.1963778580024067,NO
64,0.2187,0.05906137184115522,NO
65,0.4574,0.04860409145607703,YES
66,0.1603,0.12210589651022866,NO
67,0.2015,0.029735258724428393,YES
68,0.205,0.11126353790613712,NO
69,0.2168,0.2918531889290012,NO
70,0.2136,0.1665824308062575,NO
71,0.1919,0.16907340553549938,NO
72,0.1533,0.2906859205776174,NO
73,0.1268,0.17180505415162456,NO
74,0.1947,0.08271961492178093,NO
75,0.1755,0.1047292418772563,NO
76,0.2202,0.1089891696750902,NO
77,0.4465,0.31681107099879663,YES
78,0.4252,0.3930445246690733,YES
79,0.3653,0.11921780986762932,YES
80,0.1771,0.2542839951865223,YES
81,0.1659,0.06993983152827915,NO
82,0.1927,0.1724789410348977,YES
83,0.1251,0.04310469314079424,NO
84,0.1303,0.2645367027677497,YES
85,0.1814,0.5196750902527076,YES
86,0.3356,0.3351383874849579,NO
87,0.1662,0.2807220216606497,NO
88,0.1507,0.2302045728038508,NO
89,0.1441,0.29361010830324896,NO
90,0.3435,0.2774729241877256,YES
91,0.1243,0.2875932611311672,YES
92,0.1731,0.4624669073405535,NO
93,0.0952,0.2483754512635379,NO
94,0.1364,0.3483754512635378,NO
95,0.0887,0.3067027677496991,NO
96,0.2289,0.453754512635379,NO
97,0.2088,0.5399518652226234,NO
98,0.2075,0.4698435619735258,NO
99,0.1923,0.38588447653429603,YES
100,0.0927,0.30054151624548725,NO
101,0.0821,0.33051744885679896,YES
102,0.0311,0.2615643802647413,NO
103,0.3081,0.3931768953068591,YES
104,0.0406,0.2946089049338147,NO
105,0.1251,0.4189530685920577,NO
106,0.091,0.44628158844765337,NO
107,0.11800000000000001,0.3763537906137184,NO
108,0.1053,0.3933212996389892,NO
109,0.2201,0.4219133574007219,NO
110,0.1351,0.3774729241877257,NO
111,0.1328,0.40352587244284,NO
112,0.0724,0.31706377858002405,NO
113,0.0244,0.5736462093862815,NO
114,0.1404,0.4484476534296029,YES
115,0.3348,0.1683393501805054,YES
116,0.2937,0.1708784596871239,YES
117,0.14300000000000002,0.4560649819494585,YES
118,0.0826,0.4810469314079421,NO
119,0.013000000000000001,0.2350421179302045,NO
120,0.2103,0.41588447653429605,YES
121,0.1395,0.043670276774969874,NO
122,0.1325,0.4601564380264741,YES
123,0.1443,0.12252707581227434,NO
124,0.2165,0.39090252707581225,NO
125,0.1934,0.5644885679903731,NO
126,0.1934,0.3732972322503008,NO
127,0.0572,0.4804693140794224,NO
128,0.2318,0.36749699157641386,YES
129,0.0556,0.36954271961492174,NO
130,0.3609,0.2732731648616125,YES
131,0.1417,0.2767268351383874,NO
132,0.255,0.2563898916967509,YES
133,0.0522,0.2999759326113117,NO
134,0.0677,0.40367027677496986,NO
135,0.1439,0.383826714801444,NO
136,0.0494,0.3537545126353791,NO
137,0.1715,0.4637063778580024,YES
138,0.0964,0.5564380264741275,NO
139,0.1343,0.3683032490974729,YES
140,0.1544,0.4483032490974728,NO
141,0.0732,0.637135980746089,NO
142,0.1975,0.3670517448856799,NO
143,0.2582,0.38539109506618535,NO
144,0.1977,0.347208182912154,NO
145,0.1701,0.3610709987966305,NO
146,0.1684,0.4765222623345367,NO
147,0.1225,0.3515884476534296,NO
148,0.1458,0.4235018050541517,NO
149,0.4028,0.30305655836341755,YES
150,0.1577,0.3501684717208183,NO
151,0.2904,0.3445968712394705,YES
152,0.1987,0.4832851985559566,NO
153,0.1756,0.7347773766546328,NO
154,0.1689,0.4999398315282791,NO
155,0.054000000000000006,0.5095186522262334,NO
156,0.1469,0.5605054151624549,NO
157,0.0547,0.462936221419976,NO
158,0.1082,0.2923465703971119,NO
159,0.2019,0.4300601684717209,NO
160,0.1293,0.3699398315282792,NO
161,0.3897,0.505667870036101,YES
162,0.3612,0.6999157641395908,YES
163,0.2791,0.4525992779783393,YES
164,0.2894,0.4594344163658242,YES
165,0.2226,0.4564620938628158,NO
166,0.1753,0.5286401925391095,YES
167,0.0979,0.3876774969915763,NO
168,0.0985,0.2898796630565584,NO
169,0.0774,0.5852827918170878,NO
170,0.1069,0.2835018050541516,YES
171,0.3647,0.20588447653429606,YES
172,0.2531,0.28961492178098674,YES
173,0.1331,0.33632972322503,YES
174,0.0885,0.3920096269554753,NO
175,0.0604,0.2489410348977136,NO
176,0.2068,0.309626955475331,YES
177,0.2598,0.05929001203369433,NO
178,0.106,0.3710709987966305,YES
179,0.1459,0.0709747292418772,NO
180,0.2252,0.33293622141997603,NO
181,0.2571,0.5610950661853189,NO
182,0.2375,0.3689290012033694,NO
183,0.1453,0.3884356197352587,NO
184,0.2245,0.4409506618531889,YES
185,0.141,0.2995667870036101,NO
186,0.2623,0.22713598074608904,YES
187,0.142,0.2112033694344164,NO
188,0.2555,0.2413598074608905,YES
189,0.2049,0.4024548736462094,NO
190,0.2206,0.5076534296028881,NO
191,0.2228,0.3120818291215403,NO
192,0.1032,0.362202166064982,NO
193,0.1461,0.32050541516245484,YES
194,0.1116,0.4557761732851984,NO
195,0.1326,0.25746089049338144,YES
196,0.1415,0.3313357400722022,NO
197,0.0745,0.5349578820697953,NO
198,0.2381,0.3416486161251505,NO
199,0.19,0.31109506618531896,NO
200,0.1547,0.2255595667870036,NO
201,0.1997,0.33038507821901314,NO
202,0.1653,0.3877015643802648,NO
203,0.1536,0.26225030084235856,NO
204,0.1999,0.4646811070998797,NO
205,0.1989,0.2407581227436823,YES
206,0.2045,0.31900120336943444,NO
207,0.2447,0.2913838748495788,YES
208,0.2519,0.4816125150421179,NO
209,0.2036,0.6616365824308061,NO
210,0.2033,0.4871119133574007,NO
211,0.0533,0.44178098676293615,NO
212,0.105,0.4090132370637786,NO
213,0.055999999999999994,0.3711913357400722,NO
214,0.1113,0.2581829121540313,NO
215,0.2256,0.3823706377858002,NO
216,0.0989,0.31646209386281593,NO
217,0.1879,0.3878459687123947,YES
218,0.1445,0.5231768953068592,YES
219,0.1901,0.3890132370637786,YES
220,0.3108,0.3511552346570396,YES
221,0.2405,0.42960288808664265,NO
222,0.1657,0.4321660649819495,YES
223,0.1331,0.4067268351383874,NO
224,0.0949,0.3269193742478941,NO
225,0.1339,0.4940794223826715,NO
226,0.22399999999999998,0.14054151624548733,NO
227,0.1967,0.14724428399518644,NO
228,0.1436,0.2692178098676293,NO
229,0.2079,0.12574007220216604,NO
230,0.1339,0.27193742478941035,NO
231,0.0967,0.3204813477737665,NO
232,0.2198,0.14141997593261124,NO
233,0.3428,0.08330926594464501,YES
234,0.2344,0.2071600481347773,NO
235,0.1736,0.1069314079422382,YES
236,0.1331,0.1977015643802647,NO
237,0.0735,0.3959927797833935,NO
238,0.0647,0.26619735258724425,NO
239,0.204,0.30051744885679904,NO
240,0.1327,0.3239831528279182,NO
241,0.1655,0.31303249097472924,NO
242,0.31,0.12291215403128758,NO
243,0.1309,0.22039711191335734,NO
244,0.2819,0.15993983152827915,NO
245,0.4042,0.3632972322503008,YES
246,0.3296,0.4335379061371841,YES
247,0.4941,0.19348977135980744,YES
248,0.1783,0.35510228640192537,YES
249,0.193,0.16054151624548735,NO
250,0.2673,0.2751383874849578,YES
251,0.1726,0.12404332129963895,NO
252,0.1439,0.3709506618531889,NO
253,0.0769,0.4894705174488568,NO
254,0.1953,0.2559446450060168,NO
255,0.2342,0.3265222623345367,NO
256,0.2047,0.2781347773766546,NO
257,0.1823,0.2388327316486161,NO
258,0.1684,0.3404211793020457,NO
259,0.1204,0.29374247894103483,NO
260,0.1751,0.3339590854392297,NO
261,0.3579,0.27768953068592056,YES
262,0.1828,0.2328519855595668,NO
263,0.2083,0.2927918170878459,YES
264,0.2252,0.3866425992779784,NO
265,0.2041,0.5969554753309265,NO
266,0.2007,0.3957882069795427,NO
267,0.0498,0.3814440433212996,NO
268,0.1415,0.4573405535499397,NO
269,0.0515,0.3715282791817087,NO
270,0.1207,0.22379061371841152,NO
271,0.1912,0.3468712394705174,NO
272,0.14,0.30362214199759324,NO
273,0.4038,0.442286401925391,YES
274,0.3494,0.6200601684717209,YES
275,0.2799,0.36746089049338143,YES
276,0.2675,0.3611552346570397,YES
277,0.2206,0.33521058965102274,NO
278,0.2003,0.40098676293622143,YES
279,0.1168,0.3092178098676294,NO
280,0.0727,0.4132731648616125,NO
281,0.0714,0.6243321299638989,NO
282,0.10800000000000001,0.2986522262334536,NO
283,0.2886,0.35817087845968704,NO
284,0.1427,0.3928038507821901,NO
285,0.0855,0.3460529482551143,NO
286,0.0605,0.4242599277978339,NO
287,0.0532,0.3236702767749699,NO
288,0.1421,0.3690373044524669,NO
289,0.4397,0.2369795427196149,YES
290,0.0607,0.3454873646209386,NO
291,0.2347,0.2727918170878459,YES
292,0.2118,0.4339229843561973,NO
293,0.2048,0.7152827918170879,NO
294,0.2045,0.4764741275571601,NO
295,0.0849,0.4365703971119133,NO
296,0.1035,0.5959326113116727,NO
297,0.0824,0.3957882069795427,NO
298,0.0975,0.29836341756919377,NO
299,0.1702,0.3600842358604091,NO
300,0.1518,0.3665222623345366,NO
301,0.3372,0.4833453670276776,YES
302,0.3303,0.666257521058965,YES
303,0.314,0.3798676293622141,YES
304,0.1257,0.4538026474127556,YES
305,0.1375,0.3977737665463297,NO
306,0.1128,0.4817448856799038,YES
307,0.099,0.3248134777376655,NO
308,0.1069,0.4137906137184116,NO
309,0.0451,0.6591095066185317,NO
310,0.5095,0.4332490974729241,YES
311,0.1431,0.2859446450060168,YES
312,0.1227,0.2580746089049338,YES
313,0.2847,0.3813357400722021,YES
314,0.2237,0.4032731648616125,NO
315,0.1065,0.4311913357400721,NO
316,0.3266,0.5151865222623344,YES
317,0.0974,0.2363176895306859,NO
318,0.3289,0.4488447653429602,YES
319,0.1059,0.3326594464500601,NO
320,0.2131,0.5139590854392297,NO
321,0.1496,0.6354753309265944,NO
322,0.1474,0.5474969915764138,NO
323,0.0902,0.512936221419976,NO
324,0.0993,0.33874849578820704,YES
325,0.0875,0.479927797833935,NO
326,0.2369,0.2875932611311672,YES
327,0.2129,0.4810589651022864,NO
328,0.1321,0.3112755716004813,YES
329,0.1271,0.4554031287605294,NO
330,0.08,0.4798676293622142,NO
331,0.3025,0.4308062575210589,NO
332,0.12,0.4950060168471721,NO
333,0.3399,0.50604091456077,YES
334,0.2516,0.4802286401925392,NO
335,0.2081,0.4522021660649818,YES
336,0.1799,0.3975932611311673,NO
337,0.1547,0.6405655836341757,NO
338,0.3595,0.3609025270758123,YES
339,0.2156,0.1094584837545126,NO
340,0.1535,0.17068592057761733,NO
341,0.4159,0.35829121540312875,YES
342,0.1827,0.4164500601684717,NO
343,0.1097,0.41722021660649816,NO
344,0.5448,0.43877256317689534,YES
345,0.191,0.03655836341756916,NO
346,0.4381,0.4295908543922983,YES
