,DIRECT_NA_NA_VSM,NONETRACED_MAX_SINGLE_VSM,Associated
0,0.0737,0.2076,NO
1,0.0652,0.2626,NO
2,0.1144,0.1281,NO
3,0.2164,0.3384,NO
4,0.0671,0.1965,NO
5,0.0906,0.166,NO
6,0.0589,0.2626,NO
7,0.0679,0.2025,NO
8,0.1689,0.2216,NO
9,0.2469,0.6882,YES
10,0.0616,0.1376,NO
11,0.33799999999999997,1.0,YES
12,0.2427,0.3701,NO
13,0.2231,0.3574,NO
14,0.2223,0.3691,NO
15,0.1142,0.2626,NO
16,0.0706,0.2942,NO
17,0.1109,0.2201,NO
18,0.0747,0.1689,NO
19,0.2179,0.2508,NO
20,0.1147,0.2553,NO
21,0.0779,0.5181,YES
22,0.0804,0.5954,YES
23,0.1668,0.3643,YES
24,0.24,1.0,YES
25,0.1573,0.1766,NO
26,0.0716,0.2113,YES
27,0.1205,0.2434,NO
28,0.1072,0.382,YES
29,0.2444,1.0,YES
30,0.3362,0.2853,NO
31,0.1579,0.2707,NO
32,0.1148,0.27899999999999997,NO
33,0.1112,0.3765,NO
34,0.3947,1.0,YES
35,0.0957,0.3727,YES
36,0.1364,0.2559,NO
37,0.1056,0.21100000000000002,NO
38,0.0981,0.3,NO
39,0.1058,0.3066,NO
40,0.1797,0.4183,NO
41,0.1526,0.40399999999999997,NO
42,0.1551,0.4173,NO
43,0.2811,1.0,YES
44,0.0766,0.2735,NO
45,0.1126,0.405,YES
46,0.0341,0.2676,NO
47,0.3399,0.8571,YES
48,0.0412,0.1806,NO
49,0.1212,0.2082,NO
50,0.0769,0.2082,NO
51,0.1235,0.2314,NO
52,0.0802,0.3066,NO
53,0.1903,0.4007,NO
54,0.1119,0.2314,NO
55,0.1008,0.2751,NO
56,0.0886,0.1606,NO
57,0.1534,0.3011,NO
58,0.1331,0.3233,NO
59,0.2865,0.6139,NO
60,0.1512,0.3369,NO
61,0.1666,0.3329,NO
62,0.1465,0.2687,NO
63,0.0509,0.0976,NO
64,0.2187,0.2357,NO
65,0.4574,1.0,YES
66,0.1603,0.3471,NO
67,0.2015,0.7349,YES
68,0.205,0.1773,NO
69,0.2168,0.1924,NO
70,0.2136,0.1924,NO
71,0.1919,0.3123,NO
72,0.1533,0.5752,NO
73,0.1268,0.2774,NO
74,0.1947,0.3757,NO
75,0.1755,0.1851,NO
76,0.2202,0.4531,NO
77,0.4465,1.0,YES
78,0.4252,1.0,YES
79,0.3653,0.8737,YES
80,0.1771,0.7349,YES
81,0.1659,0.2544,NO
82,0.1927,0.6372,YES
83,0.1251,0.2473,NO
84,0.1303,0.6166,YES
85,0.1814,1.0,YES
86,0.3356,0.3731,NO
87,0.1662,0.5062,NO
88,0.1507,0.5217,NO
89,0.1441,0.5089,NO
90,0.3435,1.0,YES
91,0.1243,0.6166,YES
92,0.1731,0.4748,NO
93,0.0952,0.4136,NO
94,0.1364,0.4436,NO
95,0.0887,0.601,NO
96,0.2289,0.7376,NO
97,0.2088,0.7124,NO
98,0.2075,0.7358,NO
99,0.1923,1.0,YES
100,0.0927,0.5115,NO
101,0.0821,0.5923,YES
102,0.0311,0.5005,NO
103,0.3081,0.8571,YES
104,0.0406,0.3377,NO
105,0.1251,0.4069,NO
106,0.091,0.4069,NO
107,0.11800000000000001,0.4197,NO
108,0.1053,0.601,NO
109,0.2201,0.5415,NO
110,0.1351,0.4197,NO
111,0.1328,0.4852,NO
112,0.0724,0.1709,NO
113,0.0244,0.2021,NO
114,0.1404,0.4028,YES
115,0.3348,0.9815,YES
116,0.2937,0.9815,YES
117,0.14300000000000002,0.503,YES
118,0.0826,0.257,NO
119,0.013000000000000001,0.153,NO
120,0.2103,0.3689,YES
121,0.1395,0.2963,NO
122,0.1325,0.4615,YES
123,0.1443,0.2198,NO
124,0.2165,0.3493,NO
125,0.1934,0.379,NO
126,0.1934,0.379,NO
127,0.0572,0.0921,NO
128,0.2318,0.9815,YES
129,0.0556,0.1663,NO
130,0.3609,0.7786,YES
131,0.1417,0.3664,NO
132,0.255,0.8285,YES
133,0.0522,0.3342,NO
134,0.0677,0.4485,NO
135,0.1439,0.3867,NO
136,0.0494,0.2429,NO
137,0.1715,0.5192,YES
138,0.0964,0.3518,NO
139,0.1343,0.4304,YES
140,0.1544,0.2565,NO
141,0.0732,0.2131,NO
142,0.1975,0.4056,NO
143,0.2582,0.6139,NO
144,0.1977,0.3369,NO
145,0.1701,0.4167,NO
146,0.1684,0.2687,NO
147,0.1225,0.2502,NO
148,0.1458,0.2731,NO
149,0.4028,1.0,YES
150,0.1577,0.4354,NO
151,0.2904,0.9651,YES
152,0.1987,0.2451,NO
153,0.1756,0.2525,NO
154,0.1689,0.2525,NO
155,0.054000000000000006,0.221,NO
156,0.1469,0.4176,NO
157,0.0547,0.2719,NO
158,0.1082,0.3043,NO
159,0.2019,0.2719,NO
160,0.1293,0.3207,NO
161,0.3897,1.0,YES
162,0.3612,1.0,YES
163,0.2791,0.7522,YES
164,0.2894,0.9651,YES
165,0.2226,0.3573,NO
166,0.1753,0.6152,YES
167,0.0979,0.2424,NO
168,0.0985,0.146,NO
169,0.0774,0.2183,NO
170,0.1069,0.4532,YES
171,0.3647,1.0,YES
172,0.2531,1.0,YES
173,0.1331,0.5660000000000001,YES
174,0.0885,0.2476,NO
175,0.0604,0.1105,NO
176,0.2068,0.4151,YES
177,0.2598,0.6903,NO
178,0.106,0.5193,YES
179,0.1459,0.5875,NO
180,0.2252,0.4058,NO
181,0.2571,0.4403,NO
182,0.2375,0.4403,NO
183,0.1453,0.2264,NO
184,0.2245,1.0,YES
185,0.141,0.2011,NO
186,0.2623,0.7529,YES
187,0.142,0.4123,NO
188,0.2555,0.6278,YES
189,0.2049,0.6903,NO
190,0.2206,0.6903,NO
191,0.2228,0.6334,NO
192,0.1032,0.5875,NO
193,0.1461,0.5843,YES
194,0.1116,0.462,NO
195,0.1326,0.4843,YES
196,0.1415,0.2332,NO
197,0.0745,0.1856,NO
198,0.2381,0.3398,NO
199,0.19,0.3384,NO
200,0.1547,0.3318,NO
201,0.1997,0.3984,NO
202,0.1653,0.2177,NO
203,0.1536,0.2332,NO
204,0.1999,0.3139,NO
205,0.1989,0.6882,YES
206,0.2045,0.3648,NO
207,0.2447,1.0,YES
208,0.2519,0.406,NO
209,0.2036,0.4406,NO
210,0.2033,0.4406,NO
211,0.0533,0.1856,NO
212,0.105,0.3253,NO
213,0.055999999999999994,0.22399999999999998,NO
214,0.1113,0.3183,NO
215,0.2256,0.2508,NO
216,0.0989,0.2148,NO
217,0.1879,0.5181,YES
218,0.1445,0.5954,YES
219,0.1901,0.5155,YES
220,0.3108,1.0,YES
221,0.2405,0.4239,NO
222,0.1657,0.5155,YES
223,0.1331,0.366,NO
224,0.0949,0.1671,NO
225,0.1339,0.3133,NO
226,0.22399999999999998,0.5133,NO
227,0.1967,0.4834,NO
228,0.1436,0.3315,NO
229,0.2079,0.5273,NO
230,0.1339,0.3289,NO
