,DIRECT_NA_NA_VSM,NONETRACED_MAX_SINGLE_LSA,Associated
0,0.0737,0.6261707615040044,NO
1,0.0652,0.6819600923035156,NO
2,0.1144,0.7320483236052666,NO
3,0.2164,0.7320483236052666,NO
4,0.0671,0.7320483236052666,NO
5,0.0906,0.5019682367313696,NO
6,0.0589,0.4275824623320213,NO
7,0.0679,0.5486629564273109,NO
8,0.1689,0.6607845798832632,NO
9,0.2469,0.6990633907967965,YES
10,0.0616,0.6734084430568752,NO
11,0.33799999999999997,0.6770734355911496,YES
12,0.2427,0.7320483236052666,NO
13,0.2231,1.0,NO
14,0.2223,0.7320483236052666,NO
15,0.1142,0.6394733269987785,NO
16,0.0706,1.0,NO
17,0.1109,0.6420523958191937,NO
18,0.0747,0.7320483236052666,NO
19,0.2179,0.6990633907967965,NO
20,0.1147,0.7320483236052666,NO
21,0.0779,0.7320483236052666,YES
22,0.0804,1.0,YES
23,0.1668,0.7320483236052666,YES
24,0.24,0.6611918012759603,YES
25,0.1573,0.7320483236052666,NO
26,0.0716,0.5599294149585992,YES
27,0.1205,0.7320483236052666,NO
28,0.1072,0.34627392425682096,YES
29,0.2444,0.8426768019546627,YES
30,0.3362,0.9005022397176599,NO
31,0.1579,0.9926700149314512,NO
32,0.1148,0.9005022397176599,NO
33,0.1112,0.461517578390118,NO
34,0.3947,0.31695398398262525,YES
35,0.0957,0.6887471155151351,YES
36,0.1364,0.8182435183928329,NO
37,0.1056,0.927514592099905,NO
38,0.0981,0.8327677480656983,NO
39,0.1058,1.0,NO
40,0.1797,0.9005022397176599,NO
41,0.1526,0.670557893307995,NO
42,0.1551,0.9005022397176599,NO
43,0.2811,0.7936744943667706,YES
44,0.0766,0.4710194108863852,NO
45,0.1126,0.7966607845798832,YES
46,0.0341,0.9005022397176599,NO
47,0.3399,0.8436269852042895,YES
48,0.0412,0.9005022397176599,NO
49,0.1212,0.9005022397176599,NO
50,0.0769,0.7821365549070178,NO
51,0.1235,0.9005022397176599,NO
52,0.0802,0.8187864802497624,NO
53,0.1903,0.9005022397176599,NO
54,0.1119,0.7016424596172119,NO
55,0.1008,0.9005022397176599,NO
56,0.0886,0.3848242160988191,NO
57,0.1534,0.8043979910411294,NO
58,0.1331,0.15365820551106285,NO
59,0.2865,0.5016967558029048,NO
60,0.1512,0.6769376951269173,NO
61,0.1666,0.3041943803447808,NO
62,0.1465,0.2397176598343967,NO
