,DIRECT_NA_NA_VSM,NONETRACED_MEDIAN_SINGLE_LSA,Associated
0,0.0737,0.3196654426764586,NO
1,0.0652,0.7878416972664218,NO
2,0.1144,0.3749490004079967,NO
3,0.2164,0.11219910240718074,NO
4,0.0671,0.14973480212158302,NO
5,0.0906,0.4002447980416157,NO
6,0.0589,0.5628314973480212,NO
7,0.0679,0.17849857201142394,NO
8,0.1689,0.3959608323133415,NO
9,0.2469,0.13484292125662994,YES
10,0.0616,0.4538963688290493,NO
11,0.33799999999999997,0.17176662586699304,YES
12,0.2427,0.4430844553243574,NO
13,0.2231,0.7686658506731945,NO
14,0.2223,0.405140758873929,NO
15,0.1142,0.459812321501428,NO
16,0.0706,0.459812321501428,NO
17,0.1109,0.3084455324357405,NO
18,0.0747,0.15993472052223578,NO
19,0.2179,0.23806609547123625,NO
20,0.1147,0.29498164014687883,NO
21,0.0779,0.2672378620971032,YES
22,0.0804,0.4279885760913912,YES
23,0.1668,0.4055487556099551,YES
24,0.24,0.4410444716442268,YES
25,0.1573,0.40922072623419015,NO
26,0.0716,0.5567115463076294,YES
27,0.1205,0.3353733170134639,NO
28,0.1072,0.2523459812321501,YES
29,0.2444,0.4128926968584252,YES
30,0.3362,0.2207262341901265,NO
31,0.1579,0.034271725826193394,NO
32,0.1148,0.07303141574867401,NO
33,0.1112,0.18502651978784168,NO
34,0.3947,0.2523459812321501,YES
35,0.0957,0.18645450836393307,YES
36,0.1364,0.25193798449612403,NO
37,0.1056,0.019583843329253375,NO
38,0.0981,0.20359037127702986,NO
39,0.1058,0.10240718074255403,NO
40,0.1797,0.2666258669930641,NO
41,0.1526,0.34761321909424725,NO
42,0.1551,0.2076703386372909,NO
43,0.2811,0.2450020399836801,YES
44,0.0766,0.1976744186046512,NO
45,0.1126,0.2478580171358629,YES
46,0.0341,0.05732354141166869,NO
47,0.3399,0.19053447572419416,YES
48,0.0412,0.08486332109343124,NO
49,0.1212,0.17299061607507138,NO
50,0.0769,0.2323541411668707,NO
51,0.1235,0.17339861281109753,NO
52,0.0802,0.16891064871481026,NO
53,0.1903,0.21725826193390446,NO
54,0.1119,0.2386780905752754,NO
55,0.1008,0.19951040391676872,NO
56,0.0886,0.17747858017135865,NO
57,0.1534,0.2937576499388005,NO
58,0.1331,0.06895144838841287,NO
59,0.2865,0.10852713178294572,NO
60,0.1512,0.12199102407180745,NO
61,0.1666,0.0591595267237862,NO
62,0.1465,0.17931456548347613,NO
63,0.0509,0.04406364749082008,NO
64,0.2187,0.1142390860873113,NO
65,0.4574,0.028151774785801706,YES
66,0.1603,0.12219502243982044,NO
67,0.2015,0.004895960832313334,YES
68,0.205,0.13790289677682574,NO
69,0.2168,0.32354141166870665,NO
70,0.2136,0.284781721746226,NO
71,0.1919,0.23704610363117096,NO
72,0.1533,0.22399020807833536,NO
73,0.1268,0.16666666666666666,NO
74,0.1947,0.07629538963688291,NO
75,0.1755,0.08465932272541819,NO
76,0.2202,0.15830273357813135,NO
