,DIRECT_NA_NA_VSM,NONETRACED_MAX_RAW_LSA,Associated
0,0.0737,0.4521367521367522,NO
1,0.0652,0.3741880341880342,NO
2,0.1144,0.44991452991453,NO
3,0.2164,0.5292307692307694,NO
4,0.0671,0.4601709401709404,NO
5,0.0906,0.4364102564102565,NO
6,0.0589,0.3863247863247864,NO
7,0.0679,0.3348717948717949,NO
8,0.1689,0.3704273504273505,NO
9,0.2469,0.5972649572649573,YES
10,0.0616,0.4765811965811966,NO
11,0.33799999999999997,0.5155555555555558,YES
12,0.2427,0.4668376068376068,NO
13,0.2231,0.4974358974358975,NO
14,0.2223,0.3336752136752137,NO
15,0.1142,0.3261538461538463,NO
16,0.0706,0.6562393162393163,NO
17,0.1109,0.3482051282051282,NO
18,0.0747,0.3847863247863249,NO
19,0.2179,0.3220512820512821,NO
20,0.1147,0.4791452991452993,NO
21,0.0779,0.431965811965812,YES
22,0.0804,0.6011965811965811,YES
23,0.1668,0.4928205128205128,YES
24,0.24,0.4155555555555556,YES
25,0.1573,0.5172649572649575,NO
26,0.0716,0.4555555555555557,YES
27,0.1205,0.456752136752137,NO
28,0.1072,0.4586324786324788,YES
29,0.2444,0.5312820512820513,YES
30,0.3362,0.622051282051282,NO
31,0.1579,0.7926495726495726,NO
32,0.1148,0.6343589743589744,NO
33,0.1112,0.5707692307692309,NO
34,0.3947,0.4374358974358976,YES
35,0.0957,0.4841025641025641,YES
36,0.1364,0.5266666666666666,NO
37,0.1056,0.8574358974358975,NO
38,0.0981,0.6541880341880342,NO
39,0.1058,0.8213675213675213,NO
40,0.1797,0.6425641025641025,NO
41,0.1526,0.4117948717948719,NO
42,0.1551,0.4825641025641027,NO
43,0.2811,0.4735042735042736,YES
44,0.0766,0.571965811965812,NO
45,0.1126,0.49982905982906,YES
46,0.0341,0.5439316239316239,NO
47,0.3399,0.43247863247863255,YES
48,0.0412,0.6572649572649574,NO
49,0.1212,0.6005128205128205,NO
50,0.0769,0.6196581196581197,NO
51,0.1235,0.6736752136752135,NO
52,0.0802,0.5808547008547009,NO
53,0.1903,0.7030769230769232,NO
54,0.1119,0.6288888888888888,NO
55,0.1008,0.6304273504273503,NO
56,0.0886,0.4919658119658121,NO
57,0.1534,0.5458119658119658,NO
58,0.1331,0.3468376068376069,NO
59,0.2865,0.4823931623931624,NO
60,0.1512,0.5651282051282052,NO
61,0.1666,0.5533333333333335,NO
62,0.1465,0.4888888888888889,NO
63,0.0509,0.6006837606837607,NO
64,0.2187,0.2769230769230769,NO
