,DIRECT_NA_NA_VSM,UPPERTRACED_MAX_MULTI_LSA,Associated
0,0.0737,0.6494005354440694,NO
1,0.0652,0.5981841461995112,NO
2,0.1144,0.5404493074147363,NO
3,0.2164,0.6391572575951576,NO
4,0.0671,0.7095797928064252,NO
5,0.0906,0.8432080083808637,NO
6,0.0589,0.7720870678617158,NO
7,0.0679,0.2201140728669538,NO
8,0.1689,0.2877429868467001,NO
9,0.2469,0.3705040158305203,YES
10,0.0616,0.6423000814806192,NO
11,0.33799999999999997,0.24781748341287396,YES
12,0.2427,0.3991386334536142,NO
13,0.2231,0.7379816086602259,NO
14,0.2223,0.4498894191595856,NO
15,0.1142,0.6744267256431149,NO
16,0.0706,0.8883715516237924,NO
17,0.1109,0.578512396694215,NO
18,0.0747,0.40414387149342335,NO
19,0.2179,0.0,NO
20,0.1147,0.6580142009079271,NO
21,0.0779,0.5994645559306251,YES
22,0.0804,0.8362239553020603,YES
23,0.1668,0.5210103596787335,YES
24,0.24,0.5834012338493773,YES
25,0.1573,0.747992084739844,NO
26,0.0716,0.8340123384937727,YES
27,0.1205,0.28099173553719003,NO
28,0.1072,0.8809218950064022,YES
29,0.2444,0.7560237457804679,YES
30,0.3362,0.24886509137469445,NO
31,0.1579,0.5155395181003376,NO
32,0.1148,0.6783843557211034,NO
33,0.1112,0.5030846234431382,NO
34,0.3947,0.6846700034920266,YES
35,0.0957,0.8064253288324992,YES
36,0.1364,0.13642183680595973,NO
37,0.1056,0.41683156791991616,NO
38,0.0981,0.6232103363985566,NO
39,0.1058,0.3826097078337796,NO
40,0.1797,0.3519962751716913,NO
41,0.1526,0.6328716098242346,NO
42,0.1551,0.3795832848329648,NO
43,0.2811,0.4533814456989873,YES
44,0.0766,0.7500873006634851,NO
45,0.1126,0.621813525782796,YES
46,0.0341,0.14387149342335,NO
47,0.3399,0.3320917238971016,YES
48,0.0412,0.4032126644162496,NO
49,0.1212,0.7662670236293796,NO
50,0.0769,0.649167733674776,NO
51,0.1235,0.2123152135956233,NO
52,0.0802,0.8087533465254336,NO
53,0.1903,0.43755092538703294,NO
54,0.1119,0.5846816435804912,NO
55,0.1008,0.18368059597252945,NO
56,0.0886,0.6494005354440694,NO
57,0.1534,0.5981841461995112,NO
58,0.1331,0.5404493074147363,NO
59,0.2865,0.6391572575951576,NO
60,0.1512,0.7095797928064252,NO
61,0.1666,0.8432080083808637,NO
62,0.1465,0.7720870678617158,NO
63,0.0509,0.2201140728669538,NO
64,0.2187,0.2877429868467001,NO
65,0.4574,0.3705040158305203,YES
66,0.1603,0.6423000814806192,NO
67,0.2015,0.24781748341287396,YES
