,DIRECT_NA_NA_VSM,DIRECT_NA_NA_LSA,Associated
0,0.0737,0.6518393393393394,NO
1,0.0652,0.6923798798798799,NO
2,0.1144,0.5423235735735736,NO
3,0.2164,0.8158783783783785,NO
4,0.0671,0.7836899399399401,NO
5,0.0906,0.7549737237237237,NO
6,0.0589,0.7535660660660661,NO
7,0.0679,0.3734984984984985,NO
8,0.1689,0.6150525525525526,NO
9,0.2469,0.5526463963963965,YES
10,0.0616,0.6582207207207208,NO
11,0.33799999999999997,0.5635322822822824,YES
12,0.2427,0.756662912912913,NO
13,0.2231,0.8577327327327329,NO
14,0.2223,0.7432432432432433,NO
15,0.1142,0.6789602102102102,NO
16,0.0706,0.8747184684684686,NO
17,0.1109,0.5831456456456456,NO
18,0.0747,0.6568130630630632,NO
19,0.2179,0.4644331831831832,NO
20,0.1147,0.7489677177177179,NO
21,0.0779,0.5339714714714715,YES
22,0.0804,0.6623498498498499,YES
23,0.1668,0.4610548048048049,YES
24,0.24,0.6301614114114115,YES
25,0.1573,0.686936936936937,NO
26,0.0716,0.6780217717717718,YES
27,0.1205,0.5113551051051052,NO
28,0.1072,0.3357732732732733,YES
29,0.2444,0.6951951951951952,YES
30,0.3362,0.6878753753753755,NO
31,0.1579,0.7672672672672673,NO
32,0.1148,0.7211899399399401,NO
33,0.1112,0.5392267267267268,NO
34,0.3947,0.4706268768768769,YES
35,0.0957,0.4901463963963965,YES
36,0.1364,0.6724849849849851,NO
37,0.1056,0.8309872372372373,NO
38,0.0981,0.7076764264264265,NO
39,0.1058,0.8535097597597598,NO
40,0.1797,0.6800863363363364,NO
41,0.1526,0.3561373873873874,NO
42,0.1551,0.5594969969969971,NO
43,0.2811,0.5895270270270271,YES
44,0.0766,0.5137950450450451,NO
45,0.1126,0.4352477477477478,YES
46,0.0341,0.7200638138138139,NO
47,0.3399,0.7279466966966968,YES
48,0.0412,0.6595345345345346,NO
49,0.1212,0.7786223723723724,NO
50,0.0769,0.5063813813813814,NO
51,0.1235,0.7947635135135136,NO
52,0.0802,0.7510322822822824,NO
53,0.1903,0.7509384384384385,NO
54,0.1119,0.5460773273273274,NO
55,0.1008,0.7889451951951952,NO
56,0.0886,0.7752439939939941,NO
57,0.1534,0.7735548048048049,NO
58,0.1331,0.3926426426426427,NO
59,0.2865,0.6905968468468469,NO
60,0.1512,0.8755630630630632,NO
61,0.1666,0.7316066066066067,NO
62,0.1465,0.718280780780781,NO
63,0.0509,0.6829954954954955,NO
64,0.2187,0.38044294294294295,NO
65,0.4574,0.5711336336336337,YES
66,0.1603,0.7796546546546547,NO
67,0.2015,0.5074136636636637,YES
68,0.205,0.4243618618618619,NO
69,0.2168,0.5935623123123124,NO
70,0.2136,0.4091591591591592,NO
71,0.1919,0.4275525525525526,NO
72,0.1533,0.8553866366366367,NO
73,0.1268,0.4764451951951953,NO
74,0.1947,0.3882319819819821,NO
75,0.1755,0.2101163663663664,NO
76,0.2202,0.4752252252252253,NO
77,0.4465,0.8189752252252254,YES
78,0.4252,0.8384947447447448,YES
79,0.3653,0.429147897897898,YES
80,0.1771,0.809590840840841,YES
81,0.1659,0.6786786786786788,NO
82,0.1927,0.6707957957957958,YES
83,0.1251,0.35163288288288297,NO
84,0.1303,0.4590840840840841,YES
85,0.1814,0.624436936936937,YES
86,0.3356,0.6553115615615617,NO
87,0.1662,0.7384572072072073,NO
88,0.1507,0.6944444444444445,NO
89,0.1441,0.5937500000000001,NO
90,0.3435,0.4797297297297298,YES
91,0.1243,0.5608108108108109,YES
92,0.1731,0.8697447447447448,NO
93,0.0952,0.9024024024024024,NO
94,0.1364,0.7242867867867869,NO
95,0.0887,0.8436561561561563,NO
96,0.2289,0.8071509009009009,NO
