,DIRECT_NA_NA_VSM,NONETRACED_SUM_MULTI_LSA,Associated
0,0.0737,0.6894235949003411,NO
1,0.0652,0.6614712396001675,NO
2,0.1144,0.4734542407374155,NO
3,0.2164,0.4938049919195547,NO
4,0.0671,0.5756868378523972,NO
5,0.0906,0.7757227509427187,NO
6,0.0589,0.7523912132639015,NO
7,0.0679,0.41577781768121147,NO
8,0.1689,0.3923265697013227,NO
9,0.2469,0.4391572394804573,YES
10,0.0616,0.6938528760399831,NO
11,0.33799999999999997,0.4423535045190639,YES
12,0.2427,0.4874603459627701,NO
13,0.2231,0.6693362063805591,NO
14,0.2223,0.4395283414137786,NO
15,0.1142,0.4900460884659125,NO
16,0.0706,0.793272281079787,NO
17,0.1109,0.4378643682288861,NO
18,0.0747,0.2429879691147423,NO
19,0.2179,0.1838510803854672,NO
20,0.1147,0.5385527024600467,NO
21,0.0779,0.5576464954809361,YES
22,0.0804,0.7032740767343031,YES
23,0.1668,0.3974741126473933,YES
24,0.24,0.6480158017597414,YES
25,0.1573,0.6989166217753038,NO
26,0.0716,0.7823786436822892,YES
27,0.1205,0.3741186329083618,NO
28,0.1072,0.4353743939666008,YES
29,0.2444,0.4308852576764231,YES
30,0.3362,0.3098461722631232,NO
31,0.1579,0.3199257796133357,NO
32,0.1148,0.3623391392829353,NO
33,0.1112,0.5047824265278027,NO
34,0.3947,0.4762554617824864,YES
35,0.0957,0.265840665589274,YES
36,0.1364,0.26526605614413123,NO
37,0.1056,0.3108756808523374,NO
38,0.0981,0.4616508050517747,NO
39,0.1058,0.3148979469683366,NO
40,0.1797,0.3231938708325851,NO
41,0.1526,0.4116956964146765,NO
42,0.1551,0.2745555755072724,NO
43,0.2811,0.30402825163105285,YES
44,0.0766,0.4975040402226612,NO
45,0.1126,0.2683665529418806,YES
46,0.0341,0.13374034835697612,NO
47,0.3399,0.12241575387562105,YES
48,0.0412,0.3452085951996169,NO
49,0.1212,0.3774944633985754,NO
50,0.0769,0.4517507631531693,NO
51,0.1235,0.27064104866223737,NO
52,0.0802,0.433435087089244,NO
