,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_MULTI_LSA,Associated
0,0.0737,0.4055950546696616,NO
1,0.0652,0.4044998050827006,NO
2,0.1144,0.2806623475468265,NO
3,0.2164,0.3810911656054502,NO
4,0.0671,0.4440401715272234,NO
5,0.0906,0.495238448829568,NO
6,0.0589,0.5021440902931185,NO
7,0.0679,0.16619948393324546,NO
8,0.1689,0.1575859956561288,NO
9,0.2469,0.25528597152351074,YES
10,0.0616,0.41630622435909337,NO
11,0.33799999999999997,0.17889695372106398,YES
12,0.2427,0.2318773320462604,NO
13,0.2231,0.43100855779762015,NO
14,0.2223,0.21149455159739367,NO
15,0.1142,0.3170840372013589,NO
16,0.0706,0.5967996435797954,NO
17,0.1109,0.23696374538231635,NO
18,0.0747,0.2614305073418849,NO
19,0.2179,0.0,NO
20,0.1147,0.40087991238003307,NO
21,0.0779,0.3904843230800646,YES
22,0.0804,0.543615066179064,YES
23,0.1668,0.2807737288607548,YES
24,0.24,0.3713081735320871,YES
25,0.1573,0.3953294102359428,NO
26,0.0716,0.5174775845105719,YES
27,0.1205,0.17377341328036533,NO
28,0.1072,0.3872728285284672,YES
29,0.2444,0.3533200913326774,YES
30,0.3362,0.1312443149121016,NO
31,0.1579,0.18782602238764406,NO
32,0.1148,0.3320648239247062,NO
33,0.1112,0.26516178135848073,NO
34,0.3947,0.3112179546678052,YES
35,0.0957,0.3887207856095342,YES
36,0.1364,0.056136182219829585,NO
37,0.1056,0.19547420594404946,NO
38,0.0981,0.29011119567840504,NO
39,0.1058,0.2089327813770443,NO
40,0.1797,0.11182683918394623,NO
41,0.1526,0.2347361191037517,NO
42,0.1551,0.1788041359594572,NO
43,0.2811,0.21611687612541536,YES
44,0.0766,0.33085819302381697,NO
45,0.1126,0.2792329540180809,YES
46,0.0341,0.0849282518702779,NO
47,0.3399,0.14754311385026642,YES
48,0.0412,0.20657521023223,NO
49,0.1212,0.3077836974883514,NO
50,0.0769,0.30572314318067895,NO
51,0.1235,0.08923499600883626,NO
52,0.0802,0.3572370008724869,NO
53,0.1903,0.2208505819673653,NO
54,0.1119,0.2845050028773506,NO
55,0.1008,0.056080491562865466,NO
56,0.0886,0.4055950546696616,NO
57,0.1534,0.4044998050827006,NO
58,0.1331,0.2806623475468265,NO
59,0.2865,0.3810911656054502,NO
60,0.1512,0.4440401715272234,NO
61,0.1666,0.495238448829568,NO
62,0.1465,0.5021440902931185,NO
63,0.0509,0.16619948393324546,NO
64,0.2187,0.1575859956561288,NO
65,0.4574,0.25528597152351074,YES
66,0.1603,0.41630622435909337,NO
