,DIRECT_NA_NA_VSM,LOWERTRACED_MAX_SINGLE_VSM,Associated
0,0.0737,0.2626,NO
1,0.0652,0.2626,NO
2,0.1144,0.1818,NO
3,0.2164,0.2553,NO
4,0.0671,0.2553,NO
5,0.0906,0.1818,NO
6,0.0589,0.2626,NO
7,0.0679,0.2626,NO
8,0.1689,0.1818,NO
9,0.2469,1.0,YES
10,0.0616,0.1818,NO
11,0.33799999999999997,1.0,YES
12,0.2427,0.3701,NO
13,0.2231,0.3701,NO
14,0.2223,0.3701,NO
15,0.1142,0.2626,NO
16,0.0706,0.2553,NO
17,0.1109,0.2626,NO
18,0.0747,0.2553,NO
19,0.2179,0.2626,NO
20,0.1147,0.2553,NO
21,0.0779,1.0,YES
22,0.0804,1.0,YES
23,0.1668,1.0,YES
24,0.24,1.0,YES
25,0.1573,0.1818,NO
26,0.0716,1.0,YES
27,0.1205,0.1818,NO
28,0.1072,1.0,YES
29,0.2444,1.0,YES
30,0.3362,0.4007,NO
31,0.1579,0.3639,NO
32,0.1148,0.3639,NO
33,0.1112,0.4007,NO
34,0.3947,1.0,YES
35,0.0957,1.0,YES
36,0.1364,0.4007,NO
37,0.1056,0.3066,NO
38,0.0981,0.4007,NO
39,0.1058,0.3066,NO
40,0.1797,0.4183,NO
41,0.1526,0.4183,NO
42,0.1551,0.4183,NO
43,0.2811,1.0,YES
44,0.0766,0.3639,NO
45,0.1126,1.0,YES
46,0.0341,0.3639,NO
47,0.3399,1.0,YES
48,0.0412,0.3639,NO
49,0.1212,0.3066,NO
50,0.0769,0.3066,NO
51,0.1235,0.3066,NO
52,0.0802,0.3066,NO
53,0.1903,0.4007,NO
54,0.1119,0.3066,NO
55,0.1008,0.4007,NO
56,0.0886,0.21600000000000003,NO
57,0.1534,0.21600000000000003,NO
58,0.1331,0.3063,NO
59,0.2865,0.3076,NO
60,0.1512,0.3076,NO
61,0.1666,0.3063,NO
62,0.1465,0.21600000000000003,NO
63,0.0509,0.21600000000000003,NO
64,0.2187,0.3063,NO
65,0.4574,1.0,YES
66,0.1603,0.3063,NO
67,0.2015,1.0,YES
68,0.205,0.1924,NO
69,0.2168,0.1924,NO
70,0.2136,0.1924,NO
71,0.1919,0.21600000000000003,NO
72,0.1533,0.3076,NO
73,0.1268,0.21600000000000003,NO
74,0.1947,0.3076,NO
75,0.1755,0.21600000000000003,NO
76,0.2202,0.3076,NO
77,0.4465,1.0,YES
78,0.4252,1.0,YES
79,0.3653,1.0,YES
80,0.1771,1.0,YES
81,0.1659,0.3063,NO
82,0.1927,1.0,YES
83,0.1251,0.3063,NO
84,0.1303,1.0,YES
85,0.1814,1.0,YES
86,0.3356,0.6805,NO
87,0.1662,0.6805,NO
88,0.1507,0.6805,NO
89,0.1441,0.6805,NO
90,0.3435,1.0,YES
91,0.1243,1.0,YES
92,0.1731,0.6805,NO
93,0.0952,0.601,NO
94,0.1364,0.6805,NO
95,0.0887,0.601,NO
96,0.2289,0.7376,NO
97,0.2088,0.7376,NO
98,0.2075,0.7376,NO
99,0.1923,1.0,YES
100,0.0927,0.6805,NO
101,0.0821,1.0,YES
102,0.0311,0.6805,NO
103,0.3081,1.0,YES
104,0.0406,0.6805,NO
105,0.1251,0.601,NO
106,0.091,0.601,NO
107,0.11800000000000001,0.601,NO
108,0.1053,0.601,NO
109,0.2201,0.6805,NO
110,0.1351,0.601,NO
111,0.1328,0.6805,NO
112,0.0724,0.1663,NO
113,0.0244,0.1663,NO
114,0.1404,0.7346,YES
115,0.3348,1.0,YES
116,0.2937,1.0,YES
117,0.14300000000000002,0.7346,YES
118,0.0826,0.1663,NO
119,0.013000000000000001,0.1663,NO
120,0.2103,0.7346,YES
121,0.1395,0.1733,NO
122,0.1325,0.7346,YES
123,0.1443,0.1733,NO
124,0.2165,0.379,NO
125,0.1934,0.379,NO
126,0.1934,0.379,NO
127,0.0572,0.1663,NO
128,0.2318,1.0,YES
129,0.0556,0.1663,NO
130,0.3609,1.0,YES
131,0.1417,0.1663,NO
132,0.255,1.0,YES
133,0.0522,0.1733,NO
134,0.0677,0.1733,NO
135,0.1439,0.1733,NO
136,0.0494,0.1733,NO
137,0.1715,0.7346,YES
138,0.0964,0.1733,NO
139,0.1343,0.7346,YES
140,0.1544,0.2719,NO
141,0.0732,0.2719,NO
142,0.1975,0.4137,NO
143,0.2582,0.4137,NO
144,0.1977,0.4137,NO
145,0.1701,0.4137,NO
146,0.1684,0.2719,NO
147,0.1225,0.2719,NO
148,0.1458,0.4137,NO
149,0.4028,1.0,YES
150,0.1577,0.4137,NO
151,0.2904,1.0,YES
152,0.1987,0.2525,NO
153,0.1756,0.2525,NO
154,0.1689,0.2525,NO
155,0.054000000000000006,0.2719,NO
156,0.1469,0.4137,NO
157,0.0547,0.2719,NO
158,0.1082,0.4137,NO
159,0.2019,0.2719,NO
160,0.1293,0.4137,NO
161,0.3897,1.0,YES
162,0.3612,1.0,YES
163,0.2791,1.0,YES
164,0.2894,1.0,YES
165,0.2226,0.4137,NO
166,0.1753,1.0,YES
167,0.0979,0.4137,NO
168,0.0985,0.1194,NO
169,0.0774,0.1194,NO
170,0.1069,0.8266,YES
171,0.3647,1.0,YES
172,0.2531,1.0,YES
173,0.1331,0.8266,YES
174,0.0885,0.1194,NO
175,0.0604,0.1194,NO
176,0.2068,0.8266,YES
177,0.2598,0.6968,NO
178,0.106,0.8266,YES
179,0.1459,0.6968,NO
180,0.2252,0.4403,NO
181,0.2571,0.4403,NO
182,0.2375,0.4403,NO
183,0.1453,0.1194,NO
184,0.2245,1.0,YES
185,0.141,0.1194,NO
186,0.2623,1.0,YES
187,0.142,0.1194,NO
188,0.2555,1.0,YES
189,0.2049,0.6968,NO
190,0.2206,0.6968,NO
191,0.2228,0.6968,NO
192,0.1032,0.6968,NO
193,0.1461,0.8266,YES
194,0.1116,0.6968,NO
195,0.1326,0.8266,YES
196,0.1415,0.2332,NO
197,0.0745,0.2332,NO
198,0.2381,0.4328,NO
199,0.19,0.4328,NO
200,0.1547,0.4328,NO
201,0.1997,0.4328,NO
202,0.1653,0.2332,NO
203,0.1536,0.2332,NO
204,0.1999,0.4328,NO
205,0.1989,1.0,YES
206,0.2045,0.4328,NO
207,0.2447,1.0,YES
208,0.2519,0.4406,NO
209,0.2036,0.4406,NO
210,0.2033,0.4406,NO
211,0.0533,0.2332,NO
212,0.105,0.4328,NO
213,0.055999999999999994,0.2332,NO
214,0.1113,0.4328,NO
215,0.2256,0.2332,NO
216,0.0989,0.4328,NO
217,0.1879,1.0,YES
218,0.1445,1.0,YES
219,0.1901,1.0,YES
220,0.3108,1.0,YES
221,0.2405,0.4328,NO
222,0.1657,1.0,YES
223,0.1331,0.4328,NO
224,0.0949,0.1825,NO
225,0.1339,0.1825,NO
226,0.22399999999999998,0.4095,NO
227,0.1967,0.4374,NO
228,0.1436,0.4374,NO
229,0.2079,0.4095,NO
230,0.1339,0.1825,NO
231,0.0967,0.1825,NO
232,0.2198,0.4095,NO
233,0.3428,1.0,YES
234,0.2344,0.4095,NO
235,0.1736,1.0,YES
236,0.1331,0.0932,NO
237,0.0735,0.0932,NO
238,0.0647,0.0932,NO
239,0.204,0.1825,NO
240,0.1327,0.4374,NO
241,0.1655,0.1825,NO
242,0.31,0.4374,NO
243,0.1309,0.1825,NO
244,0.2819,0.4374,NO
245,0.4042,1.0,YES
246,0.3296,1.0,YES
247,0.4941,1.0,YES
248,0.1783,1.0,YES
249,0.193,0.4095,NO
250,0.2673,1.0,YES
251,0.1726,0.4095,NO
252,0.1439,0.2093,NO
253,0.0769,0.2093,NO
254,0.1953,0.4413,NO
255,0.2342,0.4413,NO
256,0.2047,0.4413,NO
257,0.1823,0.4413,NO
258,0.1684,0.2093,NO
259,0.1204,0.2093,NO
260,0.1751,0.4413,NO
261,0.3579,1.0,YES
262,0.1828,0.4413,NO
263,0.2083,1.0,YES
264,0.2252,0.2866,NO
265,0.2041,0.2866,NO
266,0.2007,0.2866,NO
267,0.0498,0.2093,NO
268,0.1415,0.4413,NO
269,0.0515,0.2093,NO
270,0.1207,0.4413,NO
271,0.1912,0.2093,NO
272,0.14,0.4413,NO
273,0.4038,1.0,YES
274,0.3494,1.0,YES
275,0.2799,1.0,YES
276,0.2675,1.0,YES
277,0.2206,0.4413,NO
278,0.2003,1.0,YES
279,0.1168,0.4413,NO
280,0.0727,0.1812,NO
281,0.0714,0.1812,NO
282,0.10800000000000001,0.31,NO
283,0.2886,0.3335,NO
284,0.1427,0.3335,NO
285,0.0855,0.31,NO
286,0.0605,0.1812,NO
287,0.0532,0.1812,NO
288,0.1421,0.31,NO
289,0.4397,1.0,YES
290,0.0607,0.31,NO
291,0.2347,1.0,YES
292,0.2118,0.2846,NO
293,0.2048,0.2846,NO
294,0.2045,0.2846,NO
295,0.0849,0.1812,NO
296,0.1035,0.3335,NO
297,0.0824,0.1812,NO
298,0.0975,0.3335,NO
299,0.1702,0.1812,NO
300,0.1518,0.3335,NO
301,0.3372,1.0,YES
302,0.3303,1.0,YES
303,0.314,1.0,YES
304,0.1257,1.0,YES
305,0.1375,0.31,NO
306,0.1128,1.0,YES
307,0.099,0.31,NO
308,0.1069,0.2194,NO
309,0.0451,0.2194,NO
310,0.5095,1.0,YES
311,0.1431,0.6673,YES
312,0.1227,0.6673,YES
313,0.2847,1.0,YES
314,0.2237,0.2194,NO
315,0.1065,0.2194,NO
316,0.3266,1.0,YES
317,0.0974,0.7244,NO
318,0.3289,1.0,YES
319,0.1059,0.7244,NO
320,0.2131,0.441,NO
321,0.1496,0.441,NO
322,0.1474,0.441,NO
323,0.0902,0.2194,NO
324,0.0993,0.6673,YES
325,0.0875,0.2194,NO
326,0.2369,0.6673,YES
327,0.2129,0.2194,NO
328,0.1321,0.6673,YES
329,0.1271,0.7244,NO
330,0.08,0.7244,NO
331,0.3025,0.7244,NO
332,0.12,0.7244,NO
333,0.3399,1.0,YES
334,0.2516,0.7244,NO
335,0.2081,1.0,YES
336,0.1799,0.0204,NO
337,0.1547,0.0204,NO
338,0.3595,1.0,YES
339,0.2156,0.6811,NO
340,0.1535,0.6811,NO
341,0.4159,1.0,YES
342,0.1827,0.0204,NO
343,0.1097,0.0204,NO
344,0.5448,1.0,YES
345,0.191,0.5079,NO
346,0.4381,1.0,YES
347,0.1528,0.5079,NO
348,0.3264,0.5402,NO
349,0.3203,0.5402,NO
350,0.2648,0.5402,NO
351,0.171,0.0204,NO
352,0.21899999999999997,0.6811,NO
353,0.1398,0.0204,NO
354,0.3673,0.6811,NO
355,0.1451,0.0204,NO
356,0.2637,0.6811,NO
357,0.1991,0.5079,NO
358,0.1784,0.5079,NO
359,0.3767,0.5079,NO
360,0.1917,0.5079,NO
361,0.3794,1.0,YES
362,0.3359,0.5079,NO
363,0.2874,1.0,YES
364,0.0798,0.1537,NO
365,0.0364,0.1537,NO
366,0.2475,0.982,YES
367,0.2794,1.0,YES
368,0.2232,1.0,YES
369,0.2213,0.982,YES
370,0.1233,0.1537,NO
371,0.0474,0.1537,NO
372,0.2799,0.982,YES
373,0.2328,0.8778,NO
374,0.2608,0.982,YES
375,0.1095,0.8778,NO
376,0.2365,0.5221,NO
377,0.2061,0.5221,NO
378,0.2048,0.5221,NO
379,0.0456,0.1537,NO
380,0.1795,1.0,YES
381,0.0442,0.1537,NO
382,0.27,1.0,YES
383,0.1224,0.1537,NO
384,0.1913,1.0,YES
385,0.2397,0.8778,NO
386,0.2111,0.8778,NO
387,0.2935,0.8778,NO
388,0.1155,0.8778,NO
389,0.243,0.982,YES
390,0.1959,0.8778,NO
391,0.198,0.982,YES
392,0.1636,0.0219,NO
393,0.1646,0.0219,NO
394,0.3881,1.0,YES
395,0.1762,0.6479,NO
396,0.1649,0.6479,NO
397,0.4197,1.0,YES
398,0.1681,0.0219,NO
399,0.153,0.0219,NO
400,0.4738,1.0,YES
401,0.159,0.6038,NO
402,0.493,1.0,YES
403,0.1456,0.6038,NO
404,0.2244,0.3363,NO
405,0.1542,0.3363,NO
406,0.1277,0.3363,NO
407,0.1775,0.0219,NO
408,0.2106,0.6479,NO
409,0.1654,0.0219,NO
410,0.3557,0.6479,NO
411,0.0902,0.0219,NO
412,0.2663,0.6479,NO
413,0.2218,0.6038,NO
414,0.1764,0.6038,NO
415,0.3901,0.6038,NO
416,0.21600000000000003,0.6038,NO
417,0.402,1.0,YES
418,0.3584,0.6038,NO
419,0.3239,1.0,YES
420,0.0467,0.221,NO
421,0.0184,0.221,NO
422,0.0544,0.6136,YES
423,0.1967,1.0,YES
424,0.1251,1.0,YES
425,0.0526,0.6136,YES
426,0.0389,0.221,NO
427,0.0098,0.221,NO
428,0.1204,0.6136,YES
429,0.1152,0.4207,NO
430,0.0434,0.6136,YES
431,0.0994,0.4207,NO
432,0.171,0.7871,NO
433,0.1733,0.7871,NO
434,0.1785,0.7871,NO
435,0.0632,0.221,NO
436,0.1652,1.0,YES
437,0.0614,0.221,NO
438,0.1533,1.0,YES
439,0.1347,0.221,NO
440,0.1212,1.0,YES
441,0.015,0.4207,NO
442,0.0714,0.4207,NO
443,0.0698,0.4207,NO
444,0.035,0.4207,NO
445,0.0672,0.6136,YES
446,0.0378,0.4207,NO
447,0.0637,0.6136,YES
448,0.3024,1.0,YES
449,0.0482,1.0,YES
450,0.3634,0.4952,NO
451,0.1548,0.4952,NO
452,0.1459,0.4952,NO
453,0.1506,0.4952,NO
454,0.2394,1.0,YES
455,0.3693,1.0,YES
456,0.1404,0.4952,NO
457,0.0758,0.4076,NO
458,0.1517,0.4952,NO
459,0.067,0.4076,NO
460,0.2131,0.6218,NO
461,0.16,0.6218,NO
462,0.1446,0.6218,NO
463,0.0844,1.0,YES
464,0.095,0.4952,NO
465,0.2419,1.0,YES
466,0.026000000000000002,0.4952,NO
467,0.2985,1.0,YES
468,0.0377,0.4952,NO
469,0.102,0.4076,NO
470,0.0927,0.4076,NO
471,0.1259,0.4076,NO
472,0.1193,0.4076,NO
473,0.2177,0.4952,NO
474,0.15,0.4076,NO
475,0.0996,0.4952,NO
476,0.0839,0.0092,NO
477,0.0672,0.0092,NO
478,0.3068,1.0,YES
479,0.1154,0.5710000000000001,YES
480,0.0802,0.5710000000000001,YES
481,0.3166,1.0,YES
482,0.0868,0.0092,NO
483,0.0677,0.0092,NO
484,0.5456,1.0,YES
485,0.0938,0.4834,NO
486,0.3771,1.0,YES
487,0.0765,0.4834,NO
488,0.3042,0.5147,NO
489,0.1867,0.5147,NO
490,0.2024,0.5147,NO
491,0.084,0.0092,NO
492,0.1127,0.5710000000000001,YES
493,0.0773,0.0092,NO
494,0.3002,0.5710000000000001,YES
495,0.0821,0.0092,NO
496,0.1969,0.5710000000000001,YES
497,0.1353,0.4834,NO
498,0.0942,0.4834,NO
499,0.3023,0.4834,NO
500,0.1177,0.4834,NO
501,0.2966,1.0,YES
502,0.2621,0.4834,NO
503,0.3631,1.0,YES
504,0.1178,0.2339,NO
505,0.0474,0.2339,NO
506,0.4277,1.0,YES
507,0.2214,1.0,YES
508,0.2007,1.0,YES
509,0.2467,1.0,YES
510,0.2192,0.2339,NO
511,0.1165,0.2339,NO
512,0.3035,1.0,YES
513,0.1886,0.7974,NO
514,0.2922,1.0,YES
515,0.1088,0.7974,NO
516,0.2277,0.3659,NO
517,0.1763,0.3659,NO
518,0.1744,0.3659,NO
519,0.0948,0.2339,NO
520,0.152,1.0,YES
521,0.0882,0.2339,NO
522,0.2267,1.0,YES
523,0.1968,0.2339,NO
524,0.1574,1.0,YES
525,0.2134,0.7974,NO
526,0.1846,0.7974,NO
527,0.3004,0.7974,NO
528,0.1322,0.7974,NO
529,0.3039,1.0,YES
530,0.2341,0.7974,NO
531,0.2137,1.0,YES
532,0.1342,0.1237,NO
533,0.1099,0.1237,NO
534,0.526,1.0,YES
535,0.1623,0.6709999999999999,YES
536,0.1996,0.6709999999999999,YES
537,0.3297,1.0,YES
