,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_MULTI_VSM,Associated
0,0.0737,0.7245,NO
1,0.0652,0.7245,NO
2,0.1144,1.203,NO
3,0.2164,1.0879,NO
4,0.0671,1.0879,NO
5,0.0906,1.203,NO
6,0.0589,0.7245,NO
7,0.0679,0.7245,NO
8,0.1689,1.203,NO
9,0.2469,1.6612,YES
10,0.0616,1.203,NO
11,0.33799999999999997,1.6612,YES
12,0.2427,0.6908,NO
13,0.2231,0.6908,NO
14,0.2223,0.6908,NO
15,0.1142,0.7245,NO
16,0.0706,1.0879,NO
17,0.1109,0.7245,NO
18,0.0747,1.0879,NO
19,0.2179,0.7245,NO
20,0.1147,1.0879,NO
21,0.0779,1.6612,YES
22,0.0804,1.6612,YES
23,0.1668,1.6612,YES
24,0.24,1.6612,YES
25,0.1573,1.203,NO
26,0.0716,1.6612,YES
27,0.1205,1.203,NO
28,0.1072,1.2684,YES
29,0.2444,1.2684,YES
30,0.3362,1.5528,NO
31,0.1579,0.8796,NO
32,0.1148,0.8796,NO
33,0.1112,1.5528,NO
34,0.3947,1.2684,YES
35,0.0957,1.2684,YES
36,0.1364,1.5528,NO
37,0.1056,0.6594,NO
38,0.0981,1.5528,NO
39,0.1058,0.6594,NO
40,0.1797,0.6158,NO
41,0.1526,0.6158,NO
42,0.1551,0.6158,NO
43,0.2811,1.2684,YES
44,0.0766,0.8796,NO
45,0.1126,1.2684,YES
46,0.0341,0.8796,NO
47,0.3399,1.2684,YES
48,0.0412,0.8796,NO
49,0.1212,0.6594,NO
50,0.0769,0.6594,NO
51,0.1235,0.6594,NO
52,0.0802,0.6594,NO
53,0.1903,1.5528,NO
54,0.1119,0.6594,NO
55,0.1008,1.5528,NO
56,0.0886,0.5251,NO
57,0.1534,0.5251,NO
58,0.1331,1.8258,NO
59,0.2865,1.4097,NO
60,0.1512,1.4097,NO
61,0.1666,1.8258,NO
62,0.1465,0.5251,NO
63,0.0509,0.5251,NO
64,0.2187,1.8258,NO
65,0.4574,3.2675,YES
66,0.1603,1.8258,NO
67,0.2015,3.2675,YES
68,0.205,0.5173,NO
69,0.2168,0.5173,NO
70,0.2136,0.5173,NO
71,0.1919,0.5251,NO
72,0.1533,1.4097,NO
73,0.1268,0.5251,NO
74,0.1947,1.4097,NO
75,0.1755,0.5251,NO
76,0.2202,1.4097,NO
77,0.4465,3.2675,YES
78,0.4252,3.2675,YES
79,0.3653,3.2675,YES
80,0.1771,3.2675,YES
81,0.1659,1.8258,NO
82,0.1927,3.2675,YES
83,0.1251,1.8258,NO
84,0.1303,1.1082,YES
85,0.1814,1.1082,YES
86,0.3356,1.7236,NO
87,0.1662,0.9093,NO
88,0.1507,0.9093,NO
89,0.1441,1.7236,NO
90,0.3435,1.1082,YES
91,0.1243,1.1082,YES
92,0.1731,1.7236,NO
93,0.0952,0.7866,NO
94,0.1364,1.7236,NO
95,0.0887,0.7866,NO
96,0.2289,0.7512,NO
97,0.2088,0.7512,NO
98,0.2075,0.7512,NO
99,0.1923,1.1082,YES
100,0.0927,0.9093,NO
101,0.0821,1.1082,YES
102,0.0311,0.9093,NO
103,0.3081,1.1082,YES
104,0.0406,0.9093,NO
105,0.1251,0.7866,NO
106,0.091,0.7866,NO
107,0.11800000000000001,0.7866,NO
108,0.1053,0.7866,NO
109,0.2201,1.7236,NO
110,0.1351,0.7866,NO
111,0.1328,1.7236,NO
112,0.0724,0.6156,NO
113,0.0244,0.6156,NO
114,0.1404,2.7645,YES
115,0.3348,3.5184,YES
116,0.2937,3.5184,YES
117,0.14300000000000002,2.7645,YES
118,0.0826,0.6156,NO
119,0.013000000000000001,0.6156,NO
120,0.2103,2.7645,YES
121,0.1395,0.7886,NO
122,0.1325,2.7645,YES
123,0.1443,0.7886,NO
124,0.2165,0.743,NO
125,0.1934,0.743,NO
126,0.1934,0.743,NO
127,0.0572,0.6156,NO
128,0.2318,3.5184,YES
129,0.0556,0.6156,NO
130,0.3609,3.5184,YES
131,0.1417,0.6156,NO
132,0.255,3.5184,YES
133,0.0522,0.7886,NO
134,0.0677,0.7886,NO
135,0.1439,0.7886,NO
136,0.0494,0.7886,NO
137,0.1715,2.7645,YES
138,0.0964,0.7886,NO
139,0.1343,2.7645,YES
140,0.1544,0.8917,NO
141,0.0732,0.8917,NO
142,0.1975,1.9303,NO
143,0.2582,1.4018,NO
144,0.1977,1.4018,NO
145,0.1701,1.9303,NO
146,0.1684,0.8917,NO
147,0.1225,0.8917,NO
148,0.1458,1.9303,NO
149,0.4028,3.1678,YES
150,0.1577,1.9303,NO
151,0.2904,3.1678,YES
152,0.1987,0.627,NO
153,0.1756,0.627,NO
154,0.1689,0.627,NO
155,0.054000000000000006,0.8917,NO
156,0.1469,1.4018,NO
157,0.0547,0.8917,NO
158,0.1082,1.4018,NO
159,0.2019,0.8917,NO
160,0.1293,1.4018,NO
161,0.3897,3.1678,YES
162,0.3612,3.1678,YES
163,0.2791,3.1678,YES
164,0.2894,3.1678,YES
165,0.2226,1.9303,NO
166,0.1753,3.1678,YES
167,0.0979,1.9303,NO
168,0.0985,0.4584,NO
169,0.0774,0.4584,NO
170,0.1069,1.5573,YES
171,0.3647,2.4901,YES
172,0.2531,2.4901,YES
173,0.1331,1.5573,YES
174,0.0885,0.4584,NO
175,0.0604,0.4584,NO
176,0.2068,1.5573,YES
177,0.2598,1.5433,NO
178,0.106,1.5573,YES
179,0.1459,1.5433,NO
180,0.2252,0.6443,NO
181,0.2571,0.6443,NO
182,0.2375,0.6443,NO
183,0.1453,0.4584,NO
184,0.2245,2.4901,YES
185,0.141,0.4584,NO
186,0.2623,2.4901,YES
187,0.142,0.4584,NO
188,0.2555,2.4901,YES
189,0.2049,1.5433,NO
190,0.2206,1.5433,NO
191,0.2228,1.5433,NO
192,0.1032,1.5433,NO
193,0.1461,1.5573,YES
194,0.1116,1.5433,NO
195,0.1326,1.5573,YES
196,0.1415,0.89,NO
197,0.0745,0.89,NO
198,0.2381,2.417,NO
199,0.19,1.2873,NO
200,0.1547,1.2873,NO
201,0.1997,2.417,NO
202,0.1653,0.89,NO
203,0.1536,0.89,NO
204,0.1999,2.417,NO
205,0.1989,1.9788,YES
206,0.2045,2.417,NO
207,0.2447,1.9788,YES
208,0.2519,0.8334,NO
209,0.2036,0.8334,NO
210,0.2033,0.8334,NO
211,0.0533,0.89,NO
212,0.105,1.2873,NO
213,0.055999999999999994,0.89,NO
214,0.1113,1.2873,NO
215,0.2256,0.89,NO
216,0.0989,1.2873,NO
217,0.1879,1.9788,YES
218,0.1445,1.9788,YES
219,0.1901,1.9788,YES
220,0.3108,1.9788,YES
221,0.2405,2.417,NO
222,0.1657,1.9788,YES
223,0.1331,2.417,NO
224,0.0949,0.3967,NO
225,0.1339,0.3967,NO
226,0.22399999999999998,2.3972,NO
227,0.1967,1.2436,NO
228,0.1436,1.2436,NO
229,0.2079,2.3972,NO
230,0.1339,0.3967,NO
231,0.0967,0.3967,NO
232,0.2198,2.3972,NO
233,0.3428,2.8689999999999998,YES
234,0.2344,2.3972,NO
235,0.1736,2.8689999999999998,YES
236,0.1331,0.1303,NO
237,0.0735,0.1303,NO
238,0.0647,0.1303,NO
239,0.204,0.3967,NO
240,0.1327,1.2436,NO
241,0.1655,0.3967,NO
242,0.31,1.2436,NO
243,0.1309,0.3967,NO
244,0.2819,1.2436,NO
245,0.4042,2.8689999999999998,YES
246,0.3296,2.8689999999999998,YES
247,0.4941,2.8689999999999998,YES
248,0.1783,2.8689999999999998,YES
249,0.193,2.3972,NO
250,0.2673,2.8689999999999998,YES
251,0.1726,2.3972,NO
252,0.1439,0.8141,NO
253,0.0769,0.8141,NO
254,0.1953,2.1697,NO
255,0.2342,1.4338,NO
256,0.2047,1.4338,NO
257,0.1823,2.1697,NO
258,0.1684,0.8141,NO
259,0.1204,0.8141,NO
260,0.1751,2.1697,NO
261,0.3579,2.955,YES
262,0.1828,2.1697,NO
263,0.2083,2.955,YES
264,0.2252,0.7196,NO
265,0.2041,0.7196,NO
266,0.2007,0.7196,NO
267,0.0498,0.8141,NO
268,0.1415,1.4338,NO
269,0.0515,0.8141,NO
270,0.1207,1.4338,NO
271,0.1912,0.8141,NO
272,0.14,1.4338,NO
273,0.4038,2.955,YES
274,0.3494,2.955,YES
275,0.2799,2.955,YES
276,0.2675,2.955,YES
