,DIRECT_NA_NA_VSM,LOWERTRACED_SUM_SINGLE_VSM,Associated
0,0.0737,0.5874,NO
1,0.0652,0.5874,NO
2,0.1144,0.626,NO
3,0.2164,0.7964,NO
4,0.0671,0.7964,NO
5,0.0906,0.626,NO
6,0.0589,0.5874,NO
7,0.0679,0.5874,NO
8,0.1689,0.626,NO
9,0.2469,1.8457,YES
10,0.0616,0.626,NO
11,0.33799999999999997,1.8457,YES
12,0.2427,0.7092,NO
13,0.2231,0.7092,NO
14,0.2223,0.7092,NO
15,0.1142,0.5874,NO
16,0.0706,0.7964,NO
17,0.1109,0.5874,NO
18,0.0747,0.7964,NO
19,0.2179,0.5874,NO
20,0.1147,0.7964,NO
21,0.0779,1.8457,YES
22,0.0804,1.8457,YES
23,0.1668,1.8457,YES
24,0.24,1.8457,YES
25,0.1573,0.626,NO
26,0.0716,1.8457,YES
27,0.1205,0.626,NO
28,0.1072,1.7552,YES
29,0.2444,1.7552,YES
30,0.3362,1.9224,NO
31,0.1579,1.0186,NO
32,0.1148,1.0186,NO
33,0.1112,1.9224,NO
34,0.3947,1.7552,YES
35,0.0957,1.7552,YES
36,0.1364,1.9224,NO
37,0.1056,0.7462,NO
38,0.0981,1.9224,NO
39,0.1058,0.7462,NO
40,0.1797,0.8153,NO
41,0.1526,0.8153,NO
42,0.1551,0.8153,NO
43,0.2811,1.7552,YES
44,0.0766,1.0186,NO
45,0.1126,1.7552,YES
46,0.0341,1.0186,NO
47,0.3399,1.7552,YES
48,0.0412,1.0186,NO
49,0.1212,0.7462,NO
50,0.0769,0.7462,NO
51,0.1235,0.7462,NO
52,0.0802,0.7462,NO
53,0.1903,1.9224,NO
54,0.1119,0.7462,NO
55,0.1008,1.9224,NO
56,0.0886,0.2516,NO
57,0.1534,0.2516,NO
58,0.1331,1.254,NO
59,0.2865,1.0129,NO
60,0.1512,1.0129,NO
61,0.1666,1.254,NO
62,0.1465,0.2516,NO
63,0.0509,0.2516,NO
64,0.2187,1.254,NO
65,0.4574,3.1864,YES
66,0.1603,1.254,NO
67,0.2015,3.1864,YES
68,0.205,0.3534,NO
69,0.2168,0.3534,NO
70,0.2136,0.3534,NO
71,0.1919,0.2516,NO
72,0.1533,1.0129,NO
73,0.1268,0.2516,NO
74,0.1947,1.0129,NO
75,0.1755,0.2516,NO
76,0.2202,1.0129,NO
77,0.4465,3.1864,YES
78,0.4252,3.1864,YES
79,0.3653,3.1864,YES
80,0.1771,3.1864,YES
81,0.1659,1.254,NO
82,0.1927,3.1864,YES
83,0.1251,1.254,NO
84,0.1303,2.1222,YES
85,0.1814,2.1222,YES
86,0.3356,3.2328,NO
87,0.1662,1.6673,NO
