,DIRECT_NA_NA_VSM,UPPERTRACED_SUM_RAW_VSM,Associated
0,0.0737,0.6173,NO
1,0.0652,0.21,NO
2,0.1144,0.6053,NO
3,0.2164,0.8473,NO
4,0.0671,0.5523,NO
5,0.0906,0.7529,NO
6,0.0589,0.6441,NO
7,0.0679,0.2424,NO
8,0.1689,0.5653,NO
9,0.2469,1.3632,YES
10,0.0616,0.5039,NO
11,0.33799999999999997,0.7357,YES
12,0.2427,0.4838,NO
13,0.2231,0.6990000000000001,NO
14,0.2223,0.141,NO
15,0.1142,0.4065,NO
16,0.0706,0.7209,NO
17,0.1109,0.3947,NO
18,0.0747,0.5254,NO
19,0.2179,0.2246,NO
20,0.1147,0.6442,NO
21,0.0779,1.1571,YES
22,0.0804,1.4897,YES
23,0.1668,1.2146,YES
24,0.24,0.6809999999999999,YES
25,0.1573,0.619,NO
26,0.0716,0.9318,YES
27,0.1205,0.4713,NO
28,0.1072,0.9949,YES
29,0.2444,0.2614,YES
30,0.3362,0.4344,NO
31,0.1579,0.3455,NO
32,0.1148,0.2075,NO
33,0.1112,0.3165,NO
34,0.3947,0.6497,YES
35,0.0957,0.6998,YES
36,0.1364,0.1996,NO
37,0.1056,0.2431,NO
38,0.0981,0.1638,NO
39,0.1058,0.1917,NO
40,0.1797,0.2802,NO
41,0.1526,0.4677,NO
42,0.1551,0.1315,NO
43,0.2811,0.6449,YES
44,0.0766,0.3149,NO
45,0.1126,0.963,YES
46,0.0341,0.155,NO
47,0.3399,0.779,YES
48,0.0412,0.2256,NO
49,0.1212,0.1832,NO
50,0.0769,0.3421,NO
51,0.1235,0.2088,NO
52,0.0802,0.1697,NO
53,0.1903,0.3553,NO
54,0.1119,0.2879,NO
55,0.1008,0.2037,NO
56,0.0886,0.6173,NO
57,0.1534,0.21,NO
58,0.1331,0.6053,NO
59,0.2865,0.8473,NO
60,0.1512,0.5523,NO
61,0.1666,0.7529,NO
62,0.1465,0.6441,NO
63,0.0509,0.2424,NO
64,0.2187,0.5653,NO
65,0.4574,1.3632,YES
66,0.1603,0.5039,NO
67,0.2015,0.7357,YES
68,0.205,0.4838,NO
69,0.2168,0.6990000000000001,NO
70,0.2136,0.141,NO
71,0.1919,0.4065,NO
72,0.1533,0.7209,NO
73,0.1268,0.3947,NO
74,0.1947,0.5254,NO
75,0.1755,0.2246,NO
76,0.2202,0.6442,NO
77,0.4465,1.1571,YES
78,0.4252,1.4897,YES
79,0.3653,1.2146,YES
80,0.1771,0.6809999999999999,YES
81,0.1659,0.619,NO
82,0.1927,0.9318,YES
83,0.1251,0.4713,NO
84,0.1303,0.9949,YES
85,0.1814,0.2614,YES
86,0.3356,0.4344,NO
87,0.1662,0.3455,NO
88,0.1507,0.2075,NO
89,0.1441,0.3165,NO
