,DIRECT_NA_NA_VSM,UPPERTRACED_RFNONE_MULTI_LSA,Associated
0,0.0737,0.018518518518518517,NO
1,0.0652,0.11111111111111108,NO
2,0.1144,0.0,NO
3,0.2164,0.12962962962962962,NO
4,0.0671,0.7592592592592591,NO
5,0.0906,0.018518518518518517,NO
6,0.0589,0.018518518518518517,NO
7,0.0679,0.018518518518518517,NO
8,0.1689,0.018518518518518517,NO
9,0.2469,0.4074074074074074,YES
10,0.0616,0.018518518518518517,NO
11,0.33799999999999997,0.9074074074074072,YES
12,0.2427,0.0,NO
13,0.2231,0.018518518518518517,NO
14,0.2223,0.0,NO
15,0.1142,0.0,NO
16,0.0706,0.018518518518518517,NO
17,0.1109,0.2037037037037037,NO
18,0.0747,0.0,NO
19,0.2179,0.0,NO
20,0.1147,0.8148148148148148,NO
21,0.0779,0.16666666666666666,YES
22,0.0804,0.018518518518518517,YES
23,0.1668,0.018518518518518517,YES
24,0.24,0.22222222222222215,YES
25,0.1573,0.8148148148148148,NO
26,0.0716,0.018518518518518517,YES
27,0.1205,0.0,NO
28,0.1072,0.22222222222222215,YES
29,0.2444,0.22222222222222215,YES
30,0.3362,0.2962962962962963,NO
31,0.1579,0.11111111111111108,NO
32,0.1148,0.2777777777777777,NO
33,0.1112,0.6111111111111109,NO
34,0.3947,0.24074074074074076,YES
35,0.0957,0.22222222222222215,YES
36,0.1364,0.0,NO
37,0.1056,0.0,NO
38,0.0981,0.018518518518518517,NO
39,0.1058,0.0925925925925926,NO
40,0.1797,0.0,NO
41,0.1526,0.0,NO
42,0.1551,0.0,NO
43,0.2811,0.018518518518518517,YES
44,0.0766,0.24074074074074076,NO
45,0.1126,0.6666666666666665,YES
46,0.0341,0.9074074074074072,NO
47,0.3399,0.22222222222222215,YES
48,0.0412,0.22222222222222215,NO
49,0.1212,0.0,NO
50,0.0769,0.2037037037037037,NO
51,0.1235,0.0,NO
52,0.0802,0.22222222222222215,NO
53,0.1903,0.0,NO
54,0.1119,0.1851851851851852,NO
55,0.1008,1.0,NO
56,0.0886,0.018518518518518517,NO
57,0.1534,0.11111111111111108,NO
58,0.1331,0.0,NO
59,0.2865,0.12962962962962962,NO
60,0.1512,0.7592592592592591,NO
