UPPERTRACED_RFUNDER_RAW_LSA,Associated
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.23,YES
0.23,YES
0.23,NO
0.21,NO
0.17,NO
0.35,NO
0.18,YES
0.23,YES
0.03,NO
0.17,NO
0.17,NO
0.26,NO
0.02,NO
0.15,NO
0.3,NO
0.16,YES
0.23,NO
0.25,YES
0.02,NO
0.25,YES
0.24,NO
0.23,NO
0.17,NO
0.04,NO
0.23,NO
0.15,NO
0.25,NO
0.07,NO
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.23,YES
0.23,YES
0.23,NO
0.21,NO
0.17,NO
0.35,NO
0.18,YES
0.23,YES
0.03,NO
0.17,NO
0.17,NO
0.26,NO
0.02,NO
0.15,NO
0.3,NO
0.16,YES
0.23,NO
0.25,YES
0.02,NO
0.25,YES
0.24,NO
0.23,NO
0.17,NO
0.04,NO
0.23,NO
0.15,NO
0.25,NO
0.07,NO
0.28,NO
0.28,NO
0.28,YES
0.28,YES
0.28,YES
0.28,YES
0.28,NO
0.23,NO
0.26,YES
0.28,NO
0.29,YES
0.28,NO
0.28,NO
0.25,NO
0.23,NO
0.23,NO
0.28,YES
0.22,NO
0.27,YES
0.23,NO
0.28,YES
0.28,NO
0.28,NO
0.28,NO
0.28,NO
0.28,YES
0.28,NO
0.28,YES
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.28,NO
0.28,NO
0.28,YES
0.28,YES
0.28,YES
0.28,YES
0.28,NO
0.23,NO
0.26,YES
0.28,NO
0.29,YES
0.28,NO
0.28,NO
0.25,NO
0.23,NO
0.23,NO
0.28,YES
0.22,NO
0.27,YES
0.23,NO
0.28,YES
0.28,NO
0.28,NO
0.28,NO
0.28,NO
0.28,YES
0.28,NO
0.28,YES
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.25,NO
0.26,NO
0.26,NO
0.23,NO
0.24,NO
0.28,NO
0.28,NO
0.15,NO
0.01,NO
0.48,YES
0.23,NO
0.21,YES
0.42,NO
0.28,NO
0.14,NO
0.21,NO
0.28,NO
0.21,NO
0.3,NO
0.02,NO
0.23,NO
0.26,YES
0.28,YES
0.25,YES
0.29,YES
0.27,NO
0.28,YES
0.15,NO
0.25,NO
