NONETRACED_RFSMOTE_MULTI_VSM,Associated
0.33,NO
0.41,NO
0.19,NO
0.7,NO
0.32,NO
0.01,NO
0.34,NO
0.85,NO
0.06,NO
0.58,YES
0.3,NO
0.65,YES
0.64,NO
0.84,NO
0.83,NO
0.86,NO
0.01,NO
0.53,NO
0.36,NO
0.26,NO
0.13,NO
0.65,YES
0.8,YES
0.9,YES
0.84,YES
0.05,NO
0.17,YES
0.25,NO
0.74,YES
0.15,YES
0.1,NO
0.14,NO
0.72,NO
0.06,NO
0.51,YES
0.11,YES
0.01,NO
0.86,NO
0.43,NO
0.18,NO
0.66,NO
0.24,NO
0.2,NO
0.71,YES
0.11,NO
0.57,YES
0.3,NO
0.43,YES
0.09,NO
0.46,NO
0.06,NO
0.21,NO
0.16,NO
0.05,NO
0.28,NO
0.29,NO
0.86,NO
0.29,NO
0.84,NO
0.59,NO
0.78,NO
0.51,NO
0.82,NO
0.04,NO
0.51,NO
0.72,YES
0.62,NO
0.61,YES
0.15,NO
0.66,NO
0.82,NO
0.67,NO
0.52,NO
0.67,NO
0.56,NO
0.4,NO
0.63,NO
0.76,YES
0.75,YES
0.71,YES
0.61,YES
0.59,NO
0.71,YES
0.08,NO
0.96,YES
0.09,YES
0.0,NO
0.04,NO
0.7,NO
0.07,NO
0.57,YES
0.17,YES
0.1,NO
0.75,NO
0.22,NO
0.56,NO
0.73,NO
0.85,NO
0.41,NO
0.7,YES
0.15,NO
0.48,YES
0.16,NO
0.57,YES
0.39,NO
0.71,NO
0.1,NO
0.01,NO
0.43,NO
0.05,NO
0.02,NO
0.11,NO
0.21,NO
0.0,NO
0.64,YES
0.69,YES
0.67,YES
0.83,YES
0.11,NO
0.92,NO
0.55,YES
0.89,NO
0.41,YES
0.51,NO
0.54,NO
0.58,NO
0.68,NO
0.44,NO
0.58,YES
0.75,NO
0.69,YES
0.06,NO
0.66,YES
0.22,NO
0.64,NO
0.69,NO
0.07,NO
0.83,YES
0.52,NO
0.28,YES
0.61,NO
0.15,NO
0.64,NO
0.43,NO
0.62,NO
0.39,NO
0.7,NO
0.85,NO
0.51,NO
0.73,YES
0.57,NO
0.57,YES
0.27,NO
0.61,NO
0.93,NO
0.48,NO
0.61,NO
0.86,NO
0.46,NO
0.32,NO
0.53,NO
0.73,YES
0.7,YES
0.72,YES
0.55,YES
0.64,NO
0.62,YES
0.0,NO
0.01,NO
0.29,NO
0.64,YES
0.61,YES
0.76,YES
0.48,YES
0.0,NO
0.23,NO
0.35,YES
0.67,NO
0.1,YES
0.52,NO
0.6,NO
0.19,NO
0.78,NO
0.63,NO
0.7,YES
0.75,NO
0.63,YES
0.49,NO
0.66,YES
0.63,NO
0.55,NO
0.77,NO
0.55,NO
0.73,YES
0.43,NO
0.06,YES
0.75,NO
0.09,NO
0.37,NO
0.69,NO
0.08,NO
0.63,NO
0.05,NO
0.87,NO
0.4,NO
0.7,YES
0.16,NO
0.66,YES
0.77,NO
0.86,NO
0.81,NO
0.6,NO
0.05,NO
0.52,NO
0.21,NO
0.4,NO
0.01,NO
0.66,YES
0.68,YES
0.68,YES
0.41,YES
0.54,NO
0.41,YES
0.27,NO
0.96,NO
0.17,NO
0.84,NO
0.56,NO
