LOWERTRACED_RFNONE_RAW_LSA,Associated
0.04,NO
0.04,NO
0.27,NO
0.17,NO
0.17,NO
0.27,NO
0.04,NO
0.04,NO
0.27,NO
0.39,YES
0.27,NO
0.39,YES
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.17,NO
0.04,NO
0.17,NO
0.04,NO
0.17,NO
0.39,YES
0.39,YES
0.39,YES
0.39,YES
0.27,NO
0.39,YES
0.27,NO
0.01,YES
0.01,YES
0.24,NO
0.32,NO
0.32,NO
0.24,NO
0.01,YES
0.01,YES
0.24,NO
0.04,NO
0.24,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.32,NO
0.01,YES
0.32,NO
0.01,YES
0.32,NO
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.24,NO
0.04,NO
0.24,NO
0.35,NO
0.35,NO
0.23,NO
0.15,NO
0.15,NO
0.23,NO
0.35,NO
0.35,NO
0.23,NO
0.38,YES
0.23,NO
0.38,YES
0.04,NO
0.04,NO
0.04,NO
0.35,NO
0.15,NO
0.35,NO
0.15,NO
0.35,NO
0.15,NO
0.38,YES
0.38,YES
0.38,YES
0.38,YES
0.23,NO
0.38,YES
0.23,NO
0.01,YES
0.01,YES
0.36,NO
0.39,NO
0.39,NO
0.36,NO
0.01,YES
0.01,YES
0.36,NO
0.01,NO
0.36,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.39,NO
0.01,YES
0.39,NO
0.01,YES
0.39,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.36,NO
0.01,NO
0.36,NO
0.04,NO
0.04,NO
0.6,YES
0.04,YES
0.04,YES
0.6,YES
0.04,NO
0.04,NO
0.6,YES
0.2,NO
0.6,YES
0.2,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.04,YES
0.04,NO
0.04,YES
0.04,NO
0.04,YES
0.2,NO
0.2,NO
0.2,NO
0.2,NO
0.6,YES
0.2,NO
0.6,YES
0.09,NO
0.09,NO
0.33,NO
0.42,NO
0.42,NO
0.33,NO
0.09,NO
0.09,NO
0.33,NO
0.38,YES
0.33,NO
0.38,YES
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.42,NO
0.09,NO
0.42,NO
