LOWERTRACED_RFNONE_RAW_VSM,Associated
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.0,YES
0.06,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.06,NO
0.0,YES
0.06,NO
0.07,YES
0.07,YES
0.04,NO
0.02,NO
0.02,NO
0.04,NO
0.07,YES
0.07,YES
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.07,YES
0.02,NO
0.07,YES
0.02,NO
0.07,YES
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.01,NO
0.01,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.06,YES
0.04,NO
0.06,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.06,YES
0.06,YES
0.06,YES
0.06,YES
0.04,NO
0.06,YES
0.04,NO
0.0,YES
0.0,YES
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.0,YES
0.0,YES
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.0,NO
0.03,YES
0.02,YES
0.02,YES
0.03,YES
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.0,NO
0.04,NO
0.01,NO
0.01,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.06,YES
0.04,NO
0.06,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.06,YES
0.06,YES
0.06,YES
0.06,YES
0.04,NO
0.06,YES
0.04,NO
0.0,NO
0.0,NO
0.04,YES
0.03,YES
0.03,YES
0.04,YES
0.0,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.0,NO
0.04,YES
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,YES
0.02,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.02,NO
0.0,YES
0.02,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.03,NO
0.07,YES
0.03,NO
0.07,YES
0.0,NO
0.0,NO
