LOWERTRACED_RFUNDER_MULTI_LSA,Associated
0.02,NO
0.02,NO
0.095,NO
0.065,NO
0.065,NO
0.095,NO
0.02,NO
0.02,NO
0.095,NO
0.11,YES
0.095,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.065,NO
0.02,NO
0.065,NO
0.02,NO
0.065,NO
0.11,YES
0.11,YES
0.11,YES
0.11,YES
0.095,NO
0.11,YES
0.095,NO
0.04,YES
0.04,YES
0.31,NO
0.38,NO
0.38,NO
0.31,NO
0.04,YES
0.04,YES
0.31,NO
0.09,NO
0.31,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.04,YES
0.38,NO
0.04,YES
0.38,NO
0.04,YES
0.38,NO
0.09,NO
0.09,NO
0.09,NO
0.09,NO
0.31,NO
0.09,NO
0.31,NO
0.27,NO
0.27,NO
0.04,NO
0.04,NO
0.04,NO
0.04,NO
0.27,NO
0.27,NO
0.04,NO
0.35,YES
0.04,NO
0.35,YES
0.0,NO
0.0,NO
0.0,NO
0.27,NO
0.04,NO
0.27,NO
0.04,NO
0.27,NO
0.04,NO
0.35,YES
0.35,YES
0.35,YES
0.35,YES
0.04,NO
0.35,YES
0.04,NO
0.03,YES
0.03,YES
0.36,NO
0.48,NO
0.48,NO
0.36,NO
0.03,YES
0.03,YES
0.36,NO
0.03,NO
0.36,NO
0.03,NO
0.01,NO
0.01,NO
0.01,NO
0.03,YES
0.48,NO
0.03,YES
0.48,NO
0.03,YES
0.48,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.36,NO
0.03,NO
0.36,NO
0.03,NO
0.03,NO
0.55,YES
0.03,YES
0.03,YES
0.55,YES
0.03,NO
0.03,NO
0.55,YES
0.3,NO
0.55,YES
0.3,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.03,YES
0.03,NO
0.03,YES
0.03,NO
0.03,YES
0.3,NO
0.3,NO
0.3,NO
0.3,NO
0.55,YES
0.3,NO
0.55,YES
0.12,NO
0.12,NO
0.1,NO
0.59,NO
0.59,NO
0.1,NO
0.12,NO
0.12,NO
0.1,NO
0.11,YES
0.1,NO
0.11,YES
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.59,NO
0.12,NO
0.59,NO
0.12,NO
0.59,NO
0.11,YES
0.11,YES
0.11,YES
0.11,YES
0.1,NO
0.11,YES
0.1,NO
0.08,NO
0.08,NO
0.07,YES
0.23,YES
0.23,YES
0.07,YES
0.08,NO
0.08,NO
0.07,YES
0.05,NO
0.07,YES
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.23,YES
0.08,NO
0.23,YES
0.08,NO
0.23,YES
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.07,YES
0.05,NO
0.07,YES
0.02,NO
0.02,NO
0.25,NO
0.56,NO
0.56,NO
0.25,NO
0.02,NO
0.02,NO
0.25,NO
0.05,YES
0.25,NO
0.05,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.56,NO
0.02,NO
0.56,NO
0.02,NO
0.56,NO
0.05,YES
0.05,YES
0.05,YES
0.05,YES
0.25,NO
0.05,YES
0.25,NO
0.35,NO
0.35,NO
0.15,NO
0.04,NO
0.04,NO
0.15,NO
0.35,NO
0.35,NO
0.15,NO
0.0,YES
0.15,NO
0.0,YES
0.01,NO
0.01,NO
0.01,NO
0.35,NO
0.04,NO
0.35,NO
0.04,NO
0.35,NO
0.04,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.15,NO
0.0,YES
0.15,NO
0.12,NO
0.12,NO
0.15,NO
0.59,NO
0.59,NO
0.15,NO
0.12,NO
0.12,NO
0.15,NO
0.15,YES
0.15,NO
0.15,YES
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.59,NO
0.12,NO
0.59,NO
0.12,NO
0.59,NO
0.15,YES
0.15,YES
0.15,YES
0.15,YES
0.15,NO
0.15,YES
0.15,NO
0.055,NO
0.055,NO
0.04,NO
0.08,NO
0.08,NO
0.04,NO
0.055,NO
0.055,NO
0.04,NO
0.37,YES
0.04,NO
0.37,YES
0.16,NO
0.16,NO
0.16,NO
0.055,NO
0.08,NO
0.055,NO
0.08,NO
0.055,NO
0.08,NO
0.37,YES
0.37,YES
0.37,YES
0.37,YES
0.04,NO
0.37,YES
0.04,NO
0.04,NO
0.04,NO
0.4,YES
0.35,YES
0.35,YES
0.4,YES
0.04,NO
0.04,NO
0.4,YES
0.11,NO
0.4,YES
0.11,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.35,YES
0.04,NO
0.35,YES
0.04,NO
0.35,YES
0.11,NO
0.11,NO
0.11,NO
0.11,NO
0.4,YES
0.11,NO
0.4,YES
0.02,NO
0.02,NO
0.19,YES
0.07,NO
0.07,NO
0.19,YES
0.02,NO
0.02,NO
0.19,YES
0.05,NO
0.19,YES
0.05,NO
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.07,NO
0.02,NO
0.07,NO
0.02,NO
0.07,NO
0.05,NO
0.05,NO
0.05,NO
0.05,NO
0.19,YES
0.05,NO
0.19,YES
0.17,NO
0.17,NO
0.68,YES
0.05,YES
0.05,YES
0.68,YES
0.17,NO
0.17,NO
0.68,YES
0.01,NO
0.68,YES
